,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,,Billy Hurley III,25,36.5,135,370,1.63
1,2,,Phil Mickelson,22,37.4,152,406,1.51
2,3,,Steven Bowditch,27,41.1,131,319,2.75
3,4,,Jim Herman,25,41.9,116,277,1.38
4,T5,,Robert Streb,30,42.0,198,471,1.82
5,T5,,Richy Werenski,26,42.0,120,286,1.92
6,7,,Brian Stuard,31,42.3,119,281,1.43
7,8,,Ryan Brehm,25,42.5,168,395,1.49
8,9,,David Lingmerth,23,43.2,142,329,1.06
9,T10,,Matt Every,30,43.7,172,394,2.73
10,T10,,Carl Pettersson,27,43.7,148,339,2.77
11,12,,Sergio Garcia,17,44.1,93,211,2.26
12,13,,Chad Campbell,29,44.2,173,391,2.14
13,T14,,Wesley Bryan,28,44.5,183,411,1.69
14,T14,,Spencer Levin,31,44.5,130,292,2.08
15,16,,D.A. Points,22,44.9,122,272,1.89
16,17,,Graeme McDowell,17,45.0,90,200,1.89
17,T18,,Ricky Barnes,31,45.3,221,488,1.36
18,T18,,C.T. Pan,29,45.3,165,364,2.12
19,20,,Cody Gribble,28,45.6,193,423,2.8
20,21,,Webb Simpson,28,45.7,166,363,0.72
21,22,,Cameron Tringale,28,45.8,174,380,2.41
22,T23,,Alex Cejka,28,45.9,129,281,1.71
23,T23,,Sebastián Muñoz,17,45.9,106,231,1.32
24,T23,,Michael Thompson,21,45.9,112,244,2.32
25,26,,Sean O'Hair,25,46.0,166,361,1.33
26,T27,,Harris English,27,46.8,207,442,1.06
27,T27,,Ollie Schniederjans,28,46.8,242,517,0.91
28,29,,Scott Stallings,27,47.0,188,400,2.39
29,T30,,Rickie Fowler,21,47.2,126,267,1.19
30,T30,,Brooks Koepka,24,47.2,169,358,1.78
31,T30,,Ryan Moore,24,47.2,128,271,1.88
32,33,,Charl Schwartzel,18,47.5,133,280,2.11
33,T34,,Stewart Cink,26,47.6,226,475,0.8
34,T34,,Sung Kang,32,47.6,218,458,1.65
35,T34,,Jason Kokrak,28,47.6,201,422,1.64
36,T34,,Kevin Tway,27,47.6,222,466,1.08
37,38,,Johnson Wagner,26,47.7,134,281,2.84
38,T39,,Scott Brown,29,47.8,183,383,1.53
39,T39,,Adam Hadwin,28,47.8,175,366,1.14
40,T39,,Patrick Reed,29,47.8,214,448,1.07
41,42,,Paul Casey,24,47.9,156,326,1.15
42,T43,,Justin Thomas,25,48.0,168,350,0.24
43,T43,,Steve Wheatcroft,17,48.0,83,173,0.6
44,T45,,Blayne Barber,25,48.3,170,352,2.59
45,T45,,Jonathan Randolph,22,48.3,114,236,2.19
46,T45,,Camilo Villegas,25,48.3,181,375,1.27
47,T48,,Ryan Blaum,29,48.4,215,444,2.14
48,T48,,Zach Johnson,23,48.4,138,285,1.81
49,T48,,Nick Watney,23,48.4,183,378,1.8
50,T51,,Brandon Hagy,26,48.5,205,423,0.68
51,T51,,Danny Lee,32,48.5,184,379,1.85
52,T51,,Justin Rose,18,48.5,127,262,1.18
53,T54,,Cameron Percy,23,48.7,146,300,1.16
54,T54,,Brandt Snedeker,15,48.7,92,189,1.74
55,T56,,Luke Donald,18,48.8,121,248,1.49
56,T56,,Patrick Rodgers,27,48.8,204,418,1.72
57,T56,,Vaughn Taylor,26,48.8,160,328,1.25
58,59,,Dustin Johnson,20,48.9,150,307,0.53
59,60,,Seamus Power,25,49.0,213,435,0.28
60,61,,Trey Mullinax,28,49.1,201,409,1.29
61,T62,,J.B. Holmes,23,49.2,181,368,1.38
62,T62,,Boo Weekley,27,49.2,116,236,1.03
63,64,,John Huh,28,49.3,185,375,2.0
64,T65,,J.J. Henry,29,49.4,190,385,2.63
65,T65,,Patton Kizzire,28,49.4,224,453,1.38
66,T67,,Kevin Kisner,28,49.5,160,323,1.5
67,T67,,Seung-Yul Noh,31,49.5,228,461,1.23
68,T69,,Francesco Molinari,21,49.6,115,232,2.17
69,T69,,Hudson Swafford,28,49.6,198,399,1.57
70,T69,,Jhonattan Vegas,29,49.6,195,393,1.18
71,72,,Julián Etulain,22,49.8,134,269,1.57
72,73,,Graham DeLaet,25,49.9,171,343,1.4
73,T74,,Tyrone Van Aswegen,32,50.1,216,431,2.36
74,T74,,Gary Woodland,26,50.1,168,335,0.83
75,T76,,Mark Anderson,20,50.2,120,239,1.75
76,T76,,Retief Goosen,19,50.2,117,233,1.97
77,T78,,Robert Garrigus,26,50.5,157,311,1.97
78,T78,,Whee Kim,27,50.5,186,368,1.61
79,T78,,Chez Reavie,28,50.5,157,311,0.83
80,T78,,Tag Ridings,20,50.5,146,289,1.3
81,82,,Louis Oosthuizen,18,50.6,123,243,0.57
82,T83,,Bill Haas,25,50.7,185,365,0.92
83,T83,,Ben Martin,27,50.7,174,343,2.01
84,85,,Rick Lamb,19,50.8,93,183,3.33
85,T86,,Brian Campbell,20,50.9,113,222,1.59
86,T86,,Shawn Stefani,26,50.9,164,322,1.28
87,T86,,Tim Wilkinson,22,50.9,108,212,1.57
88,T89,,Bud Cauley,28,51.1,207,405,1.5
89,T89,,Chris Stroud,22,51.1,117,229,2.31
90,T91,,Jason Dufner,24,51.3,176,343,1.42
91,T91,,Tom Hoge,17,51.3,117,228,2.14
92,T93,,Greg Chalmers,28,51.5,193,375,1.76
93,T93,,Jon Rahm,23,51.5,173,336,-0.06
94,95,,Jason Day,20,51.6,158,306,0.7
95,T96,,Michael Kim,28,51.7,232,449,1.64
96,T96,,Brett Stegmaier,27,51.7,155,300,3.1
97,98,,Derek Fathauer,27,51.8,203,392,1.92
98,T99,,Kevin Chappell,27,51.9,193,372,1.5
99,T99,,Matt Kuchar,26,51.9,168,324,1.55
100,T99,,Kevin Na,26,51.9,162,312,1.11
101,T102,,Shane Lowry,16,52.0,78,150,0.64
102,T102,,Grayson Murray,30,52.0,254,488,1.81
103,T102,,Kyle Reifers,32,52.0,182,350,1.54
104,105,,Kevin Streelman,26,52.2,186,356,1.4
105,106,,Martin Flores,27,52.3,223,426,1.52
106,107,,Smylie Kaufman,26,52.4,200,382,2.65
107,108,,Aaron Baddeley,20,52.5,149,284,1.21
108,T109,,Hunter Mahan,26,52.9,156,295,1.6
109,T109,,Nick Taylor,29,52.9,226,427,1.06
110,111,,Søren Kjeldsen,17,53.0,79,149,2.91
111,T112,,Bryson DeChambeau,31,53.1,199,375,1.86
