,Driving_Pct._320_Measured_RANK THIS WEEK,Driving_Pct._320_Measured_RANK LAST WEEK,Driving_Pct._320_Measured_PLAYER NAME,Driving_Pct._320_Measured_ROUNDS,Driving_Pct._320_Measured_%,Driving_Pct._320_Measured_TOTAL DRIVES FOR 320+,Driving_Pct._320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._320_Measured_RELATIVE TO PAR
0,1,,Rory McIlroy,51,45.59,31.0,68,-0.52
1,2,,Dustin Johnson,77,41.67,50.0,120,-0.42
2,3,,Brooks Koepka,88,38.28,49.0,128,-0.35
3,4,,Brandon Hagy,85,36.36,56.0,154,-0.32
4,5,,Luke List,102,36.22,71.0,196,-0.31
5,6,,J.B. Holmes,83,35.0,42.0,120,-0.50
6,7,,Justin Thomas,86,33.61,41.0,122,-0.20
7,8,,Andrew Loupe,55,32.69,34.0,104,-0.18
8,9,,Trey Mullinax,88,32.05,50.0,156,-0.28
9,10,,Tony Finau,106,31.25,60.0,192,-0.38
10,11,,Grayson Murray,94,30.56,55.0,180,-0.27
11,12,,Ryan Brehm,83,30.14,44.0,146,-0.32
12,13,,Gary Woodland,94,29.58,42.0,142,-0.36
13,14,,Kevin Tway,96,29.55,52.0,176,-0.17
14,15,,Xander Schauffele,96,29.17,49.0,168,-0.31
15,16,,Patrick Rodgers,76,28.57,40.0,140,-0.40
16,17,,Jason Day,71,27.68,31.0,112,-0.32
17,18,,Bubba Watson,71,27.45,28.0,102,-0.25
18,19,,Ollie Schniederjans,92,27.01,47.0,174,-0.28
19,20,,Jon Rahm,90,26.71,39.0,146,-0.28
20,T21,,Justin Rose,66,25.0,27.0,108,-0.26
21,T21,,Adam Scott,58,25.0,20.0,80,-0.35
22,23,,Smylie Kaufman,76,23.88,32.0,134,-0.41
23,24,,Andres Gonzales,73,23.19,32.0,138,-0.13
24,25,,Jason Kokrak,95,22.99,40.0,174,-0.20
25,26,,Jamie Lovemark,98,22.62,38.0,168,-0.42
26,27,,Harold Varner III,101,21.58,41.0,190,-0.20
27,28,,Kevin Chappell,95,20.83,30.0,144,+0.03
28,29,,Ryan Palmer,61,20.59,21.0,102,-0.24
29,30,,Hudson Swafford,94,20.24,34.0,168,-0.32
30,31,,Rickie Fowler,78,20.0,24.0,120,-0.17
31,32,,Jhonattan Vegas,95,19.74,30.0,152,-0.10
32,33,,Hideki Matsuyama,83,19.64,22.0,112,-0.32
33,34,,Tag Ridings,67,19.49,23.0,118,-0.48
34,35,,Harris English,84,19.44,28.0,144,-0.39
35,36,,Brendan Steele,89,19.29,27.0,140,-0.19
36,37,,Graham DeLaet,82,19.08,29.0,152,-0.24
37,38,,Marc Leishman,94,18.92,28.0,148,-0.14
38,T39,,Robert Garrigus,78,18.75,27.0,144,-0.22
