,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,,Steven Bowditch,59,7.27,8.0,110,+0.50
1,2,,Luke Donald,50,5.21,5.0,96,+0.20
2,3,,Mark Anderson,54,4.81,5.0,104,+0.40
3,4,,Steven Alker,69,4.76,6.0,126,+0.67
4,5,,Kevin Na,86,4.69,6.0,128,E
5,6,,Michael Thompson,60,4.46,5.0,112,+1.00
6,T7,,Tom Hoge,54,4.35,4.0,92,+1.00
7,T7,,Nick Watney,75,4.35,6.0,138,+0.50
8,9,,Jason Bohn,75,4.23,6.0,142,+0.83
9,10,,Zac Blair,105,4.21,8.0,190,-0.13
10,T11,,Wesley Bryan,95,4.02,7.0,174,+0.71
11,T11,,Ollie Schniederjans,92,4.02,7.0,174,+0.29
12,13,,Ricky Barnes,100,3.98,7.0,176,+0.14
13,14,,D.A. Points,68,3.68,5.0,136,+0.40
14,15,,Chris Kirk,89,3.61,6.0,166,+0.50
15,16,,Ken Duke,77,3.52,5.0,142,-0.20
16,17,,Miguel Angel Carballo,63,3.51,4.0,114,+0.50
17,T18,,Ryan Armour,63,3.39,4.0,118,+0.50
18,T18,,Chris Stroud,67,3.39,4.0,118,+0.25
19,20,,Jim Furyk,54,3.33,3.0,90,E
20,21,,Cameron Tringale,89,3.16,5.0,158,-0.40
21,22,,Aaron Baddeley,61,3.06,3.0,98,+0.67
22,23,,Mackenzie Hughes,106,2.94,6.0,204,+0.83
23,24,,Rod Pampling,71,2.9,4.0,138,+0.25
24,25,,Brad Fritsch,56,2.88,3.0,104,+0.67
25,26,,Greg Chalmers,75,2.82,4.0,142,E
26,27,,Graeme McDowell,56,2.78,3.0,108,+0.33
27,T28,,Billy Hurley III,80,2.7,4.0,148,+0.50
28,T28,,Søren Kjeldsen,58,2.7,2.0,74,+0.50
29,30,,Russell Knox,75,2.68,3.0,112,+1.33
30,31,,Brian Stuard,93,2.6,4.0,154,+0.25
31,32,,Brian Gay,82,2.56,4.0,156,+0.25
32,33,,Si Woo Kim,80,2.54,3.0,118,+0.33
33,34,,David Hearn,93,2.47,4.0,162,+0.25
34,35,,Chad Collins,66,2.42,3.0,124,+0.33
35,T36,,Julián Etulain,68,2.38,3.0,126,E
36,T36,,C.T. Pan,88,2.38,4.0,168,+0.25
37,T38,,Robert Streb,98,2.27,4.0,176,+0.25
38,T38,,Kevin Streelman,90,2.27,4.0,176,E
39,40,,Webb Simpson,102,2.25,4.0,178,E
40,41,,Patrick Rodgers,76,2.14,3.0,140,+0.67
41,T42,,Sebastián Muñoz,51,2.13,2.0,94,+0.50
42,T42,,Steve Wheatcroft,51,2.13,2.0,94,+0.50
43,44,,Kelly Kraft,75,2.11,3.0,142,E
44,45,,Harris English,84,2.08,3.0,144,+1.00
45,T46,,Phil Mickelson,85,2.03,3.0,148,+0.67
46,T46,,Bryce Molder,74,2.03,3.0,148,+1.00
47,48,,Charles Howell III,86,1.97,3.0,152,+1.00
48,T49,,Brian Campbell,55,1.96,2.0,102,+2.00
49,T49,,Jimmy Walker,68,1.96,2.0,102,+0.50
50,51,,Andrew Loupe,55,1.92,2.0,104,+2.00
51,52,,Ben Crane,86,1.9,3.0,158,+0.33
52,53,,Peter Malnati,91,1.85,3.0,162,+0.33
53,T54,,Kyle Reifers,96,1.79,3.0,168,+1.00
54,T54,,Vaughn Taylor,90,1.79,3.0,168,+0.33
55,56,,J.T. Poston,95,1.76,3.0,170,+1.33
56,57,,J.J. Spaun,92,1.74,3.0,172,+0.67
57,T58,,Stewart Cink,93,1.72,3.0,174,-0.67
58,T58,,Tim Wilkinson,64,1.72,2.0,116,+0.50
59,60,,Carl Pettersson,63,1.69,2.0,118,+1.00
60,61,,Ian Poulter,72,1.67,2.0,120,+1.00
61,T62,,Chad Campbell,97,1.61,3.0,186,E
62,T62,,K.J. Choi,72,1.61,2.0,124,+0.50
63,64,,Nick Taylor,97,1.58,3.0,190,+0.67
64,65,,Charley Hoffman,112,1.56,3.0,192,+0.33
65,T66,,Dominic Bozzelli,69,1.54,2.0,130,+1.00
66,T66,,Ryan Moore,82,1.54,2.0,130,+1.00
67,68,,Shawn Stefani,72,1.47,2.0,136,+0.50
68,T69,,Jonas Blixt,74,1.43,2.0,140,E
69,T69,,Mark Hubbard,81,1.43,2.0,140,+1.00
70,T69,,Brendan Steele,89,1.43,2.0,140,E
71,T72,,Derek Fathauer,81,1.41,2.0,142,+1.00
72,T72,,Hunter Mahan,73,1.41,2.0,142,+0.50
73,T74,,Jason Dufner,89,1.39,2.0,144,E
74,T74,,Ernie Els,52,1.39,1.0,72,E
75,T74,,Robert Garrigus,78,1.39,2.0,144,+1.00
76,T74,,Geoff Ogilvy,80,1.39,2.0,144,-0.50
77,T74,,Brett Stegmaier,78,1.39,2.0,144,+1.50
78,T74,,Camilo Villegas,76,1.39,2.0,144,+0.50
79,80,,Boo Weekley,75,1.37,2.0,146,+0.50
80,T81,,Troy Merritt,82,1.35,2.0,148,+0.50
81,T81,,Richy Werenski,81,1.35,2.0,148,E
82,83,,Matt Kuchar,95,1.32,2.0,152,+1.50
83,84,,Martin Laird,83,1.3,2.0,154,+0.50
84,T85,,Kevin Kisner,105,1.28,2.0,156,+0.50
85,T85,,Trey Mullinax,88,1.28,2.0,156,E
86,87,,Ben Martin,86,1.27,2.0,158,E
87,T88,,Seamus Power,86,1.25,2.0,160,E
88,T88,,Cameron Smith,86,1.25,2.0,160,E
89,90,,Spencer Levin,89,1.23,2.0,162,E
90,T91,,Rafa Cabrera Bello,63,1.19,1.0,84,+1.00
91,T91,,Brandt Snedeker,53,1.19,1.0,84,E
92,93,,Branden Grace,70,1.16,1.0,86,+1.00
93,94,,Brian Harman,104,1.11,2.0,180,E
94,95,,Retief Goosen,52,1.09,1.0,92,+1.00
95,96,,Tyrone Van Aswegen,105,1.08,2.0,186,+1.00
96,97,,Sung Kang,104,1.06,2.0,188,+0.50
97,98,,Harold Varner III,101,1.05,2.0,190,+0.50
98,99,,Louis Oosthuizen,69,1.04,1.0,96,+1.00
99,100,,Rick Lamb,54,1.0,1.0,100,+2.00
100,101,,Brett Drewitt,57,0.94,1.0,106,+3.00
101,102,,Justin Rose,66,0.93,1.0,108,E
102,103,,Scott Piercy,70,0.91,1.0,110,E
103,T104,,Matt Jones,64,0.89,1.0,112,+2.00
104,T104,,Nicholas Lindheim,58,0.89,1.0,112,+1.00
105,106,,Roberto Castro,70,0.86,1.0,116,+1.00
106,T107,,Fabián Gómez,61,0.85,1.0,118,E
107,T107,,Tag Ridings,67,0.85,1.0,118,-1.00
108,109,,J.B. Holmes,83,0.83,1.0,120,+2.00
109,110,,Johnson Wagner,71,0.79,1.0,126,E
110,111,,Jordan Spieth,85,0.76,1.0,132,E
111,112,,Smylie Kaufman,76,0.75,1.0,134,+1.00
112,T113,,Daniel Berger,91,0.74,1.0,136,+1.00
113,T113,,Whee Kim,74,0.74,1.0,136,E
114,115,,Andres Gonzales,73,0.72,1.0,138,-1.00
115,116,,Sam Saunders,76,0.71,1.0,140,E
116,T117,,Bill Haas,92,0.7,1.0,142,-1.00
117,T117,,Gary Woodland,94,0.7,1.0,142,E
118,T119,,Kevin Chappell,95,0.69,1.0,144,+1.00
119,T119,,Sean O'Hair,84,0.69,1.0,144,+1.00
120,T121,,Alex Cejka,85,0.68,1.0,146,+1.00
121,T121,,William McGirt,89,0.68,1.0,146,E
122,T121,,Jon Rahm,90,0.68,1.0,146,+1.00
123,124,,Patton Kizzire,84,0.66,1.0,152,E
124,T125,,Cody Gribble,79,0.65,1.0,154,E
125,T125,,Scott Stallings,81,0.65,1.0,154,E
126,127,,Pat Perez,93,0.64,1.0,156,+1.00
127,128,,James Hahn,96,0.6,1.0,168,-1.00
128,129,,Bryson DeChambeau,91,0.59,1.0,170,+1.00
129,T130,,Bud Cauley,92,0.58,1.0,172,E
130,T130,,J.J. Henry,92,0.58,1.0,172,+1.00
131,T132,,Lucas Glover,93,0.57,1.0,176,+1.00
132,T132,,Morgan Hoffmann,92,0.57,1.0,176,+3.00
133,T132,,Jason Kokrak,95,0.57,1.0,174,E
134,T132,,Chez Reavie,98,0.57,1.0,174,+1.00
