,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,,Ryan Armour,63,72.73,600,825
1,2,,Boo Weekley,75,71.67,731,1020
2,3,,Brian Stuard,93,71.49,850,1189
3,4,,Jim Furyk,54,70.75,462,653
4,5,,Chez Reavie,98,70.53,895,1269
5,6,,William McGirt,89,70.06,777,1109
6,7,,Francesco Molinari,75,69.8,684,980
7,8,,Zac Blair,105,69.7,964,1383
8,9,,Søren Kjeldsen,58,69.21,472,682
9,10,,Graeme McDowell,56,69.15,520,752
10,11,,Jim Herman,77,69.02,724,1049
11,12,,Ken Duke,77,68.62,680,991
12,13,,Kyle Stanley,104,68.55,957,1396
13,14,,Vaughn Taylor,90,68.28,805,1179
14,15,,Steve Wheatcroft,51,68.24,447,655
15,16,,Ben Crane,86,67.97,749,1102
16,17,,Ryan Moore,82,67.9,751,1106
17,18,,Spencer Levin,89,67.82,805,1187
18,19,,Steven Alker,69,67.54,595,881
19,20,,Chad Campbell,97,67.21,910,1354
20,21,,Alex Cejka,85,67.19,721,1073
21,22,,Russell Knox,75,67.09,640,954
22,23,,Kevin Kisner,105,67.0,881,1315
23,24,,David Hearn,93,66.75,791,1185
24,25,,Zach Johnson,81,66.54,680,1022
25,T26,,Keegan Bradley,104,66.23,906,1368
26,T26,,K.J. Choi,72,66.23,610,921
27,28,,Roberto Castro,70,66.2,611,923
28,29,,Kevin Streelman,90,66.01,810,1227
29,30,,Richy Werenski,81,65.92,681,1033
30,31,,D.A. Points,68,65.83,626,951
31,32,,Chris Stroud,67,65.7,542,825
32,33,,Tim Wilkinson,64,65.68,530,807
33,34,,Webb Simpson,102,65.51,868,1325
34,35,,Brian Gay,82,65.47,713,1089
35,36,,Matt Kuchar,95,65.36,802,1227
36,37,,Lucas Glover,93,65.31,802,1228
37,38,,Emiliano Grillo,90,65.29,777,1190
38,39,,Kyle Reifers,96,65.15,800,1228
39,40,,J.J. Spaun,92,65.11,782,1201
40,41,,Rory Sabbatini,71,64.91,590,909
41,42,,Shane Lowry,52,64.86,408,629
42,43,,Martin Laird,83,64.82,715,1103
43,44,,Rick Lamb,54,64.81,453,699
44,45,,Sam Saunders,76,64.69,632,977
45,46,,Brett Stegmaier,78,64.66,686,1061
46,47,,John Huh,92,64.09,787,1228
47,48,,Chris Kirk,89,63.93,741,1159
48,49,,Scott Brown,95,63.89,812,1271
49,T50,,Graham DeLaet,82,63.68,675,1060
50,T50,,C.T. Pan,88,63.68,747,1173
51,T52,,Jason Bohn,75,63.67,631,991
52,T52,,Ben Martin,86,63.67,701,1101
53,54,,Miguel Angel Carballo,63,63.61,507,797
