,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,,Vaughn Taylor,90,2.67,285.567,106.949,73,3.0810000000000004
1,2,,Justin Thomas,86,2.6689999999999996,312.467,117.074,50,3.165
2,3,,C.T. Pan,88,2.6630000000000003,292.509,109.84700000000001,65,3.114
3,T4,,Brett Stegmaier,78,2.661,294.677,110.738,53,2.9530000000000003
4,T4,,Tim Wilkinson,64,2.661,281.716,105.84899999999999,43,3.122
5,T6,,Alex Cejka,85,2.66,286.187,107.59100000000001,53,2.9210000000000003
6,T6,,Scott Piercy,70,2.66,299.875,112.75399999999999,44,3.083
7,8,,Shane Lowry,52,2.658,304.557,114.59700000000001,21,2.862
8,9,,K.J. Choi,72,2.655,284.731,107.236,53,3.0580000000000003
9,10,,Jason Bohn,75,2.653,280.336,105.665,59,3.072
10,T11,,Kyle Reifers,96,2.6510000000000002,289.147,109.069,68,3.158
11,T11,,Richy Werenski,81,2.6510000000000002,293.666,110.78200000000001,54,2.9960000000000004
12,13,,Rory McIlroy,51,2.65,318.029,120.027,28,3.265
13,14,,Rickie Fowler,78,2.648,304.868,115.124,53,3.1310000000000002
14,15,,Derek Fathauer,81,2.6460000000000004,292.853,110.68,51,3.42
15,T16,,Brian Gay,82,2.645,282.072,106.624,66,2.977
16,T16,,Morgan Hoffmann,92,2.645,296.828,112.206,76,3.063
17,T16,,Troy Merritt,82,2.645,295.342,111.64,66,3.065
18,T16,,Jimmy Walker,68,2.645,302.654,114.443,39,3.093
19,20,,Nick Taylor,97,2.6430000000000002,290.974,110.09700000000001,74,3.012
20,21,,Ernie Els,52,2.64,288.238,109.18299999999999,27,3.016
21,22,,John Huh,92,2.639,287.541,108.965,73,2.9930000000000003
22,23,,Webb Simpson,102,2.638,290.158,109.97200000000001,70,2.972
23,T24,,Trey Mullinax,88,2.637,317.164,120.285,62,3.158
24,T24,,Rory Sabbatini,71,2.637,292.871,111.069,47,3.073
