,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,,Ken Duke,77,1.31,11,837,+0.82
1,2,,Zac Blair,105,1.68,19,1131,+0.32
2,3,,Ryan Armour,63,1.75,12,685,+0.42
3,4,,Steve Wheatcroft,51,1.8,10,555,E
4,5,,Jim Furyk,54,1.81,10,554,+0.50
5,6,,Kevin Kisner,105,1.86,19,1020,+0.53
6,7,,Søren Kjeldsen,58,1.91,9,472,+0.11
7,8,,Kyle Stanley,104,2.06,27,1310,+0.44
8,T9,,William McGirt,89,2.09,20,955,+0.25
9,T9,,Ryan Moore,82,2.09,19,908,+0.42
10,T9,,Chez Reavie,98,2.09,23,1099,+0.52
11,12,,Paul Casey,94,2.14,20,936,+0.65
12,13,,Emiliano Grillo,90,2.24,20,894,+0.45
13,14,,Spencer Levin,89,2.25,21,935,+0.67
14,15,,Rick Lamb,54,2.27,12,529,+0.67
15,T16,,Chad Campbell,97,2.28,27,1182,+0.48
16,T16,,Brian Campbell,55,2.28,13,571,+0.92
17,18,,Vaughn Taylor,90,2.35,25,1066,+0.28
18,19,,Steven Alker,69,2.53,18,712,+0.72
19,20,,Rory Sabbatini,71,2.58,19,736,+0.47
20,21,,Brian Stuard,93,2.67,25,937,+0.64
21,22,,Brett Drewitt,57,2.68,16,596,+1.19
22,23,,Brian Harman,104,2.72,31,1140,+0.35
23,24,,Francesco Molinari,75,2.76,22,796,+0.18
24,25,,Ben Martin,86,2.78,27,970,+0.44
25,26,,Ben Crane,86,2.82,27,958,+0.48
26,27,,Graeme McDowell,56,2.85,19,667,+0.37
27,28,,Webb Simpson,102,2.87,32,1114,+0.50
28,29,,Jonathan Randolph,68,2.91,19,654,+0.63
29,30,,Rod Pampling,71,2.93,27,920,+0.48
30,31,,David Hearn,93,2.94,29,988,+0.59
31,T32,,Peter Malnati,91,2.96,30,1013,+0.70
32,T32,,D.A. Points,68,2.96,24,811,+0.63
33,34,,Chris Stroud,67,2.99,20,668,+0.80
34,T35,,Alex Cejka,85,3.02,26,862,+0.65
35,T35,,Brian Gay,82,3.02,29,961,+1.00
36,T35,,Zach Johnson,81,3.02,27,893,+0.48
37,38,,Richy Werenski,81,3.06,26,850,+0.77
38,39,,Ryan Blaum,100,3.07,35,1139,+0.63
39,40,,Boo Weekley,75,3.17,27,852,+0.74
40,41,,John Huh,92,3.21,34,1058,+0.32
41,T42,,Scott Brown,95,3.22,35,1087,+0.54
42,T42,,Kyle Reifers,96,3.22,33,1026,+0.67
43,44,,Matt Kuchar,95,3.26,33,1012,+0.45
44,45,,Tim Wilkinson,64,3.3,21,636,+0.67
45,46,,Roberto Castro,70,3.31,24,725,+0.79
46,47,,Billy Horschel,88,3.32,36,1083,+0.39
47,48,,J.J. Henry,92,3.36,35,1041,+0.29
48,49,,Brett Stegmaier,78,3.37,27,801,+0.70
49,50,,C.T. Pan,88,3.39,35,1031,+0.69
50,T51,,Sergio Garcia,65,3.42,20,584,+0.25
51,T51,,Hunter Mahan,73,3.42,28,818,+0.79
52,T51,,Sam Saunders,76,3.42,29,849,+0.66
53,54,,Jordan Spieth,85,3.47,31,893,+0.42
54,55,,Miguel Angel Carballo,63,3.52,21,597,+0.81
