,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
0,1,,Søren Kjeldsen,58,3230.7,83997,26,4540,2450
1,2,,Mark Hubbard,81,3201.1,166457,52,5579,2233
2,3,,Roberto Castro,70,3198.0,137514,43,4669,2165
3,4,,Branden Grace,70,3117.6,77941,25,6348,1831
4,5,,Luke Donald,50,3062.4,67373,22,7975,1974
5,6,,Jhonattan Vegas,95,2988.5,131493,44,3738,1817
6,7,,Brian Campbell,55,2974.8,95193,32,3782,2458
7,8,,Ryan Armour,63,2928.6,123001,42,3544,2170
8,9,,Tony Finau,106,2924.0,187136,64,6325,1935
9,10,,Matt Jones,64,2919.0,119680,41,4777,2278
10,11,,Bubba Watson,71,2918.3,99221,34,5831,1646
11,12,,Pat Perez,93,2910.4,119327,41,3821,1988
12,13,,Sergio Garcia,65,2905.5,95881,33,3765,2016
13,14,,Charley Hoffman,112,2905.2,185933,64,6085,2212
14,15,,Kevin Na,86,2902.5,139319,48,3839,2175
15,16,,Marc Leishman,94,2885.4,141387,49,5592,1863
16,17,,Aaron Baddeley,61,2875.1,89128,31,6034,1960
17,18,,Brad Fritsch,56,2869.2,97552,34,3807,2032
18,19,,Mackenzie Hughes,106,2847.7,216424,76,3882,1502
19,20,,William McGirt,89,2830.4,155672,55,3830,1696
20,21,,Adam Scott,58,2823.4,59291,21,4296,2132
21,22,,Nick Watney,75,2817.9,143715,51,4032,1974
22,23,,Mark Anderson,54,2811.3,109642,39,4209,1836
23,24,,Brandt Snedeker,53,2808.6,73023,26,3432,1900
24,25,,Brandon Hagy,85,2808.2,123560,44,3931,1649
25,26,,Luke List,102,2801.5,151283,54,4114,1693
26,27,,Bill Haas,92,2789.4,142257,51,3817,2051
27,28,,Kevin Kisner,105,2782.3,164158,59,8984,1987
28,29,,Bryce Molder,74,2777.7,136105,49,4144,1866
29,30,,Patrick Reed,107,2776.5,163812,59,3876,2229
30,31,,Geoff Ogilvy,80,2773.9,152565,55,5042,1491
31,32,,Andrew Loupe,55,2771.7,105326,38,4191,1828
32,33,,Jim Herman,77,2761.3,127020,46,3881,1833
33,34,,David Hearn,93,2752.3,140365,51,5558,1984
34,35,,Troy Merritt,82,2751.0,148554,54,4157,1630
35,36,,Chad Campbell,97,2750.8,181552,66,5149,1606
36,37,,J.B. Holmes,83,2749.9,90746,33,4224,1641
37,38,,Boo Weekley,75,2748.4,129173,47,3760,1724
38,39,,Jim Furyk,54,2748.2,101684,37,4820,2108
39,40,,Graeme McDowell,56,2735.1,90258,33,3434,1983
40,41,,Ryo Ishikawa,56,2734.9,106660,39,4080,1622
41,42,,Steve Wheatcroft,51,2733.2,68331,25,3472,1809
42,43,,Chad Collins,66,2729.7,111917,41,3832,1816
43,44,,Rickie Fowler,78,2723.0,92581,34,6800,1750
44,45,,Wesley Bryan,95,2721.6,136080,50,4927,1858
45,46,,Harris English,84,2711.0,149103,55,3447,2001
46,47,,Daniel Summerhays,100,2704.2,159546,59,4225,1406
47,48,,Brett Drewitt,57,2703.5,86513,32,3775,1836
48,49,,Charl Schwartzel,63,2700.4,97215,36,3878,1653
49,50,,Spencer Levin,89,2699.6,151177,56,8590,1898
50,51,,Peter Malnati,91,2696.0,169846,63,5339,1770
51,52,,Paul Casey,94,2693.6,113132,42,4900,1822
52,53,,Adam Hadwin,98,2693.0,172349,64,3671,1650
53,54,,Scott Piercy,70,2676.7,96362,36,4604,1899
54,55,,David Lingmerth,79,2674.4,141744,53,3476,1546
55,56,,Patrick Rodgers,76,2665.2,103943,39,3743,1438
56,57,,Brian Stuard,93,2664.9,149233,56,3890,1651
57,58,,Ryan Blaum,100,2663.8,173150,65,5485,1921
58,59,,Jason Bohn,75,2662.5,130461,49,4507,1860
59,60,,Tag Ridings,67,2658.4,98360,37,4633,1704
60,61,,Billy Hurley III,80,2656.3,170001,64,3578,1627
61,62,,Russell Knox,75,2655.8,90296,34,6113,1769
62,63,,Danny Lee,93,2655.6,140748,53,5474,1844
63,64,,Michael Thompson,60,2652.8,90195,34,3632,1683
64,65,,Steven Alker,69,2652.0,111386,42,3375,2068
65,66,,Ken Duke,77,2647.8,97969,37,3668,1894
66,67,,Sebastián Muñoz,51,2642.9,66073,25,3759,1775
67,68,,Ian Poulter,72,2639.5,92383,35,3178,2057
68,69,,Ricky Barnes,100,2637.3,126588,48,3718,1617
69,70,,Steven Bowditch,59,2634.9,89587,34,4275,1754
70,71,,Chris Stroud,67,2631.7,81583,31,3585,1897
71,72,,Phil Mickelson,85,2624.8,139116,53,4753,1688
72,73,,Ben Martin,86,2624.7,146985,56,5541,1817
73,74,,Ben Crane,86,2620.0,151960,58,3504,1715
74,75,,Fabián Gómez,61,2615.4,88925,34,3679,1897
