,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,,Ryan Brehm,83,206.1,6389.7,31,220.4,187.7
1,2,,Andrew Loupe,55,204.0,8362.0,41,222.4,185.1
2,3,,Jhonattan Vegas,95,203.2,9957.2,49,240.8,181.6
3,4,,Brandon Hagy,85,202.8,11558.1,57,226.8,138.9
4,5,,Luke List,102,202.0,13939.2,69,214.9,165.9
5,6,,Rory McIlroy,51,201.3,5636.9,28,231.4,175.4
6,7,,Gary Woodland,94,201.2,10263.2,51,228.1,151.8
7,8,,Brooks Koepka,88,200.9,9040.3,45,222.1,178.0
8,9,,Tony Finau,106,200.8,15460.6,77,221.7,182.6
9,10,,Dustin Johnson,77,199.8,8593.3,43,222.1,173.3
10,11,,J.B. Holmes,83,199.2,7967.5,40,220.8,181.0
11,12,,Sergio Garcia,65,199.0,6765.4,34,225.9,184.6
12,13,,Bubba Watson,71,198.1,8124.1,41,214.6,165.8
13,14,,Grayson Murray,94,197.8,12264.0,62,213.1,181.1
14,T15,,Trey Mullinax,88,197.5,12248.1,62,212.3,161.6
15,T15,,Patrick Rodgers,76,197.5,9280.6,47,221.2,164.0
16,17,,Adam Scott,58,197.3,5918.5,30,226.5,183.0
17,18,,Harris English,84,195.8,11946.4,61,209.9,170.6
18,19,,Kevin Chappell,95,195.3,10544.3,54,215.5,171.9
19,T20,,Jason Day,71,195.0,8972.2,46,211.6,176.5
20,T20,,Jon Rahm,90,195.0,10137.7,52,210.8,150.5
21,T20,,Nick Watney,75,195.0,11117.5,57,209.6,166.1
22,23,,Xander Schauffele,96,194.9,8967.1,46,207.6,175.3
23,24,,Jason Kokrak,95,194.7,13238.4,68,209.7,177.6
24,25,,Tag Ridings,67,194.6,8174.6,42,208.8,157.7
25,T26,,Smylie Kaufman,76,194.5,11087.3,57,221.2,177.9
26,T26,,Kevin Tway,96,194.5,10310.5,53,209.6,159.3
27,28,,Matt Jones,64,194.3,8936.7,46,209.0,181.0
28,T29,,Robert Garrigus,78,193.7,10655.4,55,212.1,153.3
29,T29,,Marc Leishman,94,193.7,11235.4,58,205.6,175.8
30,T29,,Jamie Lovemark,98,193.7,11038.7,57,209.7,155.8
31,T29,,Hudson Swafford,94,193.7,11231.8,58,212.9,175.2
32,33,,Justin Thomas,86,193.4,9474.7,49,219.9,167.1
33,34,,Brendan Steele,89,192.9,11381.1,59,216.4,172.9
34,35,,Harold Varner III,101,192.2,14415.8,75,210.9,163.1
35,36,,Daniel Berger,91,192.1,9990.9,52,216.3,166.6
36,T37,,Brian Campbell,55,191.7,7285.8,38,205.2,173.4
37,T37,,Seamus Power,86,191.7,9201.3,48,207.4,166.7
38,39,,Ryan Palmer,61,191.4,7847.2,41,207.1,166.8
39,T40,,Hideki Matsuyama,83,191.2,8796.9,46,207.6,173.6
40,T40,,Charl Schwartzel,63,191.2,7075.7,37,207.8,169.3
41,42,,Patrick Reed,107,191.1,11845.6,62,215.3,175.3
42,43,,Bryson DeChambeau,91,191.0,12036.0,63,209.7,168.6
43,44,,Keegan Bradley,104,190.6,13722.9,72,210.7,164.4
44,45,,Seung-Yul Noh,91,190.4,13324.5,70,202.1,165.3
45,46,,Justin Rose,66,190.0,7791.4,41,208.6,174.7
46,47,,Charley Hoffman,112,189.8,14048.0,74,206.3,174.0
47,T48,,Martin Laird,83,189.2,9461.0,50,204.0,170.3
48,T48,,Sean O'Hair,84,189.2,10404.4,55,206.6,166.4
49,50,,Shane Lowry,52,188.4,3956.4,21,201.3,174.7
50,T51,,Byeong Hun An,77,188.2,9032.2,48,210.7,141.3
51,T51,,Branden Grace,70,188.2,6399.8,34,216.1,159.4
52,53,,Martin Flores,88,188.1,11847.8,63,210.2,170.1
53,T54,,Dominic Bozzelli,69,188.0,9398.8,50,201.3,167.9
54,T54,,Paul Casey,94,188.0,9586.0,51,198.7,165.4
55,T54,,Matt Every,76,188.0,10151.7,54,201.3,163.4
56,T54,,Bill Haas,92,188.0,10529.0,56,204.9,176.0
57,T54,,Jimmy Walker,68,188.0,7144.0,38,211.2,151.4
58,59,,Louis Oosthuizen,69,187.8,6759.7,36,207.6,150.9
59,T60,,Mackenzie Hughes,106,187.6,16699.1,89,214.8,161.7
60,T60,,Scott Stallings,81,187.6,10503.9,56,204.5,167.4
61,62,,Phil Mickelson,85,187.5,10499.4,56,204.5,170.8
62,63,,Patrick Cantlay,52,187.3,6554.5,35,198.8,169.7
63,T64,,Graham DeLaet,82,186.9,11399.8,61,209.7,157.1
64,T64,,Andres Gonzales,73,186.9,9345.6,50,206.2,164.5
65,T64,,Adam Hadwin,98,186.9,13083.7,70,209.3,163.0
66,67,,Sung Kang,104,186.8,11770.4,63,199.7,150.3
67,68,,Rick Lamb,54,186.4,6523.9,35,201.1,153.1
68,69,,Stewart Cink,93,186.3,13037.7,70,203.3,168.7
69,T70,,Aaron Baddeley,61,186.2,8191.4,44,200.8,159.8
70,T70,,Sebastián Muñoz,51,186.2,6516.1,35,203.8,159.5
71,T70,,Pat Perez,93,186.2,10055.9,54,206.0,172.5
72,T73,,Steven Bowditch,59,186.1,7814.6,42,207.6,152.6
73,T73,,Cody Gribble,79,186.1,9865.3,53,199.8,165.7
74,75,,Hunter Mahan,73,186.0,10603.7,57,200.4,167.8
75,T76,,Danny Lee,93,185.5,11497.9,62,196.8,170.1
76,T76,,David Lingmerth,79,185.5,10942.4,59,199.5,163.9
77,78,,Ryo Ishikawa,56,185.4,7232.0,39,201.8,162.8
78,79,,J.J. Henry,92,185.3,12414.7,67,200.8,162.6
79,80,,Scott Piercy,70,185.2,8148.4,44,211.6,159.7
80,81,,Brad Fritsch,56,185.0,7216.8,39,206.9,165.7
81,82,,Rickie Fowler,78,184.9,9429.2,51,204.2,161.8
82,83,,J.J. Spaun,92,184.8,10904.9,59,194.4,162.8
83,84,,Si Woo Kim,80,184.7,9419.8,51,200.3,151.3
84,T85,,Jordan Spieth,85,184.5,10698.2,58,199.1,149.5
85,T85,,Robert Streb,98,184.5,12917.4,70,205.3,150.8
86,T87,,James Hahn,96,184.3,12531.0,68,198.5,163.4
87,T87,,Billy Horschel,88,184.3,11796.1,64,204.3,144.8
88,89,,Roberto Castro,70,184.1,8651.3,47,202.8,147.4
89,90,,Kevin Streelman,90,183.9,13242.0,72,198.2,151.7
90,T91,,Jim Herman,77,183.8,9923.2,54,197.6,168.0
91,T91,,Kyle Stanley,104,183.8,15251.8,83,200.0,166.5
92,T93,,Lucas Glover,93,183.6,11751.6,64,201.0,159.3
93,T93,,Cameron Smith,86,183.6,11751.8,64,197.7,167.9
94,95,,Brett Drewitt,57,183.5,6423.1,35,199.7,162.7
95,96,,Anirban Lahiri,72,183.4,7884.8,43,199.5,160.9
96,T97,,Patton Kizzire,84,183.3,12833.6,70,201.0,162.9
97,T97,,J.T. Poston,95,183.3,12284.2,67,200.6,166.0
98,T99,,Retief Goosen,52,183.0,6404.8,35,193.3,147.3
99,T99,,Charles Howell III,86,183.0,10614.7,58,196.4,164.9
100,T99,,Shawn Stefani,72,183.0,9881.0,54,199.8,137.7
101,102,,Tyrone Van Aswegen,105,182.8,10784.1,59,197.1,159.2
102,103,,Brandt Snedeker,53,182.6,6207.9,34,201.5,172.1
103,T104,,Tom Hoge,54,182.5,7299.8,40,192.4,164.2
104,T104,,Richy Werenski,81,182.5,9857.5,54,196.2,169.3
105,106,,Emiliano Grillo,90,182.4,10759.9,59,204.2,152.4
106,T107,,Jason Dufner,89,182.2,11658.7,64,201.0,161.6
107,T107,,Russell Henley,99,182.2,13298.0,73,196.0,165.0
108,T109,,Sam Saunders,76,182.0,10374.5,57,196.6,163.4
109,T109,,Ollie Schniederjans,92,182.0,10739.5,59,214.0,95.9
110,111,,Derek Fathauer,81,181.9,9276.0,51,197.9,146.3
111,112,,Boo Weekley,75,181.8,9271.1,51,203.9,136.8
112,113,,Julián Etulain,68,181.4,8709.1,48,198.9,159.7
113,T114,,Rafa Cabrera Bello,63,181.3,6346.6,35,202.4,148.9
114,T114,,Bud Cauley,92,181.3,12146.6,67,193.3,161.8
115,T114,,Luke Donald,50,181.3,5075.8,28,188.9,162.4
116,117,,Miguel Angel Carballo,63,181.2,6886.7,38,199.5,162.6
117,T118,,Troy Merritt,82,181.1,11588.7,64,192.5,161.7
118,T118,,Rory Sabbatini,71,181.1,8512.7,47,200.2,159.1
119,120,,Mark Anderson,54,181.0,7603.0,42,200.4,166.9
