,Hang_Time_RANK THIS WEEK,Hang_Time_RANK LAST WEEK,Hang_Time_PLAYER NAME,Hang_Time_ROUNDS,Hang_Time_AVG.,Hang_Time_TOTAL ACTUAL HANG TIME,Hang_Time_TOTAL ATTEMPTS,Hang_Time_LONGEST ACT. HANG TIME,Hang_Time_SHORTEST ACT. HANG TIME
0,1,,Luke List,102,6.9,479.1,69,8.3,3.6
1,T2,,Keegan Bradley,104,6.8,485.2,71,8.0,3.5
2,T2,,Tony Finau,106,6.8,522.2,77,8.5,3.6
3,T2,,Bill Haas,92,6.8,372.2,55,7.5,4.6
4,T2,,J.B. Holmes,83,6.8,273.0,40,8.0,4.3
5,T2,,Danny Lee,93,6.8,423.2,62,8.0,4.2
6,T2,,Shane Lowry,52,6.8,142.2,21,7.5,4.8
7,T2,,Tag Ridings,67,6.8,271.7,40,7.8,4.9
8,T9,,James Hahn,96,6.7,451.3,67,7.8,3.7
9,T9,,Sung Kang,104,6.7,413.3,62,7.9,3.4
10,T9,,Smylie Kaufman,76,6.7,380.3,57,9.1,3.3
11,T9,,Andrew Loupe,55,6.7,268.2,40,8.5,2.4
12,T9,,Jamie Lovemark,98,6.7,382.3,57,7.8,3.7
13,T9,,Xander Schauffele,96,6.7,301.4,45,8.0,4.7
14,T9,,J.J. Spaun,92,6.7,388.9,58,8.0,2.5
15,T9,,Gary Woodland,94,6.7,342.1,51,8.3,2.4
16,T17,,Patrick Cantlay,52,6.6,232.3,35,7.7,4.4
17,T17,,Kevin Chappell,95,6.6,356.2,54,8.4,3.5
18,T17,,Cody Gribble,79,6.6,336.1,51,7.4,4.1
19,T17,,David Hearn,93,6.6,395.9,60,7.5,3.2
20,T17,,Brooks Koepka,88,6.6,297.1,45,7.8,2.3
21,T17,,Jason Kokrak,95,6.6,445.7,68,7.9,3.5
22,T17,,David Lingmerth,79,6.6,380.7,58,7.5,4.8
23,T17,,Troy Merritt,82,6.6,419.3,64,7.9,3.8
24,T17,,Phil Mickelson,85,6.6,363.5,55,8.2,3.3
25,T17,,Pat Perez,93,6.6,354.9,54,8.4,1.8
26,T17,,Justin Rose,66,6.6,270.1,41,7.9,1.3
27,T17,,Sam Saunders,76,6.6,369.8,56,7.6,3.9
28,T17,,Hudson Swafford,94,6.6,380.1,58,7.6,2.7
29,T30,,Ryan Blaum,100,6.5,462.7,71,7.4,3.7
30,T30,,Jonas Blixt,74,6.5,339.4,52,7.4,5.0
31,T30,,Dominic Bozzelli,69,6.5,318.3,49,7.9,4.9
32,T30,,Ryan Brehm,83,6.5,188.4,29,7.7,3.3
33,T30,,Bud Cauley,92,6.5,436.3,67,7.8,3.0
34,T30,,Jason Day,71,6.5,296.8,46,7.9,2.5
35,T30,,Harris English,84,6.5,387.9,60,7.8,3.0
36,T30,,Julián Etulain,68,6.5,307.6,47,7.8,4.3
37,T30,,Derek Fathauer,81,6.5,331.4,51,7.6,3.3
38,T30,,Brandon Hagy,85,6.5,364.0,56,7.8,2.6
39,T30,,J.J. Henry,92,6.5,409.1,63,7.7,4.5
40,T30,,Charley Hoffman,112,6.5,477.1,73,7.8,3.8
41,T30,,Mackenzie Hughes,106,6.5,566.2,87,7.9,3.7
42,T30,,Dustin Johnson,77,6.5,280.0,43,7.8,4.0
43,T30,,Rick Lamb,54,6.5,225.9,35,7.9,4.5
44,T30,,Marc Leishman,94,6.5,375.8,58,7.6,2.7
45,T30,,Seung-Yul Noh,91,6.5,455.0,70,8.0,2.1
46,T30,,Sean O'Hair,84,6.5,356.7,55,8.1,2.0
47,T30,,Geoff Ogilvy,80,6.5,401.3,62,8.0,2.8
48,T30,,Jon Rahm,90,6.5,336.0,52,8.0,1.0
49,T30,,Rory Sabbatini,71,6.5,306.2,47,7.5,3.7
50,T30,,Kevin Streelman,90,6.5,460.3,71,7.7,3.5
51,T30,,Jhonattan Vegas,95,6.5,313.4,48,8.0,3.0
52,T30,,Richy Werenski,81,6.5,346.5,53,7.3,3.8
53,T54,,Blayne Barber,77,6.4,395.8,62,7.7,3.2
54,T54,,Daniel Berger,91,6.4,334.4,52,7.6,3.4
55,T54,,Scott Brown,95,6.4,411.5,64,7.4,4.6
56,T54,,Brian Campbell,55,6.4,244.7,38,7.6,2.7
57,T54,,Miguel Angel Carballo,63,6.4,237.6,37,7.6,5.0
58,T54,,Luke Donald,50,6.4,180.1,28,7.5,2.4
59,T54,,Sergio Garcia,65,6.4,217.0,34,7.7,2.3
60,T54,,Robert Garrigus,78,6.4,348.2,54,8.2,1.7
61,T54,,Jim Herman,77,6.4,343.8,54,7.7,3.2
62,T54,,Tom Hoge,54,6.4,255.5,40,7.3,2.5
63,T54,,Billy Horschel,88,6.4,408.7,64,7.5,3.6
64,T54,,Mark Hubbard,81,6.4,359.0,56,7.5,3.1
65,T54,,Matt Jones,64,6.4,288.0,45,7.7,5.0
66,T54,,Whee Kim,74,6.4,325.1,51,7.7,1.3
67,T54,,Michael Kim,94,6.4,474.1,74,7.6,4.6
68,T54,,Martin Laird,83,6.4,309.1,48,7.6,3.9
69,T54,,Hideki Matsuyama,83,6.4,293.3,46,7.9,3.1
70,T54,,Trey Mullinax,88,6.4,388.1,61,8.1,2.0
71,T54,,Ryan Palmer,61,6.4,262.6,41,7.5,2.9
72,T54,,Patrick Reed,107,6.4,401.1,63,7.6,0.8
73,T54,,Patrick Rodgers,76,6.4,296.3,46,8.5,2.4
74,T54,,Charl Schwartzel,63,6.4,235.1,37,8.0,3.0
75,T54,,Adam Scott,58,6.4,192.2,30,7.5,4.3
76,T54,,Kyle Stanley,104,6.4,532.3,83,7.8,3.7
77,T54,,Brendan Steele,89,6.4,378.1,59,7.8,2.9
78,T54,,Brett Stegmaier,78,6.4,330.3,52,7.7,2.3
79,T54,,Harold Varner III,101,6.4,478.3,75,7.8,2.3
80,T54,,Nick Watney,75,6.4,364.1,57,7.5,3.4
81,T82,,Mark Anderson,54,6.3,250.6,40,7.3,3.9
82,T82,,Ryan Armour,63,6.3,258.4,41,7.4,4.6
83,T82,,Zac Blair,105,6.3,466.7,74,7.4,5.0
84,T82,,Roberto Castro,70,6.3,291.0,46,7.4,1.8
85,T82,,Stewart Cink,93,6.3,436.6,69,8.1,3.6
86,T82,,Graham DeLaet,82,6.3,381.0,60,7.5,3.7
87,T82,,Andres Gonzales,73,6.3,316.5,50,7.7,4.3
88,T82,,Retief Goosen,52,6.3,213.5,34,7.6,1.2
89,T82,,Adam Hadwin,98,6.3,441.1,70,7.6,3.0
90,T82,,Morgan Hoffmann,92,6.3,472.1,75,7.7,0.5
91,T82,,Si Woo Kim,80,6.3,322.1,51,7.7,3.1
92,T82,,Matt Kuchar,95,6.3,392.0,62,7.6,3.6
93,T82,,Anirban Lahiri,72,6.3,270.2,43,7.6,3.1
94,T82,,William McGirt,89,6.3,412.0,65,7.5,4.6
95,T82,,Grayson Murray,94,6.3,386.7,61,7.6,3.0
96,T82,,C.T. Pan,88,6.3,397.5,63,7.8,3.7
97,T82,,Chez Reavie,98,6.3,424.1,67,7.3,4.1
98,T82,,Jordan Spieth,85,6.3,365.5,58,7.5,2.9
99,T82,,Scott Stallings,81,6.3,353.1,56,7.7,3.1
100,T82,,Shawn Stefani,72,6.3,337.9,54,7.5,2.0
101,T82,,Daniel Summerhays,100,6.3,433.1,69,7.3,3.8
102,T82,,Vaughn Taylor,90,6.3,437.7,70,7.4,3.1
103,T82,,Nick Taylor,97,6.3,458.0,73,7.6,3.7
104,T82,,Justin Thomas,86,6.3,308.1,49,7.5,2.8
105,T82,,Johnson Wagner,71,6.3,307.0,49,7.3,1.0
106,T82,,Jimmy Walker,68,6.3,237.9,38,7.7,4.2
107,T108,,Steven Alker,69,6.2,253.6,41,7.3,4.4
108,T108,,Byeong Hun An,77,6.2,297.2,48,7.5,1.8
109,T108,,Chad Campbell,97,6.2,439.5,71,7.3,2.7
110,T108,,Paul Casey,94,6.2,318.3,51,7.6,1.2
111,T108,,Alex Cejka,85,6.2,327.0,53,7.6,3.8
112,T108,,Chad Collins,66,6.2,283.1,46,7.5,4.5
113,T108,,Ben Crane,86,6.2,398.4,64,7.3,4.3
114,T108,,Bryson DeChambeau,91,6.2,383.4,62,7.7,2.1
115,T108,,Matt Every,76,6.2,336.0,54,7.7,3.4
116,T108,,Martin Flores,88,6.2,382.4,62,8.1,1.1
117,T108,,Brad Fritsch,56,6.2,234.8,38,8.0,1.9
118,T108,,Billy Hurley III,80,6.2,414.4,67,7.9,2.4
119,T108,,Ryo Ishikawa,56,6.2,241.6,39,7.7,3.3
120,T108,,Zach Johnson,81,6.2,342.2,55,7.6,3.7
121,T108,,Kevin Kisner,105,6.2,402.7,65,7.3,1.9
122,T108,,Patton Kizzire,84,6.2,418.4,68,7.4,0.6
123,T108,,Hunter Mahan,73,6.2,349.3,56,7.7,1.9
124,T108,,Peter Malnati,91,6.2,448.5,72,7.2,4.2
125,T108,,Francesco Molinari,75,6.2,291.8,47,7.6,0.5
126,T108,,Sebastián Muñoz,51,6.2,197.0,32,7.7,2.2
127,T108,,Kevin Na,86,6.2,316.5,51,8.0,4.7
128,T108,,Louis Oosthuizen,69,6.2,223.0,36,7.4,1.2
129,T108,,Scott Piercy,70,6.2,273.6,44,7.7,3.1
130,T108,,Kyle Reifers,96,6.2,416.1,67,7.4,2.7
131,T108,,Webb Simpson,102,6.2,426.4,69,7.1,2.8
132,T108,,Cameron Smith,86,6.2,393.5,63,7.4,1.9
133,T108,,Chris Stroud,67,6.2,222.0,36,7.4,2.9
134,T108,,Brian Stuard,93,6.2,371.0,60,7.3,2.3
135,T108,,Tyrone Van Aswegen,105,6.2,364.6,59,7.6,1.8
136,T108,,Bubba Watson,71,6.2,254.6,41,7.9,1.0
137,T138,,Ernie Els,52,6.1,164.2,27,7.2,4.4
138,T138,,Gonzalo Fernandez-Castaño,63,6.1,202.6,33,7.5,3.4
139,T138,,Rickie Fowler,78,6.1,311.4,51,7.8,1.5
140,T138,,Brian Gay,82,6.1,403.9,66,7.2,4.2
