,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,,Justin Thomas,86,7,5,2
1,2,,Brett Stegmaier,78,10,6,4
2,3,,Shane Lowry,52,12,4,8
3,4,,Rory McIlroy,51,15,2,13
4,T5,,Alex Cejka,85,17,11,6
5,T5,,Derek Fathauer,81,17,2,15
6,7,,Scott Piercy,70,18,12,6
7,8,,Richy Werenski,81,20,9,11
8,9,,Vaughn Taylor,90,28,27,1
9,10,,Nick Taylor,97,30,10,20
10,T11,,C.T. Pan,88,36,33,3
11,T11,,Jimmy Walker,68,36,20,16
12,13,,Jon Rahm,90,37,1,36
13,14,,Smylie Kaufman,76,43,17,26
14,T15,,Morgan Hoffmann,92,46,30,16
15,T15,,Sung Kang,104,46,17,29
16,17,,Trey Mullinax,88,48,24,24
17,18,,Rory Sabbatini,71,49,25,24
18,T19,,Anirban Lahiri,72,50,17,33
19,T19,,Troy Merritt,82,50,34,16
20,T19,,Ryan Palmer,61,50,20,30
21,22,,Keegan Bradley,104,55,13,42
22,23,,Rickie Fowler,78,58,44,14
23,24,,Sam Saunders,76,59,29,30
24,25,,Kyle Reifers,96,60,49,11
25,26,,Xander Schauffele,96,62,27,35
26,27,,Scott Stallings,81,63,22,41
27,28,,Dominic Bozzelli,69,66,38,28
28,T29,,Robert Garrigus,78,67,7,60
29,T29,,Sean O'Hair,84,67,41,26
30,T29,,Cameron Percy,71,67,14,53
31,32,,James Hahn,96,68,32,36
32,33,,Patrick Cantlay,52,70,34,36
33,34,,John Huh,92,71,49,22
34,35,,Tag Ridings,67,73,8,65
35,36,,Ryan Blaum,100,75,15,60
36,37,,Kyle Stanley,104,78,44,34
37,38,,Danny Lee,93,79,22,57
38,39,,Seung-Yul Noh,91,80,30,50
39,40,,Ernie Els,52,81,60,21
40,T41,,Blayne Barber,77,82,37,45
41,T41,,Zach Johnson,81,82,52,30
42,43,,Bud Cauley,92,83,34,49
43,44,,K.J. Choi,72,88,79,9
44,45,,Phil Mickelson,85,89,15,74
45,46,,Brian Harman,104,92,56,36
46,47,,Johnson Wagner,71,93,46,47
47,48,,Michael Kim,94,94,41,53
48,49,,Jonas Blixt,74,99,46,53
49,T50,,Brian Gay,82,102,86,16
50,T50,,Whee Kim,74,102,52,50
51,52,,David Lingmerth,79,105,41,64
52,53,,Luke List,102,108,39,69
53,54,,Retief Goosen,52,110,26,84
54,55,,Matt Kuchar,95,111,61,50
55,56,,Harris English,84,112,40,72
56,57,,J.J. Henry,92,114,52,62
57,T58,,Rick Lamb,54,115,58,57
58,T58,,Webb Simpson,102,115,92,23
59,60,,Tim Wilkinson,64,116,112,4
60,61,,D.A. Points,68,117,72,45
61,62,,Peter Malnati,91,123,79,44
62,63,,Ryan Moore,82,124,88,36
63,T64,,Byeong Hun An,77,127,52,75
64,T64,,Jordan Spieth,85,127,61,66
65,66,,Jason Kokrak,95,133,48,85
66,67,,Jamie Lovemark,98,141,56,85
67,68,,Jason Bohn,75,147,137,10
68,T69,,Zac Blair,105,151,74,77
69,T69,,Louis Oosthuizen,69,151,49,102
70,T69,,Tyrone Van Aswegen,105,151,76,75
71,T72,,Cody Gribble,79,153,58,95
72,T72,,Justin Rose,66,153,65,88
73,74,,Martin Laird,83,154,66,88
74,75,,Miguel Angel Carballo,63,155,70,85
75,76,,Steven Alker,69,162,83,79
76,77,,Matt Jones,64,164,105,59
77,78,,Julián Etulain,68,165,88,77
78,T79,,Rafa Cabrera Bello,63,168,97,71
79,T79,,Francesco Molinari,75,168,78,90
80,81,,Geoff Ogilvy,80,171,92,79
81,82,,Ben Crane,86,173,94,79
82,83,,Chris Kirk,89,174,131,43
83,84,,Grayson Murray,94,176,76,100
84,T85,,Billy Horschel,88,178,112,66
85,T85,,Nicholas Lindheim,58,178,112,66
86,T85,,Shawn Stefani,72,178,99,79
87,T85,,Cameron Tringale,89,178,88,90
88,T89,,Graham DeLaet,82,179,117,62
89,T89,,David Hearn,93,179,68,111
90,91,,Chris Stroud,67,180,82,98
91,T92,,Kelly Kraft,75,181,72,109
92,T92,,Kevin Streelman,90,181,91,90
93,94,,Patton Kizzire,84,186,66,120
94,95,,Russell Henley,99,193,146,47
95,T96,,Jason Day,71,196,63,133
96,T96,,Tom Hoge,54,196,63,133
97,T96,,Kevin Kisner,105,196,79,117
98,99,,Adam Scott,58,201,74,127
99,100,,Seamus Power,86,202,84,118
100,T101,,Chad Collins,66,203,108,95
101,T101,,Harold Varner III,101,203,108,95
102,T103,,Jason Dufner,89,210,99,111
103,T103,,Bill Haas,92,210,85,125
104,105,,Brendan Steele,89,211,121,90
105,106,,Cameron Smith,86,212,112,100
106,107,,Chez Reavie,98,213,134,79
107,108,,Daniel Summerhays,100,216,144,72
108,109,,J.J. Spaun,92,217,86,131
109,T110,,Greg Chalmers,75,218,162,56
110,T110,,Marc Leishman,94,218,105,113
111,112,,Hunter Mahan,73,225,70,155
112,113,,Brian Stuard,93,228,126,102
113,T114,,William McGirt,89,231,116,115
114,T114,,Camilo Villegas,76,231,141,90
115,116,,Hideki Matsuyama,83,232,104,128
116,117,,Matt Every,76,235,94,141
117,118,,J.B. Holmes,83,237,69,168
118,T119,,Chad Campbell,97,239,134,105
119,T119,,Dustin Johnson,77,239,98,141
120,121,,Adam Hadwin,98,241,119,122
121,122,,Nick Watney,75,244,108,136
122,T123,,Stewart Cink,93,245,129,116
123,T123,,Spencer Levin,89,245,175,70
124,T123,,Brandt Snedeker,53,245,123,122
125,126,,Sergio Garcia,65,246,94,152
126,127,,Bryson DeChambeau,91,247,119,128
127,T128,,Andres Gonzales,73,249,141,108
128,T128,,Billy Hurley III,80,249,108,141
129,T128,,Pat Perez,93,249,103,146
130,T131,,Kevin Chappell,95,251,99,152
131,T131,,Mackenzie Hughes,106,251,123,128
132,133,,Boo Weekley,75,252,153,99
133,134,,Si Woo Kim,80,253,105,148
134,135,,Scott Brown,95,256,123,133
135,T136,,Mark Anderson,54,258,140,118
136,T136,,Steve Wheatcroft,51,258,134,124
137,138,,Ben Martin,86,259,150,109
138,T139,,Paul Casey,94,263,126,137
139,T139,,Gary Woodland,94,263,99,164
140,141,,Lucas Glover,93,264,162,102
141,142,,Carl Pettersson,63,266,145,121
142,143,,Kevin Na,86,267,162,105
143,144,,Brian Campbell,55,270,121,149
144,145,,Russell Knox,75,273,160,113
145,T146,,Ken Duke,77,286,181,105
146,T146,,Martin Flores,88,286,131,155
147,T148,,Aaron Baddeley,61,287,161,126
148,T148,,Sebastián Muñoz,51,287,150,137
149,150,,Roberto Castro,70,289,130,159
150,151,,Emiliano Grillo,90,291,154,137
151,T152,,Tony Finau,106,292,137,155
152,T152,,Charley Hoffman,112,292,128,164
153,T152,,Andrew Loupe,55,292,117,175
154,155,,Patrick Rodgers,76,298,139,159
155,156,,J.T. Poston,95,301,150,151
156,T157,,Ryan Armour,63,302,157,145
157,T157,,Brett Drewitt,57,302,141,161
158,T157,,Charles Howell III,86,302,171,131
159,160,,Patrick Reed,107,305,133,172
160,161,,Daniel Berger,91,315,154,161
161,162,,Wesley Bryan,95,317,177,140
162,163,,Jim Furyk,54,323,179,144
163,164,,Brooks Koepka,88,324,154,170
164,T165,,Brandon Hagy,85,325,149,176
165,T165,,Ian Poulter,72,325,173,152
166,167,,Michael Thompson,60,326,158,168
167,168,,Luke Donald,50,327,146,181
168,169,,Steven Bowditch,59,329,146,183
169,T170,,Fabián Gómez,61,330,166,164
170,T170,,Kevin Tway,96,330,175,155
171,172,,Branden Grace,70,331,181,150
172,T173,,Jonathan Randolph,68,333,186,147
173,T173,,Robert Streb,98,333,170,163
174,T175,,Brad Fritsch,56,341,158,183
175,T175,,Graeme McDowell,56,341,167,174
176,T175,,Hudson Swafford,94,341,165,176
177,178,,Jim Herman,77,345,173,172
178,T179,,Ryan Brehm,83,354,169,185
179,T179,,Jhonattan Vegas,95,354,167,187
180,181,,Bryce Molder,74,355,184,171
181,T182,,Rod Pampling,71,357,190,167
182,T182,,Bubba Watson,71,357,177,180
183,T184,,Søren Kjeldsen,58,361,185,176
184,T184,,Charl Schwartzel,63,361,171,190
185,186,,Gonzalo Fernandez-Castaño,63,362,183,179
186,187,,Ryo Ishikawa,56,368,180,188
187,188,,Ricky Barnes,100,370,189,181
188,189,,Mark Hubbard,81,373,187,186
189,190,,Ollie Schniederjans,92,377,188,189
