,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,,Ryan Armour,63,88.48,730,825
1,2,,Boo Weekley,75,87.75,895,1020
2,3,,Jim Herman,77,86.75,910,1049
3,4,,Kyle Stanley,104,86.1,1202,1396
4,5,,Vaughn Taylor,90,85.41,1007,1179
5,6,,Steven Alker,69,85.36,752,881
6,7,,Ryan Moore,82,85.35,944,1106
7,8,,Graham DeLaet,82,85.09,902,1060
8,9,,Ken Duke,77,85.07,843,991
9,10,,Ben Crane,86,84.75,934,1102
10,11,,Chad Campbell,97,84.71,1147,1354
11,12,,Zac Blair,105,84.67,1171,1383
12,13,,D.A. Points,68,84.65,805,951
13,14,,Chris Stroud,67,84.48,697,825
14,15,,Rory Sabbatini,71,84.27,766,909
15,16,,Rick Lamb,54,84.26,589,699
16,17,,Brian Stuard,93,84.14,1024,1217
17,18,,Richy Werenski,81,84.12,869,1033
18,19,,Sam Saunders,76,84.03,821,977
19,20,,Spencer Levin,89,83.99,997,1187
20,21,,Alex Cejka,85,83.97,901,1073
21,22,,J.J. Spaun,92,83.93,1008,1201
22,23,,Cameron Percy,71,83.83,762,909
23,24,,Steve Wheatcroft,51,83.82,549,655
24,25,,Kevin Streelman,90,83.78,1028,1227
25,26,,Kyle Reifers,96,83.71,1028,1228
26,27,,Nick Taylor,97,83.7,1109,1325
27,28,,James Hahn,96,83.69,1124,1343
28,29,,Lucas Glover,93,83.68,1051,1256
29,30,,Patrick Cantlay,52,83.66,558,667
30,31,,Robert Garrigus,78,83.65,839,1003
31,32,,J.J. Henry,92,83.5,1002,1200
32,33,,Søren Kjeldsen,58,83.43,569,682
33,34,,Johnson Wagner,71,83.41,734,880
34,35,,Brian Gay,82,83.38,908,1089
35,36,,Hudson Swafford,94,83.36,1047,1256
36,37,,Luke List,102,83.33,1140,1368
37,T38,,K.J. Choi,72,83.28,767,921
38,T38,,Geoff Ogilvy,80,83.28,837,1005
39,40,,Blayne Barber,77,83.23,824,990
40,41,,Hunter Mahan,73,83.11,822,989
41,42,,C.T. Pan,88,83.1,998,1201
42,43,,Chris Kirk,89,83.09,963,1159
43,44,,John Huh,92,82.98,1019,1228
44,45,,Julián Etulain,68,82.97,731,881
45,46,,Scott Brown,95,82.93,1054,1271
46,47,,Fabián Gómez,61,82.89,688,830
47,48,,Francesco Molinari,75,82.84,835,1008
48,49,,Tim Wilkinson,64,82.78,668,807
49,50,,Tony Finau,106,82.75,1204,1455
50,51,,Miguel Angel Carballo,63,82.69,659,797
51,52,,Shawn Stefani,72,82.63,785,950
52,53,,Peter Malnati,91,82.56,980,1187
53,54,,Ian Poulter,72,82.49,782,948
54,55,,Danny Lee,93,82.37,1023,1242
55,56,,Michael Thompson,60,82.33,643,781
56,57,,Ben Martin,86,82.29,906,1101
57,58,,Morgan Hoffmann,92,82.23,1009,1227
