,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,,Kyle Stanley,104,4,2,2
1,2,,Lucas Glover,93,7,4,3
2,T3,,Keegan Bradley,104,19,1,18
3,T3,,Paul Casey,94,19,14,5
4,5,,Sergio Garcia,65,20,12,8
5,6,,Graham DeLaet,82,24,3,21
6,T7,,Patrick Cantlay,52,31,18,13
7,T7,,Gary Woodland,94,31,19,12
8,9,,Jim Herman,77,33,7,26
9,10,,Boo Weekley,75,34,14,20
10,11,,Hudson Swafford,94,35,12,23
11,T12,,Dustin Johnson,77,44,35,9
12,T12,,Jon Rahm,90,44,25,19
13,14,,Robert Garrigus,78,45,35,10
14,15,,Tony Finau,106,46,29,17
15,16,,Shane Lowry,52,48,16,32
16,T17,,Francesco Molinari,75,52,7,45
17,T17,,Brendan Steele,89,52,10,42
18,19,,J.J. Henry,92,53,42,11
19,20,,Rickie Fowler,78,55,5,50
20,21,,Billy Horschel,88,56,32,24
21,22,,Xander Schauffele,96,57,29,28
22,T23,,Russell Henley,99,58,17,41
23,T23,,Harold Varner III,101,58,28,30
24,25,,Hideki Matsuyama,83,59,45,14
25,26,,Rick Lamb,54,60,5,55
26,27,,Richy Werenski,81,61,25,36
27,28,,Luke List,102,65,50,15
28,29,,Emiliano Grillo,90,67,19,48
29,30,,Rory Sabbatini,71,70,31,39
30,31,,Jason Dufner,89,71,25,46
31,32,,Justin Rose,66,72,48,24
32,33,,Kevin Streelman,90,73,11,62
33,34,,Jason Kokrak,95,74,23,51
34,35,,Chad Campbell,97,75,59,16
35,36,,J.J. Spaun,92,79,32,47
36,37,,Ryan Armour,63,80,75,5
37,38,,William McGirt,89,92,48,44
38,39,,Julián Etulain,68,94,35,59
39,40,,Bud Cauley,92,96,59,37
40,41,,Chez Reavie,98,99,45,54
41,42,,Kevin Kisner,105,100,32,68
42,T43,,Daniel Berger,91,102,50,52
43,T43,,Shawn Stefani,72,102,67,35
44,45,,Jordan Spieth,85,103,99,4
45,46,,Russell Knox,75,106,40,66
46,47,,Ben Martin,86,107,43,64
47,48,,Martin Laird,83,108,9,99
48,49,,Cameron Percy,71,109,102,7
49,T50,,Adam Scott,58,115,59,56
50,T50,,Justin Thomas,86,115,75,40
51,52,,Marc Leishman,94,116,79,37
52,T53,,Blayne Barber,77,117,86,31
53,T53,,James Hahn,96,117,39,78
54,55,,Sean O'Hair,84,119,45,74
55,56,,Brett Stegmaier,78,122,62,60
56,57,,C.T. Pan,88,123,91,32
57,58,,Tag Ridings,67,127,40,87
58,59,,Sam Saunders,76,131,22,109
59,T60,,Rory McIlroy,51,135,50,85
60,T60,,Vaughn Taylor,90,135,73,62
61,62,,Martin Flores,88,139,138,1
62,T63,,Scott Stallings,81,141,114,27
63,T63,,Chris Stroud,67,141,69,72
64,65,,Ryan Brehm,83,142,108,34
65,66,,Jamie Lovemark,98,143,58,85
66,67,,Ryan Palmer,61,144,55,89
67,68,,Sung Kang,104,146,67,79
68,T69,,Danny Lee,93,147,70,77
69,T69,,Hunter Mahan,73,147,23,124
70,71,,Ryan Moore,82,148,35,113
71,T72,,Andres Gonzales,73,150,121,29
72,T72,,Matt Kuchar,95,150,86,64
73,T74,,Charley Hoffman,112,151,75,76
74,T74,,Jhonattan Vegas,95,151,64,87
75,T74,,Johnson Wagner,71,151,99,52
76,77,,Scott Piercy,70,152,95,57
77,78,,Nick Taylor,97,154,79,75
78,T79,,Kevin Chappell,95,156,43,113
79,T79,,Bryson DeChambeau,91,156,64,92
80,T79,,Chris Kirk,89,156,95,61
81,82,,Trey Mullinax,88,157,86,71
82,83,,Alex Cejka,85,158,91,67
83,84,,Nick Watney,75,167,99,68
84,85,,John Huh,92,174,83,91
85,86,,Kyle Reifers,96,175,91,84
86,87,,Louis Oosthuizen,69,176,64,112
87,88,,Bubba Watson,71,179,21,158
88,89,,Stewart Cink,93,180,158,22
89,90,,Bill Haas,92,184,141,43
90,91,,Webb Simpson,102,185,78,107
91,92,,Adam Hadwin,98,186,70,116
92,T93,,Zach Johnson,81,188,57,131
93,T93,,Grayson Murray,94,188,53,135
94,T95,,Smylie Kaufman,76,190,83,107
95,T95,,Pat Perez,93,190,108,82
96,T95,,D.A. Points,68,190,132,58
97,98,,Scott Brown,95,191,62,129
98,99,,Charles Howell III,86,196,147,49
99,100,,Miguel Angel Carballo,63,197,82,115
100,101,,Patrick Rodgers,76,198,108,90
101,102,,Anirban Lahiri,72,202,54,148
102,103,,Byeong Hun An,77,204,79,125
103,104,,J.T. Poston,95,205,111,94
104,105,,Jim Furyk,54,208,115,93
105,106,,Ben Crane,86,210,115,95
106,T107,,Brandon Hagy,85,211,85,126
107,T107,,Matt Jones,64,211,55,156
108,109,,Spencer Levin,89,213,111,102
109,110,,Morgan Hoffmann,92,218,74,144
110,111,,Mackenzie Hughes,106,220,102,118
111,112,,Kevin Tway,96,221,102,119
112,T113,,Jason Day,71,224,91,133
113,T113,,Ollie Schniederjans,92,224,141,83
114,115,,David Hearn,93,226,107,119
115,116,,Tyrone Van Aswegen,105,228,158,70
116,117,,Branden Grace,70,229,157,72
117,118,,Geoff Ogilvy,80,234,131,103
118,119,,Steven Alker,69,239,128,111
119,T120,,Michael Kim,94,240,145,95
120,T120,,Troy Merritt,82,240,121,119
121,T122,,Zac Blair,105,241,119,122
122,T122,,Brooks Koepka,88,241,72,169
123,124,,Brandt Snedeker,53,243,163,80
124,T125,,Brian Campbell,55,244,95,149
125,T125,,Robert Streb,98,244,134,110
