,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Joe Durant,85,61.54,88,143,-0.08
1,2,2,Duffy Waldorf,79,60.16,77,128,-0.13
2,3,3,Vijay Singh,112,60.12,98,163,-0.06
3,4,4,David Toms,80,59.56,81,136,-0.05
4,5,5,Bart Bryant,73,59.52,75,126,-0.05
5,6,6,Joey Sindelar,100,58.47,107,183,-0.01
6,7,7,Chris DiMarco,105,57.71,101,175,-0.21
7,8,8,Jonathan Kaye,79,56.69,72,127,-0.06
8,9,9,Rocco Mediate,53,56.32,49,87,+0.08
9,10,10,Briny Baird,100,55.83,91,163,-0.08
10,11,11,Ernie Els,62,55.71,39,70,-0.03
11,12,12,Robert Allenby,93,55.56,85,153,-0.06
12,13,13,Tim Clark,84,55.17,96,174,-0.08
13,14,14,Jerry Kelly,113,55.16,123,223,-0.10
14,15,15,Scott Hoch,52,55.05,60,109,-0.10
15,16,16,Lucas Glover,95,54.78,86,157,-0.02
16,17,17,Mark Wilson,62,54.24,64,118,-0.06
17,18,18,Shaun Micheel,93,53.24,74,139,-0.05
18,19,19,Fred Funk,97,53.11,111,209,-0.05
19,20,20,Woody Austin,94,53.05,87,164,-0.08
20,21,21,Jeff Sluman,98,52.84,93,176,-0.14
21,22,22,Justin Rose,77,52.21,59,113,-0.05
22,23,23,Mark Calcavecchia,79,52.14,61,117,+0.03
23,24,24,Scott Verplank,92,51.83,85,164,-0.14
24,25,25,Sergio Garcia,65,51.82,57,110,+0.05
25,26,26,Arron Oberholser,77,51.75,74,143,-0.04
26,27,27,Jason Bohn,98,51.48,87,169,-0.22
27,28,28,Luke Donald,72,51.25,82,160,-0.09
28,29,29,Chad Campbell,100,51.22,84,164,-0.08
29,30,30,Ryan Palmer,103,51.16,88,172,-0.06
30,31,31,Hidemichi Tanaka,89,51.1,93,182,-0.18
31,32,32,Rich Barcelo,67,50.89,57,112,-0.04
32,33,33,Stewart Cink,103,50.56,91,180,-0.09
33,34,34,Kevin Na,100,50.52,98,194,-0.01
34,35,35,Craig Barlow,80,50.4,63,125,-0.06
35,36,36,Vaughn Taylor,84,50.39,65,129,-0.09
36,37,37,Danny Briggs,85,50.34,75,149,-0.11
37,38,38,Frank Lickliter II,89,50.31,82,163,-0.11
38,39,39,Patrick Sheehan,113,50.25,102,203,-0.10
39,40,40,Jay Williamson,100,50.0,91,182,-0.14
40,41,41,Zach Johnson,109,49.73,93,187,-0.11
41,42,42,Pat Bates,99,49.49,97,196,-0.13
42,43,43,Brent Geiberger,94,49.43,86,174,-0.03
43,44,44,Tag Ridings,53,49.4,41,83,-0.20
44,45,45,Geoff Ogilvy,91,49.26,67,136,-0.12
45,46,46,Jay Haas,84,49.15,87,177,-0.11
46,47,47,Jeff Brehaut,106,49.14,86,175,-0.09
47,48,48,Loren Roberts,81,49.07,79,161,-0.14
48,49,49,Tom Lehman,70,49.02,50,102,-0.14
49,50,50,Lee Janzen,84,49.01,74,151,-0.01
50,51,51,Kevin Sutherland,86,48.84,63,129,+0.02
51,52,52,Andre Stolz,53,48.75,39,80,-0.03
52,53,53,Steve Allan,102,48.67,73,150,-0.11
53,54,54,Jeff Maggert,60,48.48,48,99,-0.04
54,55,55,Olin Browne,92,48.47,79,163,E
55,56,56,Tiger Woods,78,48.39,60,124,-0.17
56,57,57,Roland Thatcher,66,48.35,44,91,-0.14
57,58,58,Retief Goosen,56,48.28,42,87,-0.10
58,59,59,Kenny Perry,79,48.21,54,112,-0.17
59,60,60,Carlos Franco,99,48.17,92,191,-0.03
60,61,61,John Huston,62,48.1,38,79,E
61,62,62,Matt Kuchar,83,48.08,75,156,-0.03
62,63,63,Phil Mickelson,83,48.04,49,102,-0.22
63,64,64,J.L. Lewis,106,47.98,83,173,-0.06
64,65,65,Neal Lancaster,106,47.96,94,196,-0.05
65,66,66,Nick Price,51,47.87,45,94,E
66,67,67,Robert Gamez,103,47.85,89,186,-0.03
