,Approach_50-75_yards_RTP_Score_RANK THIS WEEK,Approach_50-75_yards_RTP_Score_RANK LAST WEEK,Approach_50-75_yards_RTP_Score_PLAYER NAME,Approach_50-75_yards_RTP_Score_ROUNDS,Approach_50-75_yards_RTP_Score_AVG RTP
0,T1,T1,Bernhard Langer,59,-.500
1,T1,T1,Mark Wilson,62,-.500
2,T3,T3,Briny Baird,100,-.429
3,T3,T3,Greg Chalmers,70,-.429
4,5,5,David Toms,80,-.409
5,6,6,Kevin Na,100,-.387
6,7,7,Cameron Beckman,99,-.381
7,8,8,Deane Pappas,72,-.375
8,9,9,Freddie Jacobson,83,-.364
9,T10,T10,Ben Curtis,56,-.357
10,T10,T10,Blaine McCallister,68,-.357
11,12,12,Daniel Chopra,108,-.355
12,13,13,Notah Begay III,71,-.350
13,14,14,Fred Funk,97,-.340
14,15,15,José Coceres,68,-.318
15,16,16,Kevin Sutherland,86,-.313
16,17,17,Guy Boros,64,-.308
17,18,18,Danny Briggs,85,-.306
18,19,19,Adam Scott,55,-.300
19,20,20,Craig Barlow,80,-.289
20,21,21,Tiger Woods,78,-.286
21,22,22,Tim Petrovic,111,-.281
22,23,23,Vijay Singh,112,-.276
23,T24,T24,Mark Hensby,97,-.269
24,T24,T24,Loren Roberts,81,-.269
25,26,26,Tom Lehman,70,-.267
26,27,27,Carl Pettersson,100,-.263
27,28,28,Tim Clark,84,-.261
28,29,29,Bob Tway,90,-.259
29,30,30,Ernie Els,62,-.250
30,31,31,Spike McRoy,93,-.231
31,32,32,Michael Allen,87,-.222
32,33,33,Billy Mayfair,109,-.219
33,34,34,Corey Pavin,83,-.217
34,35,35,Ted Purdy,114,-.211
35,36,36,John Daly,79,-.208
36,T37,T37,Fred Couples,54,-.200
37,T37,T37,Hunter Mahan,94,-.200
38,T37,T37,Tommy Tolles,67,-.200
39,T40,T40,Bart Bryant,73,-.192
40,T40,T40,John Senden,99,-.192
41,T40,T40,Mike Weir,75,-.192
42,43,43,Scott Verplank,92,-.182
43,44,44,Scott Hend,81,-.179
44,45,45,Len Mattiace,75,-.174
45,46,46,Rory Sabbatini,89,-.172
46,T47,T47,J.P. Hayes,79,-.171
47,T47,T47,Brenden Pappas,111,-.171
48,T49,T49,Rich Beem,81,-.167
49,T49,T49,John Rollins,90,-.167
50,T49,T49,Hidemichi Tanaka,89,-.167
51,52,52,Skip Kendall,99,-.161
52,T53,T53,Scott Hoch,52,-.154
53,T53,T53,Dan Olsen,75,-.154
54,T53,T53,Joey Sindelar,100,-.154
55,56,56,Kenny Perry,79,-.143
56,57,57,Zach Johnson,109,-.138
57,T58,T58,Pat Bates,99,-.133
58,T58,T58,Joe Durant,85,-.133
59,60,60,Neal Lancaster,106,-.128
60,61,61,Esteban Toledo,92,-.125
61,62,62,Justin Rose,77,-.120
62,T63,T63,Bob Estes,73,-.118
63,T63,T63,Kirk Triplett,88,-.118
64,T65,T65,Robert Gamez,103,-.115
65,T65,T65,David Peoples,82,-.115
66,67,67,Brian Gay,96,-.114
67,T68,T68,Carlos Franco,99,-.111
68,T68,T68,Matt Kuchar,83,-.111
69,T68,T68,Davis Love III,85,-.111
70,T71,T71,Steve Flesch,109,-.094
71,T71,T71,J.L. Lewis,106,-.094
72,T73,T73,Brian Bateman,84,-.091
73,T73,T73,Robert Damron,92,-.091
74,T73,T73,Richard Johnson,102,-.091
75,T73,T73,Jeff Sluman,98,-.091
76,77,77,Glen Day,101,-.086
77,78,78,Jeff Brehaut,106,-.081
78,79,79,Paul Azinger,75,-.080
79,T80,T80,Darren Clarke,54,-.077
80,T80,T80,Steve Lowery,91,-.077
81,T82,T82,Lucas Glover,95,-.074
82,T82,T82,Tripp Isenhour,55,-.074
83,T84,T84,Ben Crane,92,-.069
84,T84,T84,Frank Lickliter II,89,-.069
85,86,86,Jay Haas,84,-.067
86,T87,T87,Stuart Appleby,84,-.063
87,T87,T87,John Huston,62,-.063
88,89,89,Chris Smith,105,-.059
89,T90,T90,Chad Campbell,100,-.056
90,T90,T90,Luke Donald,72,-.056
91,T90,T90,Stephen Leaney,84,-.056
92,93,93,Phil Mickelson,83,-.050
93,T94,T94,Jerry Kelly,113,-.048
94,T94,T94,Chris Riley,78,-.048
95,T94,T94,Bo Van Pelt,107,-.048
96,97,97,Jonathan Byrd,85,-.043
97,98,98,K.J. Choi,83,-.038
98,99,99,Gene Sauers,83,-.037
99,100,100,Omar Uresti,85,-.033
100,T101,T101,Tom Pernice Jr.,103,-.032
101,T101,T101,Jay Williamson,100,-.032
102,103,103,Joe Ogilvie,104,-.023
103,T104,T104,Steve Allan,102,E
104,T104,T104,D.J. Brigman,79,E
105,T104,T104,Tom Carter,113,E
106,T104,T104,Russ Cochran,61,E
107,T104,T104,Chris DiMarco,105,E
108,T104,T104,Todd Fischer,104,E
109,T104,T104,David Frost,78,E
110,T104,T104,Sergio Garcia,65,E
111,T104,T104,Todd Hamilton,92,E
112,T104,T104,Dudley Hart,60,E
113,T104,T104,Charles Howell III,104,E
114,T104,T104,Lee Janzen,84,E
115,T104,T104,Rocco Mediate,53,E
116,T104,T104,Hirofumi Miyase,65,E
117,T104,T104,Mark O'Meara,58,E
118,T104,T104,John Riegger,53,E
119,T104,T104,Duffy Waldorf,79,E
120,121,121,Stephen Ames,97,+.027
121,T122,T122,Craig Bowden,83,+.032
