,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Vijay Singh,112,-.178
1,2,2,Tiger Woods,78,-.174
2,3,3,Adam Scott,55,-.172
3,4,4,Ernie Els,62,-.170
4,5,5,Retief Goosen,56,-.147
5,6,6,Stewart Cink,103,-.138
6,7,7,Scott Verplank,92,-.133
7,T8,T8,John Daly,79,-.128
8,T8,T8,Loren Roberts,81,-.128
9,10,10,David Toms,80,-.123
10,11,11,Tom Lehman,70,-.122
11,T12,T12,Chris DiMarco,105,-.121
12,T12,T12,Scott Hoch,52,-.121
13,T12,T12,Jerry Kelly,113,-.121
14,15,15,Vaughn Taylor,84,-.117
15,16,16,Stephen Ames,97,-.116
16,17,17,Jay Haas,84,-.115
17,18,18,Geoff Ogilvy,91,-.112
18,19,19,Phil Mickelson,83,-.111
19,T20,T20,Fred Couples,54,-.110
20,T20,T20,Bo Van Pelt,107,-.110
21,22,22,Kirk Triplett,88,-.109
22,23,23,Harrison Frazar,86,-.108
23,24,24,Rod Pampling,98,-.107
24,25,25,Carl Pettersson,100,-.106
25,26,26,Duffy Waldorf,79,-.105
26,T27,T27,Mark Hensby,97,-.102
27,T27,T27,Shigeki Maruyama,93,-.102
28,T29,T29,Daniel Chopra,108,-.101
29,T29,T29,Sergio Garcia,65,-.101
30,T29,T29,John Huston,62,-.101
31,T32,T32,Stuart Appleby,84,-.099
32,T32,T32,Greg Chalmers,70,-.099
33,T32,T32,Mike Weir,75,-.099
34,35,35,Matt Gogel,86,-.098
35,T36,T36,Darren Clarke,54,-.097
36,T36,T36,John Senden,99,-.097
37,T38,T38,Freddie Jacobson,83,-.096
38,T38,T38,Zach Johnson,109,-.096
39,T38,T38,Shaun Micheel,93,-.096
40,41,41,Bob Estes,73,-.095
41,T42,T42,Olin Browne,92,-.094
42,T42,T42,Robert Gamez,103,-.094
43,T42,T42,Lee Janzen,84,-.094
44,T42,T42,Rory Sabbatini,89,-.094
45,T42,T42,Jeff Sluman,98,-.094
46,T47,T47,Ted Purdy,114,-.093
47,T47,T47,Justin Rose,77,-.093
48,49,49,Brian Gay,96,-.091
49,50,50,Kenny Perry,79,-.090
50,51,51,David Peoples,82,-.089
51,T52,T52,Tim Herron,84,-.087
52,T52,T52,Charles Howell III,104,-.087
53,T52,T52,Jesper Parnevik,86,-.087
54,T52,T52,Tom Pernice Jr.,103,-.087
55,56,56,Brian Bateman,84,-.086
56,57,57,José María Olazábal,56,-.085
57,58,58,Jason Dufner,79,-.084
58,T59,T59,Tim Clark,84,-.083
59,T59,T59,Davis Love III,85,-.083
60,T61,T61,Robert Allenby,93,-.082
61,T61,T61,José Coceres,68,-.082
62,63,63,Pat Perez,102,-.081
63,T64,T64,Cameron Beckman,99,-.080
64,T64,T64,Carlos Franco,99,-.080
