,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Jason Caron,2,246,Deutsche Bank Championship,1,7
1,2,2,Justin Rose,77,232,Chrysler Classic of Greensboro,1,17
2,3,3,Jonathan Kaye,79,223,Chrysler Championship,1,17
3,4,4,John Daly,79,220,Bob Hope Chrysler Classic,4,2
4,5,5,John Douma,4,219,Chrysler Classic of Tucson,2,8
5,6,6,Lucas Glover,95,218,Cialis Western Open,2,12
6,T7,7,Brian Gay,96,209,Shell Houston Open,4,3
7,T7,8,David Gossett,57,209,John Deere Classic,2,12
8,9,9,Mathias Grönberg,91,208,Chrysler Championship,2,15
9,10,10,Blaine McCallister,68,202,Buick Championship,1,8
10,T11,11,Notah Begay III,71,199,John Deere Classic,2,9
11,T11,12,Mark Hensby,97,199,John Deere Classic,1,3
12,13,13,Steve Stricker,81,198,Cialis Western Open,3,18
13,14,14,Briny Baird,100,197,Buick Open,1,3
14,15,15,Scott Hoch,52,196,Cialis Western Open,2,14
15,16,16,Ben Curtis,56,195,84 LUMBER Classic,4,12
16,T17,17,Jay Williamson,100,193,FedEx St. Jude Classic,2,10
17,T17,18,Michael Allen,87,193,FedEx St. Jude Classic,3,4
18,19,19,Brad Faxon,94,190,World Golf Championships-American Express Championship,2,7
19,20,20,Kent Jones,99,187,EDS Byron Nelson Championship,3,8
20,T21,21,Alex Cejka,76,186,Booz Allen Classic,2,8
21,T21,22,Joe Ogilvie,104,186,Reno-Tahoe Open,2,15
22,23,23,Bernhard Langer,59,185,Ford Championship at Doral,2,6
23,24,24,Robert Damron,92,182,EDS Byron Nelson Championship,4,15
24,25,25,Mike Small,6,181,Cialis Western Open,2,2
25,26,26,Peter Lonard,68,178,Cialis Western Open,1,5
26,27,27,Ted Purdy,114,177,the Memorial Tournament,2,18
27,28,28,Frank Lickliter II,89,176,EDS Byron Nelson Championship,2,6
28,29,17,Jay Williamson,100,174,Buick Open,4,9
29,30,30,Carl Pettersson,100,173,Nissan Open,2,14
30,31,31,Darren Clarke,54,172,Mercedes Championships,3,17
31,T32,32,José María Olazábal,56,171,THE PLAYERS Championship,2,13
32,T32,33,Kenny Perry,79,171,U.S. Bank Championship in Milwaukee,4,8
33,34,34,Nick Price,51,170,Ford Championship at Doral,3,17
34,T35,35,David Peoples,82,169,84 LUMBER Classic,1,12
35,T35,36,Greg Chalmers,70,169,John Deere Classic,4,7
36,T35,38,Trevor Immelman,38,169,Deutsche Bank Championship,2,15
37,T35,37,John Rollins,90,169,John Deere Classic,4,7
38,T39,11,Notah Begay III,71,168,FedEx St. Jude Classic,2,18
39,T39,40,Willie Wood,26,168,John Deere Classic,3,16
40,41,41,Mike Springer,29,166,FedEx St. Jude Classic,2,7
41,42,42,Thongchai Jaidee,14,165,World Golf Championships-American Express Championship,2,11
42,43,43,Mike Weir,75,163,Chrysler Championship,1,12
43,44,44,Lee Janzen,84,161,Bay Hill Invitational Presented by MasterCard,4,11
44,45,45,Tom Pernice Jr.,103,159,the Memorial Tournament,2,12
45,46,46,Vaughn Taylor,84,158,FUNAI Classic at the WALT DISNEY WORLD Resort,4,3
46,47,47,Garrett Willis,49,157,Reno-Tahoe Open,4,16
47,T48,48,Dean Wilson,99,154,Deutsche Bank Championship,4,9
48,T48,49,Shaun Micheel,93,154,the Memorial Tournament,4,1
49,T48,50,Chris DiMarco,105,154,FUNAI Classic at the WALT DISNEY WORLD Resort,2,16
50,51,45,Tom Pernice Jr.,103,152,MCI Heritage,2,6
51,T52,52,Brian Watts,25,151,BellSouth Classic,3,15
52,T52,53,Chez Reavie,8,151,Michelin Championship at Las Vegas,2,18
53,54,54,Freddie Jacobson,83,149,Chrysler Classic of Greensboro,1,10
54,55,55,Scott McCarron,88,148,the Memorial Tournament,2,18
55,56,56,Jim Carter,47,147,FedEx St. Jude Classic,2,8
56,57,57,Jeff Brehaut,106,146,Shell Houston Open,3,6
57,58,58,Ryan Palmer,103,145,Booz Allen Classic,3,9
58,59,59,Jerry Kelly,113,144,U.S. Bank Championship in Milwaukee,1,10
