,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Vijay Singh,112,80.74,1270,1573,-393.0
1,2,2,Joe Durant,85,80.15,1086,1355,-228.0
2,3,3,Scott Hoch,52,79.35,638,804,-150.0
3,4,4,Retief Goosen,56,79.11,553,699,-155.0
4,5,5,John Huston,62,78.81,625,793,-130.0
5,6,6,Robert Allenby,93,78.68,1004,1276,-214.0
6,7,7,Tom Lehman,70,78.34,803,1025,-186.0
7,8,8,Sergio Garcia,65,78.24,701,896,-160.0
8,9,9,Duffy Waldorf,79,78.02,820,1051,-198.0
9,10,10,Briny Baird,100,77.81,1115,1433,-244.0
10,11,11,David Toms,80,77.62,801,1032,-196.0
11,12,12,John Senden,99,77.6,1185,1527,-267.0
12,13,13,Kenny Perry,79,77.32,849,1098,-205.0
13,T14,T14,Scott Verplank,92,76.92,933,1213,-246.0
14,T14,T14,Tiger Woods,78,76.92,733,953,-243.0
15,16,16,Jerry Kelly,113,76.82,1193,1553,-305.0
16,17,17,Fred Couples,54,76.8,596,776,-143.0
17,18,18,Joey Sindelar,100,76.76,1212,1579,-249.0
18,19,19,Adam Scott,55,76.56,539,704,-149.0
19,20,20,J.J. Henry,103,76.51,1238,1618,-261.0
20,21,21,Jay Haas,84,76.34,829,1086,-203.0
21,22,22,Phil Mickelson,83,76.29,727,953,-185.0
22,23,23,Justin Leonard,90,76.26,877,1150,-188.0
23,T24,T24,Luke Donald,72,76.2,842,1105,-177.0
24,T24,T24,Jeff Sluman,98,76.2,1108,1454,-272.0
25,26,26,Shaun Micheel,93,76.19,947,1243,-208.0
26,27,27,Stephen Ames,97,76.14,1082,1421,-282.0
27,28,28,Justin Rose,77,76.06,845,1111,-223.0
28,29,29,Jeff Maggert,60,76.03,682,897,-136.0
29,30,30,Bernhard Langer,59,75.83,571,753,-117.0
30,31,31,Cameron Beckman,99,75.73,1164,1537,-277.0
31,32,32,Ben Curtis,56,75.7,542,716,-112.0
32,33,33,John Riegger,53,75.58,656,868,-134.0
33,34,34,Lee Janzen,84,75.52,941,1246,-208.0
34,35,35,Rory Sabbatini,89,75.51,993,1315,-232.0
35,36,36,Bo Van Pelt,107,75.5,1100,1457,-277.0
36,37,37,Chris Smith,105,75.47,1237,1639,-289.0
37,38,38,Kirk Triplett,88,75.32,876,1163,-230.0
38,39,39,Chad Campbell,100,75.31,1031,1369,-233.0
39,40,40,Zach Johnson,109,75.25,1192,1584,-300.0
40,41,41,Tim Clark,84,75.24,954,1268,-224.0
41,T42,T42,Bart Bryant,73,75.19,879,1169,-203.0
42,T42,T42,Roland Thatcher,66,75.19,809,1076,-163.0
43,T44,T44,Jonathan Kaye,79,75.18,824,1096,-173.0
44,T44,T44,Neal Lancaster,106,75.18,1245,1656,-267.0
45,T46,T46,Woody Austin,94,75.1,1116,1486,-271.0
46,T46,T46,Heath Slocum,92,75.1,1110,1478,-231.0
47,48,48,Carlos Franco,99,75.0,1197,1596,-282.0
48,49,49,Chris DiMarco,105,74.98,1031,1375,-263.0
49,50,50,Olin Browne,92,74.88,1055,1409,-245.0
50,T51,T51,Fred Funk,97,74.86,1105,1476,-253.0
51,T51,T51,Ted Purdy,114,74.86,1364,1822,-350.0
52,53,53,Rocco Mediate,53,74.84,473,632,-88.0
53,54,54,Billy Mayfair,109,74.82,1236,1652,-204.0
54,55,55,Ernie Els,62,74.76,539,721,-164.0
55,56,56,John Cook,57,74.74,645,863,-124.0
56,57,57,Stewart Cink,103,74.73,1056,1413,-291.0
57,58,58,Lucas Glover,95,74.7,1110,1486,-278.0
58,59,59,Mark Wilson,62,74.61,764,1024,-162.0
59,60,60,Bob Tway,90,74.57,865,1160,-179.0
60,61,61,Stuart Appleby,84,74.4,776,1043,-206.0
61,62,62,J.L. Lewis,106,74.36,1163,1564,-277.0
62,63,63,Davis Love III,85,74.3,798,1074,-206.0
63,64,64,Frank Lickliter II,89,74.27,1016,1368,-271.0
64,65,65,Danny Briggs,85,74.23,994,1339,-224.0
65,66,66,Russ Cochran,61,74.17,718,968,-153.0
66,67,67,Brett Quigley,102,74.16,1154,1556,-252.0
67,68,68,Brian Bateman,84,74.06,962,1299,-241.0
68,69,69,Steve Allan,102,74.04,1158,1564,-264.0
69,70,70,Pat Perez,102,74.03,1129,1525,-264.0
70,71,71,Tom Pernice Jr.,103,73.97,1128,1525,-250.0
71,72,72,Spike McRoy,93,73.94,1013,1370,-178.0
72,73,73,Pat Bates,99,73.9,1181,1598,-238.0
73,74,74,Vaughn Taylor,84,73.86,1006,1362,-270.0
74,T75,T75,Craig Barlow,80,73.8,910,1233,-221.0
75,T75,T75,Dudley Hart,60,73.8,600,813,-133.0
76,77,77,Notah Begay III,71,73.78,833,1129,-187.0
77,78,78,Steve Flesch,109,73.76,1071,1452,-267.0
78,79,79,Bob Estes,73,73.61,664,902,-153.0
79,80,80,Hidemichi Tanaka,89,73.58,1025,1393,-231.0
80,81,81,Robert Gamez,103,73.55,1179,1603,-291.0
81,82,82,Stephen Leaney,84,73.53,750,1020,-139.0
82,83,83,Charles Howell III,104,73.51,999,1359,-210.0
83,84,84,Steve Elkington,64,73.41,729,993,-154.0
84,85,85,Matt Kuchar,83,73.38,998,1360,-205.0
85,86,86,Darren Clarke,54,73.33,451,615,-126.0
86,87,87,Harrison Frazar,86,73.29,922,1258,-260.0
87,88,88,Tom Byrum,83,73.24,947,1293,-208.0
88,89,89,Mike Weir,75,73.23,714,975,-180.0
89,90,90,Arron Oberholser,77,73.17,799,1092,-171.0
90,91,91,Tommy Armour III,87,73.14,983,1344,-216.0
91,92,92,Shigeki Maruyama,93,73.12,1001,1369,-269.0
92,93,93,K.J. Choi,83,73.11,821,1123,-194.0
93,94,94,Patrick Sheehan,113,73.1,1299,1777,-308.0
94,95,95,Geoff Ogilvy,91,73.03,972,1331,-277.0
95,96,96,Ryan Palmer,103,73.01,1163,1593,-281.0
96,97,97,Tim Herron,84,73.0,865,1185,-209.0
97,98,98,Kevin Na,100,72.98,1118,1532,-251.0
98,99,99,Jason Bohn,98,72.94,1140,1563,-278.0
99,100,100,Brent Geiberger,94,72.92,1088,1492,-260.0
100,101,101,Kent Jones,99,72.88,1126,1545,-257.0
