,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Hidemichi Tanaka,89,"15' 1""",408.333,27,+1
1,T2,T2,Chris Riley,78,"17' 0""",255.167,15,-2
2,T2,T2,Kirk Triplett,88,"17' 0""",305.33299999999997,18,+1
3,4,4,Joe Durant,85,"18' 5""",662.5830000000001,36,-1
4,5,5,Arron Oberholser,77,"18' 7""",426.75,23,+4
5,6,6,Phil Mickelson,83,"18' 9""",468.75,25,-4
6,T7,T7,Bernhard Langer,59,"18' 11""",208.417,11,+1
7,T7,T7,Kevin Na,100,"18' 11""",587.3330000000001,31,+3
8,9,9,Bob Burns,88,"19' 0""",704.1669999999999,37,+17
9,10,10,Fred Funk,97,"19' 4""",540.4169999999999,28,+3
10,11,11,Harrison Frazar,86,"19' 5""",583.0830000000001,30,-3
11,T12,T12,Ben Curtis,56,"19' 9""",296.41700000000003,15,-1
12,T12,T12,Jay Haas,84,"19' 9""",276.16700000000003,14,+1
13,14,14,Omar Uresti,85,"20' 0""",858.9169999999999,43,+3
14,T15,T15,K.J. Choi,83,"20' 2""",524.8330000000001,26,+2
15,T15,T15,Corey Pavin,83,"20' 2""",524.25,26,+3
16,T17,T17,Pat Bates,99,"20' 4""",771.8330000000001,38,E
17,T17,T17,Sergio Garcia,65,"20' 4""",507.417,25,E
18,T19,T19,José Coceres,68,"20' 5""",632.3330000000001,31,+2
19,T19,T19,Kent Jones,99,"20' 5""",695.25,34,+8
20,T19,T19,Shigeki Maruyama,93,"20' 5""",653.1669999999999,32,+6
21,22,22,Ernie Els,62,"20' 11""",501.583,24,-2
22,T23,T23,Paul Azinger,75,"21' 0""",757.25,36,+2
23,T23,T23,Justin Leonard,90,"21' 0""",588.9169999999999,28,+1
24,T25,T25,Craig Bowden,83,"21' 1""",653.9169999999999,31,+3
25,T25,T25,Brent Geiberger,94,"21' 1""",926.5,44,+8
26,T25,T25,John Huston,62,"21' 1""",484.167,23,E
27,T25,T25,Pat Perez,102,"21' 1""",653.0,31,+3
28,29,29,Steve Lowery,91,"21' 2""",741.0,35,+5
29,30,30,Esteban Toledo,92,"21' 3""",807.9169999999999,38,+1
30,31,31,Cameron Beckman,99,"21' 4""",746.25,35,E
31,32,32,Kenny Perry,79,"21' 5""",600.5,28,+5
32,33,33,Robert Gamez,103,"21' 8""",780.0830000000001,36,+5
33,34,34,Justin Rose,77,"21' 10""",566.6669999999999,26,-4
34,35,35,Rory Sabbatini,89,"21' 11""",875.0,40,+3
35,36,36,Bob Estes,73,"22' 2""",488.5,22,-1
36,37,37,Lee Janzen,84,"22' 3""",735.3330000000001,33,+6
37,T38,T38,Danny Briggs,85,"22' 6""",764.3330000000001,34,+6
