,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,Tom Byrum,83,"18' 9""",18.75,1,-1
1,2,2,Tim Clark,84,"19' 1""",19.083,1,E
2,3,3,David Peoples,82,"23' 6""",23.5,1,-1
3,4,4,Esteban Toledo,92,"29' 1""",29.083000000000002,1,-1
4,5,5,Tom Lehman,70,"45' 6""",45.5,1,E
5,6,6,Dicky Pride,66,"45' 7""",136.667,3,-2
6,7,7,Brian Kortan,65,"46' 11""",46.917,1,-1
7,8,8,Jeff Sluman,98,"47' 8""",47.667,1,-1
8,9,9,Briny Baird,100,"53' 1""",212.417,4,-3
9,10,10,Jonathan Byrd,85,"53' 8""",161.083,3,E
10,11,11,Mike Weir,75,"59' 4""",118.583,2,-1
11,12,12,Mike Heinen,53,"59' 8""",119.333,2,-2
12,T13,T13,Ben Curtis,56,"60' 9""",60.75,1,-1
13,T13,T13,Hank Kuehne,91,"60' 9""",121.5,2,-3
14,15,15,Andre Stolz,53,"62' 10""",188.417,3,-2
15,16,16,Jay Williamson,100,"63' 7""",63.583,1,-1
16,17,17,Brad Faxon,94,"64' 9""",194.333,3,-2
17,18,18,Steve Allan,102,"65' 9""",328.583,5,-3
18,19,19,Chris DiMarco,105,"66' 9""",66.75,1,E
19,20,20,Guy Boros,64,"69' 8""",139.25,2,+1
20,21,21,Bernhard Langer,59,"71' 0""",71.0,1,-1
21,22,22,Notah Begay III,71,"72' 4""",217.0,3,-1
22,23,23,Joey Sindelar,100,"73' 10""",221.5,3,-3
23,24,24,Vaughn Taylor,84,"74' 4""",148.667,2,-2
24,25,25,Steve Flesch,109,"74' 8""",149.333,2,-2
25,26,26,Mark Wilson,62,"75' 11""",75.917,1,-1
26,27,27,Mark Calcavecchia,79,"76' 0""",152.0,2,E
27,28,28,Tag Ridings,53,"76' 8""",153.25,2,-2
28,29,29,Brett Quigley,102,"76' 11""",615.3330000000001,8,-4
29,30,30,Niclas Fasth,61,"77' 8""",232.917,3,-1
30,31,31,Brian Bateman,84,"79' 7""",397.75,5,-4
31,32,32,Stuart Appleby,84,"80' 7""",161.083,2,-1
32,33,33,Len Mattiace,75,"80' 8""",80.667,1,E
33,34,34,Pat Perez,102,"80' 10""",404.167,5,+1
34,35,35,Todd Fischer,104,"81' 6""",407.333,5,-1
35,36,36,Ted Purdy,114,"82' 2""",82.167,1,E
36,37,37,Chris Riley,78,"82' 6""",329.917,4,-2
37,38,38,Woody Austin,94,"82' 11""",663.5830000000001,8,-4
38,39,39,Rod Pampling,98,"83' 3""",333.0,4,-3
39,40,40,Rich Barcelo,67,"83' 7""",250.75,3,-2
40,41,41,Lee Janzen,84,"85' 0""",170.0,2,-1
41,42,42,Dean Wilson,99,"85' 1""",255.333,3,+1
42,43,43,Kevin Sutherland,86,"85' 11""",429.583,5,-3
43,44,44,Bart Bryant,73,"87' 3""",349.083,4,-2
44,45,45,John Senden,99,"88' 0""",351.917,4,-1
45,46,46,Brenden Pappas,111,"88' 3""",706.0,8,+1
46,47,47,Hirofumi Miyase,65,"88' 4""",88.333,1,E
47,48,48,Steve Elkington,64,"89' 10""",269.5,3,+1
48,49,49,Jay Delsing,76,"90' 0""",270.0,3,-1
49,50,50,Cameron Beckman,99,"90' 4""",271.0,3,-1
50,51,51,Joe Ogilvie,104,"90' 9""",635.25,7,-3
51,52,52,Mark Hensby,97,"91' 0""",181.917,2,-1
52,53,53,Jerry Kelly,113,"91' 6""",274.41700000000003,3,E
53,54,54,Daniel Chopra,108,"91' 9""",1192.5,13,-2
54,55,55,Chad Campbell,100,"92' 5""",92.417,1,-1
55,56,56,Danny Briggs,85,"92' 6""",277.5,3,-3
56,57,57,Cliff Kresge,89,"92' 7""",370.417,4,-1
57,58,58,J.P. Hayes,79,"92' 10""",92.833,1,-1
58,T59,T59,Richard Johnson,102,"93' 3""",186.417,2,-1
59,T59,T59,Scott Simpson,55,"93' 3""",93.25,1,-1
60,61,61,Rich Beem,81,"94' 2""",188.25,2,+1
61,62,62,Steve Pate,71,"94' 4""",188.583,2,+1
62,63,63,Danny Ellis,81,"94' 5""",377.5,4,-1
