,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,1,Tiger Woods,78,-.235
1,2,2,Phil Mickelson,83,-.160
2,3,3,Justin Rose,77,-.154
3,4,4,Chris Riley,78,-.133
4,T5,T5,Harrison Frazar,86,-.100
5,T5,T5,Steve Stricker,81,-.100
6,7,7,Ernie Els,62,-.083
7,8,8,Glen Day,101,-.081
8,9,9,Ben Curtis,56,-.067
9,10,10,Bob Estes,73,-.045
10,11,11,Carlos Franco,99,-.040
11,12,12,Todd Fischer,104,-.038
12,13,13,Joe Durant,85,-.028
13,14,14,Zach Johnson,109,-.022
14,T15,T15,Stephen Ames,97,E
15,T15,T15,Stuart Appleby,84,E
16,T15,T15,Pat Bates,99,E
17,T15,T15,Cameron Beckman,99,E
18,T15,T15,Sergio Garcia,65,E
19,T15,T15,John Huston,62,E
20,T15,T15,Jerry Kelly,113,E
21,T15,T15,Craig Parry,52,E
22,T15,T15,Adam Scott,55,E
23,24,24,Dan Olsen,75,+.020
24,25,25,Esteban Toledo,92,+.026
25,26,26,Skip Kendall,99,+.028
26,27,27,Justin Leonard,90,+.036
27,28,28,Hidemichi Tanaka,89,+.037
28,29,29,Briny Baird,100,+.038
29,30,30,José María Olazábal,56,+.040
30,31,31,Kris Cox,73,+.043
31,32,32,John Rollins,90,+.053
32,T33,T33,Paul Azinger,75,+.056
33,T33,T33,Kirk Triplett,88,+.056
34,35,35,Geoff Ogilvy,91,+.057
35,T36,T36,José Coceres,68,+.065
36,T36,T36,Dennis Paulson,71,+.065
37,T36,T36,Joey Sindelar,100,+.065
38,39,39,Omar Uresti,85,+.070
39,40,40,Jay Haas,84,+.071
40,41,41,Rich Barcelo,67,+.073
41,T42,T42,Ted Purdy,114,+.075
42,T42,T42,Rory Sabbatini,89,+.075
43,44,44,K.J. Choi,83,+.077
44,T45,T45,Darren Clarke,54,+.091
45,T45,T45,Bernhard Langer,59,+.091
46,47,47,Vijay Singh,112,+.093
47,T48,T48,Tim Clark,84,+.094
48,T48,T48,Shaun Micheel,93,+.094
49,T50,T50,Craig Bowden,83,+.097
50,T50,T50,Kevin Na,100,+.097
51,T50,T50,Pat Perez,102,+.097
52,53,53,Scott Verplank,92,+.100
53,T54,T54,Fred Funk,97,+.107
54,T54,T54,Freddie Jacobson,83,+.107
55,56,56,Brad Faxon,94,+.108
56,T57,T57,Ken Duke,89,+.111
57,T57,T57,J.J. Henry,103,+.111
58,T59,T59,Brian Kortan,65,+.115
59,T59,T59,Corey Pavin,83,+.115
60,T61,T61,Aaron Baddeley,87,+.125
61,T61,T61,Rocco Mediate,53,+.125
62,T61,T61,Nick Price,51,+.125
63,T61,T61,Bob Tway,90,+.125
64,T65,T65,Tripp Isenhour,55,+.129
65,T65,T65,Jeff Sluman,98,+.129
66,T67,T67,Scott Simpson,55,+.133
67,T67,T67,Dean Wilson,99,+.133
68,T69,T69,Tom Carter,113,+.136
69,T69,T69,Tom Lehman,70,+.136
70,71,71,Robert Gamez,103,+.139
71,T72,T72,Steve Lowery,91,+.143
72,T72,T72,Spike McRoy,93,+.143
73,74,74,Ryan Palmer,103,+.146
74,75,75,Robert Damron,92,+.147
75,76,76,Roger Tambellini,81,+.148
76,77,77,J.P. Hayes,79,+.150
77,T78,T78,Guy Boros,64,+.152
78,T78,T78,Jeff Brehaut,106,+.152
79,80,80,Jonathan Byrd,85,+.158
80,T81,T81,Jason Dufner,79,+.161
81,T81,T81,Craig Perks,75,+.161
82,T81,T81,Gene Sauers,83,+.161
83,T84,T84,D.J. Brigman,79,+.167
84,T84,T84,Mike Heinen,53,+.167
85,T84,T84,Tim Herron,84,+.167
86,87,87,Lucas Glover,95,+.170
87,88,88,Joe Ogilvie,104,+.173
88,T89,T89,Rich Beem,81,+.174
89,T89,T89,Cliff Kresge,89,+.174
90,T89,T89,Arron Oberholser,77,+.174
91,T92,T92,Danny Briggs,85,+.176
92,T92,T92,Retief Goosen,56,+.176
93,T94,T94,Ben Crane,92,+.179
94,T94,T94,Kenny Perry,79,+.179
95,T96,T96,Brent Geiberger,94,+.182
96,T96,T96,Lee Janzen,84,+.182
97,T96,T96,Carl Pettersson,100,+.182
98,T96,T96,Patrick Sheehan,113,+.182
99,T100,T100,Mathias Grönberg,91,+.184
100,T100,T100,Jesper Parnevik,86,+.184
101,102,102,Shigeki Maruyama,93,+.188
102,103,103,Billy Andrade,104,+.189
103,104,104,Hank Kuehne,91,+.194
104,T105,T105,Craig Barlow,80,+.200
105,T105,T105,Tom Pernice Jr.,103,+.200
106,T105,T105,Tommy Tolles,67,+.200
107,T105,T105,David Toms,80,+.200
108,109,109,J.L. Lewis,106,+.205
109,110,110,Russ Cochran,61,+.207
110,T111,T111,Stephen Leaney,84,+.208
111,T111,T111,Hunter Mahan,94,+.208
112,113,113,Tim Petrovic,111,+.209
113,T114,T114,Woody Austin,94,+.211
114,T114,T114,Richard Johnson,102,+.211
115,T114,T114,Peter Lonard,68,+.211
116,117,117,Fred Couples,54,+.212
117,118,118,Daniel Chopra,108,+.213
118,119,119,Todd Hamilton,92,+.214
119,T120,T120,Brenden Pappas,111,+.222
120,T120,T120,Kevin Sutherland,86,+.222
121,T120,T120,Mark Wilson,62,+.222
122,123,123,David Frost,78,+.225
123,124,124,Bo Van Pelt,107,+.226
124,125,125,Bart Bryant,73,+.227
125,T126,T126,Brian Bateman,84,+.231
126,T126,T126,Notah Begay III,71,+.231
127,T126,T126,Chad Campbell,100,+.231
128,129,129,Brett Quigley,102,+.233
129,T130,T130,John Cook,57,+.235
130,T130,T130,Steve Elkington,64,+.235
131,T130,T130,Kent Jones,99,+.235
132,T130,T130,Jeff Maggert,60,+.235
133,134,134,Chris Smith,105,+.239
134,135,135,Rod Pampling,98,+.243
135,T136,T136,Steve Flesch,109,+.250
136,T136,T136,Jonathan Kaye,79,+.250
137,T136,T136,Deane Pappas,72,+.250
138,139,139,Matt Kuchar,83,+.259
139,140,140,Steve Pate,71,+.261
140,141,141,Danny Ellis,81,+.268
141,142,142,Stewart Cink,103,+.269
142,T143,T143,Brian Gay,96,+.273
143,T143,T143,Blaine McCallister,68,+.273
144,145,145,John Riegger,53,+.278
145,146,146,Scott Hend,81,+.283
146,147,147,Jay Williamson,100,+.286
147,T148,T148,Luke Donald,72,+.300
148,T148,T148,Matt Gogel,86,+.300
149,150,150,Billy Mayfair,109,+.303
150,151,151,David Morland IV,73,+.306
151,152,152,Robert Allenby,93,+.308
152,153,153,Neal Lancaster,106,+.310
153,154,154,Roland Thatcher,66,+.313
154,T155,T155,Niclas Fasth,61,+.316
155,T155,T155,Frank Lickliter II,89,+.316
156,T157,T157,Steve Allan,102,+.318
157,T157,T157,Jason Bohn,98,+.318
158,T157,T157,David Branshaw,84,+.318
159,T160,T160,Loren Roberts,81,+.320
