,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Ernie Els,16,220.0,855451.0,108
1,2,2,Ben Curtis,20,225.0,647961.0,80
2,3,3,Tiger Woods,19,229.0,1186904.0,144
3,T4,T4,Darren Clarke,16,230.7,747361.0,90
4,T4,T4,Davis Love III,24,230.7,1353542.0,163
5,6,6,Adam Scott,16,231.7,733983.0,88
6,7,7,Fred Couples,16,232.5,895493.0,107
7,8,8,Tommy Armour III,28,233.8,1085656.0,129
8,9,9,Scott Hoch,17,234.4,641220.0,76
9,T10,T10,Retief Goosen,16,238.4,935485.0,109
10,T10,T10,Kirk Triplett,24,238.4,1012723.0,118
11,12,12,Rory Sabbatini,26,239.5,1370863.0,159
12,13,13,John Huston,20,240.6,883340.0,102
13,14,14,Vijay Singh,29,240.7,2287798.0,264
14,15,15,Stuart Appleby,25,241.3,1250653.0,144
15,16,16,Chad Campbell,28,241.4,1346949.0,155
16,17,17,Justin Leonard,25,241.5,956233.0,110
17,18,18,Geoff Ogilvy,26,241.7,1444618.0,166
18,T19,T19,Shaun Micheel,27,242.7,1266688.0,145
19,T19,T19,Mike Weir,22,242.7,917449.0,105
20,21,21,Shigeki Maruyama,26,243.0,1145921.0,131
21,T22,T22,J.L. Lewis,32,243.3,1629351.0,186
22,T22,T22,Frank Lickliter II,27,243.3,1322456.0,151
23,24,24,Ben Crane,27,243.6,1464819.0,167
24,25,25,Todd Hamilton,27,243.8,956751.0,109
25,26,26,Loren Roberts,22,244.0,614974.0,70
26,27,27,Stephen Ames,27,244.1,1265577.0,144
27,28,28,K.J. Choi,24,244.5,871271.0,99
28,29,29,Kenny Perry,23,244.9,1278512.0,145
29,30,30,Omar Uresti,28,245.7,884341.0,100
30,31,31,Michael Allen,28,246.0,1204425.0,136
31,32,32,Harrison Frazar,25,246.1,1541425.0,174
32,33,33,Nick Price,15,246.2,452021.0,51
33,34,34,Steve Elkington,20,246.3,904557.0,102
34,T35,T35,Chris Couch,24,246.7,1048100.0,118
35,T35,T35,Jay Williamson,33,246.7,1225641.0,138
36,37,37,Blaine McCallister,27,246.8,719610.0,81
37,T38,T38,Andre Stolz,20,246.9,844422.0,95
38,T38,T38,Bob Tway,26,246.9,906763.0,102
39,T40,T40,Cameron Beckman,30,247.1,1601449.0,180
40,T40,T40,John Daly,22,247.1,1476833.0,166
41,T42,T42,Danny Ellis,26,247.3,1086153.0,122
42,T42,T42,Dicky Pride,23,247.3,872590.0,98
43,44,44,Tim Clark,26,247.5,890862.0,100
44,45,45,Brian Bateman,24,247.6,1301406.0,146
45,46,46,Heath Slocum,31,247.8,936745.0,105
46,T47,T47,David Branshaw,30,248.0,1098045.0,123
47,T47,T47,Dennis Paulson,21,248.0,1419463.0,159
48,49,49,Bob Estes,23,248.4,634876.0,71
49,50,50,Jonathan Byrd,27,248.5,1494018.0,167
50,T51,T51,Dudley Hart,23,248.6,707021.0,79
51,T51,T51,David Toms,24,248.6,877187.0,98
52,T53,T53,Tom Lehman,19,248.7,1101046.0,123
53,T53,T53,John Riegger,17,248.7,769924.0,86
54,55,55,Steve Lowery,28,248.8,1469146.0,164
55,T56,T56,Steve Flesch,31,248.9,1317075.0,147
56,T56,T56,Matt Gogel,25,248.9,994788.0,111
57,T58,T58,Charles Howell III,30,249.3,1498649.0,167
58,T58,T58,Bernhard Langer,15,249.3,619316.0,69
59,T60,T60,Aaron Baddeley,27,249.5,1320483.0,147
60,T60,T60,Rod Pampling,26,249.5,1419322.0,158
61,62,62,Justin Rose,22,249.7,1060894.0,118
62,63,63,Brian Kortan,24,249.8,845445.0,94
63,64,64,Hirofumi Miyase,27,249.9,773786.0,86
64,65,65,Brenden Pappas,34,250.2,2080914.0,231
65,66,66,Jonathan Kaye,25,250.3,1414965.0,157
66,67,67,Craig Perks,27,250.4,892283.0,99
67,T68,T68,Tripp Isenhour,22,250.5,640342.0,71
68,T68,T68,Vaughn Taylor,27,250.5,1452080.0,161
69,T70,T70,David Frost,26,250.6,938344.0,104
70,T70,T70,Ryan Palmer,33,250.6,1758886.0,195
71,T72,T72,Steve Allan,33,250.7,2039716.0,226
72,T72,T72,Tim Herron,26,250.7,1182224.0,131
73,T72,T72,Joey Sindelar,31,250.7,1660941.0,184
74,75,75,Lee Janzen,25,250.8,1155915.0,128
75,76,76,John Senden,28,250.9,1887935.0,209
76,77,77,Hunter Mahan,30,251.1,1690356.0,187
77,T78,T78,Pat Bates,32,251.3,1131006.0,125
78,T78,T78,Mark Brooks,31,251.3,768902.0,85
79,T78,T78,Joe Durant,26,251.3,1302671.0,144
80,T78,T78,Tag Ridings,18,251.3,1013127.0,112
81,T78,T78,Tommy Tolles,25,251.3,1158005.0,128
82,83,83,Glen Day,33,251.4,1357456.0,150
83,84,84,Briny Baird,30,251.5,1258442.0,139
84,T85,T85,Tom Carter,35,251.6,1702620.0,188
85,T85,T85,Stewart Cink,28,251.6,1367558.0,151
86,T85,T85,Carlos Franco,27,251.6,1820535.0,201
87,T88,T88,Kent Jones,32,251.8,1459605.0,161
88,T88,T88,Chris Smith,33,251.8,2339090.0,258
89,T88,T88,Dean Wilson,33,251.8,1350457.0,149
90,T91,T91,Olin Browne,30,252.0,1025312.0,113
91,T91,T91,Kris Cox,26,252.0,1333792.0,147
92,T91,T91,Mike Heinen,17,252.0,1170166.0,129
93,T91,T91,Steve Stricker,27,252.0,825552.0,91
94,T95,T95,Kevin Muncrief,21,252.2,789763.0,87
95,T95,T95,Patrick Sheehan,33,252.2,1697555.0,187
96,T97,T97,Spike McRoy,33,252.3,1144604.0,126
97,T97,T97,Ted Purdy,35,252.3,1998170.0,220
98,99,99,Deane Pappas,22,252.5,1190732.0,131
99,T100,T100,Robert Gamez,31,252.6,1537036.0,169
100,T100,T100,Brian Gay,32,252.6,1100239.0,121
101,T100,T100,Zach Johnson,30,252.6,1318399.0,145
102,T100,T100,Cliff Kresge,33,252.6,1345785.0,148
103,T104,T104,Mark Hensby,29,252.9,1429503.0,157
104,T104,T104,Scott Verplank,24,252.9,1055964.0,116
105,T106,T106,Niclas Fasth,22,253.0,1038184.0,114
106,T106,T106,Roger Tambellini,28,253.0,1611929.0,177
107,108,108,Paul Azinger,23,253.1,1102489.0,121
108,109,109,Mark Wilson,19,253.2,756705.0,83
109,T110,T110,Danny Briggs,28,253.3,1076222.0,118
110,T110,T110,Joe Ogilvie,32,253.3,1504799.0,165
111,T112,T112,Craig Bowden,30,253.6,730426.0,80
112,T112,T112,Hank Kuehne,30,253.6,1953801.0,214
113,T114,T114,Steve Pate,24,253.7,1086965.0,119
114,T114,T114,Bo Van Pelt,30,253.7,1616288.0,177
115,T116,T116,Jason Bohn,29,253.8,1927691.0,211
116,T116,T116,Scott Simpson,18,253.8,511694.0,56
117,T118,T118,Rich Beem,28,253.9,1389547.0,152
118,T118,T118,Mark Calcavecchia,24,253.9,1252284.0,137
119,T118,T118,Fred Funk,29,253.9,941351.0,103
120,T121,T121,Brent Geiberger,31,254.0,1198002.0,131
121,T121,T121,Richard Johnson,32,254.0,1481161.0,162
122,T121,T121,Jerry Kelly,29,254.0,1307658.0,143
123,T124,T124,Bob Burns,30,254.1,896538.0,98
124,T124,T124,Phil Mickelson,22,254.1,1280540.0,140
125,T124,T124,David Peoples,26,254.1,1088510.0,119
126,T127,T127,Greg Chalmers,22,254.2,1198762.0,131
127,T127,T127,Matt Kuchar,28,254.2,1290091.0,141
128,129,129,Jay Haas,23,254.3,869566.0,95
129,T130,T130,D.J. Brigman,27,254.5,1291612.0,141
130,T130,T130,Jay Delsing,26,254.5,1200401.0,131
131,T130,T130,Mark O'Meara,17,254.5,274870.0,30
132,T130,T130,Arron Oberholser,23,254.5,1053638.0,115
133,134,134,Todd Fischer,33,254.6,1475738.0,161
134,135,135,Bart Bryant,23,254.8,981372.0,107
135,T136,T136,John Cook,19,254.9,522972.0,57
136,T136,T136,Scott McCarron,27,254.9,1688720.0,184
137,T136,T136,Tom Pernice Jr.,31,254.9,1743182.0,190
138,139,139,Carl Pettersson,28,255.0,1597154.0,174
139,T140,T140,Tom Byrum,25,255.1,890678.0,97
140,T140,T140,Jeff Maggert,20,255.1,909130.0,99
141,T142,T142,Rich Barcelo,26,255.2,1010777.0,110
142,T142,T142,Russ Cochran,25,255.2,725793.0,79
143,T144,T144,Sergio Garcia,18,255.3,1111936.0,121
144,T144,T144,J.P. Hayes,27,255.3,845402.0,92
145,T144,T144,Gene Sauers,30,255.3,1139500.0,124
146,T144,T144,Kevin Sutherland,27,255.3,1268280.0,138
147,148,148,Grant Waite,29,255.4,1305802.0,142
148,T149,T149,Dan Olsen,31,255.5,1287579.0,140
149,T149,T149,Brett Quigley,31,255.5,1674351.0,182
150,151,151,Craig Parry,16,255.6,533695.0,58
151,T152,T152,Robert Allenby,26,255.7,1472918.0,160
152,T152,T152,Robert Damron,28,255.7,1270313.0,138
153,T152,T152,David Gossett,25,255.7,819211.0,89
154,T152,T152,Stephen Leaney,24,255.7,782478.0,85
155,156,156,Billy Mayfair,32,255.8,1547064.0,168
156,157,157,Skip Kendall,29,255.9,1132965.0,123
157,T158,T158,Billy Andrade,31,256.0,1576080.0,171
158,T158,T158,Woody Austin,29,256.0,1815468.0,197
159,160,160,Duffy Waldorf,26,256.1,1023290.0,111
160,T161,T161,Daniel Chopra,33,256.2,1992406.0,216
161,T161,T161,Corey Pavin,23,256.2,839317.0,91
162,T163,T163,Peter Lonard,23,256.3,1015034.0,110
163,T163,T163,Len Mattiace,25,256.3,876488.0,95
164,T165,T165,Ken Duke,30,256.5,1338903.0,145
165,T165,T165,Scott Hend,29,256.5,1800913.0,195
166,T167,T167,Arjun Atwal,30,256.7,1460019.0,158
167,T167,T167,Jeff Sluman,28,256.7,1349213.0,146
168,T169,T169,John Rollins,29,256.9,1396443.0,151
169,T169,T169,Hidemichi Tanaka,27,256.9,1054337.0,114
170,171,171,Neal Lancaster,33,257.0,1794841.0,194
171,172,172,Tim Petrovic,32,257.2,1601615.0,173
172,173,173,Craig Barlow,25,257.3,1315110.0,142
173,T174,T174,Mathias Grönberg,32,257.6,1761971.0,190
174,T174,T174,J.J. Henry,30,257.6,2012104.0,217
175,176,176,José Coceres,20,257.7,1187436.0,128
176,177,177,Guy Boros,24,258.0,956484.0,103
177,T178,T178,Jason Dufner,28,258.1,1477127.0,159
178,T178,T178,Kevin Na,32,258.1,1468180.0,158
179,180,180,Jeff Brehaut,34,258.3,1878414.0,202
180,T181,T181,Lucas Glover,30,258.4,2195533.0,236
181,T181,T181,Esteban Toledo,36,258.4,958143.0,103
182,183,183,Alex Cejka,24,258.7,1182820.0,127
183,184,184,Dan Forsman,28,259.2,951671.0,102
184,T185,T185,Notah Begay III,23,259.3,1288222.0,138
185,T185,T185,Roland Thatcher,23,259.3,1297651.0,139
186,T187,T187,José María Olazábal,17,259.4,494861.0,53
187,T187,T187,Pat Perez,32,259.4,1904975.0,204
188,T189,T189,Rocco Mediate,19,259.7,738648.0,79
189,T189,T189,Jesper Parnevik,24,259.7,1504963.0,161
