,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Adam Scott,55,29.75,152,511
1,2,2,Tiger Woods,78,28.23,188,666
2,3,3,Vijay Singh,112,28.11,323,1149
3,4,4,Ernie Els,62,27.94,140,501
4,5,5,John Daly,79,26.48,215,812
5,6,6,Fred Couples,54,25.63,142,554
6,7,7,Geoff Ogilvy,91,25.32,254,1003
7,8,8,Vaughn Taylor,84,25.14,265,1054
8,9,9,David Toms,80,25.03,195,779
9,10,10,Phil Mickelson,83,24.86,174,700
10,11,11,Loren Roberts,81,24.85,241,970
11,12,12,Stewart Cink,103,24.83,260,1047
12,13,13,Mike Weir,75,24.7,183,741
13,14,14,Tag Ridings,53,24.69,139,563
14,15,15,Carl Pettersson,100,24.66,257,1042
15,16,16,Chris DiMarco,105,24.61,265,1077
16,17,17,Harrison Frazar,86,24.56,239,973
17,18,18,Woody Austin,94,24.41,271,1110
18,19,19,Scott Verplank,92,24.25,250,1031
19,20,20,Greg Chalmers,70,24.23,204,842
20,21,21,Daniel Chopra,108,24.16,281,1163
21,22,22,Stephen Ames,97,24.11,264,1095
22,23,23,Freddie Jacobson,83,24.08,189,785
23,24,24,Retief Goosen,56,24.07,129,536
24,25,25,Darren Clarke,54,24.03,112,466
25,26,26,Stuart Appleby,84,24.02,189,787
26,27,27,Jonathan Byrd,85,23.92,227,949
27,28,28,Frank Lickliter II,89,23.84,256,1074
28,29,29,Paul Azinger,75,23.82,197,827
29,30,30,Mark Hensby,97,23.79,276,1160
30,31,31,Ted Purdy,114,23.78,346,1455
31,32,32,Shigeki Maruyama,93,23.75,247,1040
32,33,33,Sergio Garcia,65,23.74,155,653
33,34,34,Mark Calcavecchia,79,23.72,195,822
34,35,35,Rod Pampling,98,23.71,239,1008
35,36,36,Lee Janzen,84,23.7,224,945
36,37,37,Kirk Triplett,88,23.68,225,950
37,38,38,Pat Perez,102,23.55,272,1155
38,39,39,Joe Ogilvie,104,23.5,262,1115
39,40,40,Jerry Kelly,113,23.44,293,1250
40,41,41,Matt Gogel,86,23.42,226,965
41,42,42,Justin Rose,77,23.38,198,847
42,43,43,Bo Van Pelt,107,23.29,262,1125
43,44,44,Patrick Sheehan,113,23.27,317,1362
44,45,45,Lucas Glover,95,23.26,261,1122
45,46,46,Mike Heinen,53,23.21,156,672
46,47,47,Kenny Perry,79,23.19,198,854
47,48,48,Robert Allenby,93,23.15,229,989
48,49,49,Tom Lehman,70,23.12,188,813
49,50,50,Scott Hend,81,23.03,187,812
50,51,51,Scott Hoch,52,23.02,148,643
51,T52,T52,Ryan Palmer,103,23.0,279,1213
52,T52,T52,Chris Smith,105,23.0,273,1187
53,54,54,Tommy Tolles,67,22.98,168,731
54,T55,T55,Brian Bateman,84,22.97,229,997
55,T55,T55,Duffy Waldorf,79,22.97,195,849
56,57,57,Jesper Parnevik,86,22.96,220,958
57,58,58,Cameron Beckman,99,22.95,274,1194
58,T59,T59,Shaun Micheel,93,22.94,217,946
59,T59,T59,Rory Sabbatini,89,22.94,220,959
60,T61,T61,Craig Barlow,80,22.89,220,961
61,T61,T61,Zach Johnson,109,22.89,293,1280
62,63,63,Brenden Pappas,111,22.78,269,1181
63,64,64,Olin Browne,92,22.76,259,1138
64,65,65,Robert Gamez,103,22.69,278,1225
65,66,66,Jason Bohn,98,22.67,273,1204
66,67,67,Steve Flesch,109,22.62,254,1123
67,68,68,John Huston,62,22.59,138,611
68,69,69,Jeff Sluman,98,22.58,261,1156
69,70,70,Glen Day,101,22.56,277,1228
70,71,71,J.L. Lewis,106,22.55,274,1215
71,72,72,Tim Clark,84,22.54,234,1038
72,73,73,Rich Beem,81,22.52,186,826
73,74,74,Brian Gay,96,22.51,276,1226
74,75,75,Jay Haas,84,22.48,192,854
75,76,76,Dean Wilson,99,22.45,279,1243
76,77,77,Scott McCarron,88,22.44,230,1025
77,78,78,Jason Dufner,79,22.42,213,950
78,79,79,Davis Love III,85,22.41,173,772
79,80,80,Steve Stricker,81,22.4,192,857
80,81,81,Richard Johnson,102,22.35,293,1311
81,82,82,Danny Briggs,85,22.33,226,1012
82,83,83,Brett Quigley,102,22.32,254,1138
83,84,84,Ben Crane,92,22.29,239,1072
84,T85,T85,Steve Lowery,91,22.26,211,948
85,T85,T85,Dennis Paulson,71,22.26,193,867
86,87,87,Hunter Mahan,94,22.22,242,1089
87,88,88,K.J. Choi,83,22.2,192,865
88,89,89,Dudley Hart,60,22.17,141,636
89,T90,T90,John Senden,99,22.0,255,1159
90,T90,T90,Roland Thatcher,66,22.0,178,809
