,Approaches_from_75-100_yards_Rgh_RANK THIS WEEK,Approaches_from_75-100_yards_Rgh_RANK LAST WEEK,Approaches_from_75-100_yards_Rgh_PLAYER NAME,Approaches_from_75-100_yards_Rgh_ROUNDS,Approaches_from_75-100_yards_Rgh_AVG,Approaches_from_75-100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_75-100_yards_Rgh_# OF ATTEMPTS,Approaches_from_75-100_yards_Rgh_RELATIVE TO PAR
0,1,1,Nick Price,51,"16' 9""",66.917,4,-1
1,T2,T2,Chris Riley,78,"16' 11""",135.0,8,-5
2,T2,T2,Hidemichi Tanaka,89,"16' 11""",253.25,15,+3
3,4,4,Ben Curtis,56,"17' 3""",155.25,9,-3
4,5,5,Jay Haas,84,"17' 4""",138.917,8,-2
5,6,6,Kent Jones,99,"17' 7""",333.5,19,-1
6,7,7,Kirk Triplett,88,"17' 11""",233.333,13,-1
7,8,8,Omar Uresti,85,"18' 9""",507.167,27,-2
8,9,9,Harrison Frazar,86,"18' 10""",357.5,19,-4
9,10,10,Jonathan Kaye,79,"19' 1""",190.917,10,-1
10,11,11,Pat Bates,99,"19' 6""",390.167,20,-4
11,12,12,Kenny Perry,79,"19' 9""",375.083,19,E
12,T13,T13,Russ Cochran,61,"19' 11""",338.083,17,-1
13,T13,T13,Brent Geiberger,94,"19' 11""",378.833,19,-3
14,T13,T13,Phil Mickelson,83,"19' 11""",259.41700000000003,13,-2
15,T16,T16,Stuart Appleby,84,"20' 0""",219.583,11,+1
16,T16,T16,Fred Funk,97,"20' 0""",340.0,17,+1
17,T16,T16,Justin Leonard,90,"20' 0""",359.333,18,E
18,19,19,Cameron Beckman,99,"20' 3""",384.167,19,-3
19,20,20,Joe Durant,85,"20' 4""",365.333,18,-5
20,T21,T21,José Coceres,68,"20' 5""",407.667,20,+1
21,T21,T21,Sergio Garcia,65,"20' 5""",347.083,17,+1
22,23,23,Paul Azinger,75,"20' 8""",434.583,21,E
23,24,24,Cliff Kresge,89,"20' 9""",290.08299999999997,14,E
24,25,25,Stephen Leaney,84,"20' 10""",312.66700000000003,15,E
25,26,26,Arjun Atwal,85,"20' 11""",230.5,11,+2
26,27,27,Ernie Els,62,"21' 2""",275.58299999999997,13,-2
27,28,28,Arron Oberholser,77,"21' 6""",279.5,13,E
28,29,29,Heath Slocum,92,"21' 9""",392.083,18,+4
29,30,30,Pat Perez,102,"21' 10""",327.41700000000003,15,+2
30,31,31,Bob Estes,73,"22' 0""",220.0,10,-2
31,T32,T32,Scott Hoch,52,"22' 4""",312.75,14,+3
32,T32,T32,John Huston,62,"22' 4""",357.083,16,+1
33,T32,T32,Rocco Mediate,53,"22' 4""",156.083,7,+1
34,35,35,Shigeki Maruyama,93,"22' 5""",381.583,17,+1
35,36,36,John Riegger,53,"22' 6""",202.833,9,+2
36,37,37,Danny Briggs,85,"22' 7""",361.167,16,E
37,T38,T38,Craig Bowden,83,"22' 8""",476.417,21,E
38,T38,T38,Bernhard Langer,59,"22' 8""",113.5,5,-1
39,T38,T38,Mark O'Meara,58,"22' 8""",249.417,11,E
40,T38,T38,Ryan Palmer,103,"22' 8""",454.0,20,-2
41,T42,T42,Guy Boros,64,"22' 10""",457.0,20,E
42,T42,T42,J.P. Hayes,79,"22' 10""",571.0,25,E
43,T42,T42,J.L. Lewis,106,"22' 10""",503.167,22,+5
44,45,45,Rory Sabbatini,89,"23' 0""",621.6669999999999,27,+3
45,46,46,Jerry Kelly,113,"23' 1""",438.667,19,-3
46,T47,T47,Tom Carter,113,"23' 2""",440.333,19,+2
47,T47,T47,Esteban Toledo,92,"23' 2""",370.083,16,-4
48,T49,T49,Kris Cox,73,"23' 3""",279.33299999999997,12,E
49,T49,T49,David Toms,80,"23' 3""",464.833,20,+2
50,51,51,Kevin Na,100,"23' 4""",349.583,15,+1
51,52,52,Stewart Cink,103,"23' 5""",280.58299999999997,12,+2
52,53,53,Aaron Baddeley,87,"23' 6""",399.083,17,-1
53,54,54,Corey Pavin,83,"23' 7""",330.667,14,+1
54,55,55,K.J. Choi,83,"23' 8""",355.167,15,+2
55,T56,T56,Glen Day,101,"23' 9""",426.75,18,-4
56,T56,T56,Robert Gamez,103,"23' 9""",522.5830000000001,22,-5
57,58,58,Stephen Ames,97,"24' 0""",240.333,10,-1
58,59,59,Tim Petrovic,111,"24' 1""",529.5,22,+5
59,60,60,Steve Flesch,109,"24' 2""",411.333,17,+2
60,61,61,Dennis Paulson,71,"24' 4""",437.333,18,-1
61,62,62,Richard Johnson,102,"24' 6""",613.1669999999999,25,-1
62,T63,T63,Greg Chalmers,70,"24' 8""",369.833,15,+11
63,T63,T63,Jason Dufner,79,"24' 8""",345.583,14,+1
64,T63,T63,Tim Herron,84,"24' 8""",517.6669999999999,21,+3
65,T63,T63,Justin Rose,77,"24' 8""",345.0,14,-1
66,67,67,Tim Clark,84,"24' 9""",494.583,20,E
67,68,68,Mike Weir,75,"24' 10""",373.083,15,+6
68,T69,T69,Bob Burns,88,"24' 11""",447.75,18,+3
69,T69,T69,Kevin Muncrief,50,"24' 11""",273.66700000000003,11,+7
70,T71,T71,Olin Browne,92,"25' 2""",352.583,14,+5
71,T71,T71,Ken Duke,89,"25' 2""",780.6669999999999,31,+4
72,73,73,Loren Roberts,81,"25' 3""",379.0,15,+3
73,74,74,Ben Crane,92,"25' 4""",531.5830000000001,21,+4
74,75,75,Vaughn Taylor,84,"25' 5""",508.5,20,+4
75,76,76,Briny Baird,100,"25' 7""",409.25,16,+1
76,77,77,Steve Pate,71,"25' 8""",230.833,9,+3
77,78,78,Lucas Glover,95,"25' 9""",850.0,33,+4
78,79,79,Carlos Franco,99,"25' 10""",490.5,19,+1
79,80,80,Steve Lowery,91,"25' 11""",441.083,17,+2
80,T81,T81,Tom Byrum,83,"26' 0""",259.91700000000003,10,+4
81,T81,T81,Blaine McCallister,68,"26' 0""",623.9169999999999,24,+2
82,T83,T83,Deane Pappas,72,"26' 1""",573.8330000000001,22,+3
83,T83,T83,Vijay Singh,112,"26' 1""",495.25,19,+1
84,85,85,Chris DiMarco,105,"26' 2""",940.6669999999999,36,+12
85,T86,T86,Robert Allenby,93,"26' 3""",445.917,17,+4
86,T86,T86,Lee Janzen,84,"26' 3""",577.8330000000001,22,+5
87,T88,T88,Brian Bateman,84,"26' 6""",450.25,17,+3
88,T88,T88,Matt Kuchar,83,"26' 6""",291.75,11,-2
89,T88,T88,Roger Tambellini,81,"26' 6""",317.66700000000003,12,-3
90,91,91,Dicky Pride,66,"26' 9""",321.08299999999997,12,+3
91,T92,T92,Rich Beem,81,"26' 10""",483.25,18,+6
92,T92,T92,Jonathan Byrd,85,"26' 10""",510.583,19,-1
93,T92,T92,Jeff Sluman,98,"26' 10""",536.5830000000001,20,+2
94,T95,T95,Freddie Jacobson,83,"26' 11""",403.917,15,+2
95,T95,T95,Rod Pampling,98,"26' 11""",484.833,18,+2
96,97,97,Robert Damron,92,"27' 1""",433.25,16,+2
97,T98,T98,Retief Goosen,56,"27' 3""",245.417,9,+2
98,T98,T98,Spike McRoy,93,"27' 3""",627.6669999999999,23,+1
99,T100,T100,Fred Couples,54,"27' 4""",519.0830000000001,19,+2
100,T100,T100,Dean Wilson,99,"27' 4""",355.583,13,+1
101,102,102,Hunter Mahan,94,"27' 5""",630.8330000000001,23,+4
102,103,103,Bart Bryant,73,"27' 6""",192.583,7,E
103,T104,T104,Michael Allen,87,"27' 8""",609.4169999999999,22,+6
104,T104,T104,Peter Lonard,68,"27' 8""",221.083,8,+1
105,T106,T106,Mark Brooks,72,"27' 9""",249.833,9,E
106,T106,T106,Chris Smith,105,"27' 9""",610.8330000000001,22,+3
107,T108,T108,Steve Elkington,64,"27' 10""",167.0,6,+1
108,T108,T108,Jeff Maggert,60,"27' 10""",250.25,9,+1
109,T110,T110,Rich Barcelo,67,"27' 11""",670.1669999999999,24,E
110,T110,T110,Tommy Tolles,67,"27' 11""",530.8330000000001,19,+3
111,112,112,Brett Quigley,102,"28' 0""",504.167,18,E
112,T113,T113,Mark Calcavecchia,79,"28' 1""",560.8330000000001,20,+10
113,T113,T113,Niclas Fasth,61,"28' 1""",392.583,14,+5
114,115,115,Mark Wilson,62,"28' 2""",253.667,9,+1
115,T116,T116,Luke Donald,72,"28' 4""",255.167,9,E
116,T116,T116,Joe Ogilvie,104,"28' 4""",877.3330000000001,31,+4
117,T118,T118,Matt Gogel,86,"28' 5""",766.75,27,+1
118,T118,T118,David Peoples,82,"28' 5""",369.5,13,+6
119,T118,T118,Carl Pettersson,100,"28' 5""",597.5830000000001,21,E
120,T121,T121,Brad Faxon,94,"28' 6""",598.0,21,+5
121,T121,T121,Brian Gay,96,"28' 6""",512.25,18,-1
122,T121,T121,Jay Williamson,100,"28' 6""",569.3330000000001,20,+2
123,124,124,Jesper Parnevik,86,"28' 7""",457.75,16,+2
124,T125,T125,Tommy Armour III,87,"28' 8""",573.75,20,+6
125,T125,T125,Todd Fischer,104,"28' 8""",860.6669999999999,30,-2
126,T127,T127,Woody Austin,94,"29' 0""",579.3330000000001,20,+2
127,T127,T127,D.J. Brigman,79,"29' 0""",522.0830000000001,18,E
128,129,129,Craig Parry,52,"29' 2""",291.25,10,E
129,130,130,Bob Tway,90,"29' 3""",468.167,16,+1
130,T131,T131,Billy Andrade,104,"29' 4""",615.75,21,+2
131,T131,T131,Mathias Grönberg,91,"29' 4""",293.58299999999997,10,+2
132,133,133,Mark Hensby,97,"29' 5""",529.75,18,+3
133,T134,T134,Neal Lancaster,106,"29' 10""",626.4169999999999,21,+13
134,T134,T134,Dan Olsen,75,"29' 10""",894.25,30,+2
135,T136,T136,Zach Johnson,109,"29' 11""",657.3330000000001,22,-1
136,T136,T136,Hank Kuehne,91,"29' 11""",1017.5830000000001,34,E
137,138,138,Craig Perks,75,"30' 2""",663.5830000000001,22,+3
138,139,139,Brenden Pappas,111,"30' 5""",790.75,26,+6
139,140,140,Bo Van Pelt,107,"30' 6""",396.25,13,+3
140,141,141,Gene Sauers,83,"30' 7""",458.417,15,+5
141,142,142,Ted Purdy,114,"30' 8""",675.25,22,-2
142,143,143,Adam Scott,55,"30' 9""",215.167,7,+2
143,144,144,Andre Stolz,53,"30' 10""",555.0,18,+4
144,145,145,Craig Barlow,80,"30' 11""",556.8330000000001,18,+6
145,T146,T146,Scott McCarron,88,"31' 0""",464.667,15,+2
146,T146,T146,Hirofumi Miyase,65,"31' 0""",527.6669999999999,17,+8
147,T146,T146,Tom Pernice Jr.,103,"31' 0""",588.3330000000001,19,+2
148,T146,T146,Steve Stricker,81,"31' 0""",433.417,14,E
149,T146,T146,Grant Waite,79,"31' 0""",620.4169999999999,20,+3
150,T151,T151,Jeff Brehaut,106,"31' 1""",527.9169999999999,17,+1
151,T151,T151,John Cook,57,"31' 1""",310.58299999999997,10,+5
152,153,153,Todd Hamilton,92,"31' 2""",405.333,13,+3
153,154,154,John Rollins,90,"31' 3""",782.0,25,+3
154,155,155,Scott Simpson,55,"31' 5""",439.667,14,+3
155,T156,T156,David Gossett,57,"31' 6""",662.1669999999999,21,+12
156,T156,T156,Joey Sindelar,100,"31' 6""",472.583,15,-2
157,T156,T156,Scott Verplank,92,"31' 6""",440.417,14,-1
158,159,159,Duffy Waldorf,79,"31' 7""",505.25,16,+7
159,160,160,Len Mattiace,75,"31' 8""",443.667,14,+1
160,161,161,Danny Ellis,81,"31' 10""",636.0,20,+3
161,162,162,Mike Heinen,53,"31' 11""",542.5830000000001,17,+1
162,T163,T163,Billy Mayfair,109,"32' 0""",607.25,19,+6
163,T163,T163,Kevin Sutherland,86,"32' 0""",320.0,10,+2
164,165,165,Shaun Micheel,93,"32' 1""",545.6669999999999,17,+2
165,166,166,Tom Lehman,70,"32' 2""",482.5,15,+1
166,T167,T167,John Daly,79,"32' 5""",648.25,20,+4
167,T167,T167,Tripp Isenhour,55,"32' 5""",550.4169999999999,17,+2
168,169,169,Patrick Sheehan,113,"32' 10""",493.083,15,+2
169,170,170,Steve Allan,102,"33' 0""",659.3330000000001,20,+8
170,171,171,Roland Thatcher,66,"33' 2""",497.25,15,+3
171,T172,T172,Skip Kendall,99,"33' 3""",664.9169999999999,20,+2
172,T172,T172,Brian Kortan,65,"33' 3""",299.08299999999997,9,-1
173,T172,T172,Davis Love III,85,"33' 3""",431.917,13,+1
174,175,175,Alex Cejka,76,"34' 1""",307.0,9,+4
175,176,176,Charles Howell III,104,"34' 2""",443.917,13,+2
176,177,177,Scott Hend,81,"34' 8""",832.5,24,+7
177,178,178,Tiger Woods,78,"34' 9""",347.333,10,-3
178,T179,T179,David Frost,78,"34' 11""",627.9169999999999,18,+1
179,T179,T179,David Morland IV,73,"34' 11""",768.75,22,+10
180,181,181,Daniel Chopra,108,"35' 1""",806.0,23,+5
181,182,182,Geoff Ogilvy,91,"35' 3""",529.3330000000001,15,+4
