,GIR_Percentage_-__75_yards_RANK THIS WEEK,GIR_Percentage_-__75_yards_RANK LAST WEEK,GIR_Percentage_-__75_yards_PLAYER NAME,GIR_Percentage_-__75_yards_ROUNDS,GIR_Percentage_-__75_yards_%,GIR_Percentage_-__75_yards_GREENS HIT,GIR_Percentage_-__75_yards_TOTAL HOLES,GIR_Percentage_-__75_yards_RELATIVE TO PAR
0,1,1,Jay Haas,84,93.81,106,113,-0.72
1,2,2,José María Olazábal,56,93.59,73,78,-0.55
2,3,3,Craig Parry,52,93.15,68,73,-0.63
3,4,4,Ben Curtis,56,92.78,90,97,-0.56
4,5,5,Fred Couples,54,92.68,114,123,-0.72
5,6,6,Tim Herron,84,92.45,147,159,-0.65
6,7,7,Scott Hoch,52,92.38,97,105,-0.56
7,8,8,Vijay Singh,112,92.31,288,312,-0.68
8,9,9,K.J. Choi,83,92.25,119,129,-0.55
9,10,10,Paul Azinger,75,92.16,141,153,-0.65
10,11,11,Brian Bateman,84,92.12,152,165,-0.69
11,12,12,Billy Andrade,104,92.0,184,200,-0.57
12,13,13,David Toms,80,91.94,114,124,-0.66
13,14,14,Charles Howell III,104,91.85,169,184,-0.57
14,15,15,Shaun Micheel,93,91.72,155,169,-0.57
15,16,16,Vaughn Taylor,84,91.71,166,181,-0.62
16,17,17,Kent Jones,99,91.62,164,179,-0.57
17,18,18,J.L. Lewis,106,91.59,207,226,-0.58
18,19,19,Arron Oberholser,77,91.54,119,130,-0.6
19,20,20,Loren Roberts,81,91.4,85,93,-0.67
20,21,21,D.J. Brigman,79,91.3,147,161,-0.61
21,22,22,Tim Petrovic,111,91.28,199,218,-0.62
22,23,23,Joe Durant,85,91.18,155,170,-0.57
23,24,24,Steve Stricker,81,91.13,113,124,-0.65
24,25,25,Rocco Mediate,53,91.11,82,90,-0.57
25,26,26,Chris DiMarco,105,91.05,173,190,-0.52
26,27,27,Retief Goosen,56,90.98,111,122,-0.74
27,28,28,Lee Janzen,84,90.97,141,155,-0.62
28,29,29,Nick Price,51,90.91,50,55,-0.64
29,30,30,Blaine McCallister,68,90.82,89,98,-0.6
30,31,31,Briny Baird,100,90.68,146,161,-0.66
31,32,32,John Senden,99,90.63,232,256,-0.58
32,33,33,Omar Uresti,85,90.58,125,138,-0.49
33,34,34,Tripp Isenhour,55,90.57,96,106,-0.56
34,35,35,Davis Love III,85,90.56,163,180,-0.66
35,36,36,Alex Cejka,76,90.48,133,147,-0.56
36,37,37,Carl Pettersson,100,90.45,180,199,-0.65
37,38,38,Craig Bowden,83,90.43,104,115,-0.59
38,39,39,Mike Weir,75,90.37,122,135,-0.61
39,40,40,Ernie Els,62,90.32,112,124,-0.61
40,41,41,Geoff Ogilvy,91,90.21,175,194,-0.75
41,42,42,Spike McRoy,93,90.12,146,162,-0.56
42,43,43,Jason Dufner,79,90.1,173,192,-0.51
43,44,44,Fred Funk,97,90.06,145,161,-0.61
44,45,45,Jerry Kelly,113,90.05,172,191,-0.57
45,T46,T46,Freddie Jacobson,83,90.0,135,150,-0.73
46,T46,T46,Steve Lowery,91,90.0,171,190,-0.57
47,T46,T46,Hidemichi Tanaka,89,90.0,135,150,-0.57
48,T49,T49,Carlos Franco,99,89.92,232,258,-0.61
49,T49,T49,Corey Pavin,83,89.92,107,119,-0.63
50,51,51,Harrison Frazar,86,89.74,175,195,-0.77
51,52,52,Jeff Brehaut,106,89.71,218,243,-0.64
52,53,53,Chris Riley,78,89.62,95,106,-0.47
53,54,54,Lucas Glover,95,89.59,241,269,-0.63
54,55,55,Tom Lehman,70,89.51,128,143,-0.69
55,56,56,Robert Damron,92,89.47,153,171,-0.53
56,T57,T57,Pat Bates,99,89.38,143,160,-0.48
57,T57,T57,Skip Kendall,99,89.38,143,160,-0.54
58,59,59,Tag Ridings,53,89.29,125,140,-0.54
59,60,60,Steve Pate,71,89.23,116,130,-0.55
60,T61,T61,Ben Crane,92,89.22,182,204,-0.6
61,T61,T61,John Daly,79,89.22,182,204,-0.74
62,63,63,John Rollins,90,89.19,165,185,-0.58
63,64,64,Tom Pernice Jr.,103,89.18,206,231,-0.53
64,65,65,Greg Chalmers,70,89.16,148,166,-0.59
65,66,66,Duffy Waldorf,79,89.15,115,129,-0.65
66,67,67,Jesper Parnevik,86,89.12,172,193,-0.59
67,68,68,Tommy Tolles,67,89.1,139,156,-0.6
68,69,69,Tiger Woods,78,89.09,147,165,-0.73
69,70,70,Rod Pampling,98,89.07,163,183,-0.7
70,71,71,Jason Bohn,98,89.03,211,237,-0.55
71,T72,T72,Deane Pappas,72,89.02,154,173,-0.63
72,T72,T72,Kenny Perry,79,89.02,154,173,-0.58
73,74,74,Adam Scott,55,88.89,96,108,-0.64
74,75,75,Bo Van Pelt,107,88.83,183,206,-0.63
75,76,76,Heath Slocum,92,88.81,119,134,-0.57
76,77,77,Jeff Sluman,98,88.76,158,178,-0.58
77,78,78,Justin Leonard,90,88.64,117,132,-0.65
78,79,79,Rich Beem,81,88.55,147,166,-0.68
79,80,80,John Cook,57,88.46,69,78,-0.51
80,81,81,Mark Wilson,62,88.39,99,112,-0.59
81,82,82,Steve Allan,102,88.33,227,257,-0.64
82,83,83,Bernhard Langer,59,88.24,75,85,-0.57
83,T84,T84,Jonathan Byrd,85,88.21,172,195,-0.72
84,T84,T84,Ken Duke,89,88.21,172,195,-0.58
85,86,86,Scott Verplank,92,88.19,127,144,-0.58
86,87,87,Esteban Toledo,92,88.16,134,152,-0.53
87,88,88,J.P. Hayes,79,88.15,119,135,-0.57
88,89,89,Gene Sauers,83,88.05,140,159,-0.62
89,90,90,Hirofumi Miyase,65,88.03,103,117,-0.57
90,T91,T91,Stuart Appleby,84,88.02,147,167,-0.65
91,T91,T91,Zach Johnson,109,88.02,169,192,-0.63
92,93,93,Mark O'Meara,58,88.0,44,50,-0.59
93,94,94,Tom Carter,113,87.98,205,233,-0.58
94,95,95,David Peoples,82,87.9,138,157,-0.57
95,96,96,Danny Briggs,85,87.88,145,165,-0.6
96,T97,T97,Bart Bryant,73,87.86,123,140,-0.57
97,T97,T97,Chad Campbell,100,87.86,152,173,-0.59
98,99,99,Kirk Triplett,88,87.84,130,148,-0.59
99,100,100,Billy Mayfair,109,87.8,180,205,-0.6
100,101,101,Steve Flesch,109,87.7,164,187,-0.55
101,102,102,Brenden Pappas,111,87.68,249,284,-0.63
102,103,103,Kevin Muncrief,50,87.62,92,105,-0.55
103,104,104,Sergio Garcia,65,87.6,113,129,-0.65
104,105,105,Justin Rose,77,87.58,134,153,-0.57
105,106,106,Frank Lickliter II,89,87.57,162,185,-0.64
106,107,107,Shigeki Maruyama,93,87.5,147,168,-0.56
107,108,108,Brett Quigley,102,87.44,195,223,-0.58
108,109,109,Dean Wilson,99,87.43,153,175,-0.68
109,T110,T110,Michael Allen,87,87.35,145,166,-0.67
110,T110,T110,Notah Begay III,71,87.35,145,166,-0.59
111,112,112,Todd Fischer,104,87.32,179,205,-0.62
112,113,113,Jeff Maggert,60,87.29,103,118,-0.66
113,114,114,Ted Purdy,114,87.27,240,275,-0.65
114,115,115,Richard Johnson,102,87.1,162,186,-0.63
115,116,116,Daniel Chopra,108,86.94,233,268,-0.63
116,T117,T117,Craig Barlow,80,86.93,173,199,-0.62
117,T117,T117,Roland Thatcher,66,86.93,153,176,-0.46
118,119,119,Dennis Paulson,71,86.91,166,191,-0.61
119,120,120,Glen Day,101,86.84,165,190,-0.59
120,T121,T121,David Branshaw,84,86.81,125,144,-0.57
121,T121,T121,Mark Hensby,97,86.81,158,182,-0.68
122,123,123,Matt Kuchar,83,86.74,157,181,-0.52
123,124,124,Bob Estes,73,86.73,85,98,-0.52
124,T125,T125,Len Mattiace,75,86.67,104,120,-0.54
125,T125,T125,Pat Perez,102,86.67,208,240,-0.5
126,127,127,Bob Tway,90,86.61,110,127,-0.55
127,T128,T128,Stephen Ames,97,86.59,155,179,-0.65
128,T128,T128,Cliff Kresge,89,86.59,142,164,-0.67
129,130,130,Jonathan Kaye,79,86.56,161,186,-0.58
130,T131,T131,Phil Mickelson,83,86.55,148,171,-0.66
131,T131,T131,Ryan Palmer,103,86.55,206,238,-0.63
132,133,133,Niclas Fasth,61,86.51,109,126,-0.63
133,134,134,Stewart Cink,103,86.39,146,169,-0.67
134,135,135,Roger Tambellini,81,86.34,177,205,-0.64
135,136,136,Brian Gay,96,86.27,132,153,-0.58
136,T137,T137,Dan Forsman,79,86.26,113,131,-0.57
137,T137,T137,Dan Olsen,75,86.26,157,182,-0.57
