,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Vijay Singh,112,74.66,221,75
1,2,2,Retief Goosen,56,72.86,102,38
2,3,3,Ernie Els,62,72.22,91,35
3,4,4,Lucas Glover,95,69.86,197,85
4,5,5,Phil Mickelson,83,67.98,121,57
5,6,6,Darren Clarke,54,67.86,76,36
6,7,7,Chris Smith,105,67.49,218,105
7,8,8,Chris Couch,55,67.31,105,51
8,9,9,Davis Love III,85,66.83,135,67
9,10,10,Scott Hend,81,66.81,153,76
10,11,11,John Senden,99,66.67,188,94
11,12,12,Harrison Frazar,86,64.92,161,87
12,13,13,Tiger Woods,78,64.84,118,64
13,14,14,Mathias Grönberg,91,64.37,168,93
14,15,15,Dennis Paulson,71,64.29,144,80
15,16,16,Stuart Appleby,84,64.14,127,71
16,17,17,Jonathan Byrd,85,63.79,148,84
17,18,18,Kenny Perry,79,63.55,129,74
18,19,19,Roger Tambellini,81,63.52,155,89
19,20,20,Hunter Mahan,94,63.04,174,102
20,21,21,Kris Cox,73,62.75,128,76
21,22,22,Sergio Garcia,65,62.66,99,59
22,23,23,Mike Heinen,53,62.64,109,65
23,24,24,Steve Allan,102,62.54,192,115
24,25,25,John Daly,79,62.39,141,85
25,26,26,Tag Ridings,53,62.03,98,60
26,27,27,Rich Beem,81,61.86,133,82
27,28,28,Jason Bohn,98,61.74,184,114
28,29,29,Pat Perez,102,61.7,174,108
29,30,30,Woody Austin,94,61.46,177,111
30,31,31,Jesper Parnevik,86,61.44,145,91
31,32,32,Scott McCarron,88,61.19,164,104
32,33,33,J.J. Henry,103,61.18,186,118
33,34,34,Hank Kuehne,91,61.07,171,109
34,35,35,Charles Howell III,104,60.92,159,102
35,36,36,Jonathan Kaye,79,60.85,129,83
36,37,37,Adam Scott,55,60.16,77,51
37,38,38,José Coceres,68,60.1,119,79
38,39,39,Brenden Pappas,111,60.06,203,135
39,40,40,Mark Calcavecchia,79,60.0,129,86
40,41,41,Daniel Chopra,108,59.74,187,126
41,42,42,Carlos Franco,99,59.6,180,122
42,43,43,Steve Lowery,91,59.06,150,104
43,44,44,Vaughn Taylor,84,58.91,152,106
44,45,45,Roland Thatcher,66,58.74,121,85
45,46,46,Jason Dufner,79,58.33,140,100
46,47,47,Rocco Mediate,53,58.2,71,51
47,48,48,Rod Pampling,98,58.08,151,109
48,49,49,Ryan Palmer,103,57.76,175,128
49,50,50,Bo Van Pelt,107,57.74,153,112
50,51,51,Jay Delsing,76,57.6,125,92
51,52,52,Ted Purdy,114,57.56,198,146
52,53,53,Jeff Brehaut,106,57.46,181,134
53,54,54,Robert Allenby,93,57.02,138,104
54,55,55,Tom Pernice Jr.,103,56.95,172,130
55,56,56,Tom Lehman,70,56.84,108,82
56,57,57,Geoff Ogilvy,91,56.67,153,117
57,58,58,Notah Begay III,71,56.54,121,93
58,59,59,Brian Bateman,84,56.45,140,108
59,T60,T60,Cameron Beckman,99,56.36,164,127
60,T60,T60,Dan Olsen,75,56.36,124,96
61,62,62,Tommy Tolles,67,56.31,116,90
62,63,63,Alex Cejka,76,56.28,112,87
63,64,64,Joey Sindelar,100,56.15,169,132
64,65,65,J.L. Lewis,106,56.12,165,129
65,66,66,Niclas Fasth,61,56.11,101,79
66,67,67,Carl Pettersson,100,55.88,152,120
67,T68,T68,Arjun Atwal,85,55.51,141,113
68,T68,T68,Shaun Micheel,93,55.51,131,105
69,T70,T70,Chad Campbell,100,55.43,143,115
70,T70,T70,Ben Crane,92,55.43,153,123
71,72,72,D.J. Brigman,79,55.31,125,101
72,73,73,Cliff Kresge,89,55.21,143,116
73,74,74,Fred Couples,54,55.19,85,69
74,75,75,Kevin Sutherland,86,55.16,123,100
75,76,76,John Huston,62,54.94,89,73
76,77,77,Tim Herron,84,54.84,119,98
77,78,78,Mark Hensby,97,54.61,148,123
78,79,79,Greg Chalmers,70,54.5,121,101
79,80,80,Rory Sabbatini,89,54.4,136,114
80,81,81,Grant Waite,79,54.2,129,109
81,82,82,Aaron Baddeley,87,54.07,133,113
82,83,83,Jeff Maggert,60,53.99,88,75
83,84,84,Frank Lickliter II,89,53.54,136,118
84,85,85,Mike Weir,75,53.41,94,82
85,86,86,John Rollins,90,53.28,130,114
86,87,87,Joe Ogilvie,104,53.17,151,133
87,88,88,Andre Stolz,53,52.87,83,74
88,89,89,Deane Pappas,72,52.86,111,99
89,90,90,Freddie Jacobson,83,52.83,112,100
90,91,91,Peter Lonard,68,52.81,94,84
91,92,92,Steve Pate,71,52.63,110,99
92,93,93,Neal Lancaster,106,52.16,169,155
93,94,94,Kevin Muncrief,50,52.0,78,72
94,95,95,Tom Carter,113,51.38,167,158
95,96,96,Brett Quigley,102,51.31,157,149
96,97,97,Stewart Cink,103,51.12,137,131
97,98,98,Steve Elkington,64,50.79,96,93
98,T99,T99,Stephen Ames,97,50.75,136,132
99,T99,T99,Duffy Waldorf,79,50.75,102,99
100,101,101,Craig Barlow,80,50.63,121,118
101,102,102,Joe Durant,85,50.59,129,126
102,103,103,Kent Jones,99,50.34,148,146
103,T104,T104,Patrick Sheehan,113,50.0,169,169
104,T104,T104,Scott Verplank,92,50.0,111,111
105,106,106,Ken Duke,89,49.63,134,136
106,107,107,Paul Azinger,75,49.56,113,115
107,108,108,Chris DiMarco,105,49.42,127,130
108,109,109,Billy Andrade,104,49.38,158,162
109,110,110,Tim Petrovic,111,49.31,143,147
110,111,111,Justin Rose,77,49.07,106,110
111,112,112,Richard Johnson,102,49.05,155,161
112,113,113,Robert Gamez,103,49.01,148,154
113,114,114,Jeff Sluman,98,48.91,135,141
114,115,115,Michael Allen,87,48.85,127,133
115,116,116,Ben Curtis,56,48.65,72,76
116,117,117,Lee Janzen,84,48.56,118,125
117,118,118,Matt Kuchar,83,48.48,128,136
118,119,119,David Toms,80,48.44,93,99
119,120,120,Shigeki Maruyama,93,48.41,122,130
120,121,121,Todd Fischer,104,48.33,145,155
121,T122,T122,Danny Ellis,81,48.32,115,123
122,T122,T122,Dudley Hart,60,48.32,72,77
123,124,124,Kevin Na,100,47.97,142,154
124,125,125,John Riegger,53,47.95,82,89
125,126,126,Rich Barcelo,67,47.94,93,101
126,127,127,Gene Sauers,83,47.81,120,131
127,128,128,Steve Flesch,109,47.7,135,148
128,T129,T129,Guy Boros,64,47.45,93,103
129,T129,T129,Luke Donald,72,47.45,93,103
130,T131,T131,Bart Bryant,73,47.06,96,108
131,T131,T131,Arron Oberholser,77,47.06,104,117
132,133,133,Briny Baird,100,47.01,126,142
133,134,134,Tommy Armour III,87,46.96,116,131
134,135,135,David Branshaw,84,46.53,114,131
135,136,136,Kirk Triplett,88,46.4,103,119
136,137,137,David Gossett,57,46.37,83,96
137,138,138,Billy Mayfair,109,46.27,149,173
138,139,139,Jerry Kelly,113,46.15,132,154
139,140,140,Justin Leonard,90,45.87,100,118
140,141,141,Glen Day,101,45.82,137,162
141,142,142,Dean Wilson,99,45.22,142,172
142,143,143,Scott Hoch,52,45.0,72,88
143,144,144,Brian Kortan,65,44.74,85,105
144,145,145,Matt Gogel,86,44.64,104,129
145,146,146,Dicky Pride,66,44.17,91,115
146,147,147,Robert Damron,92,44.06,126,160
147,148,148,Zach Johnson,109,43.45,126,164
148,T149,T149,Bernhard Langer,59,43.33,65,85
149,T149,T149,Craig Perks,75,43.33,91,119
150,151,151,K.J. Choi,83,43.24,96,126
151,152,152,Todd Hamilton,92,43.22,102,134
152,153,153,Nick Price,51,43.1,50,66
153,154,154,Jay Williamson,100,42.62,130,175
154,155,155,Chris Riley,78,42.61,75,101
155,156,156,Hirofumi Miyase,65,42.55,80,108
156,157,157,Dan Forsman,79,42.54,97,131
157,158,158,Danny Briggs,85,42.19,108,148
158,159,159,Mark Wilson,62,42.11,80,110
159,160,160,Spike McRoy,93,41.91,114,158
160,161,161,Brent Geiberger,94,41.76,114,159
161,162,162,David Peoples,82,41.7,108,151
162,163,163,Mark Brooks,72,41.36,79,112
163,164,164,Bob Tway,90,41.12,88,126
164,165,165,Tripp Isenhour,55,40.85,67,97
165,166,166,Craig Parry,52,40.77,53,77
166,167,167,Corey Pavin,83,40.65,87,127
167,168,168,Russ Cochran,61,40.57,71,104
168,169,169,Jay Haas,84,40.48,85,125
169,170,170,Skip Kendall,99,40.44,110,162
170,171,171,Bob Estes,73,40.36,67,99
171,172,172,Stephen Leaney,84,40.21,78,116
172,173,173,Olin Browne,92,39.77,105,159
173,174,174,Hidemichi Tanaka,89,39.71,108,164
174,175,175,Tim Clark,84,39.66,92,140
175,176,176,Brian Gay,96,39.53,117,179
176,177,177,Pat Bates,99,39.46,118,181
177,178,178,Tom Byrum,83,38.94,88,138
178,179,179,David Frost,78,38.85,101,159
179,180,180,J.P. Hayes,79,38.67,87,138
180,181,181,Len Mattiace,75,37.92,91,149
181,182,182,Omar Uresti,85,37.89,97,159
182,183,183,Fred Funk,97,37.84,98,161
183,184,184,David Morland IV,73,36.49,77,134
184,185,185,Blaine McCallister,68,35.71,75,135
185,186,186,Esteban Toledo,92,35.47,94,171
186,187,187,Steve Stricker,81,35.15,84,155
187,188,188,Heath Slocum,92,34.66,96,181
188,189,189,Bob Burns,88,34.23,89,171
189,190,190,Brad Faxon,94,33.33,76,152
190,191,191,Scott Simpson,55,32.28,51,107
191,192,192,John Cook,57,32.16,55,116
192,193,193,José María Olazábal,56,31.45,50,109
193,194,194,Loren Roberts,81,31.31,67,147
194,195,195,Craig Bowden,83,30.52,76,173
195,196,196,Mark O'Meara,58,21.01,29,109
