,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
0,T1,T1,Vijay Singh,112,83.33,165,198,-0.27
1,T1,T1,Duffy Waldorf,79,83.33,90,108,-0.3
2,3,3,Tom Lehman,70,82.86,87,105,-0.2
3,4,4,John Cook,57,82.35,84,102,-0.3
4,5,5,Robert Allenby,93,82.31,121,147,-0.18
5,6,6,Jeff Sluman,98,82.19,120,146,-0.26
6,7,7,Chris Riley,78,82.14,69,84,-0.29
7,8,8,David Branshaw,84,81.93,136,166,-0.26
8,9,9,Jay Haas,84,81.9,86,105,-0.33
9,10,10,Briny Baird,100,81.82,135,165,-0.22
10,11,11,Olin Browne,92,81.55,137,168,-0.31
11,12,12,Bob Estes,73,81.37,83,102,-0.31
12,13,13,Michael Allen,87,80.85,114,141,-0.28
13,14,14,Retief Goosen,56,80.52,62,77,-0.27
14,15,15,Peter Lonard,68,80.49,99,123,-0.2
15,16,16,Kirk Triplett,88,80.47,103,128,-0.26
16,17,17,Scott Verplank,92,80.33,98,122,-0.28
17,18,18,Danny Briggs,85,80.28,114,142,-0.29
18,19,19,Corey Pavin,83,80.19,85,106,-0.29
19,20,20,Lee Janzen,84,80.17,93,116,-0.3
20,21,21,Blaine McCallister,68,80.14,113,141,-0.29
21,22,22,Jeff Maggert,60,79.78,71,89,-0.14
22,23,23,Russ Cochran,61,79.41,81,102,-0.26
23,24,24,Kenny Perry,79,78.91,101,128,-0.21
24,25,25,K.J. Choi,83,78.83,108,137,-0.32
25,T26,T26,Tim Herron,84,78.79,104,132,-0.13
26,T26,T26,Shigeki Maruyama,93,78.79,104,132,-0.31
27,28,28,John Senden,99,78.7,133,169,-0.3
28,29,29,Heath Slocum,92,78.42,149,190,-0.28
29,30,30,Mark O'Meara,58,78.38,58,74,-0.28
30,31,31,Brad Faxon,94,78.36,105,134,-0.33
31,32,32,Matt Gogel,86,78.06,121,155,-0.31
32,33,33,Rod Pampling,98,77.91,134,172,-0.25
33,34,34,Luke Donald,72,77.78,70,90,-0.23
34,35,35,Cameron Beckman,99,77.71,136,175,-0.3
35,36,36,Justin Leonard,90,77.69,101,130,-0.36
36,37,37,Freddie Jacobson,83,77.61,104,134,-0.28
37,38,38,Nick Price,51,77.27,51,66,-0.31
38,39,39,Charles Howell III,104,77.18,115,149,-0.28
39,T40,T40,Stewart Cink,103,77.08,111,144,-0.35
40,T40,T40,Fred Couples,54,77.08,74,96,-0.22
41,42,42,Danny Ellis,81,76.98,107,139,-0.24
42,43,43,John Huston,62,76.92,70,91,-0.21
43,44,44,Brian Gay,96,76.88,133,173,-0.32
44,45,45,Scott Hoch,52,76.7,79,103,-0.29
45,46,46,Patrick Sheehan,113,76.59,157,205,-0.34
46,47,47,Jason Bohn,98,76.26,151,198,-0.23
47,48,48,Omar Uresti,85,76.19,112,147,-0.3
48,49,49,Ryan Palmer,103,76.14,150,197,-0.28
49,T50,T50,Chris Couch,55,76.11,86,113,-0.24
50,T50,T50,Steve Pate,71,76.11,86,113,-0.29
51,52,52,Chris DiMarco,105,76.0,95,125,-0.34
52,53,53,David Frost,78,75.86,110,145,-0.25
53,54,54,Notah Begay III,71,75.83,91,120,-0.26
54,55,55,Geoff Ogilvy,91,75.81,141,186,-0.26
55,56,56,John Daly,79,75.78,122,161,-0.23
56,57,57,Matt Kuchar,83,75.74,128,169,-0.34
57,58,58,Kevin Muncrief,50,75.7,81,107,-0.23
58,59,59,Pat Perez,102,75.69,137,181,-0.33
59,60,60,Brian Bateman,84,75.63,121,160,-0.27
60,61,61,Chris Smith,105,75.61,186,246,-0.2
61,62,62,David Toms,80,75.57,99,131,-0.26
62,63,63,Tim Clark,84,75.56,102,135,-0.39
63,64,64,Sergio Garcia,65,75.51,74,98,-0.27
64,65,65,Tom Byrum,83,75.48,117,155,-0.27
65,66,66,Shaun Micheel,93,75.37,101,134,-0.21
66,T67,T67,Chad Campbell,100,75.3,125,166,-0.25
67,T67,T67,Brett Quigley,102,75.3,125,166,-0.27
68,69,69,John Riegger,53,75.25,76,101,-0.16
69,70,70,Fred Funk,97,75.18,103,137,-0.32
70,71,71,Joe Durant,85,75.15,127,169,-0.2
71,T72,T72,Mark Calcavecchia,79,75.0,102,136,-0.3
72,T72,T72,Dudley Hart,60,75.0,72,96,-0.24
73,T72,T72,Craig Parry,52,75.0,48,64,-0.46
74,T72,T72,Esteban Toledo,92,75.0,96,128,-0.23
75,76,76,J.J. Henry,103,74.73,139,186,-0.24
76,77,77,Todd Fischer,104,74.72,133,178,-0.3
77,78,78,Zach Johnson,109,74.71,130,174,-0.34
78,79,79,Harrison Frazar,86,74.69,121,162,-0.26
79,80,80,Loren Roberts,81,74.64,103,138,-0.31
80,T81,T81,Steve Elkington,64,74.59,91,122,-0.26
81,T81,T81,Vaughn Taylor,84,74.59,135,181,-0.27
82,83,83,Mark Hensby,97,74.4,125,168,-0.29
83,84,84,Adam Scott,55,74.36,58,78,-0.29
84,85,85,Todd Hamilton,92,74.17,112,151,-0.34
85,86,86,John Rollins,90,74.15,109,147,-0.26
86,87,87,Stephen Ames,97,73.94,105,142,-0.32
87,88,88,Bob Tway,90,73.91,102,138,-0.24
88,89,89,David Peoples,82,73.86,113,153,-0.27
89,90,90,Roland Thatcher,66,73.64,95,129,-0.25
90,91,91,Steve Flesch,109,73.61,106,144,-0.25
91,92,92,Rich Barcelo,67,73.6,92,125,-0.29
92,93,93,Mark Wilson,62,73.55,89,121,-0.27
93,94,94,Phil Mickelson,83,73.5,86,117,-0.21
94,95,95,Justin Rose,77,73.48,97,132,-0.39
95,96,96,Jason Dufner,79,73.42,116,158,-0.27
96,97,97,Jesper Parnevik,86,73.38,102,139,-0.24
97,98,98,Brent Geiberger,94,73.33,110,150,-0.3
98,99,99,Jay Williamson,100,73.27,159,217,-0.26
99,100,100,Kent Jones,99,73.14,128,175,-0.26
100,T101,T101,Jay Delsing,76,73.13,98,134,-0.33
101,T101,T101,Skip Kendall,99,73.13,98,134,-0.32
102,103,103,David Gossett,57,73.12,68,93,-0.09
103,104,104,Dan Forsman,79,73.08,95,130,-0.29
104,T105,T105,Craig Bowden,83,73.03,111,152,-0.23
105,T105,T105,Hidemichi Tanaka,89,73.03,111,152,-0.23
106,T107,T107,Arron Oberholser,77,72.86,102,140,-0.24
107,T107,T107,Ted Purdy,114,72.86,145,199,-0.32
108,109,109,Bernhard Langer,59,72.73,48,66,-0.23
109,110,110,Spike McRoy,93,72.6,106,146,-0.25
110,111,111,Rocco Mediate,53,72.46,50,69,-0.2
111,T112,T112,Mark Brooks,72,72.41,84,116,-0.27
112,T112,T112,Glen Day,101,72.41,126,174,-0.22
113,114,114,Billy Mayfair,109,72.22,117,162,-0.21
114,115,115,Richard Johnson,102,71.98,131,182,-0.36
115,116,116,Joey Sindelar,100,71.75,127,177,-0.24
116,117,117,Cliff Kresge,89,71.72,104,145,-0.26
117,118,118,Bob Burns,88,71.6,121,169,-0.33
118,119,119,Robert Damron,92,71.34,112,157,-0.26
119,120,120,Tom Pernice Jr.,103,71.32,97,136,-0.24
120,121,121,Craig Perks,75,71.2,89,125,-0.29
121,T122,T122,Pat Bates,99,71.19,126,177,-0.23
122,T122,T122,Kevin Sutherland,86,71.19,84,118,-0.29
123,124,124,Jeff Brehaut,106,71.18,121,170,-0.21
124,125,125,Stephen Leaney,84,71.15,74,104,-0.27
125,T126,T126,Carlos Franco,99,71.13,101,142,-0.19
126,T126,T126,Mike Weir,75,71.13,69,97,-0.25
127,128,128,Joe Ogilvie,104,71.1,123,173,-0.29
128,129,129,Alex Cejka,76,71.09,91,128,-0.19
129,130,130,Paul Azinger,75,71.07,86,121,-0.26
130,131,131,Brenden Pappas,111,71.01,147,207,-0.28
131,132,132,Tim Petrovic,111,70.99,115,162,-0.22
132,133,133,Billy Andrade,104,70.9,134,189,-0.25
133,134,134,José María Olazábal,56,70.89,56,79,-0.27
134,135,135,Arjun Atwal,85,70.86,124,175,-0.31
135,136,136,Darren Clarke,54,70.83,51,72,-0.2
136,137,137,Tommy Armour III,87,70.81,114,161,-0.17
137,138,138,David Morland IV,73,70.75,75,106,-0.33
138,139,139,Dennis Paulson,71,70.7,111,157,-0.26
139,T140,T140,Ben Crane,92,70.55,103,146,-0.23
140,T140,T140,Frank Lickliter II,89,70.55,115,163,-0.27
141,142,142,Hunter Mahan,94,70.49,129,183,-0.26
142,143,143,Steve Stricker,81,70.34,83,118,-0.35
143,144,144,Brian Kortan,65,70.31,90,128,-0.19
144,145,145,Rich Beem,81,70.27,104,148,-0.29
145,146,146,Scott Simpson,55,70.21,66,94,-0.14
146,147,147,Guy Boros,64,69.81,74,106,-0.16
147,148,148,Jonathan Kaye,79,69.61,71,102,-0.23
148,149,149,Craig Barlow,80,69.59,103,148,-0.25
149,150,150,J.L. Lewis,106,69.57,128,184,-0.23
150,151,151,Tom Carter,113,69.55,153,220,-0.22
151,152,152,Hank Kuehne,91,69.54,137,197,-0.31
152,153,153,Niclas Fasth,61,69.47,66,95,-0.2
153,154,154,Robert Gamez,103,69.38,145,209,-0.32
154,155,155,Bo Van Pelt,107,69.28,115,166,-0.3
155,156,156,Ben Curtis,56,69.15,65,94,-0.31
156,157,157,D.J. Brigman,79,69.13,103,149,-0.23
157,158,158,Kris Cox,73,69.05,87,126,-0.14
158,159,159,Steve Allan,102,68.75,143,208,-0.21
159,160,160,Dicky Pride,66,68.7,90,131,-0.32
160,161,161,Dean Wilson,99,68.69,136,198,-0.23
161,162,162,Bart Bryant,73,68.66,92,134,-0.3
162,163,163,Stuart Appleby,84,68.52,74,108,-0.38
