,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Justin Rose,77,"35' 4""",80,2823.75,-7.00
1,2,2,Dudley Hart,60,"36' 0""",75,2701.417,+3.00
2,3,3,Luke Donald,72,"36' 10""",79,2909.167,+4.00
3,T4,T4,Tim Clark,84,"37' 5""",89,3329.5,+3.00
4,T4,T4,Heath Slocum,92,"37' 5""",123,4599.25,+22.00
5,6,6,Rich Beem,81,"38' 1""",107,4077.583,+11.00
6,7,7,Sergio Garcia,65,"38' 3""",101,3864.0,+4.00
7,T8,T8,Arron Oberholser,77,"39' 3""",78,3061.667,+13.00
8,T8,T8,Deane Pappas,72,"39' 3""",111,4360.417,+1.00
9,T10,T10,Bob Burns,88,"39' 6""",111,4381.417,+19.00
10,T10,T10,Justin Leonard,90,"39' 6""",85,3358.25,+6.00
11,12,12,Niclas Fasth,61,"39' 7""",87,3441.5,+7.00
12,13,13,Hank Kuehne,91,"39' 8""",174,6901.9169999999995,+18.00
13,14,14,John Riegger,53,"39' 11""",106,4229.25,+12.00
14,T15,T15,Jason Dufner,79,"40' 0""",119,4758.0,+15.00
15,T15,T15,Frank Lickliter II,89,"40' 0""",110,4400.583,+12.00
16,T17,T17,Ken Duke,89,"40' 5""",174,7039.0,+32.00
17,T17,T17,Lee Janzen,84,"40' 5""",114,4610.5,+20.00
18,19,19,Mark Wilson,62,"40' 6""",79,3201.583,+17.00
19,20,20,David Toms,80,"40' 7""",119,4824.75,+15.00
20,21,21,Danny Briggs,85,"40' 8""",128,5208.667,+5.00
21,T22,T22,Joe Durant,85,"40' 9""",123,5017.333,+14.00
22,T22,T22,Dan Olsen,75,"40' 9""",160,6521.1669999999995,+27.00
23,24,24,Omar Uresti,85,"40' 10""",96,3918.833,+10.00
24,T25,T25,Phil Mickelson,83,"40' 11""",92,3763.333,+11.00
25,T25,T25,Geoff Ogilvy,91,"40' 11""",127,5195.417,+5.00
26,27,27,Duffy Waldorf,79,"41' 0""",79,3237.417,+13.00
27,T28,T28,Alex Cejka,76,"41' 1""",76,3125.0,+8.00
28,T28,T28,Scott Hend,81,"41' 1""",176,7234.1669999999995,+25.00
29,30,30,Brenden Pappas,111,"41' 2""",216,8900.0,+19.00
30,T31,T31,Brent Geiberger,94,"41' 4""",157,6495.0830000000005,+5.00
31,T31,T31,Kirk Triplett,88,"41' 4""",86,3554.0,+18.00
32,T33,T33,Fred Couples,54,"41' 5""",91,3767.5,+14.00
33,T33,T33,Hidemichi Tanaka,89,"41' 5""",101,4182.583,+22.00
34,35,35,D.J. Brigman,79,"41' 6""",136,5638.75,+11.00
35,36,36,Mathias Grönberg,91,"41' 7""",145,6025.5,+5.00
36,T37,T37,Briny Baird,100,"41' 10""",110,4602.0,+12.00
37,T37,T37,Greg Chalmers,70,"41' 10""",121,5065.917,+25.00
38,39,39,Tom Carter,113,"41' 11""",203,8509.667,+15.00
39,T40,T40,K.J. Choi,83,"42' 1""",112,4708.917,+12.00
40,T40,T40,John Rollins,90,"42' 1""",91,3830.833,+14.00
41,T42,T42,Stuart Appleby,84,"42' 2""",105,4430.333,+4.00
42,T42,T42,Kevin Muncrief,50,"42' 2""",108,4553.583,+34.00
43,T42,T42,Grant Waite,79,"42' 2""",122,5146.917,+16.00
44,T45,T45,Jonathan Byrd,85,"42' 3""",161,6800.5,+24.00
45,T45,T45,J.L. Lewis,106,"42' 3""",138,5827.0830000000005,+14.00
46,T47,T47,Arjun Atwal,85,"42' 4""",135,5716.6669999999995,+29.00
47,T47,T47,Roland Thatcher,66,"42' 4""",110,4659.5,+19.00
48,49,49,Jay Haas,84,"42' 5""",105,4453.0,+5.00
49,T50,T50,Steve Allan,102,"42' 6""",172,7311.5830000000005,+15.00
50,T50,T50,Mark Calcavecchia,79,"42' 6""",91,3871.25,+8.00
51,T50,T50,John Cook,57,"42' 6""",55,2339.667,+14.00
52,T50,T50,Peter Lonard,68,"42' 6""",94,3991.583,+10.00
53,T54,T54,Billy Andrade,104,"42' 8""",189,8056.3330000000005,+30.00
