,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,1,Sergio Garcia,65,69.83,500,716,-0.15
1,2,2,Joe Durant,85,69.66,760,1091,-0.15
2,3,3,Vijay Singh,112,69.07,795,1151,-0.2
3,4,4,Robert Allenby,93,68.17,709,1040,-0.18
4,5,5,Briny Baird,100,68.04,790,1161,-0.17
5,6,6,Duffy Waldorf,79,67.7,568,839,-0.19
6,7,7,David Toms,80,67.66,565,835,-0.19
7,8,8,Tom Lehman,70,67.52,551,816,-0.14
8,9,9,Scott Verplank,92,66.7,659,988,-0.23
9,10,10,Chris Smith,105,66.59,835,1254,-0.13
10,11,11,Luke Donald,72,66.52,600,902,-0.18
11,12,12,Retief Goosen,56,66.36,365,550,-0.17
12,13,13,Olin Browne,92,66.26,756,1141,-0.2
13,14,14,Jeff Sluman,98,65.72,767,1167,-0.19
14,15,15,Mark Wilson,62,65.68,557,848,-0.16
15,16,16,Jerry Kelly,113,65.57,819,1249,-0.21
16,17,17,Bart Bryant,73,65.55,624,952,-0.19
17,18,18,John Huston,62,65.53,403,615,-0.16
18,19,19,Stephen Ames,97,65.48,770,1176,-0.21
19,20,20,Zach Johnson,109,65.46,834,1274,-0.2
20,21,21,Phil Mickelson,83,65.26,481,737,-0.17
21,T22,T22,John Senden,99,65.19,764,1172,-0.15
22,T22,T22,Joey Sindelar,100,65.19,824,1264,-0.15
23,24,24,Justin Rose,77,64.69,566,875,-0.22
24,25,25,Scott Hoch,52,64.58,403,624,-0.18
25,26,26,Kenny Perry,79,64.54,546,846,-0.17
26,27,27,Adam Scott,55,64.5,358,555,-0.23
27,28,28,Kirk Triplett,88,64.2,590,919,-0.21
28,29,29,Jeff Maggert,60,64.14,456,711,-0.13
29,30,30,Shaun Micheel,93,64.04,627,979,-0.17
