,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Justin Rose,77,-.088
1,2,2,Tiger Woods,78,-.080
2,3,3,Carl Pettersson,100,-.029
3,4,4,Rod Pampling,98,E
4,5,5,Deane Pappas,72,+.009
5,6,6,Ernie Els,62,+.011
6,7,7,Steve Elkington,64,+.013
7,8,8,Freddie Jacobson,83,+.016
8,9,9,Darren Clarke,54,+.017
9,10,10,Stewart Cink,103,+.023
10,11,11,Harrison Frazar,86,+.024
11,12,12,Brent Geiberger,94,+.032
12,T13,T13,Tim Clark,84,+.034
13,T13,T13,Mathias Grönberg,91,+.034
14,15,15,Stuart Appleby,84,+.038
15,T16,T16,Danny Briggs,85,+.039
16,T16,T16,Geoff Ogilvy,91,+.039
17,T18,T18,Sergio Garcia,65,+.040
18,T18,T18,Dudley Hart,60,+.040
19,20,20,Jay Haas,84,+.048
20,21,21,Retief Goosen,56,+.049
21,T22,T22,Luke Donald,72,+.051
22,T22,T22,Shigeki Maruyama,93,+.051
23,24,24,Vijay Singh,112,+.057
24,25,25,Richard Johnson,102,+.059
25,T26,T26,Woody Austin,94,+.062
26,T26,T26,Ben Curtis,56,+.062
27,28,28,Jesper Parnevik,86,+.064
28,29,29,Mike Weir,75,+.070
29,30,30,Justin Leonard,90,+.071
30,31,31,Scott Verplank,92,+.072
31,T32,T32,Tom Carter,113,+.074
32,T32,T32,Gene Sauers,83,+.074
33,34,34,Rory Sabbatini,89,+.076
34,35,35,Niclas Fasth,61,+.080
35,T36,T36,D.J. Brigman,79,+.081
36,T36,T36,Steve Lowery,91,+.081
37,38,38,Bart Bryant,73,+.084
38,T39,T39,Carlos Franco,99,+.086
39,T39,T39,Davis Love III,85,+.086
40,41,41,Steve Allan,102,+.087
41,T42,T42,Mark Calcavecchia,79,+.088
42,T42,T42,Brenden Pappas,111,+.088
43,T44,T44,Jeff Maggert,60,+.094
44,T44,T44,Joe Ogilvie,104,+.094
45,T46,T46,José María Olazábal,56,+.095
46,T46,T46,Tim Petrovic,111,+.095
47,48,48,Nick Price,51,+.096
48,T49,T49,Scott McCarron,88,+.097
49,T49,T49,Tom Pernice Jr.,103,+.097
50,51,51,Tag Ridings,53,+.098
51,52,52,Dennis Paulson,71,+.099
52,53,53,Patrick Sheehan,113,+.100
53,T54,T54,Cameron Beckman,99,+.101
54,T54,T54,J.L. Lewis,106,+.101
55,T56,T56,Rich Beem,81,+.103
56,T56,T56,Hank Kuehne,91,+.103
57,T58,T58,Ted Purdy,114,+.104
58,T58,T58,Omar Uresti,85,+.104
59,60,60,Alex Cejka,76,+.105
60,T61,T61,Ben Crane,92,+.106
61,T61,T61,Steve Flesch,109,+.106
62,T61,T61,Neal Lancaster,106,+.106
63,T61,T61,Peter Lonard,68,+.106
64,65,65,K.J. Choi,83,+.107
65,T66,T66,Briny Baird,100,+.109
66,T66,T66,Frank Lickliter II,89,+.109
67,68,68,Bob Estes,73,+.110
68,69,69,Jeff Sluman,98,+.111
69,70,70,Jay Williamson,100,+.112
70,T71,T71,Michael Allen,87,+.113
71,T71,T71,Glen Day,101,+.113
72,T71,T71,John Riegger,53,+.113
73,74,74,Joe Durant,85,+.114
74,75,75,Joey Sindelar,100,+.116
75,76,76,John Daly,79,+.117
76,77,77,Craig Parry,52,+.119
77,T78,T78,Todd Fischer,104,+.120
78,T78,T78,Cliff Kresge,89,+.120
79,T78,T78,Phil Mickelson,83,+.120
80,81,81,Brad Faxon,94,+.123
81,82,82,J.J. Henry,103,+.124
82,T83,T83,Jason Dufner,79,+.126
83,T83,T83,David Toms,80,+.126
84,85,85,Chris DiMarco,105,+.127
85,86,86,Grant Waite,79,+.131
86,87,87,Kevin Sutherland,86,+.133
87,T88,T88,Stephen Ames,97,+.135
88,T88,T88,Craig Barlow,80,+.135
89,T90,T90,Kevin Na,100,+.138
90,T90,T90,Chris Riley,78,+.138
91,92,92,Daniel Chopra,108,+.141
92,93,93,Scott Hend,81,+.142
93,T94,T94,José Coceres,68,+.145
94,T94,T94,Fred Funk,97,+.145
95,T94,T94,Zach Johnson,109,+.145
96,T94,T94,Scott Simpson,55,+.145
97,T98,T98,Kris Cox,73,+.147
98,T98,T98,Ryan Palmer,103,+.147
99,T100,T100,Lucas Glover,95,+.148
100,T100,T100,Steve Stricker,81,+.148
101,T102,T102,Jonathan Byrd,85,+.149
102,T102,T102,Danny Ellis,81,+.149
103,104,104,Jay Delsing,76,+.150
104,T105,T105,Rich Barcelo,67,+.152
105,T105,T105,Bo Van Pelt,107,+.152
106,T107,T107,Jason Bohn,98,+.154
107,T107,T107,Fred Couples,54,+.154
108,T107,T107,Brett Quigley,102,+.154
109,T107,T107,John Rollins,90,+.154
110,T111,T111,Guy Boros,64,+.155
111,T111,T111,Roger Tambellini,81,+.155
112,113,113,Pat Perez,102,+.157
113,T114,T114,Billy Andrade,104,+.159
114,T114,T114,Tom Lehman,70,+.159
115,T114,T114,Vaughn Taylor,84,+.159
116,117,117,Tripp Isenhour,55,+.162
117,T118,T118,Charles Howell III,104,+.163
118,T118,T118,Chris Smith,105,+.163
119,T118,T118,Tommy Tolles,67,+.163
120,121,121,Jerry Kelly,113,+.164
121,T122,T122,Dan Forsman,79,+.165
122,T122,T122,Duffy Waldorf,79,+.165
123,124,124,Arron Oberholser,77,+.167
124,125,125,Dan Olsen,75,+.169
125,T126,T126,Bob Burns,88,+.171
126,T126,T126,Bob Tway,90,+.171
127,128,128,Shaun Micheel,93,+.172
128,T129,T129,Kenny Perry,79,+.173
129,T129,T129,Roland Thatcher,66,+.173
130,131,131,Jeff Brehaut,106,+.174
131,T132,T132,Lee Janzen,84,+.175
132,T132,T132,Kent Jones,99,+.175
133,134,134,Brian Gay,96,+.176
134,135,135,Heath Slocum,92,+.179
135,T136,T136,Aaron Baddeley,87,+.180
136,T136,T136,Chad Campbell,100,+.180
137,T136,T136,Spike McRoy,93,+.180
138,T139,T139,Olin Browne,92,+.181
139,T139,T139,Skip Kendall,99,+.181
140,141,141,Hunter Mahan,94,+.182
141,T142,T142,Brian Bateman,84,+.184
142,T142,T142,Ken Duke,89,+.184
143,T142,T142,Andre Stolz,53,+.184
144,145,145,Bernhard Langer,59,+.186
145,146,146,Mark Hensby,97,+.189
146,147,147,Robert Allenby,93,+.194
147,148,148,Dicky Pride,66,+.195
148,149,149,Russ Cochran,61,+.202
149,150,150,David Peoples,82,+.205
150,T151,T151,Tommy Armour III,87,+.206
151,T151,T151,David Frost,78,+.206
152,153,153,Greg Chalmers,70,+.207
153,154,154,Loren Roberts,81,+.208
154,T155,T155,Kirk Triplett,88,+.209
155,T155,T155,Dean Wilson,99,+.209
156,T157,T157,Tom Byrum,83,+.211
157,T157,T157,Robert Gamez,103,+.211
158,159,159,Mike Heinen,53,+.213
159,T160,T160,Craig Bowden,83,+.214
160,T160,T160,Steve Pate,71,+.214
161,T162,T162,Arjun Atwal,85,+.215
162,T162,T162,Matt Gogel,86,+.215
163,T162,T162,Mark Wilson,62,+.215
164,T165,T165,Pat Bates,99,+.217
165,T165,T165,Stephen Leaney,84,+.217
166,167,167,Hidemichi Tanaka,89,+.218
167,168,168,Tim Herron,84,+.219
168,169,169,Len Mattiace,75,+.220
169,170,170,Brian Kortan,65,+.223
170,171,171,David Morland IV,73,+.227
171,172,172,Billy Mayfair,109,+.228
172,173,173,Corey Pavin,83,+.232
173,174,174,David Branshaw,84,+.234
174,T175,T175,Paul Azinger,75,+.238
175,T175,T175,Notah Begay III,71,+.238
176,177,177,Matt Kuchar,83,+.240
177,178,178,Todd Hamilton,92,+.243
178,179,179,Esteban Toledo,92,+.246
179,180,180,J.P. Hayes,79,+.248
180,T181,T181,Rocco Mediate,53,+.250
181,T181,T181,John Senden,99,+.250
182,183,183,John Cook,57,+.255
183,184,184,Chris Couch,55,+.258
184,T185,T185,Jonathan Kaye,79,+.260
185,T185,T185,Craig Perks,75,+.260
186,187,187,Robert Damron,92,+.262
187,188,188,Scott Hoch,52,+.267
