,Approaches_from_125-150_yards_RANK THIS WEEK,Approaches_from_125-150_yards_RANK LAST WEEK,Approaches_from_125-150_yards_PLAYER NAME,Approaches_from_125-150_yards_ROUNDS,Approaches_from_125-150_yards_AVG,Approaches_from_125-150_yards_TOTAL DISTANCE (FEET),Approaches_from_125-150_yards_# OF ATTEMPTS,Approaches_from_125-150_yards_RELATIVE TO PAR
0,1,1,Sergio Garcia,65,"19' 9""",2408.583,122,-24
1,2,2,Vijay Singh,112,"20' 6""",3671.167,179,-31
2,T3,T3,Bob Estes,73,"20' 7""",2225.333,108,-14
3,T3,T3,Jerry Kelly,113,"20' 7""",4047.833,197,-32
4,5,5,Bernhard Langer,59,"20' 10""",1815.0829999999999,87,-17
5,T6,T6,Robert Allenby,93,"21' 0""",3470.25,165,-43
6,T6,T6,Adam Scott,55,"21' 0""",2229.083,106,-22
7,8,8,Stewart Cink,103,"21' 1""",3780.25,179,-30
8,9,9,Kirk Triplett,88,"21' 2""",3199.333,151,-20
9,10,10,Jay Haas,84,"21' 3""",2766.167,130,-8
10,T11,T11,Dudley Hart,60,"21' 4""",2219.5,104,-16
11,T11,T11,David Toms,80,"21' 4""",2451.833,115,-19
12,T11,T11,Scott Verplank,92,"21' 4""",3824.833,179,-32
13,T14,T14,Jason Dufner,79,"21' 5""",3658.5,171,-22
14,T14,T14,Brian Gay,96,"21' 5""",3851.833,180,-16
15,T16,T16,Tim Clark,84,"21' 6""",3220.417,150,-15
16,T16,T16,Robert Damron,92,"21' 6""",4151.417,193,-14
17,T16,T16,Jeff Sluman,98,"21' 6""",3779.917,176,-21
18,19,19,Phil Mickelson,83,"21' 7""",2736.583,127,-21
19,T20,T20,Joe Durant,85,"21' 9""",4235.917,195,-26
20,T20,T20,Scott Hoch,52,"21' 9""",1960.0,90,-9
21,T22,T22,Justin Rose,77,"21' 10""",3162.917,145,-16
22,T22,T22,Heath Slocum,92,"21' 10""",4307.417,197,-33
23,T22,T22,Vaughn Taylor,84,"21' 10""",4126.583,189,-26
24,25,25,José María Olazábal,56,"22' 0""",1868.1670000000001,85,-5
25,26,26,Olin Browne,92,"22' 1""",4194.5,190,-40
26,T27,T27,Chad Campbell,100,"22' 2""",3792.5,171,-13
27,T27,T27,Ernie Els,62,"22' 2""",1991.75,90,-17
28,T27,T27,Robert Gamez,103,"22' 2""",4684.333,211,-20
29,T30,T30,Stephen Ames,97,"22' 3""",4495.333,202,-25
30,T30,T30,Mark Hensby,97,"22' 3""",4409.25,198,-24
31,T30,T30,John Huston,62,"22' 3""",2627.167,118,-13
32,T30,T30,J.L. Lewis,106,"22' 3""",4633.167,208,-20
33,T30,T30,Joey Sindelar,100,"22' 3""",4575.25,206,-21
34,T35,T35,Woody Austin,94,"22' 4""",3908.5,175,-9
35,T35,T35,Russ Cochran,61,"22' 4""",2726.583,122,-22
36,T37,T37,Cameron Beckman,99,"22' 5""",5085.917,227,-9
37,T37,T37,Shigeki Maruyama,93,"22' 5""",3340.5,149,-23
38,T37,T37,Kenny Perry,79,"22' 5""",3119.833,139,-16
39,T40,T40,Kent Jones,99,"22' 6""",4347.833,193,-33
40,T40,T40,Omar Uresti,85,"22' 6""",3737.917,166,-27
41,42,42,Cliff Kresge,89,"22' 7""",3703.667,164,-7
42,T43,T43,Alex Cejka,76,"22' 8""",2606.0,115,-10
43,T43,T43,Fred Funk,97,"22' 8""",4572.417,202,-16
44,T43,T43,Bob Tway,90,"22' 8""",3286.75,145,-4
45,T46,T46,John Daly,79,"22' 9""",2887.333,127,-8
46,T46,T46,Justin Leonard,90,"22' 9""",3270.583,144,-13
47,T46,T46,Mark Wilson,62,"22' 9""",3418.333,150,-17
48,49,49,Todd Fischer,104,"22' 10""",4089.333,179,-22
49,T50,T50,Tom Byrum,83,"22' 11""",3729.25,163,-21
50,T50,T50,Chris DiMarco,105,"22' 11""",3761.417,164,-20
51,T50,T50,Retief Goosen,56,"22' 11""",1832.0,80,-5
52,T50,T50,Kevin Na,100,"22' 11""",4651.167,203,-24
53,T54,T54,Mark Calcavecchia,79,"23' 0""",3125.25,136,-16
54,T54,T54,Fred Couples,54,"23' 0""",1770.0,77,-11
55,T54,T54,Ted Purdy,114,"23' 0""",5804.1669999999995,252,-16
56,T54,T54,Steve Stricker,81,"23' 0""",3329.833,145,-22
57,T58,T58,Michael Allen,87,"23' 1""",4320.083,187,-32
58,T58,T58,Tom Lehman,70,"23' 1""",3597.583,156,-10
59,T58,T58,Corey Pavin,83,"23' 1""",3159.167,137,-16
60,T58,T58,Loren Roberts,81,"23' 1""",3458.083,150,-17
61,T62,T62,Rod Pampling,98,"23' 2""",4356.5,188,-21
62,T62,T62,John Rollins,90,"23' 2""",3593.333,155,-19
63,T62,T62,Jay Williamson,100,"23' 2""",4845.333,209,-5
64,T65,T65,Briny Baird,100,"23' 4""",4733.917,203,-20
65,T65,T65,Bart Bryant,73,"23' 4""",3710.417,159,-15
66,T65,T65,K.J. Choi,83,"23' 4""",2732.417,117,-1
67,T65,T65,Brent Geiberger,94,"23' 4""",4625.0,198,-16
68,T65,T65,Craig Perks,75,"23' 4""",3032.5,130,-16
69,T65,T65,Chris Smith,105,"23' 4""",5240.75,225,-11
70,T65,T65,Hidemichi Tanaka,89,"23' 4""",4286.333,184,-18
71,T72,T72,Billy Andrade,104,"23' 5""",4072.5,174,-21
72,T72,T72,John Cook,57,"23' 5""",2714.25,116,-2
73,T72,T72,Peter Lonard,68,"23' 5""",2999.833,128,+9
74,T72,T72,Ryan Palmer,103,"23' 5""",4782.25,204,-18
75,T72,T72,Tom Pernice Jr.,103,"23' 5""",4731.75,202,-14
76,T77,T77,J.P. Hayes,79,"23' 7""",3229.917,137,+1
77,T77,T77,Frank Lickliter II,89,"23' 7""",3743.5,159,-7
78,T77,T77,Pat Perez,102,"23' 7""",4648.25,197,-24
79,T77,T77,Mike Weir,75,"23' 7""",2754.917,117,-11
80,T81,T81,Craig Barlow,80,"23' 8""",3453.75,146,-5
81,T81,T81,David Branshaw,84,"23' 8""",4169.25,176,-14
82,T81,T81,Bob Burns,88,"23' 8""",3979.0,168,-8
