,Approaches_from_50-125_yards_Rgh_RANK THIS WEEK,Approaches_from_50-125_yards_Rgh_RANK LAST WEEK,Approaches_from_50-125_yards_Rgh_PLAYER NAME,Approaches_from_50-125_yards_Rgh_ROUNDS,Approaches_from_50-125_yards_Rgh_AVG,Approaches_from_50-125_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_50-125_yards_Rgh_# OF ATTEMPTS,Approaches_from_50-125_yards_Rgh_RELATIVE TO PAR
0,1,1,Fred Funk,97,"21' 4""",959.0,45,+3
1,2,2,Shigeki Maruyama,93,"21' 9""",1325.1670000000001,61,-2
2,3,3,Justin Rose,77,"21' 11""",1251.25,57,-8
3,T4,T4,Joe Durant,85,"22' 1""",1104.583,50,-7
4,T4,T4,Omar Uresti,85,"22' 1""",1434.4170000000001,65,+2
5,6,6,Tim Clark,84,"22' 6""",1259.083,56,E
6,T7,T7,Arron Oberholser,77,"22' 7""",994.3330000000001,44,+9
7,T7,T7,Kirk Triplett,88,"22' 7""",1016.5,45,+3
8,T9,T9,Danny Briggs,85,"22' 10""",1232.333,54,+2
9,T9,T9,Hidemichi Tanaka,89,"22' 10""",1163.0,51,+5
10,T11,T11,Kent Jones,99,"23' 1""",1314.5829999999999,57,+10
11,T11,T11,Corey Pavin,83,"23' 1""",783.9169999999999,34,E
12,13,13,Ben Curtis,56,"23' 3""",721.5830000000001,31,-2
13,T14,T14,Bob Estes,73,"23' 7""",755.9169999999999,32,-2
14,T14,T14,Tim Petrovic,111,"23' 7""",1818.4170000000001,77,+6
15,T16,T16,Pat Bates,99,"23' 11""",1650.1670000000001,69,+5
16,T16,T16,Lee Janzen,84,"23' 11""",1218.75,51,+5
17,T18,T18,Alex Cejka,76,"24' 2""",1137.583,47,+5
18,T18,T18,Cliff Kresge,89,"24' 2""",1328.6670000000001,55,+9
19,T18,T18,Pat Perez,102,"24' 2""",1688.75,70,+1
20,21,21,John Huston,62,"24' 4""",900.9169999999999,37,-2
21,22,22,Russ Cochran,61,"24' 6""",1250.167,51,+5
22,23,23,Arjun Atwal,85,"24' 8""",1653.0829999999999,67,+10
23,24,24,Ken Duke,89,"24' 9""",2131.5,86,+3
24,T25,T25,Stephen Leaney,84,"24' 10""",942.3330000000001,38,+7
25,T25,T25,Dean Wilson,99,"24' 10""",1564.5829999999999,63,+5
26,27,27,Sergio Garcia,65,"25' 0""",1376.0829999999999,55,-1
27,T28,T28,Stephen Ames,97,"25' 2""",1256.667,50,-4
28,T28,T28,Rocco Mediate,53,"25' 2""",730.1669999999999,29,+3
29,30,30,D.J. Brigman,79,"25' 3""",1664.75,66,+6
30,31,31,Greg Chalmers,70,"25' 4""",1419.1670000000001,56,+20
31,32,32,Mark O'Meara,58,"25' 5""",862.75,34,+2
32,T33,T33,John Cook,57,"25' 7""",817.9169999999999,32,+7
33,T33,T33,Steve Lowery,91,"25' 7""",1713.3329999999999,67,+9
34,T33,T33,Jeff Sluman,98,"25' 7""",1280.917,50,+1
35,T36,T36,José Coceres,68,"25' 8""",1131.083,44,+10
36,T36,T36,Fred Couples,54,"25' 8""",1233.833,48,+7
37,T36,T36,Harrison Frazar,86,"25' 8""",1691.4170000000001,66,+2
38,T39,T39,K.J. Choi,83,"25' 11""",1293.75,50,+9
39,T39,T39,Bernhard Langer,59,"25' 11""",621.0,24,+2
40,T39,T39,Vijay Singh,112,"25' 11""",1997.5,77,-1
41,T42,T42,Craig Bowden,83,"26' 0""",1403.9170000000001,54,+10
42,T42,T42,Mark Calcavecchia,79,"26' 0""",1508.75,58,+10
43,T42,T42,Kenny Perry,79,"26' 0""",1221.917,47,+4
44,T42,T42,Jay Williamson,100,"26' 0""",1900.6670000000001,73,+10
45,46,46,Niclas Fasth,61,"26' 1""",833.9169999999999,32,+3
46,T47,T47,Dicky Pride,66,"26' 3""",1235.667,47,+4
47,T47,T47,John Rollins,90,"26' 3""",1602.25,61,E
48,49,49,Ernie Els,62,"26' 4""",1213.0,46,-4
49,T50,T50,Michael Allen,87,"26' 5""",1583.0,60,+9
50,T50,T50,Jonathan Byrd,85,"26' 5""",2010.0829999999999,76,+7
51,T52,T52,Stewart Cink,103,"26' 6""",1273.667,48,+7
52,T52,T52,Hank Kuehne,91,"26' 6""",3101.417,117,+2
53,T54,T54,Bob Burns,88,"26' 7""",1410.5,53,+10
54,T54,T54,Carlos Franco,99,"26' 7""",1942.6670000000001,73,+6
55,T54,T54,Retief Goosen,56,"26' 7""",798.4169999999999,30,+3
56,T57,T57,Chris Riley,78,"26' 9""",829.5,31,E
57,T57,T57,Scott Verplank,92,"26' 9""",1098.417,41,-1
58,T59,T59,John Riegger,53,"26' 10""",911.6669999999999,34,+8
59,T59,T59,Grant Waite,79,"26' 10""",1875.9170000000001,70,+18
60,T61,T61,Stuart Appleby,84,"26' 11""",1209.833,45,+3
61,T61,T61,Tom Lehman,70,"26' 11""",969.4169999999999,36,+4
62,63,63,Zach Johnson,109,"27' 0""",1945.75,72,-4
63,64,64,Scott Hoch,52,"27' 1""",1244.5,46,+4
64,T65,T65,Paul Azinger,75,"27' 2""",1550.4170000000001,57,+2
65,T65,T65,Aaron Baddeley,87,"27' 2""",1900.25,70,+3
66,67,67,Steve Stricker,81,"27' 3""",1662.0829999999999,61,-2
67,T68,T68,Nick Price,51,"27' 4""",491.833,18,-3
68,T68,T68,Rory Sabbatini,89,"27' 4""",2158.0,79,+3
69,T70,T70,Cameron Beckman,99,"27' 5""",1837.1670000000001,67,+2
70,T70,T70,Kris Cox,73,"27' 5""",1369.3329999999999,50,+9
71,T70,T70,Jeff Maggert,60,"27' 5""",932.8330000000001,34,+5
72,T70,T70,Kevin Na,100,"27' 5""",1729.75,63,+9
73,T70,T70,Dennis Paulson,71,"27' 5""",1671.5,61,+5
74,75,75,Freddie Jacobson,83,"27' 6""",1511.0,55,+8
75,76,76,Justin Leonard,90,"27' 7""",1601.9170000000001,58,-7
76,77,77,Mathias Grönberg,91,"27' 8""",1851.1670000000001,67,+9
77,T78,T78,Todd Fischer,104,"27' 9""",2468.333,89,+5
78,T78,T78,Rod Pampling,98,"27' 9""",1721.25,62,+12
79,T78,T78,David Peoples,82,"27' 9""",1553.75,56,+8
80,T81,T81,Glen Day,101,"27' 11""",1900.9170000000001,68,E
81,T81,T81,Duffy Waldorf,79,"27' 11""",1143.417,41,+9
82,83,83,Len Mattiace,75,"28' 0""",1622.5829999999999,58,+6
83,T84,T84,Rich Barcelo,67,"28' 1""",1966.0,70,+7
84,T84,T84,Kevin Muncrief,50,"28' 1""",1094.167,39,+12
85,T86,T86,Rich Beem,81,"28' 2""",1689.9170000000001,60,+3
86,T86,T86,Chris DiMarco,105,"28' 2""",2000.5,71,+16
87,T86,T86,Brad Faxon,94,"28' 2""",1634.5,58,+4
88,T86,T86,Steve Pate,71,"28' 2""",1407.25,50,+10
89,T90,T90,Skip Kendall,99,"28' 3""",1838.8329999999999,65,-1
90,T90,T90,Spike McRoy,93,"28' 3""",1609.5,57,+6
91,T90,T90,Ryan Palmer,103,"28' 3""",2006.9170000000001,71,+2
92,T90,T90,Ted Purdy,114,"28' 3""",2287.083,81,+2
93,T94,T94,Jay Haas,84,"28' 4""",990.8330000000001,35,+6
94,T94,T94,Deane Pappas,72,"28' 4""",1644.5829999999999,58,+13
95,96,96,Roland Thatcher,66,"28' 5""",1617.5829999999999,57,+8
96,T97,T97,Danny Ellis,81,"28' 6""",1881.3329999999999,66,+9
97,T97,T97,Blaine McCallister,68,"28' 6""",1710.5829999999999,60,+8
98,T99,T99,Brian Gay,96,"28' 7""",1999.6670000000001,70,+11
99,T99,T99,Hirofumi Miyase,65,"28' 7""",1258.083,44,+16
100,T101,T101,Robert Damron,92,"28' 8""",1720.75,60,+10
101,T101,T101,Steve Flesch,109,"28' 8""",1775.3329999999999,62,+2
102,T101,T101,Neal Lancaster,106,"28' 8""",2462.417,86,+11
103,T101,T101,Bob Tway,90,"28' 8""",1262.333,44,+1
104,105,105,Geoff Ogilvy,91,"28' 9""",2041.6670000000001,71,+2
105,T106,T106,Daniel Chopra,108,"28' 10""",2739.167,95,+13
106,T106,T106,Matt Gogel,86,"28' 10""",1875.9170000000001,65,+12
107,T106,T106,Joe Ogilvie,104,"28' 10""",2478.333,86,+8
108,T106,T106,John Senden,99,"28' 10""",2424.0,84,+11
109,T110,T110,Chris Couch,55,"28' 11""",1214.583,42,+2
110,T110,T110,Carl Pettersson,100,"28' 11""",1795.3329999999999,62,+2
111,T112,T112,Chad Campbell,100,"29' 0""",1363.1670000000001,47,+5
112,T112,T112,David Frost,78,"29' 0""",1944.6670000000001,67,+8
113,T112,T112,Billy Mayfair,109,"29' 0""",1653.5,57,+11
114,T115,T115,Olin Browne,92,"29' 1""",1804.1670000000001,62,+12
115,T115,T115,Jason Dufner,79,"29' 1""",1888.3329999999999,65,+9
116,T115,T115,Brent Geiberger,94,"29' 1""",2067.833,71,+1
117,T115,T115,Vaughn Taylor,84,"29' 1""",1829.6670000000001,63,+12
118,T119,T119,Craig Barlow,80,"29' 3""",1490.0829999999999,51,+6
119,T119,T119,J.P. Hayes,79,"29' 3""",1727.5829999999999,59,+8
120,T119,T119,Scott McCarron,88,"29' 3""",1610.8329999999999,55,+12
121,T119,T119,José María Olazábal,56,"29' 3""",1200.833,41,+2
122,T119,T119,Jesper Parnevik,86,"29' 3""",1727.0829999999999,59,+4
123,T119,T119,Tom Pernice Jr.,103,"29' 3""",1666.75,57,+8
124,T119,T119,Esteban Toledo,92,"29' 3""",1695.75,58,+6
125,126,126,Patrick Sheehan,113,"29' 4""",1877.4170000000001,64,+5
126,T127,T127,Brenden Pappas,111,"29' 5""",3240.0,110,+7
127,T127,T127,Gene Sauers,83,"29' 5""",1382.0829999999999,47,+10
128,129,129,Brian Bateman,84,"29' 6""",1680.9170000000001,57,+11
129,130,130,Phil Mickelson,83,"29' 7""",1747.4170000000001,59,E
130,T131,T131,Billy Andrade,104,"29' 8""",2106.833,71,+11
131,T131,T131,Steve Elkington,64,"29' 8""",1069.25,36,+4
132,T131,T131,Craig Parry,52,"29' 8""",889.6669999999999,30,-1
133,T131,T131,Mike Weir,75,"29' 8""",1274.25,43,+10
134,T135,T135,Robert Gamez,103,"29' 9""",2288.583,77,+15
135,T135,T135,Heath Slocum,92,"29' 9""",1873.3329999999999,63,+13
136,T137,T137,J.J. Henry,103,"29' 10""",2442.917,82,+8
137,T137,T137,Andre Stolz,53,"29' 10""",1551.5829999999999,52,+16
138,T139,T139,Briny Baird,100,"30' 1""",1563.25,52,+4
139,T139,T139,Tom Byrum,83,"30' 1""",1144.583,38,+10
140,T139,T139,John Daly,79,"30' 1""",2707.333,90,+11
141,T139,T139,David Toms,80,"30' 1""",1777.3329999999999,59,+7
142,T143,T143,Matt Kuchar,83,"30' 2""",1476.5,49,+1
143,T143,T143,J.L. Lewis,106,"30' 2""",2443.667,81,+15
144,T143,T143,Adam Scott,55,"30' 2""",964.5830000000001,32,+1
145,146,146,Dan Olsen,75,"30' 3""",2720.5,90,+9
146,T147,T147,Davis Love III,85,"30' 4""",1060.833,35,+6
147,T147,T147,Craig Perks,75,"30' 4""",1969.75,65,+10
148,T149,T149,Todd Hamilton,92,"30' 5""",1887.5829999999999,62,+4
149,T149,T149,Hunter Mahan,94,"30' 5""",2921.25,96,+17
150,T151,T151,Charles Howell III,104,"30' 7""",1469.0829999999999,48,+2
151,T151,T151,Joey Sindelar,100,"30' 7""",1925.3329999999999,63,+2
152,T153,T153,Luke Donald,72,"30' 9""",954.1669999999999,31,+3
