,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Retief Goosen,56,72.48,79,109,-81,+4.00
1,2,2,Jay Haas,84,70.53,67,95,-72,-21.00
2,3,3,Harrison Frazar,86,68.97,120,174,-131,+1.00
3,4,4,Mark O'Meara,58,66.67,20,30,-21,-14.00
4,5,5,Jonathan Byrd,85,66.47,111,167,-118,+6.00
5,6,6,Paul Azinger,75,66.12,80,121,-84,-5.00
6,7,7,Tiger Woods,78,65.97,95,144,-98,-17.00
7,8,8,John Daly,79,65.66,109,166,-121,-13.00
8,9,9,Fred Couples,54,65.42,70,107,-77,-5.00
9,10,10,Brian Bateman,84,65.07,95,146,-102,-7.00
10,11,11,Geoff Ogilvy,91,65.06,108,166,-121,-6.00
11,12,12,Freddie Jacobson,83,64.62,84,130,-90,+3.00
12,13,13,Steve Stricker,81,63.74,58,91,-63,-11.00
13,14,14,Scott Hend,81,63.59,124,195,-135,+12.00
14,15,15,Vijay Singh,112,62.88,166,264,-181,-8.00
15,16,16,Rod Pampling,98,62.66,99,158,-109,-13.00
16,17,17,Craig Parry,52,62.07,36,58,-38,-15.00
17,18,18,Deane Pappas,72,61.83,81,131,-84,-4.00
18,19,19,Stuart Appleby,84,61.81,89,144,-92,-3.00
19,20,20,Tom Lehman,70,61.79,76,123,-84,-11.00
20,21,21,Phil Mickelson,83,61.43,86,140,-91,-6.00
21,22,22,Adam Scott,55,61.36,54,88,-55,E
22,23,23,Davis Love III,85,61.35,100,163,-107,-7.00
23,24,24,Matt Gogel,86,61.26,68,111,-72,-18.00
24,25,25,Tim Herron,84,61.07,80,131,-86,-10.00
25,26,26,Zach Johnson,109,60.69,88,145,-94,-36.00
26,T27,T27,Jeff Maggert,60,60.61,60,99,-65,-1.00
27,T27,T27,Craig Perks,75,60.61,60,99,-64,+12.00
28,29,29,Gene Sauers,83,60.48,75,124,-79,-5.00
29,30,30,Woody Austin,94,60.41,119,197,-124,+11.00
30,31,31,Dean Wilson,99,60.4,90,149,-97,-18.00
31,32,32,Carl Pettersson,100,60.34,105,174,-112,-11.00
32,33,33,Frank Lickliter II,89,60.26,91,151,-97,-2.00
33,34,34,Carlos Franco,99,60.2,121,201,-131,-18.00
34,35,35,José Coceres,68,60.16,77,128,-79,-4.00
35,T36,T36,Craig Bowden,83,60.0,48,80,-52,-20.00
36,T36,T36,Ted Purdy,114,60.0,132,220,-145,-18.00
37,38,38,Dennis Paulson,71,59.75,95,159,-97,-6.00
38,39,39,Mike Heinen,53,59.69,77,129,-86,+8.00
39,40,40,Todd Hamilton,92,59.63,65,109,-65,-14.00
40,41,41,Brent Geiberger,94,59.54,78,131,-83,-27.00
41,42,42,Bo Van Pelt,107,59.32,105,177,-111,+1.00
42,43,43,Steve Allan,102,59.29,134,226,-141,+7.00
43,44,44,Ben Crane,92,59.28,99,167,-104,-12.00
44,45,45,Grant Waite,79,59.15,84,142,-91,-3.00
45,46,46,Heath Slocum,92,59.05,62,105,-63,-14.00
46,47,47,Briny Baird,100,58.99,82,139,-87,-17.00
47,48,48,Lucas Glover,95,58.9,139,236,-147,+11.00
48,49,49,D.J. Brigman,79,58.87,83,141,-87,+1.00
49,50,50,Michael Allen,87,58.82,80,136,-86,-8.00
50,51,51,Cliff Kresge,89,58.78,87,148,-96,-11.00
51,52,52,Tom Byrum,83,58.76,57,97,-61,-19.00
52,53,53,David Frost,78,58.65,61,104,-64,-16.00
53,54,54,Richard Johnson,102,58.64,95,162,-99,-21.00
54,55,55,Danny Briggs,85,58.47,69,118,-72,-38.00
55,56,56,Ryan Palmer,103,58.46,114,195,-120,-1.00
56,57,57,Craig Barlow,80,58.45,83,142,-92,-11.00
57,58,58,Jeff Brehaut,106,58.42,118,202,-124,+2.00
58,59,59,Stephen Ames,97,58.33,84,144,-89,-22.00
59,60,60,Fred Funk,97,58.25,60,103,-64,-37.00
60,61,61,Corey Pavin,83,58.24,53,91,-56,-29.00
61,62,62,David Toms,80,58.16,57,98,-63,-24.00
62,T63,T63,Hirofumi Miyase,65,58.14,50,86,-53,+1.00
63,T63,T63,Chris Smith,105,58.14,150,258,-162,+3.00
64,65,65,Shigeki Maruyama,93,58.02,76,131,-79,-28.00
65,66,66,Rich Beem,81,57.89,88,152,-95,-8.00
66,67,67,Daniel Chopra,108,57.87,125,216,-133,-24.00
67,68,68,Lee Janzen,84,57.81,74,128,-80,-23.00
68,T69,T69,Todd Fischer,104,57.76,93,161,-99,-10.00
69,T69,T69,Jesper Parnevik,86,57.76,93,161,-97,-4.00
70,T69,T69,Scott Verplank,92,57.76,67,116,-68,-29.00
71,T72,T72,Chris Couch,55,57.63,68,118,-73,+6.00
