,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Retief Goosen,56,42.46,76,179
1,2,2,Phil Mickelson,83,41.74,96,230
2,3,3,Vijay Singh,112,40.74,154,378
3,4,4,Tiger Woods,78,40.17,92,229
4,5,5,Harrison Frazar,86,40.15,108,269
5,6,6,Jonathan Byrd,85,39.64,111,280
6,7,7,Steve Allan,102,38.99,131,336
7,8,8,Fred Couples,54,38.73,67,173
8,9,9,Tom Lehman,70,38.65,80,207
9,10,10,Geoff Ogilvy,91,38.58,103,267
10,11,11,Scott Hend,81,38.23,112,293
11,12,12,Stuart Appleby,84,38.17,92,241
12,13,13,Brian Bateman,84,38.1,96,252
13,14,14,Roger Tambellini,81,37.99,106,279
14,15,15,John Daly,79,37.84,98,259
15,T16,T16,Dennis Paulson,71,37.8,96,254
16,T16,T16,Chris Smith,105,37.8,141,373
17,18,18,Lucas Glover,95,37.71,135,358
18,19,19,Jeff Brehaut,106,37.5,132,352
19,20,20,Woody Austin,94,37.46,127,339
20,21,21,Carl Pettersson,100,37.33,109,292
21,22,22,Tim Herron,84,37.08,89,240
22,23,23,Freddie Jacobson,83,36.78,89,242
23,T24,T24,Ernie Els,62,36.73,54,147
24,T24,T24,Adam Scott,55,36.73,54,147
25,26,26,Chris Couch,55,36.72,65,177
26,27,27,Deane Pappas,72,36.65,81,221
27,T28,T28,Jason Bohn,98,36.36,128,352
28,T28,T28,Mike Heinen,53,36.36,72,198
29,T30,T30,Ben Crane,92,36.25,112,309
30,T30,T30,Grant Waite,79,36.25,91,251
31,32,32,Rod Pampling,98,36.13,99,274
32,33,33,Tag Ridings,53,36.0,63,175
33,34,34,Rich Beem,81,35.74,89,249
34,35,35,Jonathan Kaye,79,35.36,93,263
35,36,36,Paul Azinger,75,35.25,86,244
36,37,37,Ted Purdy,114,35.23,136,386
37,38,38,Davis Love III,85,35.15,84,239
38,39,39,Frank Lickliter II,89,35.09,100,285
39,40,40,Bo Van Pelt,107,34.95,115,329
40,41,41,Vaughn Taylor,84,34.8,95,273
41,42,42,Daniel Chopra,108,34.63,125,361
