,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Tripp Isenhour,55,155.9,2891127.0,515
1,T2,T2,Fred Couples,54,156.1,2522953.0,449
2,T2,T2,Brian Kortan,65,156.1,3770976.0,671
3,4,4,Chris Couch,55,156.2,2496453.0,444
4,5,5,Dennis Paulson,71,156.3,4095744.0,728
5,6,6,Deane Pappas,72,156.7,3881628.0,688
6,7,7,J.P. Hayes,79,156.9,4116443.0,729
7,T8,T8,Blaine McCallister,68,157.2,3967132.0,701
8,T8,T8,Andre Stolz,53,157.2,2919560.0,516
9,10,10,Tom Carter,113,157.5,6169020.0,1088
10,11,11,Scott Hend,81,157.6,3919520.0,691
11,T12,T12,Tommy Armour III,87,157.7,4917893.0,866
12,T12,T12,John Daly,79,157.7,4047206.0,713
13,T12,T12,Harrison Frazar,86,157.7,4315465.0,760
14,T15,T15,Zach Johnson,109,157.8,5715329.0,1006
15,T15,T15,Vaughn Taylor,84,157.8,4624001.0,814
16,17,17,Mark O'Meara,58,157.9,2654697.0,467
17,T18,T18,Rich Barcelo,67,158.0,3680269.0,647
18,T18,T18,Danny Briggs,85,158.0,4749669.0,835
19,20,20,Craig Barlow,80,158.3,4446091.0,780
20,T21,T21,Jonathan Byrd,85,158.4,4449220.0,780
21,T21,T21,Frank Lickliter II,89,158.4,4726342.0,829
22,T23,T23,Olin Browne,92,158.5,5175472.0,907
23,T23,T23,Danny Ellis,81,158.5,4320719.0,757
24,T23,T23,Jay Williamson,100,158.5,5877758.0,1030
25,T26,T26,Steve Allan,102,158.6,5668011.0,993
26,T26,T26,John Cook,57,158.6,3283423.0,575
27,T26,T26,Hirofumi Miyase,65,158.6,3523058.0,617
28,T26,T26,Omar Uresti,85,158.6,5063252.0,887
29,30,30,Scott Simpson,55,158.7,3273460.0,573
30,T31,T31,Scott Hoch,52,158.8,2949090.0,516
31,T31,T31,Rod Pampling,98,158.8,5020082.0,878
32,33,33,Robert Gamez,103,158.9,5800793.0,1014
33,34,34,Matt Gogel,86,159.0,4470665.0,781
34,T35,T35,Glen Day,101,159.1,5601365.0,978
35,T35,T35,Steve Elkington,64,159.1,3632437.0,634
36,T37,T37,K.J. Choi,83,159.2,4051997.0,707
37,T37,T37,Tim Herron,84,159.2,4487081.0,783
38,T39,T39,Russ Cochran,61,159.3,3549115.0,619
39,T39,T39,David Frost,78,159.3,4862166.0,848
40,T39,T39,Geoff Ogilvy,91,159.3,4667586.0,814
41,42,42,David Morland IV,73,159.4,3787012.0,660
42,T43,T43,Michael Allen,87,159.5,4966555.0,865
43,T43,T43,Chris Smith,105,159.5,5597178.0,975
44,T45,T45,J.J. Henry,103,159.6,6060559.0,1055
45,T45,T45,Kirk Triplett,88,159.6,4310064.0,750
46,T47,T47,Craig Perks,75,159.7,4086836.0,711
47,T47,T47,Heath Slocum,92,159.7,5542784.0,964
48,T49,T49,Dicky Pride,66,159.8,3894689.0,677
49,T49,T49,John Riegger,53,159.8,3244117.0,564
50,T51,T51,Guy Boros,64,159.9,3614045.0,628
51,T51,T51,Tim Clark,84,159.9,4621378.0,803
52,T51,T51,Ken Duke,89,159.9,4888676.0,849
53,T51,T51,Neal Lancaster,106,159.9,6061487.0,1053
54,T55,T55,Mark Brooks,72,160.0,3750462.0,651
55,T55,T55,Brian Gay,96,160.0,5766372.0,1001
56,T55,T55,Spike McRoy,93,160.0,5081197.0,882
57,T55,T55,Loren Roberts,81,160.0,4503017.0,782
58,T55,T55,Tommy Tolles,67,160.0,3645469.0,633
59,T60,T60,Cameron Beckman,99,160.1,5583831.0,969
60,T60,T60,Hank Kuehne,91,160.1,5278084.0,916
61,T60,T60,J.L. Lewis,106,160.1,5670892.0,984
62,T60,T60,Ryan Palmer,103,160.1,5600655.0,972
63,T64,T64,Woody Austin,94,160.2,5114065.0,887
64,T64,T64,Paul Azinger,75,160.2,4099675.0,711
65,T64,T64,Rich Beem,81,160.2,3771907.0,654
66,T64,T64,Brent Geiberger,94,160.2,5517752.0,957
67,T64,T64,Tag Ridings,53,160.2,2744851.0,476
68,T69,T69,Mark Calcavecchia,79,160.3,3732676.0,647
69,T69,T69,Justin Rose,77,160.3,4033186.0,699
70,T71,T71,John Huston,62,160.4,2812608.0,487
71,T71,T71,David Peoples,82,160.4,5024490.0,870
72,T71,T71,Adam Scott,55,160.4,2430322.0,421
73,T74,T74,Briny Baird,100,160.5,5309454.0,919
74,T74,T74,Brian Bateman,84,160.5,4704647.0,814
75,T74,T74,Pat Bates,99,160.5,5933611.0,1027
76,T74,T74,Bob Estes,73,160.5,3449976.0,597
77,T74,T74,Todd Hamilton,92,160.5,4732435.0,819
78,T74,T74,Hunter Mahan,94,160.5,5282562.0,914
79,T74,T74,Steve Stricker,81,160.5,4413909.0,764
80,T81,T81,Dan Forsman,79,160.6,4411256.0,763
81,T81,T81,José María Olazábal,56,160.6,2855570.0,494
82,T81,T81,Brenden Pappas,111,160.6,6208778.0,1074
83,T81,T81,Grant Waite,79,160.6,4341388.0,751
84,T85,T85,Jason Bohn,98,160.7,5517945.0,954
85,T85,T85,David Branshaw,84,160.7,4664203.0,806
86,T85,T85,Joe Durant,85,160.7,5118788.0,885
87,T85,T85,Justin Leonard,90,160.7,4472714.0,773
88,T85,T85,Rory Sabbatini,89,160.7,4813787.0,832
89,T85,T85,Hidemichi Tanaka,89,160.7,5288988.0,914
90,T85,T85,Bo Van Pelt,107,160.7,5293832.0,915
91,T92,T92,Ernie Els,62,160.8,2582486.0,446
92,T92,T92,Mike Heinen,53,160.8,3091217.0,534
93,T92,T92,Freddie Jacobson,83,160.8,3929765.0,679
94,T92,T92,Joe Ogilvie,104,160.8,5348154.0,924
95,T92,T92,Kenny Perry,79,160.8,3901050.0,674
96,T97,T97,Craig Bowden,83,160.9,4959228.0,856
97,T97,T97,Matt Kuchar,83,160.9,4988097.0,861
98,T99,T99,Daniel Chopra,108,161.0,5818039.0,1004
99,T99,T99,Jason Dufner,79,161.0,4561701.0,787
100,T99,T99,Kevin Muncrief,50,161.0,2782821.0,480
101,T102,T102,Lucas Glover,95,161.1,5105119.0,880
102,T102,T102,John Rollins,90,161.1,4592887.0,792
103,T102,T102,Vijay Singh,112,161.1,5580888.0,962
104,T105,T105,Stuart Appleby,84,161.2,3789793.0,653
105,T105,T105,Kris Cox,73,161.2,3910767.0,674
106,T105,T105,Ben Crane,92,161.2,5210706.0,898
107,T105,T105,Steve Lowery,91,161.2,4676114.0,806
108,T105,T105,Jeff Maggert,60,161.2,3320317.0,572
109,T105,T105,Esteban Toledo,92,161.2,5244646.0,904
110,T105,T105,Mike Weir,75,161.2,3486649.0,601
111,T112,T112,Stephen Ames,97,161.3,5300965.0,913
112,T112,T112,Todd Fischer,104,161.3,6074466.0,1046
113,T114,T114,David Gossett,57,161.4,3044903.0,524
114,T114,T114,John Senden,99,161.4,5636013.0,970
115,T114,T114,Roland Thatcher,66,161.4,3859150.0,664
116,T117,T117,Bob Burns,88,161.5,5196601.0,894
117,T117,T117,Tom Byrum,83,161.5,4929551.0,848
118,T117,T117,Richard Johnson,102,161.5,6021579.0,1036
119,T117,T117,Tom Lehman,70,161.5,3836749.0,660
120,T117,T117,Ted Purdy,114,161.5,6493222.0,1117
121,T122,T122,Jeff Brehaut,106,161.6,6021518.0,1035
122,T122,T122,Shaun Micheel,93,161.6,4549202.0,782
123,T122,T122,Tim Petrovic,111,161.6,5759982.0,990
124,T122,T122,Bob Tway,90,161.6,4427856.0,761
125,T122,T122,Dean Wilson,99,161.6,5888108.0,1012
126,T127,T127,Dan Olsen,75,161.7,4023021.0,691
127,T127,T127,David Toms,80,161.7,3713560.0,638
128,T129,T129,Kent Jones,99,161.9,5671464.0,973
129,T129,T129,Peter Lonard,68,161.9,3752862.0,644
130,T129,T129,Phil Mickelson,83,161.9,3397644.0,583
131,T129,T129,Roger Tambellini,81,161.9,4422974.0,759
132,T133,T133,Mark Hensby,97,162.0,5295994.0,908
133,T133,T133,Patrick Sheehan,113,162.0,6548182.0,1123
134,T135,T135,D.J. Brigman,79,162.1,4336022.0,743
135,T135,T135,Ben Curtis,56,162.1,2631210.0,451
136,T135,T135,Brett Quigley,102,162.1,5767060.0,988
137,T138,T138,Greg Chalmers,70,162.2,4216331.0,722
138,T138,T138,Retief Goosen,56,162.2,2674828.0,458
139,T138,T138,Dudley Hart,60,162.2,3000581.0,514
140,T138,T138,Jonathan Kaye,79,162.2,4046990.0,693
141,T142,T142,Davis Love III,85,162.4,3939541.0,674
142,T142,T142,Carl Pettersson,100,162.4,4916427.0,841
143,T144,T144,Billy Andrade,104,162.5,5979642.0,1022
144,T144,T144,Pat Perez,102,162.5,5363199.0,917
145,T146,T146,Bart Bryant,73,162.6,4365644.0,746
146,T146,T146,Lee Janzen,84,162.6,4495743.0,768
147,T146,T146,Craig Parry,52,162.6,2412201.0,412
148,T146,T146,Kevin Sutherland,86,162.6,4565565.0,780
149,150,150,Mark Wilson,62,162.7,3901446.0,666
150,T151,T151,Arjun Atwal,85,162.8,4795323.0,818
151,T151,T151,Niclas Fasth,61,162.8,3323675.0,567
152,T153,T153,Robert Damron,92,162.9,5518040.0,941
153,T153,T153,Fred Funk,97,162.9,5669966.0,967
154,155,155,Scott Verplank,92,163.0,4582811.0,781
155,T156,T156,Carlos Franco,99,163.1,6007549.0,1023
156,T156,T156,Charles Howell III,104,163.1,5278875.0,899
157,T156,T156,Gene Sauers,83,163.1,4645724.0,791
158,T156,T156,Jeff Sluman,98,163.1,5382785.0,917
159,T160,T160,Stewart Cink,103,163.2,5369556.0,914
160,T160,T160,Brad Faxon,94,163.2,4754125.0,809
161,T162,T162,Jay Delsing,76,163.3,4268496.0,726
162,T162,T162,Billy Mayfair,109,163.3,6365293.0,1083
163,T162,T162,Joey Sindelar,100,163.3,5984158.0,1018
164,165,165,Duffy Waldorf,79,163.4,3924254.0,667
165,166,166,Aaron Baddeley,87,163.5,4915321.0,835
166,T167,T167,Arron Oberholser,77,163.7,4206959.0,714
167,T167,T167,Tom Pernice Jr.,103,163.7,5988329.0,1016
168,169,169,Cliff Kresge,89,163.8,4904666.0,832
169,T170,T170,José Coceres,68,163.9,4136414.0,701
170,T170,T170,Jerry Kelly,113,163.9,5931431.0,1005
171,T172,T172,Steve Flesch,109,164.1,5262441.0,891
172,T172,T172,Len Mattiace,75,164.1,4714110.0,798
173,174,174,Kevin Na,100,164.2,5917393.0,1001
174,T175,T175,Mathias Grönberg,91,164.6,4935257.0,833
175,T175,T175,Shigeki Maruyama,93,164.6,5154978.0,870
176,T177,T177,Chad Campbell,100,164.7,5294942.0,893
177,T177,T177,Bernhard Langer,59,164.7,2876268.0,485
178,T177,T177,Jesper Parnevik,86,164.7,5029333.0,848
