,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Vijay Singh,112,76.12,255,80,-174,-8
1,2,2,Ernie Els,62,72.97,108,40,-58,-3
2,3,3,Chris Smith,105,69.72,251,109,-139,+3
3,4,4,Lucas Glover,95,69.63,227,99,-131,+11
4,5,5,Retief Goosen,56,68.99,109,49,-80,+4
5,6,6,Darren Clarke,54,68.7,90,41,-48,-3
6,7,7,Phil Mickelson,83,68.47,139,64,-84,-6
7,8,8,Davis Love III,85,68.4,158,73,-100,-7
8,9,9,Chris Couch,55,67.86,114,54,-63,+6
9,10,10,Scott Hend,81,67.54,181,87,-125,+12
10,11,11,Tiger Woods,78,66.67,138,69,-91,-17
11,12,12,Sergio Garcia,65,66.3,120,61,-62,-11
12,13,13,Harrison Frazar,86,64.66,172,94,-120,+1
13,14,14,Mathias Grönberg,91,64.58,186,102,-95,E
14,15,15,Jonathan Byrd,85,64.34,166,92,-112,+6
15,16,16,Mike Heinen,53,64.06,123,69,-81,+8
16,17,17,Kris Cox,73,63.88,145,82,-66,+15
17,18,18,John Daly,79,63.37,154,89,-117,-13
18,19,19,Roger Tambellini,81,63.33,171,99,-99,E
19,20,20,Steve Allan,102,63.32,221,128,-127,+7
20,21,21,John Senden,99,63.19,206,120,-125,-17
21,22,22,Tag Ridings,53,63.01,109,64,-59,+2
22,23,23,Dennis Paulson,71,62.95,158,93,-89,-6
23,24,24,Rich Beem,81,62.92,151,89,-83,-8
24,25,25,Jason Bohn,98,62.57,209,125,-108,E
25,26,26,Stuart Appleby,84,62.45,143,86,-83,-3
26,27,27,Kenny Perry,79,62.17,143,87,-77,-7
27,28,28,Hank Kuehne,91,62.1,195,119,-116,+11
28,29,29,Pat Perez,102,61.47,201,126,-84,-4
29,30,30,Woody Austin,94,61.06,196,125,-113,+11
30,31,31,Scott McCarron,88,61.0,183,117,-87,+5
31,32,32,Jesper Parnevik,86,60.84,160,103,-92,-4
32,33,33,Hunter Mahan,94,60.78,186,120,-75,-2
33,34,34,Jonathan Kaye,79,60.7,156,101,-74,+5
34,35,35,J.J. Henry,103,60.69,210,136,-108,+6
35,36,36,Charles Howell III,104,59.93,166,111,-88,-5
36,37,37,Mark Calcavecchia,79,59.83,137,92,-66,+9
37,38,38,Carlos Franco,99,59.58,199,135,-119,-18
38,39,39,Daniel Chopra,108,59.39,215,147,-119,-24
39,40,40,Steve Lowery,91,59.21,164,113,-86,+1
40,41,41,Roland Thatcher,66,59.05,137,95,-59,+2
41,42,42,Robert Allenby,93,58.89,159,111,-76,-8
42,43,43,Brenden Pappas,111,58.73,222,156,-132,-4
43,44,44,Jason Dufner,79,58.58,157,111,-84,-3
44,45,45,Adam Scott,55,57.89,88,64,-52,E
45,46,46,Fred Couples,54,57.78,104,76,-73,-5
46,47,47,Rocco Mediate,53,57.66,79,58,-42,-2
47,48,48,Bo Van Pelt,107,57.52,176,130,-110,+1
48,49,49,Niclas Fasth,61,57.0,114,86,-61,+9
49,50,50,Tom Lehman,70,56.94,123,93,-82,-11
50,51,51,Ted Purdy,114,56.66,217,166,-138,-18
51,52,52,Rod Pampling,98,56.43,158,122,-101,-13
52,53,53,Ryan Palmer,103,56.21,190,148,-108,-1
53,54,54,Carl Pettersson,100,56.17,173,135,-107,-11
54,55,55,Tom Pernice Jr.,103,55.92,189,149,-90,-16
55,T56,T56,José Coceres,68,55.9,128,101,-70,-4
56,T56,T56,Vaughn Taylor,84,55.9,161,127,-91,+1
57,58,58,Geoff Ogilvy,91,55.74,165,131,-106,-6
58,59,59,Jeff Brehaut,106,55.71,200,159,-112,+2
59,60,60,Tommy Tolles,67,55.7,127,101,-65,-9
60,61,61,D.J. Brigman,79,55.51,141,113,-79,+1
61,62,62,Notah Begay III,71,55.24,137,111,-68,-14
62,63,63,J.L. Lewis,106,55.06,185,151,-110,+1
63,64,64,Arjun Atwal,85,55.05,158,129,-72,-3
64,65,65,Joey Sindelar,100,54.93,184,151,-80,-18
65,66,66,Alex Cejka,76,54.87,124,102,-63,-5
66,67,67,Tim Herron,84,54.85,130,107,-82,-10
67,68,68,Dan Olsen,75,54.8,137,113,-71,+9
68,69,69,Kevin Sutherland,86,54.76,138,114,-62,-12
69,70,70,John Huston,62,54.55,102,85,-49,-7
70,71,71,Brian Bateman,84,54.51,145,121,-99,-7
71,72,72,Freddie Jacobson,83,54.39,130,109,-81,+3
72,73,73,Mark Hensby,97,54.2,155,131,-86,-9
73,74,74,Greg Chalmers,70,54.17,130,110,-67,+2
74,75,75,Rory Sabbatini,89,53.98,156,133,-82,-8
75,76,76,John Rollins,90,53.96,150,128,-81,-12
76,77,77,Jay Delsing,76,53.94,130,111,-59,-5
77,78,78,Peter Lonard,68,53.92,110,94,-55,+8
78,79,79,Deane Pappas,72,53.62,126,109,-79,-4
79,80,80,Andre Stolz,53,53.49,92,80,-40,+2
