,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Tim Clark,84,"30' 9""",38814.25,1262,79
1,2,2,Fred Funk,97,"31' 2""",45852.667,1472,86
2,3,3,Justin Rose,77,"31' 10""",35290.417,1109,33
3,4,4,David Toms,80,"32' 0""",32929.25,1030,21
4,T5,T5,Scott Hoch,52,"32' 6""",26032.333,801,19
5,T5,T5,Heath Slocum,92,"32' 6""",48005.083,1478,41
6,T7,T7,Joe Durant,85,"32' 9""",44415.583,1356,1
7,T7,T7,Tom Lehman,70,"32' 9""",33626.083,1026,3
8,9,9,Scott Verplank,92,"33' 1""",39974.0,1209,20
9,10,10,Olin Browne,92,"33' 2""",46687.25,1409,12
10,11,11,Jay Williamson,100,"33' 3""",53589.75,1611,89
11,12,12,Bob Estes,73,"33' 4""",30094.167,902,119
12,13,13,John Cook,57,"33' 5""",28739.667,861,58
13,T14,T14,Stephen Ames,97,"33' 6""",47760.417,1424,24
14,T14,T14,Justin Leonard,90,"33' 6""",38414.917,1148,73
15,16,16,K.J. Choi,83,"33' 7""",37550.333,1118,77
16,T17,T17,Robert Gamez,103,"33' 8""",54042.0,1604,82
17,T17,T17,Jeff Sluman,98,"33' 8""",48972.5,1454,15
18,T17,T17,Omar Uresti,85,"33' 8""",45276.25,1346,160
19,T20,T20,Bart Bryant,73,"33' 9""",39389.333,1166,13
20,T20,T20,Brian Gay,96,"33' 9""",52692.0,1561,177
21,T20,T20,Kirk Triplett,88,"33' 9""",39043.167,1157,34
22,T20,T20,Duffy Waldorf,79,"33' 9""",35411.833,1050,9
23,T24,T24,Lee Janzen,84,"33' 10""",42273.0,1248,30
24,T24,T24,Loren Roberts,81,"33' 10""",41208.917,1219,54
25,T26,T26,Tom Byrum,83,"33' 11""",43842.0,1294,130
26,T26,T26,Jay Haas,84,"33' 11""",36834.5,1087,47
27,T26,T26,Joey Sindelar,100,"33' 11""",53455.5,1578,36
28,T29,T29,Jeff Maggert,60,"34' 0""",30366.667,894,37
29,T29,T29,Vijay Singh,112,"34' 0""",53186.5,1566,2
30,T29,T29,Hidemichi Tanaka,89,"34' 0""",47347.083,1392,71
31,T29,T29,Vaughn Taylor,84,"34' 0""",46280.75,1361,23
