,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Sergio Garcia,65,1.2109999999999999,60.568000000000005,50
1,2,2,Vijay Singh,112,1.1159999999999999,99.36200000000001,89
2,3,3,Scott Verplank,92,0.971,66.045,68
3,4,4,David Toms,80,0.968,57.089,59
4,5,5,Justin Rose,77,0.882,55.556999999999995,63
5,6,6,Tiger Woods,78,0.873,47.152,54
6,7,7,Jay Haas,84,0.862,52.56100000000001,61
7,8,8,Jeff Sluman,98,0.76,62.321000000000005,82
8,9,9,Stewart Cink,103,0.7240000000000001,57.22,79
9,10,10,Scott Hoch,52,0.721,33.144,46
10,11,11,Stephen Ames,97,0.7120000000000001,56.928000000000004,80
11,12,12,Ernie Els,62,0.7090000000000001,29.069000000000003,41
12,13,13,John Huston,62,0.701,31.528000000000002,45
13,14,14,Lee Janzen,84,0.6920000000000001,48.41,70
14,15,15,Tim Clark,84,0.691,49.042,71
15,16,16,Joey Sindelar,100,0.679,60.427,89
16,17,17,Robert Allenby,93,0.675,48.592,72
17,18,18,Chad Campbell,100,0.66,50.849,77
18,T19,T19,Jerry Kelly,113,0.616,54.224,88
19,T19,T19,Bernhard Langer,59,0.616,25.89,42
20,21,21,Retief Goosen,56,0.604,24.166,40
21,22,22,Phil Mickelson,83,0.597,32.217,54
22,23,23,Tom Lehman,70,0.596,34.586,58
23,24,24,Adam Scott,55,0.5710000000000001,22.835,40
24,25,25,Duffy Waldorf,79,0.568,33.518,59
25,26,26,Luke Donald,72,0.563,34.896,62
26,27,27,Dudley Hart,60,0.557,25.625,46
27,28,28,Kenny Perry,79,0.512,31.732,62
28,29,29,Chris DiMarco,105,0.508,39.145,77
29,30,30,Shigeki Maruyama,93,0.493,38.424,78
30,31,31,Bart Bryant,73,0.484,31.441999999999997,65
31,32,32,Bob Estes,73,0.48,24.495,51
32,33,33,José María Olazábal,56,0.474,19.91,42
