,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Tim Clark,84,31.42,104,331
1,2,2,Tiger Woods,78,30.34,54,178
2,3,3,Justin Rose,77,29.5,77,261
3,4,4,Loren Roberts,81,28.11,79,281
4,5,5,Corey Pavin,83,27.98,68,243
5,6,6,Matt Gogel,86,27.85,88,316
6,7,7,Jay Haas,84,27.67,57,206
7,8,8,Adam Scott,55,27.59,40,145
8,9,9,Danny Briggs,85,27.5,88,320
9,10,10,Chris Riley,78,27.41,54,197
10,11,11,Scott Hoch,52,27.39,63,230
11,12,12,David Toms,80,27.31,68,249
12,13,13,Skip Kendall,99,27.3,86,315
13,14,14,Jerry Kelly,113,27.09,94,347
14,15,15,Scott Verplank,92,26.83,66,246
15,16,16,Brian Gay,96,26.77,106,396
16,17,17,Matt Kuchar,83,26.71,86,322
17,18,18,Vijay Singh,112,26.65,101,379
18,19,19,Chris DiMarco,105,26.54,82,309
19,20,20,Carl Pettersson,100,26.42,84,318
20,21,21,Joe Ogilvie,104,26.4,99,375
21,22,22,Notah Begay III,71,26.34,64,243
22,23,23,Bob Estes,73,26.11,53,203
23,24,24,Ted Purdy,114,26.07,104,399
24,25,25,Lee Janzen,84,26.02,70,269
25,26,26,Shigeki Maruyama,93,26.01,77,296
26,27,27,Zach Johnson,109,25.97,94,362
27,28,28,Tom Lehman,70,25.71,54,210
28,29,29,Mark Wilson,62,25.65,59,230
29,30,30,Jeff Sluman,98,25.63,81,316
30,T31,T31,Daniel Chopra,108,25.53,96,376
31,T31,T31,Fred Funk,97,25.53,85,333
