,GIR_Percentage_-_75-100_yards_RANK THIS WEEK,GIR_Percentage_-_75-100_yards_RANK LAST WEEK,GIR_Percentage_-_75-100_yards_PLAYER NAME,GIR_Percentage_-_75-100_yards_ROUNDS,GIR_Percentage_-_75-100_yards_%,GIR_Percentage_-_75-100_yards_GREENS HIT,GIR_Percentage_-_75-100_yards_TOTAL HOLES,GIR_Percentage_-_75-100_yards_RELATIVE TO PAR
0,1,1,Chris Riley,78,91.38,53,58,-0.49
1,2,2,Tom Byrum,83,87.8,72,82,-0.28
2,3,3,Kirk Triplett,88,87.64,78,89,-0.27
3,4,4,Woody Austin,94,87.5,91,104,-0.29
4,5,5,Loren Roberts,81,86.81,79,91,-0.3
5,6,6,Matt Gogel,86,86.54,90,104,-0.43
6,7,7,Scott Hoch,52,86.49,64,74,-0.36
7,8,8,John Senden,99,86.32,82,95,-0.28
8,T9,T9,J.P. Hayes,79,86.27,88,102,-0.3
9,T9,T9,Davis Love III,85,86.27,44,51,-0.25
10,11,11,Bo Van Pelt,107,86.25,69,80,-0.35
11,T12,T12,David Frost,78,85.71,78,91,-0.26
12,T12,T12,Jeff Sluman,98,85.71,90,105,-0.32
13,14,14,Alex Cejka,76,85.42,41,48,-0.22
14,15,15,Bob Tway,90,85.0,68,80,-0.32
15,16,16,Chad Campbell,100,84.62,55,65,-0.31
16,17,17,Lee Janzen,84,84.52,71,84,-0.35
17,18,18,Russ Cochran,61,84.42,65,77,-0.25
18,19,19,Stewart Cink,103,84.34,70,83,-0.36
19,20,20,Jay Haas,84,84.13,53,63,-0.4
20,T21,T21,Scott McCarron,88,84.09,74,88,-0.32
21,T21,T21,Roland Thatcher,66,84.09,74,88,-0.36
22,T23,T23,Ernie Els,62,83.78,31,37,-0.26
23,T23,T23,Corey Pavin,83,83.78,62,74,-0.4
24,25,25,Steve Elkington,64,83.67,41,49,-0.32
25,26,26,Paul Azinger,75,83.58,56,67,-0.32
26,T27,T27,John Huston,62,83.33,40,48,-0.28
27,T27,T27,Rocco Mediate,53,83.33,30,36,-0.33
28,29,29,Steve Flesch,109,83.17,84,101,-0.33
29,30,30,Kenny Perry,79,83.12,64,77,-0.31
30,31,31,Briny Baird,100,83.02,88,106,-0.26
31,32,32,Justin Leonard,90,82.89,63,76,-0.21
32,33,33,Joe Durant,85,82.76,72,87,-0.33
33,34,34,Brad Faxon,94,82.72,67,81,-0.28
34,35,35,Bob Estes,73,82.69,43,52,-0.4
35,36,36,Craig Barlow,80,82.65,81,98,-0.33
36,37,37,Brian Bateman,84,82.61,57,69,-0.35
37,38,38,Tom Lehman,70,82.54,52,63,-0.44
38,39,39,Aaron Baddeley,87,82.46,47,57,-0.45
39,40,40,Mark Brooks,72,82.43,61,74,-0.21
40,41,41,Pat Bates,99,82.35,98,119,-0.38
