,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Joe Durant,85,73.27,1121,1530,-0.23
1,2,2,Vijay Singh,112,73.03,1446,1980,-0.31
2,3,3,Tom Lehman,70,71.38,848,1188,-0.27
3,4,4,Sergio Garcia,65,70.83,816,1152,-0.25
4,5,5,Briny Baird,100,70.62,1233,1746,-0.26
5,6,6,John Senden,99,70.54,1219,1728,-0.26
6,7,7,Chris Smith,105,70.37,1330,1890,-0.25
7,8,8,Robert Allenby,93,70.33,1114,1584,-0.24
8,9,9,Duffy Waldorf,79,69.94,919,1314,-0.27
9,10,10,Phil Mickelson,83,69.55,989,1422,-0.29
10,11,11,Luke Donald,72,69.37,899,1296,-0.23
11,12,12,Olin Browne,92,68.94,1092,1584,-0.25
12,13,13,Bart Bryant,73,68.92,856,1242,-0.25
13,14,14,Mark Wilson,62,68.91,769,1116,-0.24
14,15,15,Jeff Sluman,98,68.79,1201,1746,-0.25
15,16,16,John Huston,62,68.75,693,1008,-0.23
16,17,17,Retief Goosen,56,68.69,680,990,-0.31
17,18,18,Kenny Perry,79,68.64,939,1368,-0.27
18,19,19,Scott Hoch,52,68.63,630,918,-0.24
19,20,20,Scott Verplank,92,68.5,1122,1638,-0.29
20,21,21,David Toms,80,68.47,912,1332,-0.27
21,22,22,Carlos Franco,99,68.46,1220,1782,-0.25
22,23,23,Vaughn Taylor,84,68.43,1010,1476,-0.29
23,24,24,Stephen Ames,97,68.42,1170,1710,-0.29
24,25,25,Woody Austin,94,68.14,1153,1692,-0.27
25,26,26,Danny Briggs,85,68.11,993,1458,-0.24
26,27,27,Roland Thatcher,66,68.01,808,1188,-0.23
27,28,28,Jerry Kelly,113,67.99,1334,1962,-0.27
28,29,29,Zach Johnson,109,67.86,1307,1926,-0.27
29,30,30,Lee Janzen,84,67.82,1001,1476,-0.25
30,31,31,Chad Campbell,100,67.74,1134,1674,-0.24
31,32,32,Bo Van Pelt,107,67.68,1267,1872,-0.28
32,33,33,Justin Rose,77,67.67,877,1296,-0.27
33,T34,T34,Craig Barlow,80,67.66,950,1404,-0.27
34,T34,T34,Kirk Triplett,88,67.66,1023,1512,-0.28
35,36,36,Joey Sindelar,100,67.63,1193,1764,-0.24
36,37,37,Jeff Maggert,60,67.5,729,1080,-0.25
37,38,38,Lucas Glover,95,67.46,1105,1638,-0.27
38,39,39,Kent Jones,99,67.41,1177,1746,-0.27
39,40,40,Ted Purdy,114,67.36,1358,2016,-0.28
40,41,41,Heath Slocum,92,67.1,1087,1620,-0.24
41,42,42,John Riegger,53,67.09,640,954,-0.26
42,43,43,Chris DiMarco,105,67.06,1183,1764,-0.27
43,44,44,Arron Oberholser,77,67.05,881,1314,-0.26
44,45,45,Cameron Beckman,99,67.01,1158,1728,-0.27
45,46,46,Shaun Micheel,93,66.97,1097,1638,-0.24
46,47,47,Jay Haas,84,66.95,952,1422,-0.27
47,48,48,Tiger Woods,78,66.9,867,1296,-0.34
48,49,49,Geoff Ogilvy,91,66.86,1047,1566,-0.32
49,T50,T50,Jason Bohn,98,66.84,1143,1710,-0.29
50,T50,T50,Tom Pernice Jr.,103,66.84,1191,1782,-0.26
51,52,52,Steve Allan,102,66.78,1190,1782,-0.26
52,53,53,Russ Cochran,61,66.76,733,1098,-0.22
53,T54,T54,Brian Bateman,84,66.6,959,1440,-0.28
54,T54,T54,Loren Roberts,81,66.6,947,1422,-0.28
55,56,56,J.J. Henry,103,66.56,1234,1854,-0.25
56,57,57,Jonathan Kaye,79,66.52,910,1368,-0.24
57,T58,T58,John Cook,57,66.46,634,954,-0.23
58,T58,T58,J.L. Lewis,106,66.46,1268,1908,-0.27
59,60,60,John Daly,79,66.39,944,1422,-0.32
60,61,61,Stewart Cink,103,66.38,1159,1746,-0.3
61,62,62,Fred Couples,54,66.35,621,936,-0.26
62,63,63,Pat Bates,99,66.27,1157,1746,-0.22
63,64,64,Jeff Brehaut,106,66.24,1240,1872,-0.23
64,65,65,David Branshaw,84,66.19,977,1476,-0.24
65,T66,T66,Notah Begay III,71,66.17,798,1206,-0.26
66,T66,T66,Jason Dufner,79,66.17,941,1422,-0.26
67,T66,T66,Pat Perez,102,66.17,1191,1800,-0.26
68,69,69,Rod Pampling,98,66.13,1119,1692,-0.29
69,70,70,Steve Elkington,64,66.12,726,1098,-0.24
70,71,71,Hidemichi Tanaka,89,66.1,1059,1602,-0.24
71,72,72,Jesper Parnevik,86,66.09,1023,1548,-0.28
72,73,73,Justin Leonard,90,66.08,1011,1530,-0.26
73,74,74,Charles Howell III,104,66.06,1201,1818,-0.24
74,75,75,Billy Mayfair,109,66.03,1248,1890,-0.21
75,76,76,Neal Lancaster,106,65.86,1221,1854,-0.26
76,77,77,K.J. Choi,83,65.85,972,1476,-0.26
77,78,78,Brett Quigley,102,65.82,1161,1764,-0.26
78,79,79,Tim Clark,84,65.81,995,1512,-0.26
79,80,80,D.J. Brigman,79,65.79,900,1368,-0.23
80,81,81,Steve Flesch,109,65.77,1243,1890,-0.27
81,82,82,Robert Gamez,103,65.75,1219,1854,-0.27
82,83,83,Ernie Els,62,65.61,685,1044,-0.32
83,84,84,Adam Scott,55,65.6,614,936,-0.3
84,85,85,Brent Geiberger,94,65.57,1074,1638,-0.27
85,T86,T86,Fred Funk,97,65.51,1132,1728,-0.26
86,T86,T86,Rocco Mediate,53,65.51,566,864,-0.24
87,88,88,Ryan Palmer,103,65.5,1179,1800,-0.28
88,89,89,Jay Williamson,100,65.42,1154,1764,-0.25
89,90,90,Scott McCarron,88,65.37,1012,1548,-0.28
90,T91,T91,Dudley Hart,60,65.33,682,1044,-0.25
91,T91,T91,Matt Kuchar,83,65.33,976,1494,-0.24
92,93,93,Bernhard Langer,59,65.25,646,990,-0.24
93,94,94,Harrison Frazar,86,65.24,963,1476,-0.32
94,95,95,Mike Weir,75,65.14,856,1314,-0.28
95,96,96,Tim Herron,84,65.13,973,1494,-0.25
96,97,97,Stuart Appleby,84,65.1,914,1404,-0.28
97,98,98,Tommy Armour III,87,65.07,1019,1566,-0.24
98,99,99,Steve Pate,71,65.06,808,1242,-0.24
99,100,100,Rory Sabbatini,89,64.92,1005,1548,-0.25
100,101,101,Patrick Sheehan,113,64.91,1297,1998,-0.27
101,102,102,Spike McRoy,93,64.9,1063,1638,-0.22
102,103,103,Mark Calcavecchia,79,64.89,911,1404,-0.27
103,104,104,Stephen Leaney,84,64.81,875,1350,-0.22
104,105,105,Frank Lickliter II,89,64.79,1003,1548,-0.28
105,106,106,Bob Tway,90,64.77,991,1530,-0.23
106,107,107,Kevin Na,100,64.7,1118,1728,-0.25
107,T108,T108,Shigeki Maruyama,93,64.55,1069,1656,-0.29
108,T108,T108,Carl Pettersson,100,64.55,1127,1746,-0.31
109,110,110,Jay Delsing,76,64.54,848,1314,-0.25
110,111,111,Richard Johnson,102,64.49,1184,1836,-0.27
111,112,112,Rich Barcelo,67,64.44,754,1170,-0.23
112,113,113,Freddie Jacobson,83,64.38,927,1440,-0.3
113,114,114,Billy Andrade,104,64.37,1205,1872,-0.26
114,115,115,Michael Allen,87,64.25,983,1530,-0.28
115,T116,T116,Davis Love III,85,64.22,867,1350,-0.29
116,T116,T116,Tag Ridings,53,64.22,578,900,-0.29
117,118,118,Ben Crane,92,64.19,1063,1656,-0.29
118,119,119,Bob Estes,73,64.16,820,1278,-0.27
119,120,120,Darren Clarke,54,64.0,553,864,-0.3
120,121,121,David Peoples,82,63.96,921,1440,-0.25
121,122,122,Daniel Chopra,108,63.94,1220,1908,-0.3
122,123,123,Steve Lowery,91,63.92,1024,1602,-0.28
123,124,124,Todd Fischer,104,63.89,1173,1836,-0.26
124,125,125,Danny Ellis,81,63.85,885,1386,-0.28
125,126,126,Robert Damron,92,63.83,1057,1656,-0.24
126,127,127,Alex Cejka,76,63.81,804,1260,-0.25
127,128,128,David Frost,78,63.75,895,1404,-0.22
128,129,129,Rich Beem,81,63.71,883,1386,-0.24
129,T130,T130,Tom Byrum,83,63.65,951,1494,-0.25
130,T130,T130,Hunter Mahan,94,63.65,1077,1692,-0.27
131,132,132,Grant Waite,79,63.64,882,1386,-0.24
132,133,133,J.P. Hayes,79,63.63,859,1350,-0.25
133,134,134,Blaine McCallister,68,63.56,778,1224,-0.22
134,135,135,Kevin Sutherland,86,63.51,926,1458,-0.24
135,136,136,Tim Petrovic,111,63.45,1222,1926,-0.26
136,137,137,Deane Pappas,72,63.41,799,1260,-0.27
137,138,138,Ben Curtis,56,63.35,593,936,-0.21
138,139,139,Tripp Isenhour,55,63.31,604,954,-0.24
139,140,140,José Coceres,68,63.28,729,1152,-0.27
140,141,141,Mark Hensby,97,63.26,1059,1674,-0.3
141,142,142,Matt Gogel,86,63.23,956,1512,-0.28
142,143,143,Roger Tambellini,81,63.18,887,1404,-0.25
143,144,144,Mathias Grönberg,91,63.15,989,1566,-0.24
144,145,145,Joe Ogilvie,104,63.07,1158,1836,-0.28
145,146,146,Dan Forsman,79,63.06,874,1386,-0.22
146,T147,T147,Paul Azinger,75,63.04,851,1350,-0.3
147,T147,T147,Craig Perks,75,63.04,817,1296,-0.23
148,149,149,Andre Stolz,53,63.0,601,954,-0.25
149,150,150,Dennis Paulson,71,62.99,805,1278,-0.28
150,151,151,Brenden Pappas,111,62.96,1224,1944,-0.29
151,152,152,Craig Bowden,83,62.92,940,1494,-0.24
152,T153,T153,Tom Carter,113,62.88,1245,1980,-0.25
153,T153,T153,Peter Lonard,68,62.88,747,1188,-0.21
154,155,155,Hank Kuehne,91,62.86,1007,1602,-0.29
155,156,156,Mike Heinen,53,62.79,599,954,-0.28
156,157,157,Todd Hamilton,92,62.69,993,1584,-0.25
157,158,158,Skip Kendall,99,62.68,1117,1782,-0.25
158,159,159,Scott Hend,81,62.66,891,1422,-0.27
159,T160,T160,Dicky Pride,66,62.61,710,1134,-0.2
160,T160,T160,Omar Uresti,85,62.61,958,1530,-0.22
161,162,162,John Rollins,90,62.55,957,1530,-0.26
162,163,163,Arjun Atwal,85,62.52,934,1494,-0.27
163,164,164,José María Olazábal,56,62.5,585,936,-0.27
164,165,165,Chris Riley,78,62.46,832,1332,-0.25
165,166,166,Mark O'Meara,58,62.45,652,1044,-0.25
166,167,167,Bob Burns,88,62.27,964,1548,-0.25
167,168,168,Corey Pavin,83,62.1,883,1422,-0.27
168,169,169,Scott Simpson,55,62.02,614,990,-0.22
169,170,170,Brian Kortan,65,62.01,692,1116,-0.2
170,171,171,Gene Sauers,83,62.0,904,1458,-0.25
171,172,172,Kris Cox,73,61.97,792,1278,-0.24
172,173,173,Dean Wilson,99,61.95,1104,1782,-0.29
173,174,174,Ken Duke,89,61.88,969,1566,-0.25
