,Approach_250-275_yards_RTP_RANK THIS WEEK,Approach_250-275_yards_RTP_RANK LAST WEEK,Approach_250-275_yards_RTP_PLAYER NAME,Approach_250-275_yards_RTP_ROUNDS,Approach_250-275_yards_RTP_AVG RTP
0,1,1,Fred Couples,54,-1.000
1,2,2,Geoff Ogilvy,91,-.920
2,3,3,John Daly,79,-.850
3,4,4,Steve Stricker,81,-.818
4,5,5,Ben Crane,92,-.788
5,T6,T6,Rich Beem,81,-.765
6,T6,T6,Darren Clarke,54,-.765
7,8,8,Greg Chalmers,70,-.750
8,9,9,Tiger Woods,78,-.739
9,10,10,Vijay Singh,112,-.738
10,11,11,Craig Barlow,80,-.722
11,12,12,Todd Fischer,104,-.707
12,13,13,Nick Price,51,-.688
13,14,14,K.J. Choi,83,-.682
14,T15,T15,Steve Allan,102,-.677
15,T15,T15,Rod Pampling,98,-.677
16,17,17,Cliff Kresge,89,-.676
17,T18,T18,Jeff Brehaut,106,-.667
18,T18,T18,Mark O'Meara,58,-.667
19,20,20,Steve Lowery,91,-.657
20,21,21,Tim Herron,84,-.640
21,22,22,Chris Smith,105,-.634
22,T23,T23,Mark Hensby,97,-.633
23,T23,T23,Freddie Jacobson,83,-.633
24,T23,T23,Ted Purdy,114,-.633
25,T26,T26,Bart Bryant,73,-.632
26,T26,T26,Craig Parry,52,-.632
27,28,28,J.P. Hayes,79,-.625
28,29,29,Grant Waite,79,-.618
29,30,30,José María Olazábal,56,-.615
30,T31,T31,Ernie Els,62,-.611
31,T31,T31,Jesper Parnevik,86,-.611
32,33,33,J.J. Henry,103,-.609
33,34,34,Retief Goosen,56,-.607
34,35,35,Notah Begay III,71,-.606
35,T36,T36,Billy Andrade,104,-.600
36,T36,T36,Cameron Beckman,99,-.600
37,T36,T36,Jerry Kelly,113,-.600
38,T36,T36,Davis Love III,85,-.600
39,T36,T36,Jeff Maggert,60,-.600
40,T41,T41,Shaun Micheel,93,-.593
41,T41,T41,Kirk Triplett,88,-.593
42,T43,T43,Dan Olsen,75,-.583
43,T43,T43,Tag Ridings,53,-.583
44,45,45,Ken Duke,89,-.581
45,T46,T46,Woody Austin,94,-.577
46,T46,T46,Dennis Paulson,71,-.577
47,T46,T46,David Toms,80,-.577
48,49,49,Shigeki Maruyama,93,-.576
49,T50,T50,Michael Allen,87,-.571
50,T50,T50,Todd Hamilton,92,-.571
51,52,52,Rocco Mediate,53,-.563
52,53,53,Chris DiMarco,105,-.561
53,T54,T54,Stephen Ames,97,-.556
54,T54,T54,Stewart Cink,103,-.556
55,T54,T54,Kevin Muncrief,50,-.556
56,T54,T54,Roger Tambellini,81,-.556
57,58,58,Tom Pernice Jr.,103,-.554
58,59,59,Niclas Fasth,61,-.552
59,60,60,Kevin Na,100,-.549
60,61,61,Steve Pate,71,-.548
61,T62,T62,Corey Pavin,83,-.545
62,T62,T62,Dean Wilson,99,-.545
63,64,64,Guy Boros,64,-.542
64,65,65,Hank Kuehne,91,-.536
65,66,66,Matt Gogel,86,-.533
66,T67,T67,Brian Bateman,84,-.531
67,T67,T67,José Coceres,68,-.531
68,69,69,Adam Scott,55,-.529
69,70,70,John Riegger,53,-.526
70,71,71,Jonathan Byrd,85,-.525
71,T72,T72,Tim Clark,84,-.522
72,T72,T72,John Cook,57,-.522
73,74,74,Paul Azinger,75,-.520
74,75,75,Harrison Frazar,86,-.517
75,T76,T76,Tom Byrum,83,-.516
76,T76,T76,Len Mattiace,75,-.516
77,78,78,Charles Howell III,104,-.515
78,T79,T79,Mark Calcavecchia,79,-.500
79,T79,T79,Daniel Chopra,108,-.500
80,T79,T79,Chris Couch,55,-.500
81,T79,T79,Jay Delsing,76,-.500
82,T79,T79,Jay Haas,84,-.500
83,T79,T79,Mike Heinen,53,-.500
84,T79,T79,Tripp Isenhour,55,-.500
85,T79,T79,Richard Johnson,102,-.500
86,T79,T79,Kent Jones,99,-.500
87,T79,T79,Tom Lehman,70,-.500
88,T79,T79,J.L. Lewis,106,-.500
89,T79,T79,Frank Lickliter II,89,-.500
90,T79,T79,Hirofumi Miyase,65,-.500
91,T79,T79,Kevin Sutherland,86,-.500
92,93,93,Bo Van Pelt,107,-.489
93,94,94,Stuart Appleby,84,-.486
94,T95,T95,Dan Forsman,79,-.484
95,T95,T95,Heath Slocum,92,-.484
96,97,97,Chris Riley,78,-.483
97,T98,T98,David Frost,78,-.481
98,T98,T98,Scott Hend,81,-.481
99,T98,T98,Brenden Pappas,111,-.481
100,101,101,Brent Geiberger,94,-.480
101,T102,T102,Robert Allenby,93,-.477
102,T102,T102,Lucas Glover,95,-.477
103,104,104,Patrick Sheehan,113,-.475
104,105,105,Fred Funk,97,-.474
105,T106,T106,Pat Bates,99,-.471
106,T106,T106,Jason Dufner,79,-.471
107,T108,T108,Craig Bowden,83,-.469
108,T108,T108,Scott Verplank,92,-.469
109,110,110,Jay Williamson,100,-.467
110,111,111,Robert Damron,92,-.464
111,112,112,Andre Stolz,53,-.462
112,113,113,John Rollins,90,-.457
113,T114,T114,Tom Carter,113,-.455
114,T114,T114,Bernhard Langer,59,-.455
115,T116,T116,Tommy Armour III,87,-.452
116,T116,T116,Briny Baird,100,-.452
117,118,118,Zach Johnson,109,-.450
118,119,119,Vaughn Taylor,84,-.447
119,T120,T120,David Peoples,82,-.444
120,T120,T120,Rory Sabbatini,89,-.444
121,122,122,Ryan Palmer,103,-.442
122,123,123,Steve Flesch,109,-.441
123,124,124,Jonathan Kaye,79,-.440
124,T125,T125,John Huston,62,-.438
125,T125,T125,Peter Lonard,68,-.438
126,127,127,Luke Donald,72,-.436
127,128,128,Jeff Sluman,98,-.433
128,129,129,Tommy Tolles,67,-.423
129,130,130,Carlos Franco,99,-.422
130,T131,T131,Alex Cejka,76,-.419
131,T131,T131,Arron Oberholser,77,-.419
132,133,133,Jason Bohn,98,-.417
133,T134,T134,Danny Briggs,85,-.414
134,T134,T134,Matt Kuchar,83,-.414
135,T136,T136,Ben Curtis,56,-.412
136,T136,T136,Danny Ellis,81,-.412
137,138,138,Omar Uresti,85,-.409
138,139,139,Kenny Perry,79,-.407
139,T140,T140,Mathias Grönberg,91,-.400
140,T140,T140,David Morland IV,73,-.400
141,T140,T140,Craig Perks,75,-.400
142,T143,T143,Dudley Hart,60,-.389
143,T143,T143,Brett Quigley,102,-.389
144,145,145,Sergio Garcia,65,-.385
145,146,146,Olin Browne,92,-.382
146,T147,T147,Steve Elkington,64,-.381
147,T147,T147,Joey Sindelar,100,-.381
148,149,149,Mike Weir,75,-.379
149,150,150,Chad Campbell,100,-.375
150,151,151,Duffy Waldorf,79,-.370
151,T152,T152,Tim Petrovic,111,-.367
152,T152,T152,Carl Pettersson,100,-.367
153,154,154,Kris Cox,73,-.360
154,155,155,Billy Mayfair,109,-.359
155,T156,T156,Skip Kendall,99,-.353
156,T156,T156,Neal Lancaster,106,-.353
157,T156,T156,Gene Sauers,83,-.353
158,159,159,Robert Gamez,103,-.351
159,160,160,Brian Kortan,65,-.350
160,161,161,Deane Pappas,72,-.346
161,162,162,Phil Mickelson,83,-.345
162,163,163,Lee Janzen,84,-.344
163,164,164,Glen Day,101,-.343
164,165,165,Scott McCarron,88,-.341
165,T166,T166,Brad Faxon,94,-.333
166,T166,T166,David Gossett,57,-.333
167,T166,T166,Loren Roberts,81,-.333
168,169,169,Esteban Toledo,92,-.324
169,170,170,D.J. Brigman,79,-.323
170,171,171,Stephen Leaney,84,-.321
171,172,172,David Branshaw,84,-.320
172,173,173,Justin Leonard,90,-.316
173,T174,T174,Arjun Atwal,85,-.313
174,T174,T174,Scott Simpson,55,-.313
175,T176,T176,Joe Durant,85,-.308
176,T176,T176,Mark Wilson,62,-.308
177,178,178,Bob Tway,90,-.304
178,T179,T179,Bob Burns,88,-.300
179,T179,T179,John Senden,99,-.300
180,181,181,Hidemichi Tanaka,89,-.296
181,182,182,Mark Brooks,72,-.292
182,T183,T183,Brian Gay,96,-.289
183,T183,T183,Pat Perez,102,-.289
184,185,185,Aaron Baddeley,87,-.286
185,186,186,Justin Rose,77,-.267
186,T187,T187,Rich Barcelo,67,-.263
187,T187,T187,Blaine McCallister,68,-.263
188,189,189,Roland Thatcher,66,-.240
189,190,190,Bob Estes,73,-.235
190,191,191,Spike McRoy,93,-.200
191,192,192,Scott Hoch,52,-.182
192,193,193,Hunter Mahan,94,-.175
193,194,194,Joe Ogilvie,104,-.171
194,195,195,Dicky Pride,66,-.053
195,196,196,Russ Cochran,61,E
