,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,T1,T1,Ernie Els,62,-1.000
1,T1,T1,Scott Hoch,52,-1.000
2,T1,T1,Craig Parry,52,-1.000
3,T4,T4,Retief Goosen,56,-.917
4,T4,T4,José María Olazábal,56,-.917
5,6,6,Kenny Perry,79,-.813
6,7,7,Jonathan Kaye,79,-.769
7,8,8,Carlos Franco,99,-.733
8,T9,T9,Stuart Appleby,84,-.727
9,T9,T9,Jay Haas,84,-.727
10,11,11,Harrison Frazar,86,-.708
11,12,12,Bo Van Pelt,107,-.688
12,T13,T13,John Cook,57,-.667
13,T13,T13,Luke Donald,72,-.667
14,T13,T13,Tom Lehman,70,-.667
15,T13,T13,Mike Weir,75,-.667
16,17,17,Scott Verplank,92,-.647
17,T18,T18,Stephen Ames,97,-.643
18,T18,T18,Jonathan Byrd,85,-.643
19,20,20,Tom Byrum,83,-.636
20,21,21,Danny Briggs,85,-.625
21,22,22,Gene Sauers,83,-.619
22,23,23,Deane Pappas,72,-.615
23,24,24,Brett Quigley,102,-.611
24,T25,T25,Steve Allan,102,-.600
25,T25,T25,Robert Allenby,93,-.600
26,T25,T25,Steve Elkington,64,-.600
27,T25,T25,Mike Heinen,53,-.600
28,T25,T25,Mark O'Meara,58,-.600
29,T25,T25,Brenden Pappas,111,-.600
30,T25,T25,Loren Roberts,81,-.600
31,T32,T32,Alex Cejka,76,-.588
32,T32,T32,Kevin Sutherland,86,-.588
33,34,34,Fred Funk,97,-.583
34,T35,T35,D.J. Brigman,79,-.579
35,T35,T35,Matt Kuchar,83,-.579
36,T37,T37,Brian Bateman,84,-.571
37,T37,T37,Rich Beem,81,-.571
38,T37,T37,Ben Curtis,56,-.571
39,40,40,Vijay Singh,112,-.565
40,41,41,John Daly,79,-.563
41,42,42,Ken Duke,89,-.560
42,T43,T43,Glen Day,101,-.556
43,T43,T43,Rod Pampling,98,-.556
44,45,45,Brian Kortan,65,-.545
45,T46,T46,Woody Austin,94,-.538
46,T46,T46,John Huston,62,-.538
47,T46,T46,Freddie Jacobson,83,-.538
48,T46,T46,J.L. Lewis,106,-.538
49,T46,T46,Steve Pate,71,-.538
50,51,51,Aaron Baddeley,87,-.533
51,T52,T52,Jason Bohn,98,-.526
52,T52,T52,Robert Gamez,103,-.526
53,54,54,Mark Calcavecchia,79,-.524
54,T55,T55,Robert Damron,92,-.522
55,T55,T55,Dan Forsman,79,-.522
56,T57,T57,Briny Baird,100,-.500
57,T57,T57,Pat Bates,99,-.500
58,T57,T57,Mark Brooks,72,-.500
59,T57,T57,Stewart Cink,103,-.500
60,T57,T57,Russ Cochran,61,-.500
61,T57,T57,Fred Couples,54,-.500
62,T57,T57,Todd Fischer,104,-.500
63,T57,T57,David Frost,78,-.500
64,T57,T57,Todd Hamilton,92,-.500
65,T57,T57,Dudley Hart,60,-.500
66,T57,T57,Scott Hend,81,-.500
67,T57,T57,J.J. Henry,103,-.500
68,T57,T57,Richard Johnson,102,-.500
69,T57,T57,Hunter Mahan,94,-.500
70,T57,T57,Rocco Mediate,53,-.500
71,T57,T57,Jesper Parnevik,86,-.500
72,T57,T57,Dennis Paulson,71,-.500
73,T57,T57,Tim Petrovic,111,-.500
74,T57,T57,Justin Rose,77,-.500
75,T57,T57,John Senden,99,-.500
76,T57,T57,Vaughn Taylor,84,-.500
77,T57,T57,Esteban Toledo,92,-.500
78,T57,T57,Dean Wilson,99,-.500
79,T80,T80,Cliff Kresge,89,-.476
80,T80,T80,Kevin Na,100,-.476
81,T82,T82,Paul Azinger,75,-.471
82,T82,T82,Brian Gay,96,-.471
83,T82,T82,David Morland IV,73,-.471
84,T85,T85,Tim Herron,84,-.467
85,T85,T85,Jeff Maggert,60,-.467
86,T85,T85,Craig Perks,75,-.467
87,T88,T88,Lee Janzen,84,-.462
88,T88,T88,Hank Kuehne,91,-.462
89,T88,T88,Shigeki Maruyama,93,-.462
