,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Vijay Singh,112,82.88,770,929
1,2,2,Adam Scott,55,81.52,344,422
2,3,3,Kenny Perry,79,81.24,537,661
3,4,4,Robert Allenby,93,80.7,644,798
4,5,5,Chris Smith,105,80.6,702,871
5,6,6,John Senden,99,80.45,708,880
6,7,7,John Daly,79,80.34,470,585
7,8,8,Tom Lehman,70,79.94,514,643
8,9,9,Retief Goosen,56,79.79,383,480
9,10,10,Vaughn Taylor,84,79.41,590,743
10,11,11,Sergio Garcia,65,79.39,416,524
11,12,12,Phil Mickelson,83,79.34,549,692
12,13,13,Tiger Woods,78,79.23,450,568
13,14,14,John Huston,62,79.22,408,515
14,15,15,Shaun Micheel,93,79.1,636,804
15,16,16,Briny Baird,100,79.07,695,879
16,17,17,Joe Durant,85,79.01,700,886
17,18,18,Duffy Waldorf,79,78.91,550,697
18,19,19,J.J. Henry,103,78.81,729,925
19,20,20,Rod Pampling,98,78.8,617,783
20,21,21,Danny Briggs,85,78.62,581,739
21,22,22,Fred Couples,54,78.6,338,430
22,23,23,Carlos Franco,99,78.58,642,817
23,24,24,Stephen Ames,97,78.51,676,861
24,25,25,Brenden Pappas,111,78.35,590,753
25,26,26,Brett Quigley,102,78.05,608,779
26,27,27,Lee Janzen,84,78.03,554,710
27,28,28,Tag Ridings,53,78.01,305,391
28,29,29,Craig Barlow,80,77.99,574,736
29,30,30,John Riegger,53,77.97,354,454
30,31,31,Tim Herron,84,77.91,522,670
31,32,32,Woody Austin,94,77.9,645,828
32,33,33,Kent Jones,99,77.87,732,940
33,34,34,Stewart Cink,103,77.74,618,795
34,35,35,Jeff Maggert,60,77.62,451,581
35,36,36,Luke Donald,72,77.6,544,701
36,37,37,David Toms,80,77.52,507,654
37,38,38,Roland Thatcher,66,77.39,462,597
38,39,39,Lucas Glover,95,77.33,631,816
39,40,40,Justin Rose,77,77.31,477,617
40,41,41,K.J. Choi,83,77.29,541,700
41,T42,T42,J.L. Lewis,106,77.27,748,968
42,T42,T42,Jeff Sluman,98,77.27,707,915
43,44,44,Billy Andrade,104,77.2,667,864
44,45,45,Cameron Beckman,99,77.17,686,889
45,46,46,Jesper Parnevik,86,77.16,554,718
46,47,47,Mark Wilson,62,77.13,479,621
47,48,48,Jason Bohn,98,76.95,671,872
48,49,49,Freddie Jacobson,83,76.94,477,620
49,50,50,Ernie Els,62,76.82,348,453
50,51,51,Chad Campbell,100,76.77,638,831
51,52,52,Kris Cox,73,76.71,448,584
52,53,53,Loren Roberts,81,76.7,586,764
53,T54,T54,Carl Pettersson,100,76.61,632,825
54,T54,T54,Bob Tway,90,76.61,583,761
55,56,56,Jason Dufner,79,76.6,527,688
56,57,57,Olin Browne,92,76.56,689,900
57,T58,T58,Pat Perez,102,76.54,695,908
58,T58,T58,Bo Van Pelt,107,76.54,721,942
59,60,60,Kirk Triplett,88,76.39,644,843
60,61,61,Tripp Isenhour,55,76.26,347,455
61,62,62,Peter Lonard,68,76.19,432,567
62,63,63,Scott Verplank,92,76.18,745,978
63,64,64,Scott Hoch,52,76.17,374,491
64,65,65,Tom Carter,113,76.16,642,843
65,66,66,Rocco Mediate,53,76.13,354,465
66,67,67,David Peoples,82,76.12,542,712
67,68,68,Ryan Palmer,103,76.11,669,879
68,69,69,Jay Haas,84,76.08,547,719
69,70,70,Jonathan Kaye,79,76.02,523,688
70,71,71,Steve Allan,102,76.01,621,817
71,T72,T72,Jay Delsing,76,75.75,478,631
72,T72,T72,Scott Hend,81,75.75,453,598
73,74,74,Stephen Leaney,84,75.74,512,676
74,75,75,Charles Howell III,104,75.72,686,906
75,76,76,Brian Bateman,84,75.68,557,736
76,77,77,Rich Barcelo,67,75.66,404,534
77,78,78,Mark Calcavecchia,79,75.61,527,697
78,T79,T79,Dudley Hart,60,75.59,387,512
79,T79,T79,Geoff Ogilvy,91,75.59,579,766
80,81,81,Tom Pernice Jr.,103,75.53,710,940
81,82,82,Bob Estes,73,75.52,475,629
82,83,83,Craig Perks,75,75.5,413,547
83,84,84,Matt Kuchar,83,75.47,560,742
84,85,85,Steve Elkington,64,75.43,436,578
85,86,86,Brent Geiberger,94,75.4,619,821
86,T87,T87,David Frost,78,75.35,541,718
87,T87,T87,Zach Johnson,109,75.35,810,1075
88,89,89,Justin Leonard,90,75.28,603,801
89,90,90,Bart Bryant,73,75.25,535,711
90,91,91,Paul Azinger,75,75.17,451,600
91,T92,T92,Ben Curtis,56,75.16,354,471
92,T92,T92,Hank Kuehne,91,75.16,466,620
93,T94,T94,Todd Fischer,104,75.11,658,876
94,T94,T94,Joey Sindelar,100,75.11,673,896
95,96,96,Harrison Frazar,86,75.1,549,731
96,97,97,Jerry Kelly,113,75.09,802,1068
97,98,98,Steve Pate,71,75.04,466,621
98,99,99,José María Olazábal,56,75.0,309,412
99,100,100,Chris Riley,78,74.88,477,637
100,101,101,Ted Purdy,114,74.86,819,1094
101,102,102,Joe Ogilvie,104,74.8,653,873
102,T103,T103,Robert Gamez,103,74.73,698,934
103,T103,T103,Grant Waite,79,74.73,476,637
104,105,105,Stuart Appleby,84,74.71,511,684
105,106,106,John Cook,57,74.68,404,541
106,107,107,Billy Mayfair,109,74.56,765,1026
107,108,108,J.P. Hayes,79,74.54,527,707
108,109,109,Spike McRoy,93,74.53,632,848
109,110,110,Mike Heinen,53,74.51,345,463
110,T111,T111,Bernhard Langer,59,74.48,356,478
111,T111,T111,Steve Lowery,91,74.48,537,721
112,113,113,Neal Lancaster,106,74.46,615,826
113,114,114,Mark Hensby,97,74.4,654,879
114,115,115,Shigeki Maruyama,93,74.36,612,823
115,T116,T116,David Branshaw,84,74.28,566,762
116,T116,T116,Alex Cejka,76,74.28,465,626
117,T116,T116,Deane Pappas,72,74.28,436,587
118,T116,T116,Dean Wilson,99,74.28,644,867
119,120,120,Hunter Mahan,94,74.26,606,816
120,121,121,Mike Weir,75,74.16,485,654
121,122,122,Jeff Brehaut,106,74.15,766,1033
122,123,123,Chris DiMarco,105,74.04,696,940
123,124,124,Michael Allen,87,74.03,496,670
124,125,125,Rich Beem,81,73.98,489,661
125,126,126,Ben Crane,92,73.94,613,829
126,127,127,Arron Oberholser,77,73.86,517,700
127,T128,T128,Dan Olsen,75,73.85,387,524
128,T128,T128,Heath Slocum,92,73.85,661,895
129,130,130,Russ Cochran,61,73.84,412,558
130,131,131,Tommy Armour III,87,73.78,560,759
131,132,132,Scott McCarron,88,73.75,573,777
132,133,133,Davis Love III,85,73.73,466,632
133,134,134,Chris Couch,55,73.72,317,430
134,135,135,Tim Petrovic,111,73.68,700,950
135,136,136,Blaine McCallister,68,73.59,443,602
136,137,137,Richard Johnson,102,73.55,723,983
137,138,138,Andre Stolz,53,73.46,321,437
138,139,139,Todd Hamilton,92,73.44,531,723
139,140,140,Pat Bates,99,73.41,693,944
140,141,141,Frank Lickliter II,89,73.38,587,800
141,142,142,José Coceres,68,73.34,487,664
142,143,143,Tommy Tolles,67,73.21,369,504
143,144,144,Darren Clarke,54,73.16,308,421
144,145,145,Roger Tambellini,81,73.14,471,644
145,T146,T146,Dan Forsman,79,73.11,503,688
146,T146,T146,Rory Sabbatini,89,73.11,522,714
147,T148,T148,Arjun Atwal,85,73.04,512,701
148,T148,T148,Jonathan Byrd,85,73.04,523,716
149,T148,T148,Fred Funk,97,73.04,753,1031
150,151,151,Kevin Sutherland,86,72.99,554,759
151,152,152,Patrick Sheehan,113,72.94,709,972
152,153,153,Danny Ellis,81,72.93,493,676
153,154,154,Jay Williamson,100,72.91,689,945
154,155,155,Tim Clark,84,72.75,614,844
155,156,156,Brian Gay,96,72.64,616,848
156,157,157,Daniel Chopra,108,72.6,628,865
157,158,158,D.J. Brigman,79,72.57,492,678
158,159,159,Steve Stricker,81,72.55,415,572
159,160,160,Kevin Na,100,72.49,664,916
160,161,161,Hidemichi Tanaka,89,72.43,649,896
161,162,162,Notah Begay III,71,72.42,470,649
162,163,163,Mark O'Meara,58,72.32,392,542
163,164,164,Matt Gogel,86,72.26,581,804
164,165,165,Robert Damron,92,72.13,647,897
165,166,166,Skip Kendall,99,72.1,677,939
166,167,167,Steve Flesch,109,72.03,698,969
167,168,168,Niclas Fasth,61,71.71,370,516
168,169,169,Cliff Kresge,89,71.62,545,761
169,170,170,Ken Duke,89,71.41,512,717
170,171,171,Brian Kortan,65,71.38,389,545
171,172,172,Greg Chalmers,70,71.33,428,600
172,173,173,Brad Faxon,94,71.3,544,763
173,174,174,Kevin Muncrief,50,71.28,278,390
174,175,175,Bob Burns,88,71.22,574,806
175,176,176,Tom Byrum,83,71.2,613,861
176,177,177,David Morland IV,73,71.1,502,706
177,178,178,John Rollins,90,71.05,584,822
178,179,179,Mathias Grönberg,91,70.85,503,710
179,180,180,Mark Brooks,72,70.75,462,653
180,181,181,Glen Day,101,70.69,639,904
181,182,182,Gene Sauers,83,70.68,528,747
182,183,183,Dicky Pride,66,70.67,424,600
183,184,184,Dennis Paulson,71,70.45,422,599
184,185,185,Len Mattiace,75,70.43,493,700
185,186,186,David Gossett,57,70.3,303,431
186,187,187,Aaron Baddeley,87,70.11,441,629
187,188,188,Craig Parry,52,69.91,309,442
188,189,189,Corey Pavin,83,69.75,551,790
189,190,190,Omar Uresti,85,69.24,601,868
190,191,191,Esteban Toledo,92,69.18,588,850
191,192,192,Scott Simpson,55,69.13,374,541
192,193,193,Guy Boros,64,68.97,409,593
193,194,194,Craig Bowden,83,68.1,600,881
194,195,195,Hirofumi Miyase,65,67.79,421,621
195,196,196,Nick Price,51,66.95,320,478
