,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Tag Ridings,53,145.3,732512.0,140
1,2,2,Tommy Armour III,87,149.3,1235864.0,230
2,3,3,Scott Hend,81,150.0,1490018.0,276
3,4,4,David Frost,78,150.2,1232838.0,228
4,5,5,Andre Stolz,53,150.8,977332.0,180
5,T6,T6,Danny Ellis,81,150.9,1178998.0,217
6,T6,T6,Kevin Muncrief,50,150.9,1026645.0,189
7,T8,T8,Roland Thatcher,66,151.0,1043976.0,192
8,T8,T8,Tommy Tolles,67,151.0,1201001.0,221
9,10,10,Darren Clarke,54,151.4,528844.0,97
10,11,11,Geoff Ogilvy,91,151.5,1129054.0,207
11,T12,T12,Rod Pampling,98,151.7,1136120.0,208
12,T12,T12,Heath Slocum,92,151.7,1272257.0,233
13,T14,T14,J.L. Lewis,106,151.8,1409704.0,258
14,T14,T14,Dan Olsen,75,151.8,1273373.0,233
15,16,16,Kenny Perry,79,151.9,1006464.0,184
16,17,17,Fred Couples,54,152.0,809807.0,148
17,T18,T18,Brian Kortan,65,152.1,952824.0,174
18,T18,T18,Hank Kuehne,91,152.1,1412720.0,258
19,20,20,Greg Chalmers,70,152.6,1071318.0,195
20,21,21,Mike Heinen,53,152.8,979148.0,178
21,22,22,Brian Bateman,84,152.9,1150729.0,209
22,T23,T23,Deane Pappas,72,153.2,1075384.0,195
23,T23,T23,Scott Simpson,55,153.2,948373.0,172
24,25,25,Tim Herron,84,153.3,921711.0,167
25,26,26,Grant Waite,79,153.4,1320230.0,239
26,T27,T27,K.J. Choi,83,153.7,1012267.0,183
27,T27,T27,David Gossett,57,153.7,1372605.0,248
28,T29,T29,Mark Brooks,72,153.8,1118736.0,202
29,T29,T29,Frank Lickliter II,89,153.8,1273540.0,230
30,T31,T31,Arjun Atwal,85,153.9,1340865.0,242
31,T31,T31,Craig Barlow,80,153.9,1107845.0,200
32,33,33,Mark Wilson,62,154.0,892303.0,161
33,34,34,Steve Elkington,64,154.1,954005.0,172
34,35,35,Tripp Isenhour,55,154.3,982956.0,177
35,36,36,John Daly,79,154.4,1117102.0,201
36,37,37,Jay Williamson,100,154.5,1546225.0,278
37,T38,T38,Bob Burns,88,154.7,1320015.0,237
38,T38,T38,Brenden Pappas,111,154.7,1726039.0,310
39,40,40,Vijay Singh,112,154.8,1042211.0,187
40,41,41,Chris Couch,55,155.1,1183627.0,212
41,T42,T42,Kris Cox,73,155.2,1184302.0,212
42,T42,T42,Roger Tambellini,81,155.2,1357918.0,243
43,T44,T44,David Branshaw,84,155.6,1350202.0,241
44,T44,T44,Jason Dufner,79,155.6,1232580.0,220
45,T46,T46,Jonathan Kaye,79,155.7,1048089.0,187
46,T46,T46,Tom Lehman,70,155.7,818164.0,146
47,T48,T48,Aaron Baddeley,87,155.8,1469590.0,262
48,T48,T48,Brian Gay,96,155.8,1357203.0,242
49,T48,T48,Joe Ogilvie,104,155.8,1379651.0,246
50,T51,T51,Bart Bryant,73,156.0,1016311.0,181
51,T51,T51,Harrison Frazar,86,156.0,1213365.0,216
52,T53,T53,Jonathan Byrd,85,156.2,1231660.0,219
53,T53,T53,Chad Campbell,100,156.2,1209325.0,215
54,T53,T53,Carl Pettersson,100,156.2,1254350.0,223
55,56,56,Jeff Brehaut,106,156.3,1665349.0,296
56,T57,T57,J.P. Hayes,79,156.4,1137103.0,202
57,T57,T57,Jerry Kelly,113,156.4,1142906.0,203
58,T57,T57,Steve Lowery,91,156.4,1334038.0,237
59,T60,T60,Jason Bohn,98,156.5,1527224.0,271
60,T60,T60,Tom Carter,113,156.5,1740944.0,309
61,T60,T60,Fred Funk,97,156.5,1200325.0,213
62,T60,T60,Hirofumi Miyase,65,156.5,1188889.0,211
63,T60,T60,Dennis Paulson,71,156.5,1104035.0,196
64,T65,T65,Ken Duke,89,156.7,1618575.0,287
65,T65,T65,Len Mattiace,75,156.7,1292239.0,229
66,T67,T67,Rich Barcelo,67,156.8,1134872.0,201
67,T67,T67,Hunter Mahan,94,156.8,1456268.0,258
68,T67,T67,Vaughn Taylor,84,156.8,1343730.0,238
69,T70,T70,Stephen Leaney,84,156.9,926468.0,164
70,T70,T70,David Peoples,82,156.9,1180663.0,209
71,T72,T72,Ernie Els,62,157.0,542500.0,96
72,T72,T72,Tiger Woods,78,157.0,701012.0,124
73,T74,T74,Steve Allan,102,157.2,1448887.0,256
74,T74,T74,Billy Andrade,104,157.2,1573597.0,278
75,T74,T74,Dan Forsman,79,157.2,1126102.0,199
76,T74,T74,Brent Geiberger,94,157.2,1296340.0,229
77,78,78,Scott McCarron,88,157.3,1274307.0,225
78,T79,T79,Glen Day,101,157.5,1491055.0,263
79,T79,T79,Neal Lancaster,106,157.5,1564705.0,276
80,T81,T81,Shigeki Maruyama,93,157.6,1123634.0,198
81,T81,T81,Jesper Parnevik,86,157.6,1106394.0,195
82,T83,T83,Mark Hensby,97,157.7,1402454.0,247
83,T83,T83,Billy Mayfair,109,157.7,1635100.0,288
84,T83,T83,Brett Quigley,102,157.7,1482043.0,261
85,T83,T83,Rory Sabbatini,89,157.7,1084207.0,191
86,T87,T87,J.J. Henry,103,157.8,1402906.0,247
87,T87,T87,Scott Hoch,52,157.8,636200.0,112
88,T87,T87,Ted Purdy,114,157.8,1692380.0,298
89,T90,T90,Chris DiMarco,105,158.0,1115134.0,196
90,T90,T90,Kirk Triplett,88,158.0,876199.0,154
91,92,92,José María Olazábal,56,158.1,637629.0,112
92,T93,T93,Craig Bowden,83,158.2,1293209.0,227
93,T93,T93,Retief Goosen,56,158.2,461434.0,81
94,T93,T93,Justin Leonard,90,158.2,916857.0,161
95,T96,T96,Lee Janzen,84,158.4,1203153.0,211
96,T96,T96,Shaun Micheel,93,158.4,1163256.0,204
97,T96,T96,Craig Perks,75,158.4,1197532.0,210
98,T96,T96,Nick Price,51,158.4,627175.0,110
