,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Ben Curtis,56,25.93,14,54
1,2,2,Vijay Singh,112,24.32,36,148
2,3,3,Scott Hoch,52,23.73,14,59
3,4,4,Darren Clarke,54,23.64,13,55
4,5,5,Phil Mickelson,83,23.47,23,98
5,6,6,Fred Funk,97,22.89,19,83
6,7,7,Bo Van Pelt,107,22.64,24,106
7,8,8,Justin Rose,77,22.32,25,112
8,9,9,Steve Flesch,109,22.22,28,126
9,10,10,John Huston,62,22.08,17,77
10,11,11,Rory Sabbatini,89,21.13,30,142
11,T12,T12,Alex Cejka,76,20.88,19,91
12,T12,T12,Tiger Woods,78,20.88,19,91
13,14,14,Dennis Paulson,71,20.62,20,97
14,15,15,Zach Johnson,109,20.59,21,102
15,16,16,Brenden Pappas,111,20.51,40,195
16,T17,T17,Brad Faxon,94,20.0,19,95
17,T17,T17,Jerry Kelly,113,20.0,25,125
18,T17,T17,Tim Petrovic,111,20.0,26,130
19,20,20,Chris Smith,105,19.88,32,161
20,T21,T21,Rich Barcelo,67,19.66,23,117
21,T21,T21,Jason Dufner,79,19.66,23,117
22,T23,T23,Scott Verplank,92,19.23,10,52
23,T23,T23,Duffy Waldorf,79,19.23,15,78
24,25,25,John Senden,99,19.15,27,141
25,26,26,Tom Lehman,70,18.97,11,58
26,27,27,Craig Parry,52,18.92,7,37
27,T28,T28,Jonathan Byrd,85,18.75,18,96
28,T28,T28,Dan Olsen,75,18.75,24,128
29,T28,T28,Chris Riley,78,18.75,12,64
30,31,31,Tommy Tolles,67,18.69,20,107
31,32,32,Bart Bryant,73,18.52,15,81
32,33,33,Carlos Franco,99,18.48,34,184
33,34,34,Paul Azinger,75,18.45,19,103
34,T35,T35,Aaron Baddeley,87,18.42,28,152
35,T35,T35,Hank Kuehne,91,18.42,35,190
36,37,37,Kenny Perry,79,18.26,21,115
37,38,38,Pat Perez,102,18.12,25,138
38,39,39,David Toms,80,18.07,15,83
39,T40,T40,Stephen Ames,97,18.03,22,122
40,T40,T40,Chad Campbell,100,18.03,22,122
41,T42,T42,Retief Goosen,56,17.86,10,56
42,T42,T42,Tag Ridings,53,17.86,15,84
43,44,44,Frank Lickliter II,89,17.8,21,118
44,45,45,Scott McCarron,88,17.71,17,96
45,46,46,Jeff Sluman,98,17.12,19,111
46,47,47,Bob Tway,90,17.02,16,94
47,48,48,John Cook,57,16.98,9,53
48,49,49,Ryan Palmer,103,16.95,20,118
49,50,50,Deane Pappas,72,16.94,21,124
50,51,51,Tim Herron,84,16.91,23,136
51,52,52,Tim Clark,84,16.85,15,89
52,T53,T53,John Rollins,90,16.83,17,101
53,T53,T53,Hidemichi Tanaka,89,16.83,17,101
54,55,55,Robert Gamez,103,16.77,26,155
55,56,56,Robert Allenby,93,16.67,17,102
56,57,57,Pat Bates,99,16.54,22,133
57,58,58,José María Olazábal,56,16.44,12,73
58,T59,T59,Cameron Beckman,99,16.3,22,135
59,T59,T59,Guy Boros,64,16.3,15,92
60,T59,T59,Steve Pate,71,16.3,15,92
61,T62,T62,Russ Cochran,61,16.16,16,99
62,T62,T62,Roger Tambellini,81,16.16,16,99
63,64,64,Geoff Ogilvy,91,16.15,21,130
64,65,65,Brian Bateman,84,16.06,22,137
65,66,66,Sergio Garcia,65,16.05,13,81
66,67,67,Neal Lancaster,106,15.95,26,163
67,68,68,Woody Austin,94,15.83,19,120
68,69,69,Stuart Appleby,84,15.79,15,95
69,T70,T70,Ben Crane,92,15.49,22,142
70,T70,T70,Brian Gay,96,15.49,22,142
71,72,72,Ernie Els,62,15.48,13,84
72,73,73,Glen Day,101,15.44,21,136
73,74,74,Joe Ogilvie,104,15.38,18,117
74,75,75,Davis Love III,85,15.18,17,112
75,T76,T76,John Daly,79,15.15,20,132
76,T76,T76,Carl Pettersson,100,15.15,20,132
77,78,78,Lee Janzen,84,15.13,18,119
78,79,79,Todd Hamilton,92,15.0,18,120
79,80,80,Shigeki Maruyama,93,14.96,19,127
