,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Geoff Ogilvy,91,34.94,58,166,-68,68 Under
1,2,2,Chris Couch,55,34.75,41,118,-40,40 Under
2,3,3,Mike Heinen,53,33.33,43,129,-45,45 Under
3,4,4,Adam Scott,55,32.95,29,88,-25,25 Under
4,5,5,Harrison Frazar,86,31.03,54,174,-57,57 Under
5,6,6,Jason Bohn,98,30.33,64,211,-61,61 Under
6,7,7,Brian Bateman,84,30.14,44,146,-49,49 Under
7,8,8,Vijay Singh,112,29.92,79,264,-80,80 Under
8,9,9,Kevin Muncrief,50,29.89,26,87,-26,26 Under
9,10,10,Tommy Armour III,87,29.46,38,129,-35,35 Under
10,11,11,Craig Barlow,80,28.87,41,142,-48,48 Under
11,12,12,Ernie Els,62,28.7,31,108,-33,33 Under
12,13,13,Tiger Woods,78,28.47,41,144,-42,42 Under
13,14,14,Scott Hend,81,28.21,55,195,-60,60 Under
14,15,15,Duffy Waldorf,79,27.93,31,111,-31,31 Under
15,16,16,Phil Mickelson,83,27.86,39,140,-39,39 Under
16,17,17,Bo Van Pelt,107,27.68,49,177,-52,52 Under
17,18,18,Craig Bowden,83,27.5,22,80,-21,21 Under
18,19,19,Brent Geiberger,94,27.48,36,131,-36,36 Under
19,20,20,Steve Stricker,81,27.47,25,91,-24,24 Under
20,21,21,Kent Jones,99,27.33,44,161,-44,44 Under
21,22,22,Rod Pampling,98,27.22,43,158,-48,48 Under
22,23,23,Guy Boros,64,27.18,28,103,-25,25 Under
23,24,24,Chris Smith,105,27.13,70,258,-75,75 Under
24,25,25,Lucas Glover,95,27.12,64,236,-65,65 Under
25,26,26,Omar Uresti,85,27.0,27,100,-24,24 Under
26,27,27,Freddie Jacobson,83,26.92,35,130,-38,38 Under
27,28,28,Tripp Isenhour,55,26.76,19,71,-19,19 Under
28,29,29,Stephen Ames,97,26.39,38,144,-37,37 Under
29,30,30,Rich Beem,81,26.32,40,152,-44,44 Under
30,31,31,K.J. Choi,83,26.26,26,99,-27,27 Under
31,32,32,Vaughn Taylor,84,26.09,42,161,-43,43 Under
32,33,33,Tom Lehman,70,26.02,32,123,-34,34 Under
33,34,34,John Daly,79,25.9,43,166,-48,48 Under
34,35,35,John Senden,99,25.84,54,209,-52,52 Under
35,36,36,Dan Olsen,75,25.71,36,140,-38,38 Under
36,37,37,Dean Wilson,99,25.5,38,149,-39,39 Under
37,38,38,Ted Purdy,114,25.45,56,220,-60,60 Under
38,39,39,Carlos Franco,99,25.37,51,201,-56,56 Under
39,40,40,Dudley Hart,60,25.32,20,79,-23,23 Under
40,41,41,Craig Perks,75,25.25,25,99,-25,25 Under
41,42,42,Fred Funk,97,25.24,26,103,-27,27 Under
42,43,43,Hank Kuehne,91,25.23,54,214,-56,56 Under
43,44,44,Dennis Paulson,71,25.16,40,159,-36,36 Under
44,45,45,D.J. Brigman,79,24.82,35,141,-31,31 Under
45,46,46,Retief Goosen,56,24.77,27,109,-28,28 Under
46,47,47,Brian Kortan,65,24.47,23,94,-21,21 Under
47,48,48,Joey Sindelar,100,24.46,45,184,-44,44 Under
48,49,49,Robert Allenby,93,24.38,39,160,-36,36 Under
49,50,50,Stuart Appleby,84,24.31,35,144,-32,32 Under
50,51,51,Loren Roberts,81,24.29,17,70,-18,18 Under
51,52,52,Brenden Pappas,111,24.24,56,231,-57,57 Under
52,53,53,Jay Haas,84,24.21,23,95,-22,22 Under
53,54,54,Tim Clark,84,24.0,24,100,-23,23 Under
54,55,55,Paul Azinger,75,23.97,29,121,-29,29 Under
55,56,56,Grant Waite,79,23.94,34,142,-36,36 Under
56,57,57,Scott McCarron,88,23.91,44,184,-42,42 Under
57,58,58,Woody Austin,94,23.86,47,197,-47,47 Under
58,T59,T59,Billy Mayfair,109,23.81,40,168,-40,40 Under
59,T59,T59,Heath Slocum,92,23.81,25,105,-25,25 Under
60,61,61,Shigeki Maruyama,93,23.66,31,131,-30,30 Under
61,62,62,Ryan Palmer,103,23.59,46,195,-45,45 Under
62,T63,T63,Michael Allen,87,23.53,32,136,-36,36 Under
63,T63,T63,David Peoples,82,23.53,28,119,-28,28 Under
64,65,65,Ken Duke,89,23.45,34,145,-35,35 Under
65,66,66,Lee Janzen,84,23.44,30,128,-33,33 Under
66,T67,T67,Bart Bryant,73,23.36,25,107,-29,29 Under
67,T67,T67,Fred Couples,54,23.36,25,107,-25,25 Under
68,69,69,Jonathan Byrd,85,23.35,39,167,-39,39 Under
69,70,70,Cameron Beckman,99,23.33,42,180,-45,45 Under
70,71,71,Jeff Brehaut,106,23.27,47,202,-48,48 Under
71,72,72,Steve Lowery,91,23.17,38,164,-39,39 Under
72,73,73,Jerry Kelly,113,23.08,33,143,-35,35 Under
73,74,74,Justin Rose,77,22.88,27,118,-25,25 Under
74,75,75,Kenny Perry,79,22.76,33,145,-34,34 Under
75,76,76,Tom Byrum,83,22.68,22,97,-25,25 Under
76,77,77,Tommy Tolles,67,22.66,29,128,-30,30 Under
77,78,78,Rory Sabbatini,89,22.64,36,159,-32,32 Under
78,79,79,Arron Oberholser,77,22.61,26,115,-29,29 Under
79,80,80,Gene Sauers,83,22.58,28,124,-29,29 Under
80,81,81,Frank Lickliter II,89,22.52,34,151,-38,38 Under
81,82,82,Aaron Baddeley,87,22.45,33,147,-35,35 Under
82,83,83,Scott Hoch,52,22.37,17,76,-17,17 Under
83,84,84,Tom Carter,113,22.34,42,188,-45,45 Under
84,85,85,Briny Baird,100,22.3,31,139,-29,29 Under
85,86,86,Jonathan Kaye,79,22.29,35,157,-35,35 Under
86,87,87,Charles Howell III,104,22.16,37,167,-33,33 Under
87,88,88,Jay Delsing,76,22.14,29,131,-27,27 Under
88,89,89,Steve Allan,102,22.12,50,226,-52,52 Under
89,90,90,Todd Hamilton,92,22.02,24,109,-23,23 Under
90,91,91,Jason Dufner,79,22.01,35,159,-35,35 Under
91,92,92,Hunter Mahan,94,21.93,41,187,-40,40 Under
92,93,93,Billy Andrade,104,21.64,37,171,-42,42 Under
93,94,94,Mathias Grönberg,91,21.58,41,190,-36,36 Under
94,95,95,Nick Price,51,21.57,11,51,-13,13 Under
95,96,96,J.L. Lewis,106,21.51,40,186,-37,37 Under
96,97,97,Spike McRoy,93,21.43,27,126,-25,25 Under
97,98,98,Deane Pappas,72,21.37,28,131,-30,30 Under
98,99,99,Danny Ellis,81,21.31,26,122,-33,33 Under
