,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
168,T168,T168,Dean Wilson,99,39.0,32,82,-8.00
169,170,170,Mark Hensby,97,38.6,22,57,-4.00
170,T171,T171,Guy Boros,64,38.2,13,34,-2.00
171,T171,T171,José Coceres,68,38.2,13,34,+2.00
172,173,173,Dan Forsman,79,38.1,16,42,-5.00
173,174,174,Tom Carter,113,38.0,30,79,-8.00
174,175,175,Dicky Pride,66,37.5,12,32,-1.00
175,176,176,Corey Pavin,83,36.8,14,38,-5.00
176,T177,T177,Fred Couples,54,36.4,12,33,-1.00
177,T177,T177,Brian Kortan,65,36.4,12,33,E
178,179,179,Fred Funk,97,36.2,17,47,-4.00
179,T180,T180,J.P. Hayes,79,35.8,19,53,-4.00
180,T180,T180,Skip Kendall,99,35.8,19,53,-4.00
181,182,182,Tag Ridings,53,35.7,10,28,-1.00
182,183,183,Kent Jones,99,35.6,21,59,-3.00
183,184,184,J.L. Lewis,106,35.5,22,62,-4.00
184,185,185,Kenny Perry,79,35.0,14,40,-6.00
185,186,186,Bob Tway,90,34.6,18,52,-2.00
186,187,187,David Peoples,82,34.0,18,53,-7.00
187,188,188,Mike Weir,75,33.9,19,56,E
188,189,189,Aaron Baddeley,87,33.8,23,68,-2.00
189,190,190,Rocco Mediate,53,33.3,9,27,-1.00
190,191,191,Jay Williamson,100,32.7,16,49,-6.00
191,192,192,John Cook,57,32.0,8,25,-1.00
192,193,193,Tom Lehman,70,31.6,12,38,-1.00
193,194,194,Darren Clarke,54,31.3,5,16,-2.00
194,195,195,Scott Simpson,55,30.0,9,30,+2.00
195,196,196,Kevin Muncrief,50,28.9,11,38,-3.00
