,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Tim Clark,84,"28' 5""",1038,29535.583,-86.00
1,2,2,Justin Rose,77,"28' 6""",847,24137.917,-79.00
2,3,3,Tom Lehman,70,"29' 2""",813,23720.167,-99.00
3,4,4,David Toms,80,"29' 4""",779,22873.333,-96.00
4,5,5,Vijay Singh,112,"29' 5""",1149,33813.833,-205.00
5,6,6,Bob Estes,73,"29' 7""",719,21300.167,-68.00
6,7,7,Scott Hoch,52,"29' 8""",643,19086.75,-78.00
7,T8,T8,Fred Funk,97,"29' 9""",1277,38013.167,-90.00
8,T8,T8,Robert Gamez,103,"29' 9""",1225,36479.083,-115.00
9,T8,T8,Jay Haas,84,"29' 9""",854,25436.0,-98.00
10,T11,T11,Ernie Els,62,"29' 10""",501,14950.417,-85.00
11,T11,T11,Sergio Garcia,65,"29' 10""",653,19504.417,-66.00
12,T13,T13,Loren Roberts,81,"29' 11""",970,29017.833,-124.00
13,T13,T13,Heath Slocum,92,"29' 11""",1208,36105.333,-73.00
14,T13,T13,Tiger Woods,78,"29' 11""",666,19897.5,-116.00
15,T16,T16,Stephen Ames,97,"30' 0""",1095,32887.75,-127.00
16,T16,T16,Stewart Cink,103,"30' 0""",1047,31436.0,-145.00
17,T18,T18,Joe Durant,85,"30' 1""",1115,33564.25,-83.00
18,T18,T18,John Huston,62,"30' 1""",611,18382.0,-62.00
19,T18,T18,Justin Leonard,90,"30' 1""",913,27480.917,-62.00
20,T18,T18,Vaughn Taylor,84,"30' 1""",1054,31683.917,-123.00
21,T22,T22,Olin Browne,92,"30' 3""",1138,34469.417,-107.00
22,T22,T22,Kenny Perry,79,"30' 3""",854,25848.083,-77.00
23,T22,T22,Adam Scott,55,"30' 3""",511,15475.917,-88.00
24,25,25,Jerry Kelly,113,"30' 4""",1250,37937.667,-151.00
25,T26,T26,Robert Allenby,93,"30' 5""",989,30062.25,-81.00
26,T26,T26,Jay Williamson,100,"30' 5""",1290,39239.583,-68.00
27,T28,T28,Danny Briggs,85,"30' 6""",1012,30890.25,-78.00
28,T28,T28,Brian Gay,96,"30' 6""",1226,37354.583,-111.00
29,T28,T28,Joey Sindelar,100,"30' 6""",1239,37794.917,-82.00
30,T31,T31,Lee Janzen,84,"30' 7""",945,28928.083,-89.00
31,T31,T31,Jeff Sluman,98,"30' 7""",1156,35361.083,-109.00
32,T31,T31,Duffy Waldorf,79,"30' 7""",849,25931.833,-89.00
