,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,David Toms,80,"33' 7""",83,2784.083,+6.00
1,2,2,Jeff Maggert,60,"34' 7""",74,2561.75,+10.00
2,3,3,Tim Clark,84,"36' 9""",89,3269.333,+5.00
3,4,4,Carl Pettersson,100,"36' 11""",132,4876.0,+13.00
4,5,5,Fred Funk,97,"37' 0""",83,3069.833,+5.00
5,6,6,Rich Barcelo,67,"37' 3""",117,4359.167,+16.00
6,T7,T7,Joe Durant,85,"37' 5""",64,2394.5,+7.00
7,T7,T7,Chris Riley,78,"37' 5""",64,2396.167,E
8,9,9,Omar Uresti,85,"38' 5""",108,4152.583,+19.00
9,T10,T10,Justin Rose,77,"38' 11""",112,4360.667,-7.00
10,T10,T10,Rory Sabbatini,89,"38' 11""",142,5529.0,+4.00
11,12,12,Paul Azinger,75,"39' 0""",103,4016.833,+6.00
12,13,13,Scott Hoch,52,"39' 3""",59,2314.333,-2.00
13,14,14,Jay Williamson,100,"39' 6""",133,5251.0,+24.00
14,15,15,Mark Calcavecchia,79,"39' 9""",86,3420.083,+16.00
15,T16,T16,John Rollins,90,"39' 10""",101,4022.333,+12.00
16,T16,T16,Vijay Singh,112,"39' 10""",148,5892.0830000000005,-13.00
17,18,18,Tommy Tolles,67,"39' 11""",107,4272.333,+13.00
18,19,19,Jonathan Byrd,85,"40' 0""",96,3837.083,+4.00
19,T20,T20,Scott Hend,81,"40' 1""",110,4411.333,+34.00
20,T20,T20,Tom Lehman,70,"40' 1""",58,2326.917,+3.00
21,T20,T20,Joe Ogilvie,104,"40' 1""",117,4687.5,+7.00
22,23,23,Stephen Ames,97,"40' 2""",122,4900.667,+1.00
23,24,24,Russ Cochran,61,"40' 4""",99,3992.333,+6.00
24,T25,T25,Craig Barlow,80,"40' 5""",91,3681.583,+7.00
25,T25,T25,Ted Purdy,114,"40' 5""",140,5655.6669999999995,+15.00
26,27,27,Robert Gamez,103,"40' 6""",155,6279.25,+27.00
27,T28,T28,Craig Bowden,83,"40' 7""",85,3450.583,+23.00
28,T28,T28,Daniel Chopra,108,"40' 7""",176,7136.75,+23.00
29,T30,T30,Chad Campbell,100,"40' 9""",122,4974.833,+6.00
30,T30,T30,Tim Petrovic,111,"40' 9""",130,5297.25,+13.00
31,T32,T32,Lee Janzen,84,"40' 10""",119,4854.833,+18.00
32,T32,T32,Pat Perez,102,"40' 10""",138,5636.0830000000005,+18.00
33,34,34,Joey Sindelar,100,"40' 11""",134,5478.75,+18.00
34,35,35,Arron Oberholser,77,"41' 0""",87,3566.417,+9.00
35,T36,T36,Arjun Atwal,85,"41' 1""",129,5298.25,+29.00
36,T36,T36,Bernhard Langer,59,"41' 1""",76,3122.083,+8.00
37,T38,T38,Stewart Cink,103,"41' 5""",117,4845.667,+11.00
38,T38,T38,John Senden,99,"41' 5""",141,5840.1669999999995,+8.00
39,T40,T40,Glen Day,101,"41' 6""",136,5646.5830000000005,+13.00
40,T40,T40,Craig Perks,75,"41' 6""",140,5807.1669999999995,+21.00
41,T42,T42,Stuart Appleby,84,"41' 7""",95,3952.833,+3.00
42,T42,T42,Briny Baird,100,"41' 7""",129,5362.8330000000005,+17.00
43,T42,T42,Guy Boros,64,"41' 7""",92,3822.083,+15.00
44,T42,T42,Ben Curtis,56,"41' 7""",54,2244.75,E
45,T42,T42,David Frost,78,"41' 7""",130,5402.3330000000005,+12.00
46,T42,T42,Mike Heinen,53,"41' 7""",76,3158.0,+16.00
47,T42,T42,Freddie Jacobson,83,"41' 7""",117,4861.583,+24.00
48,T49,T49,Brian Bateman,84,"41' 8""",137,5704.0,+6.00
49,T49,T49,Cameron Beckman,99,"41' 8""",135,5626.5830000000005,+15.00
50,T49,T49,Todd Hamilton,92,"41' 8""",120,4998.0,+8.00
51,T49,T49,Tim Herron,84,"41' 8""",136,5667.3330000000005,-4.00
52,T53,T53,Chris DiMarco,105,"41' 9""",109,4553.333,+23.00
53,T53,T53,Ryan Palmer,103,"41' 9""",118,4926.0,+14.00
54,T55,T55,José Coceres,68,"41' 11""",82,3434.5,+11.00
55,T55,T55,Kirk Triplett,88,"41' 11""",77,3229.333,+1.00
56,57,57,Hunter Mahan,94,"42' 0""",150,6295.4169999999995,+22.00
57,T58,T58,David Branshaw,84,"42' 1""",100,4210.583,+25.00
58,T58,T58,David Peoples,82,"42' 1""",144,6058.75,+24.00
59,T60,T60,Fred Couples,54,"42' 2""",73,3079.917,+21.00
60,T60,T60,Dean Wilson,99,"42' 2""",143,6033.5830000000005,+24.00
61,T62,T62,Michael Allen,87,"42' 3""",138,5825.9169999999995,+14.00
62,T62,T62,Neal Lancaster,106,"42' 3""",163,6880.1669999999995,+15.00
63,T62,T62,Corey Pavin,83,"42' 3""",89,3757.417,+10.00
64,65,65,Heath Slocum,92,"42' 4""",89,3770.167,+16.00
65,66,66,Olin Browne,92,"42' 5""",132,5597.75,+37.00
66,67,67,Jeff Sluman,98,"42' 7""",111,4731.25,+14.00
67,68,68,Adam Scott,55,"42' 8""",74,3159.917,E
68,T69,T69,J.P. Hayes,79,"42' 9""",80,3423.167,+12.00
69,T69,T69,Blaine McCallister,68,"42' 9""",85,3634.583,+9.00
70,T71,T71,Robert Allenby,93,"42' 10""",102,4372.917,+10.00
71,T71,T71,Matt Gogel,86,"42' 10""",84,3597.333,+10.00
72,T71,T71,Roland Thatcher,66,"42' 10""",96,4109.583,+9.00
73,74,74,Scott McCarron,88,"42' 11""",96,4121.833,+10.00
74,75,75,Cliff Kresge,89,"43' 0""",137,5887.1669999999995,+37.00
