,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Vijay Singh,112,-.088
1,2,2,Justin Rose,77,-.063
2,3,3,Scott Hoch,52,-.034
3,4,4,Tim Herron,84,-.029
4,5,5,Steve Flesch,109,-.024
5,6,6,Tiger Woods,78,-.011
6,T7,T7,Ben Curtis,56,E
7,T7,T7,Phil Mickelson,83,E
8,T7,T7,Chris Riley,78,E
9,T7,T7,Adam Scott,55,E
10,T11,T11,Stephen Ames,97,+.008
11,T11,T11,Shigeki Maruyama,93,+.008
12,13,13,Kirk Triplett,88,+.013
13,T14,T14,Dennis Paulson,71,+.021
14,T14,T14,Bob Tway,90,+.021
15,16,16,Aaron Baddeley,87,+.026
16,17,17,Craig Parry,52,+.027
17,18,18,Rory Sabbatini,89,+.028
18,T19,T19,Stuart Appleby,84,+.032
19,T19,T19,Brad Faxon,94,+.032
20,T19,T19,Jerry Kelly,113,+.032
21,T19,T19,Hank Kuehne,91,+.032
22,23,23,Alex Cejka,76,+.033
23,T24,T24,Darren Clarke,54,+.036
24,T24,T24,Ernie Els,62,+.036
25,T24,T24,Retief Goosen,56,+.036
26,27,27,Justin Leonard,90,+.039
27,28,28,Jonathan Byrd,85,+.042
28,29,29,Brian Bateman,84,+.044
29,30,30,Bo Van Pelt,107,+.047
30,T31,T31,Chad Campbell,100,+.049
31,T31,T31,Carlos Franco,99,+.049
32,T31,T31,Zach Johnson,109,+.049
33,34,34,Tom Lehman,70,+.052
34,35,35,Geoff Ogilvy,91,+.054
35,36,36,Tim Clark,84,+.056
36,37,37,John Senden,99,+.057
37,38,38,Paul Azinger,75,+.058
38,T39,T39,Fred Funk,97,+.060
39,T39,T39,Joe Ogilvie,104,+.060
40,41,41,Russ Cochran,61,+.061
41,42,42,Robert Damron,92,+.063
42,T43,T43,Todd Hamilton,92,+.067
43,T43,T43,Brenden Pappas,111,+.067
44,45,45,José María Olazábal,56,+.068
45,46,46,Kenny Perry,79,+.070
46,47,47,David Toms,80,+.072
47,48,48,Craig Barlow,80,+.077
48,49,49,John Huston,62,+.078
49,50,50,Skip Kendall,99,+.085
50,51,51,Brett Quigley,102,+.089
51,T52,T52,David Frost,78,+.092
52,T52,T52,Neal Lancaster,106,+.092
53,T52,T52,Peter Lonard,68,+.092
54,T55,T55,Stewart Cink,103,+.094
55,T55,T55,Roland Thatcher,66,+.094
56,T57,T57,Glen Day,101,+.096
57,T57,T57,Jesper Parnevik,86,+.096
58,T57,T57,Scott Verplank,92,+.096
59,T60,T60,Robert Allenby,93,+.098
60,T60,T60,Davis Love III,85,+.098
61,T60,T60,Carl Pettersson,100,+.098
62,63,63,Bart Bryant,73,+.099
63,64,64,Tim Petrovic,111,+.100
64,65,65,Michael Allen,87,+.101
65,66,66,Arron Oberholser,77,+.103
66,67,67,Scott McCarron,88,+.104
67,T68,T68,Bernhard Langer,59,+.105
68,T68,T68,Deane Pappas,72,+.105
69,T70,T70,Blaine McCallister,68,+.106
70,T70,T70,Chris Smith,105,+.106
71,72,72,Ted Purdy,114,+.107
72,73,73,Niclas Fasth,61,+.108
73,T74,T74,Joe Durant,85,+.109
74,T74,T74,Dan Olsen,75,+.109
75,T74,T74,Hidemichi Tanaka,89,+.109
76,T77,T77,Cameron Beckman,99,+.111
77,T77,T77,Sergio Garcia,65,+.111
78,79,79,Corey Pavin,83,+.112
79,T80,T80,Steve Allan,102,+.113
80,T80,T80,Pat Bates,99,+.113
81,T80,T80,John Cook,57,+.113
82,T80,T80,Brian Gay,96,+.113
83,84,84,Rocco Mediate,53,+.114
84,T85,T85,Charles Howell III,104,+.117
85,T85,T85,Brian Kortan,65,+.117
86,T87,T87,Matt Gogel,86,+.119
87,T87,T87,Ryan Palmer,103,+.119
88,T87,T87,John Rollins,90,+.119
89,90,90,Ben Crane,92,+.120
90,T91,T91,Steve Stricker,81,+.121
91,T91,T91,Tommy Tolles,67,+.121
92,93,93,John Riegger,53,+.122
93,94,94,Jay Haas,84,+.125
94,95,95,Jeff Sluman,98,+.126
95,96,96,Jason Dufner,79,+.128
96,97,97,Pat Perez,102,+.130
97,98,98,Daniel Chopra,108,+.131
98,T99,T99,Briny Baird,100,+.132
99,T99,T99,Brent Geiberger,94,+.132
100,T101,T101,José Coceres,68,+.134
101,T101,T101,Joey Sindelar,100,+.134
102,T103,T103,Jay Delsing,76,+.135
103,T103,T103,Lucas Glover,95,+.135
104,T103,T103,Jeff Maggert,60,+.135
105,T106,T106,John Daly,79,+.136
106,T106,T106,Frank Lickliter II,89,+.136
107,T108,T108,Tommy Armour III,87,+.137
108,T108,T108,Rich Barcelo,67,+.137
109,110,110,Roger Tambellini,81,+.141
110,111,111,Mark O'Meara,58,+.145
111,T112,T112,Hunter Mahan,94,+.147
112,T112,T112,Len Mattiace,75,+.147
113,T112,T112,Mike Weir,75,+.147
114,115,115,Kevin Na,100,+.149
115,T116,T116,J.P. Hayes,79,+.150
116,T116,T116,Craig Perks,75,+.150
117,T118,T118,K.J. Choi,83,+.151
118,T118,T118,Lee Janzen,84,+.151
119,120,120,Danny Ellis,81,+.152
120,121,121,J.J. Henry,103,+.153
121,122,122,Duffy Waldorf,79,+.154
122,123,123,Dan Forsman,79,+.155
123,T124,T124,Woody Austin,94,+.158
124,T124,T124,Bob Estes,73,+.158
125,126,126,Spike McRoy,93,+.160
126,127,127,Guy Boros,64,+.163
127,128,128,Jeff Brehaut,106,+.164
128,T129,T129,Steve Lowery,91,+.167
129,T129,T129,David Peoples,82,+.167
130,131,131,Dean Wilson,99,+.168
131,T132,T132,Mathias Grönberg,91,+.169
132,T132,T132,Dudley Hart,60,+.169
133,T132,T132,Mark Wilson,62,+.169
134,135,135,Nick Price,51,+.170
135,136,136,Rich Beem,81,+.172
136,137,137,D.J. Brigman,79,+.173
137,T138,T138,Jason Bohn,98,+.174
138,T138,T138,Tom Carter,113,+.174
139,T138,T138,Robert Gamez,103,+.174
140,T141,T141,Luke Donald,72,+.176
141,T141,T141,Omar Uresti,85,+.176
142,143,143,Todd Fischer,104,+.178
143,T144,T144,Billy Andrade,104,+.179
144,T144,T144,J.L. Lewis,106,+.179
145,T144,T144,Tag Ridings,53,+.179
146,T147,T147,Heath Slocum,92,+.180
147,T147,T147,Jay Williamson,100,+.180
148,149,149,Steve Pate,71,+.185
149,150,150,Mark Calcavecchia,79,+.186
150,151,151,Kevin Sutherland,86,+.189
151,152,152,Danny Briggs,85,+.192
152,T153,T153,Chris Couch,55,+.202
153,T153,T153,Jonathan Kaye,79,+.202
154,155,155,Dicky Pride,66,+.203
155,T156,T156,Freddie Jacobson,83,+.205
156,T156,T156,Grant Waite,79,+.205
157,T158,T158,Chris DiMarco,105,+.211
158,T158,T158,Mike Heinen,53,+.211
159,160,160,Rod Pampling,98,+.212
160,T161,T161,Notah Begay III,71,+.213
161,T161,T161,Tom Byrum,83,+.213
162,T163,T163,Ken Duke,89,+.214
163,T163,T163,Loren Roberts,81,+.214
164,T165,T165,Greg Chalmers,70,+.217
165,T165,T165,Steve Elkington,64,+.217
166,167,167,Arjun Atwal,85,+.225
167,168,168,Matt Kuchar,83,+.226
168,169,169,Tripp Isenhour,55,+.227
169,170,170,Shaun Micheel,93,+.230
170,171,171,Stephen Leaney,84,+.241
171,T172,T172,Mark Hensby,97,+.242
172,T172,T172,Patrick Sheehan,113,+.242
173,174,174,Harrison Frazar,86,+.245
174,175,175,Scott Simpson,55,+.246
175,T176,T176,David Branshaw,84,+.250
176,T176,T176,Kris Cox,73,+.250
177,178,178,Gene Sauers,83,+.255
178,179,179,Cliff Kresge,89,+.270
179,T180,T180,Craig Bowden,83,+.271
180,T180,T180,David Morland IV,73,+.271
181,182,182,Tom Pernice Jr.,103,+.277
182,T183,T183,Olin Browne,92,+.280
183,T183,T183,Billy Mayfair,109,+.280
184,185,185,Mark Brooks,72,+.284
185,186,186,Kent Jones,99,+.287
186,187,187,Fred Couples,54,+.288
187,188,188,David Gossett,57,+.294
188,189,189,Richard Johnson,102,+.296
189,190,190,Scott Hend,81,+.309
190,191,191,Kevin Muncrief,50,+.313
