,Approaches__275_yards-Rgh_RTP_RANK THIS WEEK,Approaches__275_yards-Rgh_RTP_RANK LAST WEEK,Approaches__275_yards-Rgh_RTP_PLAYER NAME,Approaches__275_yards-Rgh_RTP_ROUNDS,Approaches__275_yards-Rgh_RTP_AVG RTP
0,1,1,Hank Kuehne,91,-1.500
1,T2,T2,Stephen Ames,97,-1.000
2,T2,T2,Tommy Armour III,87,-1.000
3,T2,T2,Craig Barlow,80,-1.000
4,T2,T2,Pat Bates,99,-1.000
5,T2,T2,Danny Briggs,85,-1.000
6,T2,T2,D.J. Brigman,79,-1.000
7,T2,T2,Tom Byrum,83,-1.000
8,T2,T2,Chad Campbell,100,-1.000
9,T2,T2,Ben Curtis,56,-1.000
10,T2,T2,Joe Durant,85,-1.000
11,T2,T2,Steve Flesch,109,-1.000
12,T2,T2,Dan Forsman,79,-1.000
13,T2,T2,Harrison Frazar,86,-1.000
14,T2,T2,Fred Funk,97,-1.000
15,T2,T2,J.P. Hayes,79,-1.000
16,T2,T2,Mike Heinen,53,-1.000
17,T2,T2,Zach Johnson,109,-1.000
18,T2,T2,Kent Jones,99,-1.000
19,T2,T2,Brian Kortan,65,-1.000
20,T2,T2,Bernhard Langer,59,-1.000
21,T2,T2,Davis Love III,85,-1.000
22,T2,T2,Spike McRoy,93,-1.000
23,T2,T2,David Peoples,82,-1.000
24,T2,T2,Tag Ridings,53,-1.000
25,T2,T2,Scott Simpson,55,-1.000
26,T2,T2,Joey Sindelar,100,-1.000
27,T2,T2,Heath Slocum,92,-1.000
28,T2,T2,Jeff Sluman,98,-1.000
29,T2,T2,Vaughn Taylor,84,-1.000
30,T2,T2,Esteban Toledo,92,-1.000
31,T2,T2,Jay Williamson,100,-1.000
32,T2,T2,Mark Wilson,62,-1.000
33,T34,T34,Brian Bateman,84,-.800
34,T34,T34,Dan Olsen,75,-.800
35,T36,T36,Briny Baird,100,-.750
36,T36,T36,Rod Pampling,98,-.750
37,T36,T36,Vijay Singh,112,-.750
38,T39,T39,Rich Barcelo,67,-.667
39,T39,T39,Alex Cejka,76,-.667
40,T39,T39,Russ Cochran,61,-.667
