,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Tiger Woods,16,"$10,867,052",7.0
1,2,2,Phil Mickelson,22,"$5,819,988",3.0
2,3,3,Vijay Singh,27,"$4,728,376",2.0
3,4,4,Steve Stricker,23,"$4,663,077",1.0
4,5,5,K.J. Choi,25,"$4,587,859",2.0
5,6,6,Rory Sabbatini,23,"$4,550,040",1.0
6,7,7,Jim Furyk,23,"$4,154,046",1.0
7,8,8,Zach Johnson,23,"$3,922,338",2.0
8,9,9,Sergio Garcia,19,"$3,721,185",
9,10,10,Aaron Baddeley,23,"$3,441,119",1.0
10,11,11,Adam Scott,19,"$3,413,185",1.0
11,12,12,Scott Verplank,23,"$3,114,289",1.0
12,13,13,Mark Calcavecchia,28,"$2,993,332",1.0
13,14,14,Geoff Ogilvy,22,"$2,943,203",
14,15,15,Woody Austin,27,"$2,887,596",1.0
15,16,16,Hunter Mahan,27,"$2,858,995",1.0
16,17,17,Brandt Snedeker,29,"$2,836,643",1.0
17,18,18,Charles Howell III,26,"$2,832,091",1.0
18,19,19,Justin Rose,16,"$2,705,875",
19,20,20,Ernie Els,16,"$2,705,715",
20,21,21,Padraig Harrington,18,"$2,658,283",1.0
21,22,22,Tim Clark,19,"$2,615,152",
22,23,23,Boo Weekley,29,"$2,613,211",1.0
23,24,24,John Rollins,29,"$2,488,891",
24,25,25,Stewart Cink,25,"$2,483,146",
25,26,26,Steve Flesch,31,"$2,288,899",2.0
26,27,27,Robert Allenby,28,"$2,219,538",
27,28,28,Brett Wetterich,28,"$2,208,282",
28,29,29,Luke Donald,20,"$2,190,053",
29,30,30,Heath Slocum,28,"$2,184,379",
30,31,31,Stephen Ames,23,"$2,103,426",1.0
31,32,32,David Toms,22,"$2,095,837",
32,33,33,Justin Leonard,29,"$2,079,248",1.0
33,34,34,Carl Pettersson,31,"$2,040,938",
34,35,35,Mike Weir,23,"$1,986,053",1.0
35,36,36,Jerry Kelly,28,"$1,978,034",
36,37,37,Ken Duke,31,"$1,927,102",
37,38,38,Sean O'Hair,28,"$1,921,226",
38,39,39,John Senden,27,"$1,899,558",
39,40,40,Henrik Stenson,15,"$1,897,554",1.0
40,41,41,Camilo Villegas,24,"$1,866,961",
41,42,42,Jonathan Byrd,23,"$1,854,906",1.0
