,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,16,9.69,"$10,867,051","$112,177,452"
1,2,2,Phil Mickelson,22,4.01,"$5,819,987","$145,177,452"
2,3,3,Andres Romero,3,3.44,"$798,414","$23,177,452"
3,4,4,Simon Dyson,1,3.25,"$227,500","$7,000,000"
4,5,5,Steve Stricker,23,3.04,"$4,663,076","$153,277,452"
5,6,6,Rory Sabbatini,23,2.99,"$4,550,040","$152,277,452"
6,7,7,Sergio Garcia,19,2.85,"$3,721,184","$130,777,452"
7,T8,T8,K.J. Choi,25,2.79,"$4,587,857","$164,477,452"
8,T8,T8,Jim Furyk,23,2.79,"$4,154,046","$148,677,452"
9,10,10,Vijay Singh,27,2.7,"$4,728,375","$175,177,452"
10,11,11,Adam Scott,19,2.61,"$3,413,184","$130,677,452"
11,12,12,Zach Johnson,23,2.6,"$3,922,336","$150,577,452"
12,13,13,Justin Rose,16,2.54,"$2,705,874","$106,577,452"
13,14,14,Ernie Els,16,2.42,"$2,705,715","$111,577,452"
14,15,15,Aaron Baddeley,23,2.27,"$3,441,118","$151,777,452"
15,16,16,Padraig Harrington,18,2.16,"$2,658,281","$123,177,452"
16,17,17,Tim Clark,19,2.14,"$2,615,151","$122,000,000"
17,18,18,Scott Verplank,23,2.13,"$3,114,287","$145,877,452"
18,19,19,Geoff Ogilvy,22,2.0,"$2,943,201","$147,277,452"
19,20,20,Henrik Stenson,15,1.78,"$1,897,554","$106,377,452"
20,T21,T21,Woody Austin,27,1.77,"$2,887,592","$163,600,000"
21,T21,T21,Mark Calcavecchia,28,1.77,"$2,993,330","$168,977,452"
22,23,23,Ángel Cabrera,14,1.73,"$1,661,105","$95,777,452"
23,T24,T24,Charles Howell III,26,1.7,"$2,832,089","$166,477,452"
24,T24,T24,Hunter Mahan,27,1.7,"$2,858,994","$168,277,452"
25,26,26,Brandt Snedeker,29,1.67,"$2,836,640","$170,300,000"
26,27,27,Luke Donald,20,1.63,"$2,190,052","$134,177,452"
27,28,28,Richard Green,5,1.55,"$544,070","$35,177,452"
28,29,29,Stewart Cink,25,1.53,"$2,483,145","$161,977,452"
29,30,30,Boo Weekley,29,1.5,"$2,613,209","$174,677,452"
30,31,31,Pelle Edberg,1,1.47,"$120,458","$8,177,452"
