,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Tiger Woods,16,12,7.0,3.0,
1,T2,T2,Rory Sabbatini,23,10,1.0,2.0,3.0
2,T2,T2,Scott Verplank,23,10,1.0,,1.0
3,4,4,Steve Stricker,23,9,1.0,2.0,1.0
4,T5,T5,Robert Allenby,28,8,,,2.0
5,T5,T5,Jim Furyk,23,8,1.0,2.0,2.0
6,T7,T7,Aaron Baddeley,23,7,1.0,1.0,
7,T7,T7,K.J. Choi,25,7,2.0,1.0,
8,T7,T7,Sergio Garcia,19,7,,2.0,1.0
9,T7,T7,Jerry Kelly,28,7,,,1.0
10,T7,T7,Phil Mickelson,22,7,3.0,1.0,2.0
11,T7,T7,Geoff Ogilvy,22,7,,1.0,1.0
12,T7,T7,Justin Rose,16,7,,1.0,1.0
13,T7,T7,Vijay Singh,27,7,2.0,1.0,
14,T7,T7,David Toms,22,7,,,1.0
15,T16,T16,Mark Calcavecchia,28,6,1.0,1.0,
16,T16,T16,Stewart Cink,25,6,,,1.0
17,T16,T16,Tim Clark,19,6,,3.0,
18,T16,T16,Hunter Mahan,27,6,1.0,,
19,T16,T16,Billy Mayfair,30,6,,1.0,1.0
20,T16,T16,Pat Perez,27,6,,,1.0
21,T16,T16,Carl Pettersson,31,6,,,
22,T16,T16,Adam Scott,19,6,1.0,1.0,
23,T16,T16,Heath Slocum,28,6,,1.0,
24,T16,T16,Brandt Snedeker,29,6,1.0,,1.0
25,T16,T16,Camilo Villegas,24,6,,1.0,1.0
26,T27,T27,Luke Donald,20,5,,2.0,
27,T27,T27,Ken Duke,31,5,,1.0,
28,T27,T27,Ernie Els,16,5,,1.0,2.0
29,T27,T27,Charles Howell III,26,5,1.0,2.0,
30,T27,T27,Freddie Jacobson,20,5,,1.0,
31,T27,T27,Zach Johnson,23,5,2.0,1.0,
32,T27,T27,Justin Leonard,29,5,1.0,1.0,
33,T27,T27,Sean O'Hair,28,5,,,
34,T27,T27,Arron Oberholser,21,5,,1.0,
35,T27,T27,Ian Poulter,18,5,,,1.0
