,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Tiger Woods,18,"$12,217,052"
1,2,2,Phil Mickelson,23,"$5,819,988"
2,3,3,Vijay Singh,29,"$4,953,376"
3,4,4,Steve Stricker,25,"$4,948,077"
4,5,8,Zach Johnson,27,"$4,831,088"
5,6,7,Jim Furyk,25,"$4,724,046"
6,7,5,K.J. Choi,26,"$4,587,859"
7,8,6,Rory Sabbatini,25,"$4,550,040"
8,9,9,Sergio Garcia,19,"$3,721,185"
9,10,12,Mark Calcavecchia,30,"$3,583,332"
10,11,10,Aaron Baddeley,23,"$3,441,119"
11,12,11,Adam Scott,20,"$3,413,185"
12,13,13,Woody Austin,29,"$3,237,596"
13,14,14,Scott Verplank,24,"$3,114,289"
14,15,15,Boo Weekley,30,"$3,013,211"
15,16,16,Geoff Ogilvy,23,"$2,943,203"
16,17,17,Charles Howell III,28,"$2,897,091"
17,18,23,Padraig Harrington,19,"$2,868,283"
18,19,18,Hunter Mahan,28,"$2,858,995"
19,20,19,Brandt Snedeker,29,"$2,836,643"
20,21,20,Justin Rose,17,"$2,825,875"
21,22,21,Stephen Ames,24,"$2,778,426"
22,23,22,Ernie Els,17,"$2,705,715"
23,24,24,Tim Clark,19,"$2,615,152"
24,25,25,Heath Slocum,29,"$2,584,379"
25,26,26,Stewart Cink,27,"$2,551,896"
26,27,27,John Rollins,29,"$2,488,891"
27,28,30,Brett Wetterich,30,"$2,388,282"
28,29,31,Luke Donald,21,"$2,385,053"
29,30,28,Steve Flesch,31,"$2,288,899"
30,31,29,Robert Allenby,28,"$2,219,538"
31,32,43,Henrik Stenson,16,"$2,182,554"
32,33,32,Justin Leonard,30,"$2,147,998"
33,34,33,David Toms,23,"$2,095,837"
34,35,34,Bubba Watson,29,"$2,094,807"
35,36,35,Jerry Kelly,29,"$2,073,034"
36,37,36,Camilo Villegas,26,"$2,071,961"
37,38,37,Carl Pettersson,31,"$2,040,938"
38,39,38,Mike Weir,25,"$2,015,053"
39,40,39,Ken Duke,31,"$1,927,102"
40,41,40,Sean O'Hair,28,"$1,921,226"
41,42,41,John Senden,27,"$1,899,558"
42,43,42,Trevor Immelman,23,"$1,898,647"
43,44,44,Jonathan Byrd,23,"$1,854,906"
44,45,45,Nick Watney,26,"$1,838,629"
45,46,46,Billy Mayfair,30,"$1,814,518"
46,47,47,Stuart Appleby,25,"$1,803,385"
47,48,48,Arron Oberholser,21,"$1,797,458"
48,49,49,Daniel Chopra,34,"$1,755,110"
49,50,50,Chad Campbell,28,"$1,701,242"
50,51,51,Charley Hoffman,30,"$1,689,366"
51,52,52,John Mallinger,29,"$1,681,764"
52,53,53,Pat Perez,27,"$1,678,295"
53,54,54,Lucas Glover,30,"$1,664,167"
54,55,55,Ángel Cabrera,15,"$1,661,106"
55,56,56,Mark Wilson,25,"$1,637,112"
56,57,57,Anthony Kim,27,"$1,620,195"
57,58,58,Jeff Quinney,29,"$1,612,056"
58,59,59,Rod Pampling,26,"$1,570,970"
59,60,60,Bo Van Pelt,30,"$1,559,181"
60,61,61,Ryan Moore,28,"$1,554,901"
61,62,62,Ian Poulter,19,"$1,551,390"
62,63,63,George McNeill,30,"$1,504,627"
63,64,64,Freddie Jacobson,20,"$1,469,541"
64,65,65,Ryuji Imada,32,"$1,414,864"
65,66,66,Nathan Green,30,"$1,406,817"
66,67,67,Nick O'Hern,24,"$1,368,891"
67,68,68,Kevin Sutherland,25,"$1,351,942"
68,69,69,Joe Ogilvie,31,"$1,339,153"
69,70,70,Fred Funk,23,"$1,334,376"
70,71,71,Vaughn Taylor,28,"$1,313,353"
71,72,72,Kenny Perry,25,"$1,292,618"
72,73,73,Brian Davis,28,"$1,289,207"
73,74,74,José Coceres,17,"$1,287,843"
74,75,75,Troy Matteson,26,"$1,282,421"
75,76,76,Robert Garrigus,28,"$1,260,010"
76,77,77,Peter Lonard,27,"$1,259,881"
77,78,78,Dean Wilson,28,"$1,258,507"
78,79,96,Colin Montgomerie,11,"$1,241,989"
79,80,79,Paul Goydos,19,"$1,229,355"
80,81,101,Paul Casey,11,"$1,207,770"
81,82,80,Steve Marino,31,"$1,179,165"
82,83,81,Bart Bryant,25,"$1,167,874"
83,84,82,Rocco Mediate,22,"$1,166,294"
84,85,83,Chris DiMarco,26,"$1,155,414"
85,86,84,Bernhard Langer,14,"$1,153,603"
86,87,85,Charlie Wi,27,"$1,145,975"
87,88,86,Retief Goosen,16,"$1,141,386"
88,89,87,Will MacKenzie,30,"$1,116,507"
89,90,88,Brian Gay,32,"$1,114,571"
90,91,89,D.J. Trahan,30,"$1,106,374"
91,92,90,Jason Gore,27,"$1,105,985"
