,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
315,T315,T315,Bob Burns,5,0.48,"$18,153","$3,762,000"
316,T315,T315,Brad Faxon,18,0.48,"$84,644","$17,694,000"
317,318,318,Steve Jones,9,0.45,"$34,922","$7,722,000"
318,319,319,Oliver Thomson,2,0.44,"$7,630","$1,728,000"
319,320,320,Toru Taniguchi,4,0.43,"$21,594","$4,998,450"
320,321,321,Jerry Smith,19,0.39,"$63,334","$16,308,000"
321,T322,T322,Todd Hamilton,28,0.38,"$109,776","$28,713,450"
322,T322,T322,Spike McRoy,6,0.38,"$18,280","$4,860,000"
323,T322,T322,Kelly Mitchum,4,0.38,"$16,326","$4,266,000"
324,325,325,"Wes Short, Jr.",12,0.36,"$42,119","$11,556,000"
325,T326,T326,"David Berganio, Jr.",3,0.35,"$11,025","$3,150,000"
326,T326,T326,Tom Gillis,3,0.35,"$11,152","$3,222,000"
327,T326,T326,Loren Roberts,3,0.35,"$12,660","$3,594,450"
328,329,329,Notah Begay III,7,0.32,"$19,245","$5,958,000"
329,330,330,J.L. Lewis,4,0.31,"$12,915","$4,140,000"
330,331,331,Jim Rutledge,23,0.3,"$62,241","$20,664,000"
331,332,332,Jaco Van Zyl,21,0.29,"$53,762","$18,234,000"
332,333,333,Guy Boros,4,0.26,"$7,268","$2,808,000"
333,T334,T334,Robert Damron,10,0.21,"$18,060","$8,604,000"
334,T334,T334,Brandt Jobe,5,0.21,"$11,016","$5,148,000"
335,336,336,Willie Wood,6,0.2,"$8,700","$4,248,000"
336,337,337,Blaine McCallister,8,0.18,"$11,330","$6,426,000"
337,338,338,Paul Sheehan,11,0.1,"$10,143","$10,254,450"
338,339,339,Scott Gump,12,0.08,"$7,805","$9,846,000"
