,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,,Dustin Johnson,77,22.89,38,166
1,2,,Tony Finau,106,22.61,64,283
2,3,,Jason Day,71,21.12,34,161
3,4,,Jordan Spieth,85,20.62,40,194
4,5,,Rickie Fowler,78,20.5,41,200
5,6,,Brooks Koepka,88,20.43,38,186
6,7,,J.T. Poston,95,19.81,42,212
7,8,,Justin Thomas,86,19.44,35,180
8,9,,Harris English,84,19.03,43,226
9,10,,Sebastián Muñoz,51,18.75,21,112
10,11,,Patrick Cantlay,52,18.44,26,141
11,12,,Paul Casey,94,18.31,39,213
12,13,,Ollie Schniederjans,92,18.01,49,272
13,14,,Bryson DeChambeau,91,17.92,38,212
14,15,,Luke List,102,17.55,43,245
15,16,,Graham DeLaet,82,17.43,38,218
16,17,,Tag Ridings,67,17.36,25,144
17,18,,Justin Rose,66,17.34,30,173
18,19,,Jim Herman,77,17.33,39,225
19,20,,Trey Mullinax,88,17.28,33,191
20,21,,Adam Scott,58,17.05,22,129
21,22,,Rick Lamb,54,16.95,20,118
22,23,,Brian Campbell,55,16.81,19,113
23,24,,Louis Oosthuizen,69,16.77,27,161
24,25,,Richy Werenski,81,16.76,30,179
25,26,,Webb Simpson,102,16.67,44,264
26,27,,Jamie Lovemark,98,16.45,38,231
27,28,,Kevin Na,86,16.36,36,220
28,29,,Jon Rahm,90,16.35,26,159
29,30,,Peter Malnati,91,16.33,40,245
30,31,,Pat Perez,93,16.27,41,252
31,32,,Kevin Tway,96,16.18,33,204
32,33,,Blayne Barber,77,16.06,35,218
33,34,,Seamus Power,86,15.93,36,226
34,35,,Brad Fritsch,56,15.79,21,133
35,36,,Jason Dufner,89,15.72,36,229
36,T37,,Byeong Hun An,77,15.7,27,172
37,T37,,Hideki Matsuyama,83,15.7,27,172
38,39,,Matt Every,76,15.68,29,185
39,40,,Emiliano Grillo,90,15.61,32,205
40,41,,Vaughn Taylor,90,15.6,39,250
41,T42,,Dominic Bozzelli,69,15.56,28,180
42,T42,,Scott Piercy,70,15.56,21,135
43,44,,Nick Watney,75,15.5,31,200
44,45,,Ben Martin,86,15.49,35,226
45,46,,Ryan Brehm,83,15.43,27,175
46,T47,,Rory McIlroy,51,15.38,12,78
47,T47,,Cameron Smith,86,15.38,38,247
48,49,,Jason Kokrak,95,15.32,38,248
49,50,,Billy Horschel,88,15.23,37,243
50,T51,,Daniel Berger,91,15.22,35,230
51,T51,,Seung-Yul Noh,91,15.22,35,230
52,53,,Brendan Steele,89,15.12,31,205
53,54,,Marc Leishman,94,14.92,37,248
54,T55,,Charles Howell III,86,14.91,34,228
55,T55,,Chez Reavie,98,14.91,41,275
56,T57,,J.B. Holmes,83,14.79,25,169
57,T57,,Patton Kizzire,84,14.79,38,257
58,59,,Tom Hoge,54,14.78,17,115
59,60,,Derek Fathauer,81,14.67,33,225
60,61,,Jhonattan Vegas,95,14.62,31,212
61,62,,Retief Goosen,52,14.5,19,131
62,T63,,Stewart Cink,93,14.46,35,242
63,T63,,Brian Stuard,93,14.46,36,249
64,65,,Robert Garrigus,78,14.44,26,180
65,66,,Greg Chalmers,75,14.41,32,222
66,67,,Russell Henley,99,14.39,41,285
67,68,,Sam Saunders,76,14.35,31,216
68,69,,Jonathan Randolph,68,14.29,22,154
69,70,,Kyle Stanley,104,14.24,43,302
70,71,,James Hahn,96,14.18,39,275
71,72,,Zach Johnson,81,14.16,32,226
72,73,,Sean O'Hair,84,14.03,31,221
73,74,,Grayson Murray,94,13.98,33,236
74,75,,Keegan Bradley,104,13.95,42,301
75,76,,Ryan Blaum,100,13.93,39,280
76,77,,Bubba Watson,71,13.89,20,144
77,78,,Ernie Els,52,13.86,14,101
78,T79,,William McGirt,89,13.84,31,224
79,T79,,Michael Thompson,60,13.84,22,159
80,81,,Smylie Kaufman,76,13.64,24,176
81,82,,Ian Poulter,72,13.59,28,206
82,83,,Brandon Hagy,85,13.46,28,208
83,84,,Patrick Reed,107,13.44,34,253
84,85,,J.J. Spaun,92,13.41,33,246
85,86,,Martin Laird,83,13.36,31,232
86,87,,Lucas Glover,93,13.33,36,270
87,88,,Jimmy Walker,68,13.29,21,158
88,89,,D.A. Points,68,13.24,29,219
89,90,,David Lingmerth,79,13.18,29,220
90,91,,Patrick Rodgers,76,13.17,27,205
91,92,,Bill Haas,92,13.14,31,236
92,T93,,Charley Hoffman,112,13.08,34,260
93,T93,,Morgan Hoffmann,92,13.08,34,260
94,T93,,Kelly Kraft,75,13.08,31,237
95,96,,Zac Blair,105,13.07,43,329
96,97,,Daniel Summerhays,100,13.0,36,277
97,98,,Søren Kjeldsen,58,12.93,19,147
98,T99,,Ryan Palmer,61,12.9,20,155
99,T99,,Brett Stegmaier,78,12.9,24,186
100,101,,Anirban Lahiri,72,12.82,25,195
101,102,,Michael Kim,94,12.8,37,289
102,103,,Brian Harman,104,12.77,35,274
103,104,,Chad Campbell,97,12.71,38,299
104,105,,Cody Gribble,79,12.68,26,205
105,106,,Julián Etulain,68,12.58,20,159
106,T107,,Miguel Angel Carballo,63,12.5,15,120
107,T107,,Cameron Tringale,89,12.5,31,248
108,109,,Hunter Mahan,73,12.44,24,193
109,110,,Wesley Bryan,95,12.42,39,314
110,111,,Geoff Ogilvy,80,12.39,28,226
111,112,,Mackenzie Hughes,106,12.37,37,299
112,113,,Rory Sabbatini,71,12.35,20,162
113,114,,Matt Jones,64,12.34,19,154
114,T115,,John Huh,92,12.33,36,292
115,T115,,Camilo Villegas,76,12.33,28,227
116,117,,Gonzalo Fernandez-Castaño,63,12.21,16,131
117,118,,Robert Streb,98,12.19,34,279
118,119,,Martin Flores,88,12.17,23,189
119,120,,Kevin Streelman,90,12.15,30,247
120,T121,,Rafa Cabrera Bello,63,12.06,17,141
121,T121,,Xander Schauffele,96,12.06,24,199
122,123,,Gary Woodland,94,12.0,27,225
123,124,,Si Woo Kim,80,11.98,23,192
124,125,,Harold Varner III,101,11.87,33,278
125,T126,,Brian Gay,82,11.83,31,262
126,T126,,Fabián Gómez,61,11.83,20,169
127,128,,Steven Alker,69,11.8,21,178
128,T129,,Danny Lee,93,11.79,31,263
129,T129,,Hudson Swafford,94,11.79,29,246
130,131,,Aaron Baddeley,61,11.76,18,153
131,132,,Graeme McDowell,56,11.71,24,205
132,T133,,Nicholas Lindheim,58,11.59,16,138
133,T133,,Steve Wheatcroft,51,11.59,16,138
134,135,,Troy Merritt,82,11.57,25,216
135,136,,Russell Knox,75,11.56,20,173
136,T137,,Ryo Ishikawa,56,11.54,18,156
137,T137,,Francesco Molinari,75,11.54,24,208
138,T139,,Shane Lowry,52,11.48,14,122
139,T139,,Scott Stallings,81,11.48,24,209
140,141,,Steven Bowditch,59,11.38,19,167
141,142,,Billy Hurley III,80,11.34,28,247
142,143,,Adam Hadwin,98,11.2,29,259
143,T144,,Kevin Chappell,95,11.17,20,179
144,T144,,Whee Kim,74,11.17,20,179
145,T146,,Brandt Snedeker,53,11.11,14,126
146,T146,,Chris Stroud,67,11.11,18,162
147,148,,Phil Mickelson,85,10.92,25,229
148,149,,Jonas Blixt,74,10.88,21,193
149,150,,Carl Pettersson,63,10.87,20,184
150,151,,Rod Pampling,71,10.86,24,221
151,152,,Roberto Castro,70,10.81,20,185
152,153,,Matt Kuchar,95,10.8,27,250
153,154,,J.J. Henry,92,10.79,30,278
154,155,,Charl Schwartzel,63,10.71,18,168
155,156,,Branden Grace,70,10.67,16,150
156,157,,Boo Weekley,75,10.63,22,207
157,158,,Johnson Wagner,71,10.58,20,189
158,159,,Nick Taylor,97,10.55,29,275
159,160,,Bryce Molder,74,10.53,26,247
160,161,,Bud Cauley,92,10.49,28,267
161,162,,Scott Brown,95,10.43,29,278
162,163,,Chad Collins,66,10.33,19,184
163,164,,Ben Crane,86,10.22,28,274
164,165,,Mark Hubbard,81,10.14,21,207
165,166,,Kevin Kisner,105,10.12,26,257
166,T167,,Andrew Loupe,55,10.07,14,139
167,T167,,C.T. Pan,88,10.07,27,268
168,T167,,Tyrone Van Aswegen,105,10.07,30,298
169,170,,Brett Drewitt,57,9.93,14,141
170,171,,Kyle Reifers,96,9.78,27,276
171,172,,K.J. Choi,72,9.76,20,205
172,173,,Andres Gonzales,73,9.74,15,154
173,174,,Chris Kirk,89,9.57,22,230
174,175,,Luke Donald,50,9.47,16,169
175,176,,Ricky Barnes,100,9.43,25,265
176,177,,David Hearn,93,9.42,26,276
177,178,,Ryan Armour,63,9.41,16,170
178,179,,Jim Furyk,54,9.25,16,173
179,180,,Shawn Stefani,72,9.18,19,207
180,181,,Spencer Levin,89,9.16,24,262
181,182,,Jason Bohn,75,9.09,21,231
182,183,,Mark Anderson,54,9.02,12,133
183,184,,Cameron Percy,71,8.98,15,167
184,185,,Sung Kang,104,8.85,23,260
185,186,,Ryan Moore,82,8.09,19,235
186,187,,Alex Cejka,85,7.53,18,239
187,188,,Ken Duke,77,7.46,17,228
188,189,,Sergio Garcia,65,6.87,9,131
189,190,,Tim Wilkinson,64,6.25,11,176
