,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,,Dustin Johnson,77,60.34,251,416
1,2,,Luke List,102,59.64,362,607
2,3,,Martin Flores,88,59.55,318,534
3,4,,Tony Finau,106,57.77,357,618
4,5,,Jordan Spieth,85,57.72,243,421
5,6,,Justin Thomas,86,57.35,277,483
6,7,,Jon Rahm,90,56.93,267,469
7,8,,Justin Rose,66,56.67,204,360
8,9,,Lucas Glover,93,56.57,241,426
9,10,,Ryan Brehm,83,56.51,282,499
10,11,,Branden Grace,70,56.48,196,347
11,12,,Stewart Cink,93,56.41,321,569
12,13,,Robert Garrigus,78,56.16,228,406
13,14,,Paul Casey,94,56.14,247,440
14,15,,Hudson Swafford,94,56.11,280,499
15,16,,Cameron Percy,71,56.08,203,362
16,17,,Ryan Armour,63,56.0,126,225
17,18,,Charley Hoffman,112,55.36,341,616
18,19,,Graham DeLaet,82,55.32,213,385
19,20,,Nick Taylor,97,55.31,281,508
20,21,,Patrick Cantlay,52,55.25,142,257
21,22,,Hideki Matsuyama,83,55.24,237,429
22,23,,C.T. Pan,88,54.93,234,426
23,24,,Billy Horschel,88,54.87,259,472
24,T25,,Rory McIlroy,51,54.83,159,290
25,T25,,Gary Woodland,94,54.83,267,487
26,27,,Andres Gonzales,73,54.57,233,427
27,28,,Brandon Hagy,85,54.49,279,512
28,29,,Jim Herman,77,54.46,177,325
29,30,,Sergio Garcia,65,54.43,172,316
30,31,,Jamie Lovemark,98,54.3,303,558
31,32,,Nick Watney,75,54.23,231,426
32,33,,Bill Haas,92,54.22,257,474
33,T34,,Bud Cauley,92,54.15,261,482
34,T34,,Louis Oosthuizen,69,54.15,176,325
35,36,,Charles Howell III,86,54.05,280,518
36,37,,Trey Mullinax,88,54.03,275,509
37,38,,Scott Stallings,81,54.01,249,461
38,39,,Shawn Stefani,72,53.87,202,375
39,40,,Ollie Schniederjans,92,53.85,315,585
40,41,,Sean O'Hair,84,53.81,247,459
41,42,,Boo Weekley,75,53.63,155,289
42,43,,J.T. Poston,95,53.62,259,483
43,44,,Patrick Rodgers,76,53.59,261,487
44,T45,,Seamus Power,86,53.55,279,521
45,T45,,Xander Schauffele,96,53.55,279,521
46,47,,Brendan Steele,89,53.54,227,424
47,48,,Blayne Barber,77,53.42,203,380
48,49,,Scott Piercy,70,53.39,197,369
49,50,,Harris English,84,53.37,269,504
50,51,,James Hahn,96,53.33,264,495
51,52,,Morgan Hoffmann,92,53.29,259,486
52,53,,J.J. Henry,92,53.23,239,449
53,54,,Steven Alker,69,53.15,152,286
54,55,,Harold Varner III,101,53.13,297,559
55,56,,Daniel Berger,91,53.08,250,471
56,57,,Bryson DeChambeau,91,53.05,270,509
57,58,,Rory Sabbatini,71,52.98,169,319
58,59,,Rickie Fowler,78,52.97,196,370
59,60,,Shane Lowry,52,52.94,117,221
60,61,,Geoff Ogilvy,80,52.93,199,376
61,T62,,Rick Lamb,54,52.85,130,246
62,T62,,Kyle Stanley,104,52.85,232,439
63,64,,Adam Scott,58,52.75,182,345
64,65,,Kevin Na,86,52.67,227,431
65,66,,David Lingmerth,79,52.53,197,375
66,67,,Retief Goosen,52,52.4,142,271
67,68,,Keegan Bradley,104,52.38,242,462
68,69,,Fabián Gómez,61,52.37,166,317
69,70,,D.A. Points,68,52.0,169,325
70,71,,Johnson Wagner,71,51.85,168,324
71,72,,J.J. Spaun,92,51.79,217,419
72,73,,Russell Henley,99,51.76,250,483
73,74,,Seung-Yul Noh,91,51.75,295,570
74,75,,Charl Schwartzel,63,51.73,194,375
75,76,,Julián Etulain,68,51.7,167,323
76,T77,,Sam Saunders,76,51.59,178,345
77,T77,,Chris Stroud,67,51.59,146,283
78,79,,Smylie Kaufman,76,51.56,231,448
79,80,,Pat Perez,93,51.47,245,476
80,81,,Jason Kokrak,95,51.45,266,517
81,82,,Chris Kirk,89,51.44,215,418
82,83,,William McGirt,89,51.2,170,332
83,84,,Kevin Chappell,95,51.18,261,510
84,85,,Michael Thompson,60,51.17,153,299
85,86,,Ryan Palmer,61,51.14,157,307
86,T87,,Adam Hadwin,98,51.13,249,487
87,T87,,Sung Kang,104,51.13,294,575
88,89,,Kevin Tway,96,51.11,299,585
89,90,,Cameron Tringale,89,50.93,247,485
90,T91,,Brett Drewitt,57,50.86,148,291
91,T91,,Anirban Lahiri,72,50.86,206,405
92,93,,Jason Dufner,89,50.85,209,411
93,94,,Hunter Mahan,73,50.83,184,362
94,95,,Vaughn Taylor,90,50.8,190,374
95,96,,John Huh,92,50.79,224,441
96,97,,Jhonattan Vegas,95,50.76,268,528
97,98,,Ian Poulter,72,50.7,180,355
98,T99,,Brian Campbell,55,50.67,151,298
99,T99,,Ryo Ishikawa,56,50.67,190,375
100,101,,Roberto Castro,70,50.64,158,312
101,102,,Tyrone Van Aswegen,105,50.55,275,544
102,103,,Tom Hoge,54,50.53,143,283
103,104,,Martin Laird,83,50.52,196,388
104,105,,Jason Day,71,50.48,210,416
105,106,,Robert Streb,98,50.45,281,557
106,107,,Tag Ridings,67,50.43,174,345
107,108,,Cameron Smith,86,50.4,252,500
108,109,,Webb Simpson,102,50.33,230,457
109,110,,Matt Jones,64,50.3,169,336
110,111,,Richy Werenski,81,50.28,177,352
111,112,,Chez Reavie,98,50.27,188,374
112,113,,Peter Malnati,91,50.23,220,438
113,114,,Ryan Moore,82,50.14,178,355
114,115,,Scott Brown,95,50.11,230,459
115,116,,Ricky Barnes,100,50.09,294,587
