,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,,Rory McIlroy,51,151.0,2522816.0,464
1,2,,Dustin Johnson,77,156.2,4481696.0,797
2,3,,Brooks Koepka,88,157.8,4918747.0,866
3,4,,Ryan Brehm,83,158.5,4770098.0,836
4,T5,,Trey Mullinax,88,159.1,5159723.0,901
5,T5,,Ryan Palmer,61,159.1,3688314.0,644
6,7,,Justin Thomas,86,159.9,4830442.0,839
7,8,,Jon Rahm,90,160.0,5098155.0,885
8,9,,Kevin Tway,96,160.1,5891280.0,1022
9,10,,Tony Finau,106,160.3,7272948.0,1260
10,11,,Bubba Watson,71,160.5,4085323.0,707
11,12,,Brandon Hagy,85,160.6,5515287.0,954
12,13,,Grayson Murray,94,160.7,6686555.0,1156
13,14,,Xander Schauffele,96,161.8,5613884.0,964
14,15,,Sergio Garcia,65,161.9,3402969.0,584
15,16,,J.B. Holmes,83,162.4,4583279.0,784
16,T17,,Smylie Kaufman,76,162.9,5056607.0,862
17,T17,,Luke List,102,162.9,6949335.0,1185
18,T17,,Andrew Loupe,55,162.9,3741929.0,638
19,20,,Tag Ridings,67,163.0,4025934.0,686
20,21,,Jason Day,71,163.4,4340925.0,738
21,22,,Rick Lamb,54,163.6,3114891.0,529
22,T23,,Jamie Lovemark,98,163.9,6165690.0,1045
23,T23,,Jordan Spieth,85,163.9,5244216.0,889
24,25,,Jason Kokrak,95,164.2,6430554.0,1088
25,26,,Martin Flores,88,164.7,5442088.0,918
26,27,,Kevin Chappell,95,165.4,5578294.0,937
27,T28,,Anirban Lahiri,72,165.5,4843327.0,813
28,T28,,Patrick Rodgers,76,165.5,5378861.0,903
29,30,,Jhonattan Vegas,95,165.8,5716955.0,958
30,T31,,Matt Jones,64,166.0,4170477.0,698
31,T31,,Gary Woodland,94,166.0,5227539.0,875
32,33,,Scott Stallings,81,166.2,5577270.0,932
33,34,,Robert Garrigus,78,166.4,4918396.0,821
34,35,,Ollie Schniederjans,92,166.5,6689663.0,1116
35,36,,Charley Hoffman,112,166.7,7446242.0,1241
36,T37,,Bryson DeChambeau,91,166.8,5867238.0,977
37,T37,,Hideki Matsuyama,83,166.8,4599663.0,766
38,39,,Scott Piercy,70,167.2,3911516.0,650
39,T40,,Sean O'Hair,84,167.3,5624289.0,934
40,T40,,Brendan Steele,89,167.3,5584780.0,927
41,42,,Marc Leishman,94,167.4,5771715.0,958
42,43,,Hudson Swafford,94,167.5,6302936.0,1045
43,44,,Andres Gonzales,73,167.8,4736347.0,784
44,45,,Justin Rose,66,167.9,4250455.0,703
45,46,,Matt Every,76,168.1,4979191.0,823
46,47,,Harold Varner III,101,168.2,7158064.0,1182
47,48,,Nick Watney,75,168.4,5287850.0,872
48,T49,,Brian Campbell,55,168.6,3422554.0,564
49,T49,,Billy Horschel,88,168.6,6536113.0,1077
50,T49,,Sung Kang,104,168.6,6832863.0,1126
51,T49,,Sebastián Muñoz,51,168.6,3270750.0,539
52,53,,Patrick Reed,107,168.8,6740009.0,1109
53,T54,,Daniel Berger,91,169.0,5683676.0,934
54,T54,,Dominic Bozzelli,69,169.0,4588106.0,754
55,T54,,Adam Scott,58,169.0,3347020.0,550
56,57,,Seamus Power,86,169.1,5678873.0,933
57,T58,,Morgan Hoffmann,92,169.3,6836512.0,1122
58,T58,,Rory Sabbatini,71,169.3,4492708.0,737
59,T60,,Lucas Glover,93,169.4,7063758.0,1158
60,T60,,Charles Howell III,86,169.4,5712922.0,937
61,T60,,Cameron Percy,71,169.4,4622555.0,758
62,63,,Hunter Mahan,73,169.7,4977896.0,815
63,64,,Byeong Hun An,77,169.8,4615982.0,755
64,65,,Cody Gribble,79,169.9,5860131.0,958
65,66,,Keegan Bradley,104,170.1,7384659.0,1206
66,T67,,Bud Cauley,92,170.2,6778034.0,1106
67,T67,,Harris English,84,170.2,5617280.0,917
68,69,,Louis Oosthuizen,69,170.3,3990423.0,651
69,70,,Graham DeLaet,82,170.4,5998130.0,978
70,71,,Jason Dufner,89,170.5,5941183.0,968
71,72,,J.T. Poston,95,170.7,6015556.0,979
72,T73,,Stewart Cink,93,170.9,6520375.0,1060
73,T73,,Robert Streb,98,170.9,7085651.0,1152
74,T75,,Miguel Angel Carballo,63,171.0,3669628.0,596
75,T75,,Branden Grace,70,171.0,3699104.0,601
76,T75,,Seung-Yul Noh,91,171.0,6243878.0,1014
77,78,,Brandt Snedeker,53,171.1,3239376.0,526
78,T79,,Rickie Fowler,78,171.2,4993240.0,810
79,T79,,Brett Stegmaier,78,171.2,4912872.0,797
80,T81,,Patrick Cantlay,52,171.3,3933307.0,638
81,T81,,Tom Hoge,54,171.3,3292964.0,534
82,T81,,Russell Knox,75,171.3,4475836.0,726
83,T84,,Julián Etulain,68,171.4,4338994.0,703
84,T84,,Jimmy Walker,68,171.4,4108814.0,666
85,86,,Gonzalo Fernandez-Castaño,63,171.5,3748373.0,607
86,87,,Si Woo Kim,80,171.6,4787239.0,775
87,88,,Charl Schwartzel,63,171.7,3913050.0,633
88,89,,Kyle Stanley,104,171.8,8103216.0,1310
89,90,,Boo Weekley,75,171.9,5215800.0,843
90,91,,Russell Henley,99,172.0,6988923.0,1129
91,92,,Mackenzie Hughes,106,172.2,8263340.0,1333
92,T93,,Shane Lowry,52,172.5,2930538.0,472
93,T93,,William McGirt,89,172.5,5919165.0,953
94,T93,,Phil Mickelson,85,172.5,5906181.0,951
95,T93,,J.J. Spaun,92,172.5,6166228.0,993
96,97,,Fabián Gómez,61,172.6,4423950.0,712
97,T98,,Retief Goosen,52,172.7,3487805.0,561
98,T98,,Shawn Stefani,72,172.7,5147297.0,828
99,100,,Brett Drewitt,57,173.0,3680879.0,591
100,T101,,Patton Kizzire,84,173.1,6080992.0,976
101,T101,,Kevin Streelman,90,173.1,6679939.0,1072
102,103,,Jim Herman,77,173.3,5701696.0,914
103,104,,Paul Casey,94,173.4,5804233.0,930
104,105,,Richy Werenski,81,173.6,5254554.0,841
105,106,,J.J. Henry,92,173.7,6497604.0,1039
106,107,,Nick Taylor,97,173.8,7187850.0,1149
107,T108,,Jonas Blixt,74,174.0,5054853.0,807
108,T108,,Sam Saunders,76,174.0,5297966.0,846
109,110,,Brian Harman,104,174.1,7119423.0,1136
110,T111,,Emiliano Grillo,90,174.2,5568783.0,888
111,T111,,Kevin Kisner,105,174.2,6377545.0,1017
112,T111,,David Lingmerth,79,174.2,5549973.0,885
113,T114,,James Hahn,96,174.3,7057580.0,1125
114,T114,,Rod Pampling,71,174.3,5760875.0,918
115,116,,Martin Laird,83,174.5,5922958.0,943
116,117,,Michael Kim,94,174.7,7245094.0,1152
117,118,,Troy Merritt,82,174.8,5866147.0,932
118,119,,Daniel Summerhays,100,174.9,6800316.0,1080
119,120,,Ben Martin,86,175.1,6101269.0,968
120,T121,,Blayne Barber,77,175.2,5814102.0,922
121,T121,,Scott Brown,95,175.2,6806554.0,1079
122,T123,,Kelly Kraft,75,175.3,5634766.0,893
123,T123,,Danny Lee,93,175.3,6576081.0,1042
124,T123,,Francesco Molinari,75,175.3,5003831.0,793
125,T123,,C.T. Pan,88,175.3,6451468.0,1022
126,127,,Whee Kim,74,175.4,4987581.0,790
127,128,,Bill Haas,92,175.5,5957800.0,943
128,129,,Vaughn Taylor,90,175.6,6694782.0,1059
129,130,,Cameron Smith,86,175.9,6173124.0,975
130,T131,,Derek Fathauer,81,176.0,5577058.0,880
131,T131,,Geoff Ogilvy,80,176.0,5859373.0,925
132,T133,,Brad Fritsch,56,176.1,3690164.0,582
133,T133,,Webb Simpson,102,176.1,7031167.0,1109
134,T135,,Ernie Els,52,176.3,2856683.0,450
135,T135,,Pat Perez,93,176.3,6283497.0,990
136,137,,Jonathan Randolph,68,176.5,4149624.0,653
137,138,,Rafa Cabrera Bello,63,176.6,3686496.0,580
138,139,,Adam Hadwin,98,176.7,6585600.0,1035
139,140,,Ryo Ishikawa,56,176.8,3724093.0,585
140,T141,,Mark Hubbard,81,176.9,5322663.0,836
141,T141,,Chris Stroud,67,176.9,4229806.0,664
142,T143,,Mark Anderson,54,177.1,3717537.0,583
143,T143,,Peter Malnati,91,177.1,6420499.0,1007
144,T145,,Matt Kuchar,95,177.2,6450481.0,1011
145,T145,,Tyrone Van Aswegen,105,177.2,7029511.0,1102
146,147,,Chad Campbell,97,177.4,7530358.0,1179
147,T148,,Nicholas Lindheim,58,177.9,3888128.0,607
148,T148,,Johnson Wagner,71,177.9,4995374.0,780
149,150,,Zach Johnson,81,178.0,5691313.0,888
150,151,,Chris Kirk,89,178.3,6160584.0,960
151,T152,,Ryan Blaum,100,178.6,7308921.0,1137
152,T152,,Steven Bowditch,59,178.6,3837589.0,597
153,T152,,Alex Cejka,85,178.6,5485113.0,853
154,T152,,Brian Gay,82,178.6,6100946.0,949
155,T152,,Chez Reavie,98,178.6,7034904.0,1094
156,157,,Kyle Reifers,96,178.7,6528413.0,1015
157,T158,,Aaron Baddeley,61,179.1,4054534.0,629
158,T158,,K.J. Choi,72,179.1,4804291.0,745
159,160,,Michael Thompson,60,179.2,3891107.0,603
160,T161,,Ricky Barnes,100,179.3,6837148.0,1059
161,T161,,Kevin Na,86,179.3,5539676.0,858
162,163,,Steve Wheatcroft,51,179.4,3603698.0,558
163,164,,Camilo Villegas,76,179.7,5532105.0,855
164,T165,,Greg Chalmers,75,180.3,6108589.0,941
165,T165,,Ian Poulter,72,180.3,4918750.0,758
166,167,,John Huh,92,180.4,6853275.0,1055
167,T168,,David Hearn,93,180.5,6393169.0,984
168,T168,,Ryan Moore,82,180.5,5872631.0,904
169,170,,Billy Hurley III,80,181.3,6181174.0,947
170,171,,Roberto Castro,70,181.5,4697281.0,719
171,T172,,Steven Alker,69,181.6,4634707.0,709
172,T172,,Tim Wilkinson,64,181.6,4125817.0,631
173,174,,Jason Bohn,75,181.9,5579890.0,852
174,175,,Carl Pettersson,63,182.0,4672578.0,713
175,176,,Spencer Levin,89,182.1,6076029.0,927
176,177,,Cameron Tringale,89,182.5,5860812.0,892
177,178,,Chad Collins,66,183.4,4905234.0,743
178,179,,Ken Duke,77,183.5,5508895.0,834
179,180,,Ben Crane,86,183.7,6315832.0,955
180,181,,Ryan Armour,63,184.1,4526481.0,683
181,182,,Luke Donald,50,184.6,3894360.0,586
182,T183,,Zac Blair,105,185.1,7509021.0,1127
183,T183,,Wesley Bryan,95,185.1,6868366.0,1031
184,185,,Brian Stuard,93,185.6,6221255.0,931
185,186,,D.A. Points,68,185.8,5378179.0,804
186,187,,Graeme McDowell,56,186.0,4451697.0,665
187,188,,Bryce Molder,74,186.8,5864350.0,872
188,189,,Jim Furyk,54,191.3,3808506.0,553
189,190,,Søren Kjeldsen,58,191.5,3239727.0,470
