,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,,Martin Flores,88,60.68,71,117,-0.13
1,2,,Ryan Moore,82,56.97,94,165,E
2,3,,Brett Stegmaier,78,56.9,66,116,-0.05
3,4,,Geoff Ogilvy,80,56.58,86,152,-0.08
4,5,,Ryan Palmer,61,55.71,39,70,E
5,6,,Hudson Swafford,94,55.7,88,158,-0.11
6,7,,Kevin Streelman,90,55.49,91,164,-0.11
7,8,,Stewart Cink,93,54.49,91,167,-0.12
8,9,,Sergio Garcia,65,53.54,53,99,-0.02
9,10,,Nick Watney,75,53.45,62,116,-0.16
10,11,,Andres Gonzales,73,53.33,56,105,+0.11
11,12,,Russell Henley,99,53.23,107,201,-0.11
12,13,,J.J. Spaun,92,53.21,83,156,-0.13
13,14,,Marc Leishman,94,53.18,92,173,-0.07
14,15,,Jon Rahm,90,53.03,70,132,-0.06
15,16,,Graham DeLaet,82,52.53,83,158,-0.05
16,17,,Justin Rose,66,52.38,66,126,-0.17
17,18,,Billy Horschel,88,52.3,91,174,-0.16
18,19,,Tony Finau,106,52.22,94,180,-0.01
19,20,,Xander Schauffele,96,52.11,74,142,-0.05
20,21,,Mark Hubbard,81,52.05,76,146,-0.03
21,22,,Hunter Mahan,73,51.96,53,102,+0.13
22,T23,,Luke List,102,51.83,85,164,-0.20
23,T23,,Peter Malnati,91,51.83,85,164,-0.12
24,25,,Trey Mullinax,88,51.82,57,110,-0.09
25,26,,Gary Woodland,94,51.72,75,145,E
26,27,,Kevin Kisner,105,51.35,95,185,-0.11
27,28,,Johnson Wagner,71,51.3,59,115,-0.10
28,29,,Harold Varner III,101,51.16,88,172,-0.11
29,30,,Chez Reavie,98,51.06,96,188,-0.17
30,31,,Jason Kokrak,95,50.98,78,153,-0.04
31,T32,,Robert Garrigus,78,50.91,56,110,-0.05
32,T32,,Dustin Johnson,77,50.91,56,110,-0.09
33,34,,Bill Haas,92,50.62,82,162,-0.15
34,35,,Boo Weekley,75,50.46,55,109,-0.05
35,36,,Jason Day,71,50.37,68,135,-0.06
36,37,,Ben Crane,86,50.28,91,181,-0.11
37,T38,,Mark Anderson,54,50.0,41,82,-0.15
38,T38,,Blayne Barber,77,50.0,64,128,-0.17
39,T38,,James Hahn,96,50.0,96,192,-0.02
40,T38,,William McGirt,89,50.0,80,160,-0.05
41,T38,,Sebastián Muñoz,51,50.0,39,78,-0.05
42,43,,Danny Lee,93,49.71,87,175,-0.10
43,44,,Justin Thomas,86,49.66,73,147,-0.21
44,45,,Alex Cejka,85,49.6,62,125,-0.08
45,46,,Chad Campbell,97,49.48,96,194,-0.03
46,47,,Kevin Na,86,49.43,87,176,-0.15
47,48,,Tag Ridings,67,49.4,41,83,-0.20
48,49,,Daniel Berger,91,49.39,81,164,-0.11
49,50,,Bryson DeChambeau,91,49.36,77,156,-0.06
50,51,,Jim Herman,77,49.34,75,152,-0.13
51,52,,Lucas Glover,93,49.16,88,179,-0.09
52,53,,Zach Johnson,81,49.08,80,163,-0.06
53,54,,Steven Alker,69,49.07,53,108,-0.13
54,55,,Ryan Blaum,100,48.91,90,184,-0.06
55,56,,Hideki Matsuyama,83,48.8,61,125,-0.07
56,57,,Jhonattan Vegas,95,48.78,80,164,-0.09
57,58,,J.J. Henry,92,48.72,76,156,-0.11
58,59,,Matt Kuchar,95,48.39,90,186,-0.03
59,60,,Jordan Spieth,85,48.37,74,153,-0.16
60,61,,Ollie Schniederjans,92,48.26,83,172,+0.01
61,62,,Patrick Cantlay,52,48.18,53,110,-0.04
62,63,,C.T. Pan,88,48.15,78,162,-0.12
63,64,,Paul Casey,94,48.13,90,187,-0.09
64,65,,Cameron Tringale,89,48.05,74,154,-0.16
65,66,,Kyle Stanley,104,47.83,99,207,-0.10
66,67,,Mackenzie Hughes,106,47.69,103,216,-0.16
67,68,,Cameron Percy,71,47.66,51,107,-0.02
68,69,,Rory Sabbatini,71,47.47,47,99,+0.04
69,70,,Ben Martin,86,47.22,68,144,-0.03
70,71,,Cody Gribble,79,47.2,76,161,-0.14
71,72,,Harris English,84,47.02,71,151,-0.14
72,73,,Julián Etulain,68,47.0,47,100,-0.17
73,74,,Keegan Bradley,104,46.99,86,183,-0.09
74,T75,,Scott Stallings,81,46.88,60,128,-0.05
75,T75,,Tyrone Van Aswegen,105,46.88,75,160,-0.08
76,77,,Emiliano Grillo,90,46.84,74,158,-0.09
77,78,,Seamus Power,86,46.67,63,135,-0.05
78,79,,Jason Dufner,89,46.63,76,163,-0.08
79,80,,Bud Cauley,92,46.55,81,174,E
80,81,,Tom Hoge,54,46.38,32,69,E
81,82,,Brandon Hagy,85,46.34,57,123,-0.07
82,83,,Michael Kim,94,46.2,85,184,-0.09
83,84,,David Lingmerth,79,46.05,70,152,-0.10
84,85,,Brandt Snedeker,53,45.98,40,87,-0.13
85,86,,Nicholas Lindheim,58,45.88,39,85,-0.03
86,87,,Ryan Brehm,83,45.79,49,107,E
87,88,,Rickie Fowler,78,45.51,71,156,-0.17
