,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,,Luke List,102,23
1,2,,Chez Reavie,98,22
2,T3,,Mackenzie Hughes,106,21
3,T3,,Webb Simpson,102,21
4,T5,,Cody Gribble,79,19
5,T5,,Martin Laird,83,19
6,T5,,Seung-Yul Noh,91,19
7,T8,,Bryson DeChambeau,91,18
8,T8,,Charley Hoffman,112,18
9,T8,,Morgan Hoffmann,92,18
10,T8,,Marc Leishman,94,18
11,T8,,Grayson Murray,94,18
12,T13,,Zac Blair,105,17
13,T13,,Dominic Bozzelli,69,17
14,T13,,Brandon Hagy,85,17
15,T13,,Brian Harman,104,17
16,T13,,Phil Mickelson,85,17
17,T13,,Jon Rahm,90,17
18,T13,,Scott Stallings,81,17
19,T13,,Boo Weekley,75,17
20,T21,,Chad Campbell,97,16
21,T21,,Jason Day,71,16
22,T21,,John Huh,92,16
23,T21,,Jamie Lovemark,98,16
24,T21,,Francesco Molinari,75,16
25,T21,,Jonathan Randolph,68,16
26,T21,,Patrick Reed,107,16
27,T21,,Justin Rose,66,16
28,T21,,Harold Varner III,101,16
29,T30,,Ricky Barnes,100,15
30,T30,,Scott Brown,95,15
31,T30,,Wesley Bryan,95,15
32,T30,,Stewart Cink,93,15
33,T30,,Harris English,84,15
34,T30,,Matt Every,76,15
35,T30,,Bill Haas,92,15
36,T30,,David Hearn,93,15
37,T30,,Russell Henley,99,15
38,T30,,Billy Hurley III,80,15
39,T30,,Whee Kim,74,15
40,T30,,Kevin Kisner,105,15
41,T30,,Danny Lee,93,15
42,T30,,Kevin Na,86,15
43,T30,,Seamus Power,86,15
44,T30,,Nick Taylor,97,15
45,T46,,Keegan Bradley,104,14
46,T46,,Brian Gay,82,14
47,T46,,James Hahn,96,14
48,T46,,J.B. Holmes,83,14
49,T46,,Peter Malnati,91,14
