,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,,Boo Weekley,75,"37' 1""",79,2930.083,+5.00
1,2,,Dustin Johnson,77,"37' 8""",113,4256.333,+8.00
2,3,,Justin Thomas,86,"37' 9""",131,4943.583,-5.00
3,4,,Jon Rahm,90,"38' 8""",124,4789.917,-4.00
4,5,,David Lingmerth,79,"39' 3""",98,3846.667,+8.00
5,6,,Charl Schwartzel,63,"39' 7""",90,3560.0,+11.00
6,7,,Martin Flores,88,"39' 11""",166,6631.5,+7.00
7,8,,Louis Oosthuizen,69,"40' 0""",84,3358.917,+1.00
8,9,,Aaron Baddeley,61,"40' 2""",112,4495.75,+12.00
9,10,,Andrew Loupe,55,"40' 4""",138,5564.3330000000005,+19.00
10,11,,Pat Perez,93,"40' 5""",157,6349.0,+6.00
11,12,,Brett Drewitt,57,"40' 6""",97,3926.667,+18.00
12,T13,,Rickie Fowler,78,"40' 7""",84,3412.167,+17.00
13,T13,,Jim Herman,77,"40' 7""",76,3081.167,+4.00
14,T15,,Ollie Schniederjans,92,"40' 8""",174,7075.5830000000005,+15.00
15,T15,,Webb Simpson,102,"40' 8""",118,4798.417,E
16,T15,,Scott Stallings,81,"40' 8""",125,5080.167,+25.00
17,T15,,Nick Watney,75,"40' 8""",120,4878.167,+11.00
18,19,,J.T. Poston,95,"40' 9""",170,6934.3330000000005,+23.00
19,20,,Miguel Angel Carballo,63,"40' 10""",104,4250.667,+6.00
20,21,,Brandon Hagy,85,"40' 11""",159,6501.8330000000005,+2.00
21,22,,Bud Cauley,92,"41' 1""",139,5715.75,+17.00
22,23,,Brandt Snedeker,53,"41' 2""",62,2551.167,+15.00
23,T24,,Greg Chalmers,75,"41' 4""",129,5330.25,+15.00
24,T24,,Jason Dufner,89,"41' 4""",127,5247.9169999999995,+13.00
25,T24,,Ryan Moore,82,"41' 4""",100,4136.917,+18.00
26,27,,Xander Schauffele,96,"41' 5""",156,6467.0830000000005,+3.00
27,T28,,Luke List,102,"41' 6""",186,7719.4169999999995,+5.00
28,T28,,Jordan Spieth,85,"41' 6""",120,4979.333,+6.00
29,T28,,Jhonattan Vegas,95,"41' 6""",151,6262.8330000000005,+8.00
30,T31,,Jason Day,71,"41' 7""",122,5071.083,+7.00
31,T31,,Michael Kim,94,"41' 7""",150,6232.8330000000005,+5.00
32,T33,,Harris English,84,"41' 8""",155,6461.75,+5.00
33,T33,,Francesco Molinari,75,"41' 8""",82,3417.0,+16.00
34,35,,Ryan Palmer,61,"41' 9""",113,4718.667,+5.00
35,T36,,Morgan Hoffmann,92,"41' 10""",174,7283.1669999999995,+31.00
36,T36,,Rory Sabbatini,71,"41' 10""",110,4605.333,E
37,38,,Mark Anderson,54,"41' 11""",92,3854.417,+12.00
38,39,,Ben Martin,86,"42' 0""",109,4575.833,+13.00
39,40,,Whee Kim,74,"42' 4""",127,5373.6669999999995,+6.00
40,T41,,Dominic Bozzelli,69,"42' 7""",140,5964.4169999999995,+14.00
41,T41,,Zach Johnson,81,"42' 7""",84,3577.5,+3.00
42,43,,Emiliano Grillo,90,"42' 8""",109,4652.917,+15.00
43,T44,,Billy Horschel,88,"42' 10""",167,7155.5830000000005,+23.00
44,T44,,Hideki Matsuyama,83,"42' 10""",130,5565.9169999999995,+12.00
45,T44,,Trey Mullinax,88,"42' 10""",156,6680.1669999999995,+11.00
46,T47,,Charley Hoffman,112,"42' 11""",203,8706.667,+8.00
47,T47,,Smylie Kaufman,76,"42' 11""",147,6309.25,+33.00
48,T47,,Chez Reavie,98,"42' 11""",110,4723.167,+10.00
49,T50,,Graham DeLaet,82,"43' 0""",115,4949.5,+10.00
50,T50,,Sergio Garcia,65,"43' 0""",75,3225.583,+16.00
51,T52,,Jonas Blixt,74,"43' 2""",111,4791.0,+24.00
52,T52,,Patton Kizzire,84,"43' 2""",147,6345.75,+22.00
53,T52,,Johnson Wagner,71,"43' 2""",103,4444.083,+20.00
54,55,,Kevin Tway,96,"43' 3""",172,7441.5830000000005,+16.00
55,56,,Gary Woodland,94,"43' 4""",125,5419.5,+6.00
56,T57,,Bill Haas,92,"43' 5""",122,5299.0830000000005,+12.00
57,T57,,Mark Hubbard,81,"43' 5""",128,5562.1669999999995,+23.00
58,T57,,Jonathan Randolph,68,"43' 5""",91,3950.917,+17.00
59,T60,,Ken Duke,77,"43' 6""",119,5173.333,+14.00
60,T60,,Bubba Watson,71,"43' 6""",96,4175.5,+11.00
61,T62,,Blayne Barber,77,"43' 7""",114,4972.083,+19.00
62,T62,,Luke Donald,50,"43' 7""",81,3531.083,+10.00
63,T64,,Steven Alker,69,"43' 9""",76,3323.583,+14.00
64,T64,,Justin Rose,66,"43' 9""",93,4068.917,+12.00
65,T64,,Tyrone Van Aswegen,105,"43' 9""",150,6566.3330000000005,+24.00
66,67,,Adam Scott,58,"43' 10""",98,4294.667,+3.00
67,T68,,Phil Mickelson,85,"43' 11""",117,5137.0,+27.00
68,T68,,Scott Piercy,70,"43' 11""",114,5007.583,+21.00
69,T70,,Ryo Ishikawa,56,"44' 0""",113,4975.25,+24.00
70,T70,,D.A. Points,68,"44' 0""",86,3782.333,+9.00
71,T70,,Seamus Power,86,"44' 0""",152,6688.8330000000005,+5.00
