,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,,Cameron Tringale,89,68.04,66,97,-70,-7.00
1,2,,Shane Lowry,52,67.9,55,81,-58,-1.00
2,3,,Ryan Moore,82,67.5,81,120,-85,-19.00
3,4,,Brandon Hagy,85,67.32,103,153,-113,-1.00
4,5,,Charl Schwartzel,63,67.26,76,113,-80,+2.00
5,6,,Brian Gay,82,67.11,51,76,-56,-28.00
6,7,,Ian Poulter,72,65.59,61,93,-65,-1.00
7,8,,Miguel Angel Carballo,63,65.28,47,72,-53,+7.00
8,T9,,Harris English,84,65.22,75,115,-77,+8.00
9,T9,,Marc Leishman,94,65.22,105,161,-113,-2.00
10,11,,Pat Perez,93,64.96,89,137,-95,-7.00
11,12,,Nicholas Lindheim,58,64.91,37,57,-39,+4.00
12,13,,Jordan Spieth,85,64.19,95,148,-100,-7.00
13,14,,Tim Wilkinson,64,63.93,39,61,-42,-8.00
14,15,,Derek Fathauer,81,63.64,63,99,-66,-6.00
15,16,,Webb Simpson,102,63.5,87,137,-96,-6.00
16,17,,Jimmy Walker,68,63.0,63,100,-66,+5.00
17,18,,Justin Rose,66,62.7,79,126,-82,-1.00
18,19,,Rickie Fowler,78,62.69,84,134,-87,-8.00
19,20,,James Hahn,96,62.35,101,162,-108,-3.00
20,21,,Jason Day,71,62.12,82,132,-92,+4.00
21,22,,Hunter Mahan,73,62.1,77,124,-82,+1.00
22,23,,Anirban Lahiri,72,61.94,83,134,-89,+6.00
23,24,,Hideki Matsuyama,83,61.84,94,152,-102,-8.00
24,T25,,Ernie Els,52,61.7,29,47,-32,-2.00
25,T25,,Luke List,102,61.7,145,235,-161,-13.00
26,T27,,Steven Alker,69,61.54,32,52,-33,-7.00
27,T27,,Kevin Na,86,61.54,64,104,-68,-14.00
28,29,,Mackenzie Hughes,106,61.42,121,197,-125,-27.00
29,30,,Søren Kjeldsen,58,61.36,27,44,-27,-2.00
30,31,,Phil Mickelson,85,61.31,84,137,-93,-22.00
31,T32,,Tyrone Van Aswegen,105,61.21,71,116,-75,+1.00
32,T32,,Gary Woodland,94,61.21,101,165,-106,E
33,34,,David Hearn,93,61.11,55,90,-58,-16.00
34,35,,Matt Jones,64,60.78,62,102,-65,+4.00
35,36,,Tony Finau,106,60.69,159,262,-173,+10.00
36,37,,Ricky Barnes,100,60.66,74,122,-82,-11.00
37,38,,Daniel Summerhays,100,60.65,94,155,-99,+3.00
38,39,,Ollie Schniederjans,92,60.61,100,165,-106,-6.00
39,40,,Matt Every,76,60.53,69,114,-73,-8.00
40,41,,Sean O'Hair,84,60.42,87,144,-91,-13.00
41,T42,,J.J. Henry,92,60.16,77,128,-82,-11.00
42,T42,,J.J. Spaun,92,60.16,77,128,-85,+3.00
43,44,,Lucas Glover,93,60.11,110,183,-115,-7.00
44,T45,,Mark Hubbard,81,60.0,66,110,-72,+4.00
45,T45,,Andrew Loupe,55,60.0,60,100,-68,+20.00
46,T45,,Brendan Steele,89,60.0,96,160,-102,E
47,48,,Dustin Johnson,77,59.86,88,147,-96,-18.00
48,49,,Brooks Koepka,88,59.78,107,179,-116,-3.00
49,50,,K.J. Choi,72,59.74,46,77,-47,-17.00
50,T51,,Cody Gribble,79,59.72,86,144,-92,+14.00
51,T51,,Seung-Yul Noh,91,59.72,86,144,-93,+5.00
52,53,,Nick Watney,75,59.43,63,106,-70,-4.00
53,54,,Brad Fritsch,56,59.38,38,64,-40,-6.00
54,55,,Sung Kang,104,59.36,111,187,-119,-17.00
55,56,,Jon Rahm,90,59.28,99,167,-107,-18.00
56,57,,Justin Thomas,86,59.24,93,157,-103,-9.00
57,58,,Chris Stroud,67,59.21,45,76,-47,-10.00
58,59,,Hudson Swafford,94,59.09,91,154,-93,-10.00
59,60,,Kyle Stanley,104,58.97,115,195,-128,-20.00
60,61,,Chad Collins,66,58.9,43,73,-48,-12.00
61,T62,,Morgan Hoffmann,92,58.82,90,153,-94,-20.00
62,T62,,Rory Sabbatini,71,58.82,60,102,-66,-8.00
63,64,,Charley Hoffman,112,58.67,132,225,-142,-8.00
64,65,,Rory McIlroy,51,58.65,61,104,-63,E
65,T66,,Chad Campbell,97,58.59,75,128,-78,-26.00
66,T66,,Louis Oosthuizen,69,58.59,58,99,-65,-8.00
67,68,,Jamie Lovemark,98,58.55,113,193,-123,-2.00
68,69,,Billy Hurley III,80,58.51,55,94,-59,-26.00
69,70,,Charles Howell III,86,58.46,76,130,-80,-10.00
70,71,,Michael Kim,94,58.39,87,149,-90,-11.00
71,T72,,Ryan Armour,63,58.33,28,48,-33,-16.00
72,T72,,Luke Donald,50,58.33,28,48,-31,-13.00
73,74,,Kevin Kisner,105,58.2,71,122,-75,-24.00
74,75,,Geoff Ogilvy,80,58.0,58,100,-60,-3.00
75,76,,Andres Gonzales,73,57.98,69,119,-75,+4.00
76,77,,Trey Mullinax,88,57.93,84,145,-90,+9.00
