,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,T1,,Steven Alker,69,-1.000
1,T1,,Dustin Johnson,77,-1.000
2,T1,,Shane Lowry,52,-1.000
3,T1,,Rory McIlroy,51,-1.000
4,5,,Troy Merritt,82,-.857
5,6,,Charl Schwartzel,63,-.833
6,7,,David Lingmerth,79,-.818
7,T8,,Steven Bowditch,59,-.800
8,T8,,Jason Day,71,-.800
9,T8,,Brandon Hagy,85,-.800
10,T8,,Francesco Molinari,75,-.800
11,12,,Jimmy Walker,68,-.778
12,T13,,Rickie Fowler,78,-.769
13,T13,,Sung Kang,104,-.769
14,T15,,Branden Grace,70,-.750
15,T15,,Brian Stuard,93,-.750
16,T15,,Justin Thomas,86,-.750
17,18,,Tim Wilkinson,64,-.714
18,T19,,Louis Oosthuizen,69,-.700
19,T19,,Scott Stallings,81,-.700
20,21,,Jordan Spieth,85,-.692
21,T22,,Blayne Barber,77,-.667
22,T22,,Ernie Els,52,-.667
23,T22,,Brad Fritsch,56,-.667
24,T22,,Lucas Glover,93,-.667
25,T22,,Tom Hoge,54,-.667
26,T22,,Charles Howell III,86,-.667
27,T22,,Ryan Moore,82,-.667
28,T22,,Cameron Smith,86,-.667
29,T22,,Camilo Villegas,76,-.667
30,31,,William McGirt,89,-.647
31,T32,,Zac Blair,105,-.643
32,T32,,Hideki Matsuyama,83,-.643
33,T34,,Matt Jones,64,-.636
34,T34,,Ben Martin,86,-.636
35,T34,,Cameron Percy,71,-.636
36,T34,,Cameron Tringale,89,-.636
37,38,,Bill Haas,92,-.632
38,T39,,Billy Horschel,88,-.625
39,T39,,Ryo Ishikawa,56,-.625
40,T39,,Jamie Lovemark,98,-.625
41,T42,,Geoff Ogilvy,80,-.615
42,T42,,Rory Sabbatini,71,-.615
43,44,,Phil Mickelson,85,-.611
44,T45,,Justin Rose,66,-.600
45,T45,,Brendan Steele,89,-.600
46,T45,,Chris Stroud,67,-.600
47,48,,Kevin Tway,96,-.588
48,T49,,Andres Gonzales,73,-.583
49,T49,,Grayson Murray,94,-.583
50,T51,,Stewart Cink,93,-.571
51,T51,,Brian Gay,82,-.571
52,T51,,Kevin Na,86,-.571
53,T51,,Ryan Palmer,61,-.571
54,T51,,Gary Woodland,94,-.571
55,56,,Sean O'Hair,84,-.556
56,T57,,Alex Cejka,85,-.545
57,T57,,Brian Harman,104,-.545
58,T57,,Scott Piercy,70,-.545
59,T60,,Jason Dufner,89,-.538
60,T60,,Ollie Schniederjans,92,-.538
61,T62,,Chad Campbell,97,-.533
62,T62,,Cody Gribble,79,-.533
63,T62,,Emiliano Grillo,90,-.533
64,T62,,Jonathan Randolph,68,-.533
65,T62,,Vaughn Taylor,90,-.533
66,67,,Charley Hoffman,112,-.524
67,T68,,Ryan Armour,63,-.500
68,T68,,Ryan Brehm,83,-.500
69,T68,,Matt Every,76,-.500
70,T68,,Gonzalo Fernandez-Castaño,63,-.500
71,T68,,Sergio Garcia,65,-.500
72,T68,,David Hearn,93,-.500
73,T68,,Si Woo Kim,80,-.500
74,T68,,Matt Kuchar,95,-.500
75,T68,,Anirban Lahiri,72,-.500
76,T68,,Marc Leishman,94,-.500
77,T68,,Luke List,102,-.500
78,T68,,Peter Malnati,91,-.500
79,T68,,C.T. Pan,88,-.500
80,T68,,Patrick Reed,107,-.500
81,T68,,Brandt Snedeker,53,-.500
82,T68,,Bubba Watson,71,-.500
83,84,,Mackenzie Hughes,106,-.478
84,85,,Bud Cauley,92,-.476
85,86,,Russell Henley,99,-.474
86,87,,Michael Kim,94,-.471
87,T88,,Ricky Barnes,100,-.462
88,T88,,Pat Perez,93,-.462
89,T90,,Hudson Swafford,94,-.455
90,T90,,Tyrone Van Aswegen,105,-.455
91,92,,Keegan Bradley,104,-.450
92,T93,,Mark Anderson,54,-.444
93,T93,,Bryson DeChambeau,91,-.444
94,T93,,Morgan Hoffmann,92,-.444
95,T93,,Kevin Kisner,105,-.444
96,T93,,Rod Pampling,71,-.444
97,T93,,Michael Thompson,60,-.444
98,99,,Danny Lee,93,-.435
99,T100,,Chris Kirk,89,-.429
100,T100,,Sebastián Muñoz,51,-.429
101,T100,,Webb Simpson,102,-.429
102,103,,Jason Kokrak,95,-.421
103,T104,,Derek Fathauer,81,-.417
104,T104,,Brett Stegmaier,78,-.417
105,T106,,Patrick Cantlay,52,-.400
106,T106,,Luke Donald,50,-.400
107,T106,,Russell Knox,75,-.400
108,T106,,Rick Lamb,54,-.400
109,T106,,Patrick Rodgers,76,-.400
110,T106,,Jhonattan Vegas,95,-.400
111,T112,,James Hahn,96,-.389
112,T112,,J.T. Poston,95,-.389
113,T114,,Kevin Chappell,95,-.385
114,T114,,Jon Rahm,90,-.385
115,T114,,Kyle Reifers,96,-.385
116,117,,Kyle Stanley,104,-.381
117,T118,,Scott Brown,95,-.375
118,T118,,Fabián Gómez,61,-.375
119,T118,,Nick Taylor,97,-.375
120,121,,Ryan Blaum,100,-.368
121,T122,,Chad Collins,66,-.364
122,T122,,Julián Etulain,68,-.364
123,T122,,Martin Flores,88,-.364
124,T122,,Seung-Yul Noh,91,-.364
125,T122,,Carl Pettersson,63,-.364
126,T122,,Shawn Stefani,72,-.364
127,128,,John Huh,92,-.353
128,129,,Byeong Hun An,77,-.350
129,T130,,Aaron Baddeley,61,-.333
130,T130,,Dominic Bozzelli,69,-.333
131,T130,,Rafa Cabrera Bello,63,-.333
132,T130,,Paul Casey,94,-.333
